end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesNoncurrent,AccountsPayableCurrent,AccruedProfessionalFeesCurrentAndNoncurrent,AccumulatedOtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentNetOfTax,AccumulatedOtherComprehensiveIncomeLossNetOfTax,AdditionalPaidInCapital,AdditionalPaidInCapitalCommonStock,AdjustmentsToAdditionalPaidInCapitalOther,Assets,AssetsCurrent,AssetsNoncurrent,BankOverdrafts,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsFairValueDisclosure,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsAndShortTermInvestments,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect,CashEquivalentsAtCarryingValue,CashPeriodIncreaseDecrease,CommonStockOtherSharesOutstanding,CommonStockOtherValueOutstanding,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockSharesSubscriptions,CommonStocksIncludingAdditionalPaidInCapital,CommonStockValue,CommonStockValueOutstanding,CostOfRevenue,CumulativeEarningsDeficit,CurrentStateAndLocalTaxExpenseBenefit,CustomerDepositsCurrent,DeferredIncomeTaxExpenseBenefit,DeferredRevenueAndCreditsNoncurrent,DeferredTaxLiabilitiesCurrent,Depreciation,DepreciationAndAmortization,DepreciationDepletionAndAmortization,DueToRelatedPartiesCurrent,DueToRelatedPartiesNoncurrent,EarningsPerShareBasicAndDiluted,EmployeeRelatedLiabilitiesCurrent,GeneralAndAdministrativeExpense,GrossProfit,IncomeLossFromContinuingOperations,IncomeLossFromEquityMethodInvestments,IncomeTaxesPaid,IncomeTaxesPaidNet,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInCustomerDeposits,IncreaseDecreaseInDeferredRevenue,IncreaseDecreaseInMortgageLoansHeldForSale,IncreaseDecreaseInOtherOperatingCapitalNet,IncreaseDecreaseInPrepaidExpense,IncreaseDecreaseInRestrictedCashForOperatingActivities,InterestPaid,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LiabilitiesNoncurrent,LoansAndLeasesReceivableLoansInProcess,LoansPayableCurrent,LoansPayableFairValueDisclosure,LossContingencyLossInPeriod,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NetIncomeLossFromContinuingOperationsAvailableToCommonShareholdersBasic,OperatingExpenses,OperatingIncomeLoss,OperatingLeaseImpairmentLoss,OtherLiabilitiesCurrent,OtherNonrecurringIncomeExpense,PaymentsForProceedsFromLoansAndLeases,PaymentsForProceedsFromLoansReceivable,PaymentsForProceedsFromProductiveAssets,PaymentsToAcquireInvestments,PaymentsToAcquireLoansReceivable,PaymentsToAcquirePropertyPlantAndEquipment,PreferredStockSharesOutstanding,PrepaidExpenseAndOtherAssets,PrepaidExpenseCurrent,ProceedsFromContributionsFromAffiliates,ProceedsFromIssuanceOfCommonStock,ProceedsFromRepaymentsOfBankOverdrafts,ProfitLoss,PropertyPlantAndEquipmentGross,PropertyPlantAndEquipmentNet,PropertySubjectToOrAvailableForOperatingLeaseNet,RetainedEarningsAccumulatedDeficit,Revenues,SaleOfStockNumberOfSharesIssuedInTransaction,SalesRevenueServicesNet,SharesIssued,SharesOutstanding,StockholdersEquity,StockholdersEquityAttributableToParentNotAllowableForNetCapital,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,StockholdersEquityNoteSubscriptionsReceivable,StockIssuedDuringPeriodSharesAcquisitions,StockIssuedDuringPeriodSharesOther,StockIssuedDuringPeriodSharesPeriodIncreaseDecrease,StockIssuedDuringPeriodValueNewIssues,StockIssuedDuringPeriodValueOther,TaxesExcludingIncomeAndExciseTaxes,TreasuryStockCommonShares,WeightedAverageNumberOfDilutedSharesOutstanding,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesOutstandingBasic
2017-06-30,2017-10-16,10-K,BITMIS CORP.,BIMT,CIK0001678848,USD,3000.0,3000.0,,-3104.0,,23765.0,23765.0,23765.0,2625.0,37978.0,40603.0,,,37978.0,,32878.0,37978.0,,,,32878.0,,,,75000000.0,6251.0,6250750.0,,,0.001,,0.0,,0.0,8650.0,,8650.0,0.0,375.0,,375.0,,2041.0,0.0,2041.0,12663.0,10500.0,-2163.0,,,0.0,3000.0,3000.0,8650.0,8650.0,,,,0.0,0.0,40603.0,26912.0,13691.0,13691.0,,2041.0,,-2163.0,26016.0,-3000.0,9862.0,-2163.0,,-12663.0,-2163.0,,0.0,12663.0,1000.0,,-3000.0,,,-3000.0,,,,1000.0,25016.0,,-2163.0,2625.0,2625.0,2625.0,-3104.0,10500.0,,10500.0,6250750.0,,26912.0,,26912.0,,25016.0,25016.0,,,,,,5191890.0,,5191890.0
2017-09-30,2017-11-20,10-Q,BITMIS CORP.,BIMT,CIK0001678848,USD,,0.0,,-1870.0,,23765.0,,,2525.0,29826.0,32351.0,,29826.0,29826.0,,,,,,,-8152.0,,,,75000000.0,6251.0,6250750.0,,,0.001,,,,664.0,0.0,664.0,,664.0,400.0,,,,,0.0,3541.0,15752.0,17650.0,,,,0.0,-3000.0,,-8650.0,,,,,,0.0,32351.0,,3541.0,4205.0,,,,,1500.0,-300.0,-9352.0,1898.0,,-15752.0,1234.0,,664.0,,,,-300.0,,1500.0,,,,,,,,-1234.0,,2525.0,,,17650.0,,,,,28146.0,,,,,,,,,664.0,,6250750.0,,
2017-12-31,2018-02-28,10-Q,BITMIS CORP.,BIMT,CIK0001678848,USD,,0.0,,-5846.0,,23765.0,,,4944.0,23431.0,28375.0,,23430.0,23431.0,,,,,,,,,,,75000000.0,6251.0,6250750.0,,,0.001,,,,0.0,0.0,,,664.0,,,,,,0.0,3541.0,3976.0,0.0,,,,,,,,,,,,,,28375.0,,3541.0,4205.0,,,,,,,,-3976.0,,-3976.0,-3976.0,,664.0,,,,,,,,,,,,,,-3976.0,,,4944.0,,0.0,,,,,24170.0,,,,,,,,,,,6250750.0,,
2018-03-31,2018-05-14,10-Q,BITMIS CORP.,BIMT,CIK0001678848,USD,,0.0,,-8373.0,,23765.0,,,4413.0,21435.0,25848.0,,21435.0,21435.0,,,,,,,,,,,75000000.0,6251.0,6250750.0,,,0.001,,,,0.0,0.0,,,664.0,,,,,,0.0,3541.0,2527.0,0.0,-2527.0,,,,,,,,,,,,,25848.0,,3541.0,4205.0,,,,,,,,-2527.0,,-2527.0,-2527.0,,664.0,,,,,,,,,,,,,,-2527.0,,4413.0,,,0.0,,,,,21643.0,,,,,,,,,,,6250750.0,,
2018-06-30,2019-01-29,10-K,BITMIS CORP.,BIMT,CIK0001678848,USD,,99.0,,-11211.0,,23765.0,,,3118.0,19328.0,22445.0,,19328.0,19328.0,,,19328.0,19328.0,,,-18650.0,,,,75000000.0,6251.0,6250750.0,,265000.0,0.001,6250750.0,,11211.0,0.0,0.0,,,,2558.0,2558.0,,,,0.0,3541.0,23057.0,14950.0,-8107.0,,,0.0,-2901.0,,-8650.0,,1500.0,3118.0,,1500.0,0.0,22445.0,18805.0,3640.0,,,3640.0,,-8107.0,0.0,-3050.0,-15600.0,-16214.0,-8107.0,-8107.0,-8107.0,,,,0.0,0.0,-3050.0,,,,5000000.0,,0.0,,0.0,,-8107.0,,3118.0,,-11211.0,17650.0,,,,,18805.0,,,5300.0,,,,,,,,6250750.0,,
2018-09-30,2019-02-27,10-Q,BITMIS CORP.,BIMT,CIK0001678848,USD,,99.0,,-15545.0,15545.0,23765.0,,,2360.0,15751.0,18111.0,,15751.0,15751.0,15751.0,,,,,,-3577.0,,,,75000000.0,6251.0,6250750.0,,,0.001,6250750.0,,,0.0,0.0,0.0,,,0.0,758.0,,,,0.0,,4335.0,0.0,,-4335.0,,0.0,0.0,,0.0,,,,0.0,,0.0,18111.0,,3640.0,,,3541.0,3541.0,,0.0,0.0,-5093.0,-4335.0,,-4335.0,-4335.0,-4335.0,,,,,0.0,,0.0,,,,,,,,-4335.0,,2360.0,,,0.0,,,,,14471.0,,,,,,,,,,,6250750.0,,
2018-12-31,2019-02-28,10-Q,BITMIS CORP.,BIMT,CIK0001678848,USD,,99.0,,-25116.0,,23765.0,,,1603.0,6938.0,8541.0,,6938.0,6938.0,,,,,,6938.0,,,,,75000000.0,6251.0,6250750.0,,,0.001,6250750.0,,,0.0,0.0,,,,,,,,,0.0,,9571.0,0.0,,,,,,,,,,,,,,8541.0,,3640.0,,,3541.0,3541.0,,,,,-9571.0,,-9571.0,-9571.0,,,,,,,,,,,,,,,,-9571.0,,1603.0,,,0.0,,,,,4900.0,,,,,,,,,,,6250750.0,,
2019-03-31,2019-04-24,10-Q,BITMIS CORP.,BIMT,CIK0001678848,USD,,669.0,,-29883.0,,23765.0,,,845.0,3498.0,4343.0,,798.0,798.0,,,,798.0,,,,,,,75000000.0,6251.0,6250750.0,,,0.001,6250750.0,,,0.0,0.0,,,,,,,,,0.0,,4768.0,0.0,-4768.0,,,,,,,,,,,,,4343.0,133.0,4210.0,,,3541.0,4370.0,,,,,,,-4768.0,-4768.0,,,,,,,,,,,,2700.0,,,,-4768.0,,845.0,,,0.0,,,,,132.0,,,,,,,,,,,6250750.0,6250750.0,
2019-06-30,2019-08-26,10-K,BITMIS CORP.,BIMT,CIK0001678848,USD,,1166.0,10000.0,-32993.0,,23765.0,,,2560.0,2097.0,463.0,,747.0,747.0,747.0,,747.0,,,,-18581.0,,,0.001,75000000.0,6250750.0,6250750.0,5000000.0,,6251.0,6250750.0,,32993.0,0.0,0.0,,,,0.0,2665.0,,4370.0,,0.0,4370.0,21783.0,0.0,,,,0.0,1068.0,,-1350.0,,829.0,463.0,,,0.0,2560.0,2560.0,5537.0,,,,,,0.0,-2655.0,-21236.0,-21783.0,,21783.0,,,,,,0.0,-2655.0,,,,,1350.0,1350.0,,0.0,,-21783.0,,463.0,,-32993.0,0.0,,,,6250750.0,-2977.0,,,,,,,,,,,6250750.0,,
2019-09-30,2019-11-22,10-Q,BITMIS CORP.,BIMT,CIK0001678848,USD,,0.0,,-34880.0,,23765.0,,,81.0,25.0,106.0,,-25.0,25.0,25.0,,,,,,-722.0,,,,75000000.0,6251.0,6250750.0,,,0.001,6250750.0,,34880.0,0.0,0.0,0.0,,,0.0,382.0,,,,0.0,4970.0,1887.0,0.0,,-1887.0,,0.0,-1167.0,,0.0,,,,1350.0,,0.0,106.0,-4864.0,4970.0,,4970.0,,,,600.0,0.0,-2086.0,-1887.0,,-1887.0,-1887.0,,,,,,,,600.0,,,,0.0,,,,-1887.0,,81.0,,,0.0,,,,,-4864.0,,,,,,,,,,,6250750.0,,
