end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableCurrent,AccountsReceivableFairValueDisclosure,AccountsReceivableGrossCurrent,AccountsReceivableNet,AccountsReceivableNetCurrent,AccumulatedAmortizationDeferredFinanceCosts,AdditionalPaidInCapital,AdjustmentsNoncashItemsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivities,AllowanceForLoanAndLeaseLossesAdjustmentsNet,AllowanceForLoanAndLeaseLossesRealEstate,AllowanceForLoanAndLeaseLossesWriteOffs,AllowanceForLoanAndLeaseLossesWriteoffsNet,AllowanceForNotesAndLoansReceivableCurrent,AllowanceForNotesAndLoansReceivableNoncurrent,AmortizationOfDeferredLoanOriginationFeesNet,AmortizationOfFinancingCosts,AmortizationOfFinancingCostsAndDiscounts,AssetManagementFees1,Assets,AssetsCurrent,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsFairValueDisclosure,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,CommitmentsAndContingencies,CommonStockAdditionalSeriesSharesIssued,CommonStockAdditionalSeriesSharesOutstanding,CommonStockDividendsPerShareCashPaid,CommonStockDividendsPerShareDeclared,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,DebtDefaultLongtermDebtAmount,DebtInstrumentFairValue,DebtInstrumentIncreaseDecreaseForPeriodNet,DebtWeightedAverageInterestRate,DeferredFinanceCostAmortizationExpense,DeferredFinanceCostsNet,DeferredFinanceCostsOwnshareLendingArrangementIssuanceCostsNet,DeferredIncomeCurrent,DeferredOfferingCosts,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsProvisionForLoanLosses,DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsReturnsAndAllowances,DepositsMoneyMarketDeposits,Dividends,DividendsCash,DividendsCommonStockCash,DividendsPayable,DividendsPayableCurrent,DueToRelatedPartiesCurrent,EarnestMoneyDeposits,EarningsPerShareBasicAndDiluted,EquitySecuritiesFvNi,FairValueDisclosureOffbalanceSheetRisksFaceAmountLiability,FinancialInstrumentsOwnedCorporateDebtAtFairValue,FinancingReceivableExcludingAccruedInterestAfterAllowanceForCreditLoss,FinancingReceivableModificationsRecordedInvestment,ImpairedFinancingReceivableRecordedInvestment,ImpairedFinancingReceivableWithRelatedAllowanceUnpaidPrincipalBalance,ImpairmentOfRealEstate,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableRelatedParties,IncreaseDecreaseInAccountsReceivable,IncreaseDecreaseInAccruedInterestReceivableNet,IncreaseDecreaseInInterestAndDividendsReceivable,IncreaseDecreaseInLongTermReceivablesCurrent,IncreaseDecreaseInOtherAccountsPayable,IncreaseDecreaseInPrepaidExpense,InterestAndFeeIncomeLoansAndLeases,InterestExpense,InterestIncomeExpenseNet,InterestPaid,InterestReceivable,InterestReceivableCurrent,InventoryRealEstateHeldForSale,InvestmentIncomeNet,Investments,LettersOfCreditOutstandingAmount,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LiabilitiesOfAssetsHeldForSale,LineOfCredit,LineOfCreditFacilityIncreaseDecreaseForPeriodNet,LoanProcessingFee,LoansAndLeasesReceivableImpairedNonperformingNonaccrualOfInterest,LoansAndLeasesReceivableNetReportedAmount,LoansReceivableCommercialMortgage,LoansReceivableFairValueDisclosure,LongTermDebt,LongTermDebtCurrent,LongTermDebtMaturitiesRepaymentsOfPrincipalInNextRollingTwelveMonths,LongTermDebtMaturitiesRepaymentsOfPrincipalInRollingAfterYearFive,LongTermDebtMaturitiesRepaymentsOfPrincipalInRollingYearFour,LongTermDebtMaturitiesRepaymentsOfPrincipalInRollingYearThree,LongTermDebtMaturitiesRepaymentsOfPrincipalInRollingYearTwo,ManagementFeeAmountPaid,ManagementFeePayable,MoneyMarketFundsAtCarryingValue,MortgageLoansInProcessOfForeclosureAmount,MortgageLoansOnRealEstateCarryingAmountOfMortgages,MortgageLoansOnRealEstateNewMortgageLoans,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NetInterestIncomeLossAfterProvisionForLoanLosses,OperatingExpenses,OperatingIncomeLoss,OtherCostAndExpenseOperating,OtherIncome,OtherThanTemporaryImpairmentCreditLossesRecognizedInEarningsCreditLossesOnDebtSecuritiesHeld,PaymentsForRepurchaseOfEquity,PrepaidExpenseAndOtherAssets,PrepaidExpenseCurrent,ProceedsFromLinesOfCredit,ProceedsFromRecoveriesOfLoanPreviouslyChargedOff,ProceedsFromRepaymentsOfFirstMortgageBond,ProceedsFromRepaymentsOfLinesOfCredit,ProceedsFromSaleOfOtherRealEstateHeldforinvestment,ProvisionForLoanAndLeaseLosses,ProvisionForLoanLeaseAndOtherLosses,ProvisionForLoanLossesExpensed,ProvisionForOtherLosses,RealEstateHeldforsale,RealEstateOwnedValuationAllowanceComponent,RealEstateOwnedValuationAllowancePeriodIncreaseDecrease,RealEstateWriteDownOrReserveAmount,RetainedEarningsAccumulatedDeficit,SecuredDebtCurrent,StockholdersEquity,StockRedeemedOrCalledDuringPeriodValue,StockRepurchasedDuringPeriodShares,StockRepurchasedDuringPeriodValue,WeightedAverageNumberDilutedSharesOutstandingAdjustment,WeightedAverageNumberOfDilutedSharesOutstanding,WeightedAverageNumberOfShareOutstandingBasicAndDiluted
2009-12-31,2010-03-31,10-K,AMERICAN CHURCH MORTGAGE COMPANY,ACMC,CIK0000934543,USD,,,,,,,,,,,,,,,,,,,,,67137.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-06-30,2010-08-12,10-Q,AMERICAN CHURCH MORTGAGE COMPANY,ACMC,CIK0000934543,USD,,,,,,,,,,,,,,,,,,,,,433869.0,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,211311.0,,,,0.01,,,,,,,,,,,,,,,,,790994.0,433370.0,357624.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-22477.0,,,-25594.0,202539.0,3117.0,,,,,,,,,,,,,,,,,,,,,,,,2275762.0,,
2010-09-30,2010-11-12,10-Q,AMERICAN CHURCH MORTGAGE COMPANY,ACMC,CIK0000934543,USD,,,,,,,,,,,44947.0,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,,,,,,,,,,,,,,,,,897691.0,443690.0,454001.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,186276.0,,,185934.0,176120.0,342.0,,,,,,,,,,,,,,,,,,,,,,,,2061930.0,,
2011-03-31,2011-05-13,10-Q,AMERICAN CHURCH MORTGAGE COMPANY,ACMC,CIK0000934543,USD,,,,,,,,,45563.0,,,,,,-11725.0,28870.0,,,,,,,145430.0,,,,,,0.11,,,,,,,,,,,,,,,,,,,213437.0,-194311.0,,,,,,0.06,,,,,,,,,40905.0,-22357.0,-18828.0,8952.0,,,,-14428.0,788366.0,455463.0,,426593.0,,,,332903.0,,,,,,,,,,,,,,,,,,,,,,,,,,,-422110.0,402615.0,164925.0,107973.0,287340.0,,107816.0,179524.0,157.0,,,,,,,20848.0,-416000.0,,,,,,,,,,,,,,,-845.0,,,1942279.0
2011-06-30,2011-08-12,10-Q,AMERICAN CHURCH MORTGAGE COMPANY,ACMC,CIK0000934543,USD,445242.0,,109908.0,,,-764525.0,20161514.0,,,,41381.0,,-15157.0,-760220.0,,,,,42573363.0,2678788.0,997187.0,997187.0,,,,1940338.0,1940338.0,,0.11,0.01,30000000.0,,,19403.0,,,,,,847415.0,,,,,86944.0,,,,,,213437.0,213437.0,,,0.02,,,,,,,,,,,,,,,,,831735.0,458498.0,373237.0,,,132080.0,848102.0,373237.0,,,26324679.0,42573363.0,2074679.0,45000.0,900000.0,,,,,,,,,,,,,,,,,,,,,,,33153.0,231856.0,,32989.0,198867.0,164.0,,,22723.0,,,,,,,,,,,,,,,-3932233.0,516000.0,16248684.0,,,,1919016.0,,1919016.0
2011-09-30,2011-11-14,10-Q,AMERICAN CHURCH MORTGAGE COMPANY,ACMC,CIK0000934543,USD,260039.0,,138639.0,,,-793714.0,19733946.0,,,,55955.0,,-16711.0,-814621.0,,,,,42085155.0,2697153.0,,974799.0,,,,,,,0.09,0.01,30000000.0,1833309.0,1833309.0,18333.0,,,,,,,,,,,,142899.0,,,,,,163823.0,,,0.04,,,,,,,,,,,,,,,,,803856.0,463320.0,369725.0,,,135163.0,790082.0,340536.0,,,26355162.0,42085155.0,1796862.0,52300.0,800000.0,,,,,,,,,,,,,,,,,,,,,,,73769.0,284581.0,,62914.0,221667.0,10855.0,,,,11727.0,,,,,,,,,,,,,,-4022286.0,573000.0,15729993.0,,,,1908999.0,,1908999.0
2011-12-31,2012-03-30,10-K,AMERICAN CHURCH MORTGAGE COMPANY,ACMC,CIK0000934543,USD,21200.0,,133683.0,,,-822664.0,19514904.0,,,812809.0,166968.0,,-22381.0,-790428.0,,116741.0,-37459.0,,40995989.0,2554512.0,,611991.0,261652.0,,,,,,0.4,0.01,30000000.0,1778411.0,1778411.0,17784.0,,,,,,854814.0,,,,,,,,160057.0,-785008.0,,,160057.0,,,0.04,,,,,,,1188050.0,,-16164.0,,-21474.0,3451.0,,,,-19025.0,3216459.0,1833943.0,1382516.0,1717161.0,,135990.0,714322.0,,,,25780857.0,40995989.0,1438257.0,57600.0,,,,3137000.0,,,,,,,,,,,-22357.0,,0.0,,29870023.0,-40922.0,-1789943.0,1367951.0,683644.0,79683.0,,,66666.0,715602.0,13017.0,,,,26432.0,,-65988.0,123966.0,-1416000.0,,711829.0,812809.0,166968.0,,,714322.0,,,-4317556.0,1257000.0,15215132.0,,,-662074.0,1898814.0,,
2012-03-31,2012-05-15,10-Q,AMERICAN CHURCH MORTGAGE COMPANY,ACMC,CIK0000934543,USD,24129.0,,161279.0,,,-852673.0,19474357.0,,5459.0,,5459.0,,-12905.0,-570807.0,-8361.0,30009.0,,,42109697.0,3716984.0,,1820356.0,1208365.0,,,,,,0.09,0.01,30000000.0,1768249.0,1768249.0,17682.0,,,,,,880778.0,,,,,,,,159133.0,-160057.0,,,159133.0,,,0.07,,,,,,,,,2929.0,,-27596.0,159.0,,,,8514.0,776087.0,460828.0,315259.0,460828.0,,135831.0,1093352.0,315259.0,,,26968862.0,42109697.0,1548262.0,57600.0,,,,,,,,,,,,,,,,,,,,-27360.0,929321.0,142446.0,136598.0,125485.0,309800.0,,124476.0,185324.0,1009.0,,,,17918.0,,,14911.0,,,,,,,,,,,-4351204.0,1365000.0,15140835.0,,,-40649.0,1773831.0,,1773831.0
2012-06-30,2012-08-14,10-Q,AMERICAN CHURCH MORTGAGE COMPANY,ACMC,CIK0000934543,USD,27560.0,,151193.0,,,-882891.0,19455600.0,,,788479.0,204767.0,,-18172.0,-770307.0,,,,,41221564.0,3789503.0,,1840147.0,,,,,,,0.06,0.01,30000000.0,1763548.0,1763548.0,17635.0,,,,,,863524.0,,,,,210226.0,,,,,,,105813.0,,,-0.35,,,,,,,600106.0,,,,,,,,,,775599.0,474507.0,301092.0,,,134506.0,1093052.0,301092.0,,,26826973.0,41221564.0,1347373.0,57600.0,,,,2016000.0,,,,,,,,,,,,,387000.0,,,,,,,-621627.0,-403675.0,,-621717.0,218042.0,90.0,,,,11095.0,,,,,,,,,,,1093052.0,,,-5078644.0,1214000.0,14394591.0,,,,1766355.0,,1766355.0
2012-09-30,2012-11-14,10-Q,AMERICAN CHURCH MORTGAGE COMPANY,ACMC,CIK0000934543,USD,108241.0,,177765.0,,,-912765.0,19214405.0,,,814292.0,-69832.0,,-60356.0,-753936.0,,,,,40589639.0,3816102.0,,196486.0,,,,,,,0.1,0.01,30000000.0,1703098.0,1703098.0,17031.0,,,,,,836667.0,,,,,,236039.0,,,,,,170310.0,,20000.0,-0.16,,,,,500000.0,,592577.0,,,,,,,,,,777699.0,482956.0,294743.0,,,140449.0,713497.0,294743.0,,,26894151.0,40589639.0,1865551.0,57600.0,,,,2208000.0,,,,,,,,,,,,,3000.0,,28991234.0,,,,,-286994.0,-135425.0,,-287374.0,151949.0,380.0,,,,8878.0,,,,,,,,,,,713497.0,,95645.0,-5535948.0,1587000.0,13695488.0,,,,1749509.0,,1749509.0
