end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesCurrent,AccruedLiabilitiesCurrent,AccruedProfessionalFeesCurrent,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,AccumulatedOtherComprehensiveIncomeLossNetOfTax,AdditionalPaidInCapital,AdditionalPaidInCapitalCommonStock,AdjustmentsToAdditionalPaidInCapitalOther,Assets,AssetsCurrent,AssetsNoncurrent,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsIncludingDisposalGroupAndDiscontinuedOperations,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,CashProvidedByUsedInFinancingActivitiesDiscontinuedOperations,CashProvidedByUsedInInvestingActivitiesDiscontinuedOperations,CashProvidedByUsedInOperatingActivitiesDiscontinuedOperations,ClassOfWarrantOrRightOutstanding,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,ComprehensiveIncomeNetOfTax,CostOfRevenue,DebtInstrumentDecreaseForgiveness,DeferredTaxAssetsGross,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsValuationAllowance,Deposits,Depreciation,DepreciationDepletionAndAmortization,DevelopmentCosts,DisposalGroupIncludingDiscontinuedOperationAssetsNoncurrent,DueToOfficersOrStockholdersCurrent,DueToRelatedPartiesCurrent,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateContinuingOperations,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EffectOfExchangeRateOnCashAndCashEquivalents,EffectOfExchangeRateOnCashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsIncludingDisposalGroupAndDiscontinuedOperations,FederalIncomeTaxExpenseBenefitContinuingOperations,ForeignCurrencyExchangeRateTranslation1,ForeignCurrencyTransactionGainLossBeforeTax,GainOrLossOnSaleOfStockInSubsidiary,GeneralAndAdministrativeExpense,GrossProfit,ImpairmentOfIntangibleAssetsFinitelived,IncomeLossFromContinuingOperations,IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest,IncomeLossFromContinuingOperationsPerBasicAndDilutedShare,IncomeLossFromDiscontinuedOperationsNetOfTax,IncomeTaxExpenseBenefit,IncomeTaxesPaid,IncomeTaxesPaidNet,IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,IncomeTaxReconciliationForeignIncomeTaxRateDifferential,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInDueToOfficersAndStockholders,IncreaseDecreaseInOperatingLeaseLiability,IncreaseDecreaseInOtherCurrentAssets,IncreaseDecreaseInOtherCurrentAssetsAndLiabilitiesNet,IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,IncreaseDecreaseInPrepaidExpense,IncreaseDecreaseInPrepaidExpensesOther,InterestPaid,InterestPaidNet,LesseeOperatingLeaseDiscountRate,LesseeOperatingLeaseLiabilityPaymentsDue,LesseeOperatingLeaseLiabilityPaymentsDueAfterYearFive,LesseeOperatingLeaseLiabilityPaymentsDueNextTwelveMonths,LesseeOperatingLeaseLiabilityPaymentsDueYearFive,LesseeOperatingLeaseLiabilityPaymentsDueYearFour,LesseeOperatingLeaseLiabilityPaymentsDueYearThree,LesseeOperatingLeaseLiabilityPaymentsDueYearTwo,LesseeOperatingLeaseLiabilityPaymentsRemainderOfFiscalYear,LesseeOperatingLeaseLiabilityUndiscountedExcessAmount,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LiabilitiesOfDisposalGroupIncludingDiscontinuedOperationCurrent,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,NetIncomeLoss,NonoperatingIncomeExpense,OperatingExpenses,OperatingIncomeLoss,OperatingLeaseCost,OperatingLeaseExpense,OperatingLeaseLiability,OperatingLeaseLiabilityCurrent,OperatingLeaseLiabilityNoncurrent,OperatingLeasePayments,OperatingLeaseRightOfUseAsset,OperatingLossCarryforwardsValuationAllowance,OtherAccruedLiabilitiesCurrent,OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentBeforeTax,OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax,OtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentTax,OtherComprehensiveIncomeLossNetOfTax,OtherIncome,OtherOperatingIncomeExpenseNet,PaymentsToAcquireOtherProductiveAssets,PaymentsToAcquirePropertyPlantAndEquipment,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValue,PrepaidExpenseAndOtherAssetsCurrent,PrepaidExpenseCurrent,PrepaidExpenseCurrentAndNoncurrent,ProceedsFromContributedCapital,ProceedsFromIssuanceInitialPublicOffering,ProceedsFromIssuanceOfCommonStock,ProceedsFromRelatedPartyDebt,ProfitLoss,PropertyPlantAndEquipmentGross,PropertyPlantAndEquipmentNet,RestrictedCash,RetainedEarningsAccumulatedDeficit,RevenueFromContractWithCustomerExcludingAssessedTax,Revenues,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingNumber,SharesIssuedPricePerShare,StateAndLocalIncomeTaxExpenseBenefitContinuingOperations,StockholdersEquity,StockholdersEquityPeriodIncreaseDecrease,StockIssued1,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodValueConversionOfConvertibleSecurities,StockIssuedDuringPeriodValueNewIssues,WeightedAverageNumberOfShareOutstandingBasicAndDiluted
2018-09-30,2018-11-19,10-Q,"TrueNorth Quantum, Inc.",URYL,CIK0001652842,USD,,15982.0,,1858.0,-426.0,650695.0,,,397012.0,349899.0,,,346674.0,,346674.0,,,,,,0.0001,600000000.0,141965520.0,141965520.0,14197.0,-38727.0,,,,,,725.0,,,,,82957.0,,0.0,,,,,,,-14.0,,39058.0,,,,,-39072.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98939.0,397012.0,98939.0,,,,,,-39072.0,,,-39058.0,,,,,,,,,,,345.0,346.0,-38727.0,,-14.0,,,0.0001,200000000.0,,,,,3225.0,,,,,,,5690.0,3832.0,,-366393.0,,,,,,298073.0,,,,,,141965520.0
2018-12-31,2019-04-09,10-K,"TrueNorth Quantum, Inc.",URYL,CIK0001652842,USD,,27790.0,,2226.0,-460.0,650712.0,,7264.0,308026.0,275861.0,,,261930.0,,261930.0,-186754.0,,,,,0.0001,600000000.0,141965520.0,141965520.0,14197.0,-198198.0,,,93523.0,,93523.0,1931.0,1472.0,1479.0,28697.0,,66355.0,,0.0,,0.24,1105.0,1105.0,,,,,198914.0,,18109.0,,-178973.0,-198477.0,-198478.0,,,,,,,41262.0,,,9194.0,317.0,,,,,11865.0,11865.0,,,,,,,,,,,,,94145.0,308026.0,94145.0,,7743.0,-14042.0,-181560.0,,-198477.0,,,-198914.0,,,,,,,,,,,279.0,,,,437.0,,,0.0001,200000000.0,,,,,13931.0,,7426.0,,,317.0,,5694.0,3468.0,6394.0,-450568.0,,,,,,213881.0,,,,,,141965520.0
2019-03-31,2019-05-09,10-Q,"TrueNorth Quantum, Inc.",URYL,CIK0001652842,USD,,37665.0,,2599.0,-579.0,650712.0,,,280486.0,244670.0,,,231020.0,,231020.0,-30910.0,,,,,0.0001,600000000.0,141965520.0,141965520.0,14197.0,-50306.0,,,,,,4650.0,369.0,369.0,32700.0,,79246.0,,0.0,,,-42.0,-42.0,,,,,50187.0,,,,,-50187.0,,,,,,,,,,,9871.0,,,,,,-290.0,-290.0,,,,,,,,,,,,,116911.0,280486.0,116911.0,,12251.0,-3462.0,-39657.0,,-50187.0,,,-50187.0,,,,,,,,,,,-119.0,-119.0,,,,,,0.0001,200000000.0,,,,,13650.0,,,,,12251.0,,5715.0,3116.0,,-500755.0,,,,,,163575.0,,,,,,141965520.0
2019-06-30,2019-07-30,10-Q,"TrueNorth Quantum, Inc.",URYL,CIK0001652842,USD,,6718.0,,2964.0,-489.0,650712.0,,,182248.0,144009.0,,,129021.0,,129020.0,,,,,,0.0001,600000000.0,141965520.0,141965520.0,14197.0,-66469.0,,,,,,,,,,,78424.0,,0.0,,,,,,,,,66906.0,,,,,-66559.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85142.0,182248.0,85142.0,,,,,,-66559.0,,,-66906.0,,,,,,,,,,,90.0,90.0,,,347.0,,,0.0001,200000000.0,,,,,14988.0,,,,,,,5693.0,2729.0,,-567314.0,,,,,,97106.0,,,,,,141965520.0
2019-09-30,2019-11-12,10-Q,"TrueNorth Quantum, Inc.",URYL,CIK0001652842,USD,,6874.0,,3327.0,-333.0,650712.0,,,134415.0,76203.0,,,62178.0,,62178.0,,,,,,0.0001,600000000.0,141965520.0,141965520.0,14197.0,-67573.0,,,,,,,,,,,78149.0,,0.0,,,,,,,,,67730.0,,,,,-67729.0,,,,,,,,,,,,,,,,,,,,,0.0665,23635.0,,,4297.0,4297.0,4297.0,4297.0,1074.0,3776.0,104882.0,134415.0,88117.0,,,,,,-67729.0,,,-67730.0,,1088.0,19859.0,3094.0,16765.0,,19859.0,,,,156.0,156.0,,,1.0,,,0.0001,200000000.0,,,,,14025.0,,,,,,,5669.0,2342.0,,-635043.0,,,,,,29533.0,,,,,,141965520.0
2019-12-31,2020-03-30,10-K,"TrueNorth Quantum, Inc.",URYL,CIK0001652842,USD,,20698.0,19281.0,3688.0,953.0,789468.0,,,143862.0,84996.0,,,63839.0,,63839.0,-198091.0,,,,,0.0001,600000000.0,141990387.0,141990387.0,14199.0,-260322.0,,,146575.0,,146575.0,,1479.0,3727.0,37297.0,,11284.0,,0.0,,,,43.0,,,,,262161.0,,2367.0,,-249404.0,-261735.0,-261735.0,,,,,,,53052.0,,,-7115.0,,,,,,7218.0,,,,0.0665,23101.0,1101.0,4400.0,4400.0,4400.0,4400.0,4400.0,,3538.0,51545.0,143862.0,35203.0,,84489.0,-10396.0,-272227.0,,-261735.0,,,-262161.0,3262.0,3262.0,19563.0,3221.0,16342.0,3262.0,19563.0,,1151.0,,1413.0,,,,426.0,,,0.0001,200000000.0,,,,,21157.0,,64516.0,,,19973.0,,5694.0,2006.0,,-712303.0,,,,,,92317.0,,74242.0,,74242.0,64516.0,141968041.0
2020-03-31,2020-04-20,10-Q,"TrueNorth Quantum, Inc.",URYL,CIK0001652842,USD,,5204.0,,4125.0,-2301.0,789468.0,,,77563.0,21652.0,,4881.0,4881.0,,4881.0,-55601.0,0.0,-2288.0,-1069.0,,0.0001,600000000.0,141990387.0,141990387.0,14199.0,-51611.0,0.0,,,,,,437.0,323.0,36537.0,,13848.0,,0.0,,,-207.0,-207.0,,,,0.0,47180.0,0.0,,,,-47180.0,,,,-1177.0,0.0,,0.0,,,,-15450.0,,,,,-4348.0,-4348.0,,,0.0,0.0665,20862.0,1044.0,,4172.0,4172.0,4172.0,4172.0,3130.0,3057.0,36857.0,77563.0,22157.0,,2564.0,-2288.0,-57958.0,,-48357.0,0.0,,-47180.0,1008.0,1008.0,17805.0,3105.0,14700.0,1008.0,17805.0,,,-3254.0,-3254.0,,,,,,,0.0001,200000000.0,,,,,16771.0,,,,,2564.0,-47179.0,5694.0,1569.0,,-760660.0,,0.0,,,,40706.0,,,,,,141990387.0
2020-06-30,2020-07-31,10-Q,"TrueNorth Quantum, Inc.",URYL,CIK0001652842,USD,,3515.0,,4418.0,-1903.0,789468.0,,,77187.0,19640.0,,6315.0,6315.0,,6315.0,,,,,,0.0001,600000000.0,141990387.0,141990387.0,14199.0,-23456.0,0.0,,,,,,,,,,39259.0,,0.0,,,,,,,,0.0,22655.0,0.0,,-22655.0,,-23855.0,,-23855.0,,-1199.0,0.0,,,,,,,,,,,,,,,,0.0665,19954.0,,4201.0,1050.0,4201.0,4201.0,4201.0,2100.0,2790.0,59938.0,77187.0,45952.0,,,,,,-23855.0,0.0,22655.0,-22655.0,,,17164.0,3178.0,13986.0,,17164.0,,,398.0,398.0,,,,,,,0.0001,200000000.0,,,,,13325.0,,,,,,,5629.0,1211.0,,-784515.0,,0.0,,,,17249.0,,,,,,464667527.0
2020-09-30,2020-11-13,10-Q,"TrueNorth Quantum, Inc.",URYL,CIK0001652842,USD,,13303.0,,4426.0,-94.0,789468.0,,,60142.0,17904.0,,,7706.0,,7706.0,,,,,,0.0001,600000000.0,141990387.0,141990387.0,14199.0,-16295.0,,,,,,,,,,,45887.0,,0.0,,,,,,,,,17044.0,,,-17044.0,,-18106.0,,,,-1061.0,,,,,,,,,,,,,,,,,,,,,,,,,,,59190.0,60142.0,59190.0,,,,,,-18105.0,,17044.0,-17044.0,,,,,,,,,,1809.0,1810.0,,,,,,,0.0001,200000000.0,,,,,10198.0,,,,,,,5629.0,1203.0,,-802621.0,,0.0,,,,953.0,,,,,,464667527.0
2020-12-31,2021-03-29,10-K,"TrueNorth Quantum, Inc.",URYL,CIK0001652842,USD,31533.0,31533.0,10496.0,4547.0,1477.0,789468.0,,,70178.0,28487.0,,,6731.0,,6731.0,-57108.0,,,,,0.0001,600000000.0,141990387.0,141990387.0,14199.0,-126544.0,,,172640.0,,172640.0,,832.0,2631.0,,41691.0,65928.0,49744.0,0.0,,,,-137.0,,,,,127068.0,,2570.0,,-111673.0,-127068.0,-127068.0,,,,,,,26065.0,,,17435.0,,,,,,587.0,,,,,,,,,,,,,,104405.0,70178.0,104405.0,23128.0,54443.0,-4589.0,-106825.0,,-127068.0,,,-127068.0,,2502.0,,,,,,,1544.0,,524.0,,,,,,,0.0001,200000000.0,0.0,0.0,0.0,21756.0,21756.0,,,,,54443.0,,5743.0,1196.0,,-839371.0,,,,,,-34227.0,,,,,,141990387.0
