end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesCurrent,AccruedLiabilitiesCurrent,AccruedProfessionalFeesCurrent,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,AccumulatedOtherComprehensiveIncomeLossNetOfTax,AdditionalPaidInCapital,AdditionalPaidInCapitalCommonStock,AdjustmentsToAdditionalPaidInCapitalOther,Assets,AssetsCurrent,AssetsNoncurrent,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsIncludingDisposalGroupAndDiscontinuedOperations,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,CashProvidedByUsedInFinancingActivitiesDiscontinuedOperations,CashProvidedByUsedInInvestingActivitiesDiscontinuedOperations,CashProvidedByUsedInOperatingActivitiesDiscontinuedOperations,ClassOfWarrantOrRightOutstanding,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,ComprehensiveIncomeNetOfTax,CostOfRevenue,DebtInstrumentDecreaseForgiveness,DeferredTaxAssetsGross,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsValuationAllowance,Deposits,Depreciation,DepreciationDepletionAndAmortization,DevelopmentCosts,DisposalGroupIncludingDiscontinuedOperationAssetsNoncurrent,DueToOfficersOrStockholdersCurrent,DueToRelatedPartiesCurrent,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateContinuingOperations,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EffectOfExchangeRateOnCashAndCashEquivalents,EffectOfExchangeRateOnCashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsIncludingDisposalGroupAndDiscontinuedOperations,FederalIncomeTaxExpenseBenefitContinuingOperations,ForeignCurrencyExchangeRateTranslation1,ForeignCurrencyTransactionGainLossBeforeTax,GainOrLossOnSaleOfStockInSubsidiary,GeneralAndAdministrativeExpense,GrossProfit,ImpairmentOfIntangibleAssetsFinitelived,IncomeLossFromContinuingOperations,IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest,IncomeLossFromContinuingOperationsPerBasicAndDilutedShare,IncomeLossFromDiscontinuedOperationsNetOfTax,IncomeTaxExpenseBenefit,IncomeTaxesPaid,IncomeTaxesPaidNet,IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,IncomeTaxReconciliationForeignIncomeTaxRateDifferential,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInDueToOfficersAndStockholders,IncreaseDecreaseInOperatingLeaseLiability,IncreaseDecreaseInOtherCurrentAssets,IncreaseDecreaseInOtherCurrentAssetsAndLiabilitiesNet,IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,IncreaseDecreaseInPrepaidExpense,IncreaseDecreaseInPrepaidExpensesOther,InterestPaid,InterestPaidNet,LesseeOperatingLeaseDiscountRate,LesseeOperatingLeaseLiabilityPaymentsDue,LesseeOperatingLeaseLiabilityPaymentsDueAfterYearFive,LesseeOperatingLeaseLiabilityPaymentsDueNextTwelveMonths,LesseeOperatingLeaseLiabilityPaymentsDueYearFive,LesseeOperatingLeaseLiabilityPaymentsDueYearFour,LesseeOperatingLeaseLiabilityPaymentsDueYearThree,LesseeOperatingLeaseLiabilityPaymentsDueYearTwo,LesseeOperatingLeaseLiabilityPaymentsRemainderOfFiscalYear,LesseeOperatingLeaseLiabilityUndiscountedExcessAmount,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LiabilitiesOfDisposalGroupIncludingDiscontinuedOperationCurrent,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,NetIncomeLoss,NonoperatingIncomeExpense,OperatingExpenses,OperatingIncomeLoss,OperatingLeaseCost,OperatingLeaseExpense,OperatingLeaseLiability,OperatingLeaseLiabilityCurrent,OperatingLeaseLiabilityNoncurrent,OperatingLeasePayments,OperatingLeaseRightOfUseAsset,OperatingLossCarryforwardsValuationAllowance,OtherAccruedLiabilitiesCurrent,OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentBeforeTax,OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax,OtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentTax,OtherComprehensiveIncomeLossNetOfTax,OtherIncome,OtherOperatingIncomeExpenseNet,PaymentsToAcquireOtherProductiveAssets,PaymentsToAcquirePropertyPlantAndEquipment,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValue,PrepaidExpenseAndOtherAssetsCurrent,PrepaidExpenseCurrent,PrepaidExpenseCurrentAndNoncurrent,ProceedsFromContributedCapital,ProceedsFromIssuanceInitialPublicOffering,ProceedsFromIssuanceOfCommonStock,ProceedsFromRelatedPartyDebt,ProfitLoss,PropertyPlantAndEquipmentGross,PropertyPlantAndEquipmentNet,RestrictedCash,RetainedEarningsAccumulatedDeficit,RevenueFromContractWithCustomerExcludingAssessedTax,Revenues,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingNumber,SharesIssuedPricePerShare,StateAndLocalIncomeTaxExpenseBenefitContinuingOperations,StockholdersEquity,StockholdersEquityPeriodIncreaseDecrease,StockIssued1,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodValueConversionOfConvertibleSecurities,StockIssuedDuringPeriodValueNewIssues,WeightedAverageNumberOfShareOutstandingBasicAndDiluted
2016-03-31,2016-05-05,10-Q,"TrueNorth Quantum, Inc.",URYL,CIK0001652842,USD,,2000.0,,,,,77984.0,,89177.0,,,,89177.0,-52.0,,,,,,,0.0001,600000000.0,201406000.0,201406000.0,20141.0,,,,,,,,,,,,,,0.0,,,,,-2052.0,,,,2052.0,,,,,-2052.0,,,0.0,,,,,,,,2000.0,,,,,,,,,,,,,,,,,,,,2000.0,89177.0,,,,,-52.0,-52.0,-2052.0,,,,,,,,,,,3832.0,,,,,,,,,,0.0001,200000000.0,,,,,,,,,,,,,,,-10948.0,,,,,,87177.0,,,,,,201406000.0
2016-06-30,2016-07-25,10-Q,"TrueNorth Quantum, Inc.",URYL,CIK0001652842,USD,,2000.0,,,,,156477.0,,164510.0,,,,164510.0,,,,,,,,0.0001,600000000.0,201484500.0,201484500.0,20148.0,,,,,,,,,,,,,,0.0,,,,,,,,,3167.0,,,,,-3167.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000.0,164510.0,,,,,,,-3167.0,,,,,,,,,,,4940.0,,,,,,,,,,0.0001,200000000.0,,,,,,,,,,,,,,,-14115.0,,,,,,162510.0,,,,,,201441368.0
2016-09-30,2016-10-24,10-Q,"TrueNorth Quantum, Inc.",URYL,CIK0001652842,USD,,2150.0,,,,,186494.0,,189875.0,,,,189875.0,,,,,,,,0.0001,600000000.0,201514520.0,201514520.0,20151.0,,,,,,,,,,,,,,0.0,,,,,,,,,4805.0,,,,,-4805.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2150.0,189875.0,,,,,,,-4805.0,,,,,,,,,,,6539.0,,,,,,,,,,0.0001,200000000.0,,,,,,,,,,,,,,,-18920.0,,,,,,187725.0,,,,,,201448957.0
2016-12-31,2017-03-23,10-K,"TrueNorth Quantum, Inc.",URYL,CIK0001652842,USD,,3585.0,,,,637448.0,,,468582.0,468582.0,,,475048.0,379353.0,475048.0,,,,,,0.0001,600000000.0,201965520.0,201965520.0,20197.0,,,,,65551.0,62527.0,,,,,,150.0,,0.0,0.34,,,,-183902.0,,-52.0,,183850.0,,,,,-183902.0,,,,,,,,62527.0,-62527.0,,3585.0,,,,,,,,,,,,,,,,,,,,3735.0,468582.0,3735.0,,559670.0,,-180317.0,,-183902.0,,,-183850.0,,,,,,,,67479.0,,,,,,2.0,,,,0.0001,200000000.0,,,,,,,,559520.0,559520.0,150.0,,,,,-192798.0,,,,,,461960.0,,,559520.0,,559520.0,201550380.0
2017-03-31,2017-05-09,10-Q,"TrueNorth Quantum, Inc.",URYL,CIK0001652842,USD,,2200.0,,,,637448.0,,,461056.0,,,,461056.0,-7526.0,,,,,,,0.0001,600000000.0,201965520.0,201965520.0,20197.0,,,,,,,,,,,,150.0,,0.0,,,,,-6141.0,7.8,-32.0,,6109.0,,,,,-6141.0,,,,,,,,,,,-1385.0,,,,,,,,,,,,,,,,,,,,2350.0,461056.0,,,,,-7526.0,,-6141.0,,,-6109.0,,,,,,,,69629.0,,,,,,,,,,0.0001,200000000.0,,,,,,,,,,,,,,,-198939.0,,,,,,458706.0,-6141.0,,,,,201965520.0
2017-06-30,2017-07-18,10-Q,"TrueNorth Quantum, Inc.",URYL,CIK0001652842,USD,,2000.0,,,,637448.0,,,459779.0,455901.0,3878.0,,454551.0,,,,,,,,0.0001,600000000.0,201965520.0,201965520.0,20197.0,,10000.0,,,,,,,,,,4028.0,,0.0,,,,,,7.8,,,7457.0,2500.0,,,,-4955.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6028.0,459779.0,,,,,,,-4955.0,,,-4955.0,,,,,,,,203894.0,,,,,,2.0,,,,0.0001,200000000.0,,,,,1350.0,1350.0,,,,,,,3878.0,,-203894.0,12500.0,12500.0,,,,453751.0,,,,,,201965520.0
2017-09-30,2017-11-02,10-Q,"TrueNorth Quantum, Inc.",URYL,CIK0001652842,USD,,2000.0,,-323.0,,637448.0,,,452578.0,449023.0,3555.0,,473393.0,,,,,,,,0.0001,600000000.0,201965520.0,201965520.0,20197.0,,,,,,,,,,,,4029.0,,0.0,,,,,,,-21.0,,8126.0,,,,,-8147.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6029.0,452578.0,,,,,,,-8147.0,,,-8126.0,,,,,,,,73884.0,,,-16.0,,-8163.0,4.0,,,,0.0001,200000000.0,,,,,900.0,900.0,,,,,,3878.0,3555.0,,-211096.0,,,,,,446549.0,,,,,,201965520.0
2017-12-31,2018-03-23,10-K,"TrueNorth Quantum, Inc.",URYL,CIK0001652842,USD,,18596.0,,754.0,-739.0,643448.0,,,489449.0,450750.0,,,448684.0,-27714.0,448684.0,-26364.0,,,,,0.0001,600000000.0,141965520.0,141965520.0,14197.0,-57145.0,10000.0,,52261.0,80052.0,52261.0,741.0,749.0,,9328.0,,66038.0,,0.0,0.34,,72.0,,,7.8,-147.0,,58711.0,2500.0,,,-42650.0,-56357.0,-56357.0,,,,,,,14501.0,-14501.0,,14995.0,53746.0,,,,,425.0,2026.0,,,,,,,,,,,,,84634.0,489449.0,84634.0,,53746.0,-37542.0,-42640.0,,-56357.0,,,-56211.0,,,,,,,,,,,-788.0,,,,-147.0,,5631.0,0.0001,200000000.0,,,,,2066.0,,,,,3878.0,,5730.0,4976.0,,-252091.0,12500.0,12500.0,,,,404815.0,,,,,,198677849.0
2018-03-31,2018-05-09,10-Q,"TrueNorth Quantum, Inc.",URYL,CIK0001652842,USD,,11000.0,,969.0,,643448.0,,,392732.0,389823.0,,,380973.0,-59895.0,392790.0,-55894.0,,,,,0.0001,600000000.0,141965520.0,141965520.0,14197.0,-45258.0,,,,,,,371.0,,,,4028.0,,0.0,,,107.0,,,7.8,-36.0,,44544.0,,,,,-44580.0,,,,,,,,,,,-7300.0,,,,,,8425.0,8425.0,,,,,,,,,,,,,15028.0,392732.0,15028.0,,7556.0,-3623.0,-59934.0,,-44580.0,,,-44544.0,,,,,,,,,,,-678.0,-696.0,,,-36.0,,,0.0001,200000000.0,,,,,8850.0,,,,,7556.0,,3878.0,2909.0,,-279941.0,,,,,,359539.0,,,,,,141965520.0
2018-06-30,2018-08-09,10-Q,"TrueNorth Quantum, Inc.",URYL,CIK0001652842,USD,,9300.0,,1293.0,,643448.0,,,360463.0,357878.0,,,352603.0,,379841.0,,,,,,0.0001,600000000.0,141965520.0,141965520.0,14197.0,-29986.0,,,,,,,,,,,4028.0,,0.0,,,,,,7.8,23.0,,30745.0,,,,,-30649.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13328.0,360463.0,13328.0,,,,,,-30649.0,,,-30745.0,,,,,,,,,,,663.0,663.0,,,96.0,,,0.0001,200000000.0,,,,,5275.0,,,,,,,3878.0,2585.0,,-310510.0,,,,,,329553.0,,,,,,141965520.0
