end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsPayableRelatedPartiesCurrent,AccretionExpense,AdditionalPaidInCapital,AdjustmentOfWarrantsGrantedForServices,AdjustmentsToAdditionalPaidInCapitalWarrantIssued,AllocatedShareBasedCompensationExpense,AmortizationOfDebtDiscountPremium,AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,Assets,AssetsCurrent,CapitalUnitsTotalCostToInvestors,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,ClassOfWarrantOrRightNumberOfSecuritiesCalledByWarrantsOrRights,CommercialPaper,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockSharesSubscribedButUnissued,CommonStockValue,CompensatingBalanceAmount,ConvertibleDebtCurrent,ConvertibleNotesPayableCurrent,CostOfGoodsAndServicesSold,CostOfServicesLicensesAndServices,DebtConversionConvertedInstrumentAmount1,DebtConversionConvertedInstrumentSharesIssued1,DebtInstrumentConvertibleBeneficialConversionFeature,DebtInstrumentFaceAmount,DebtInstrumentPeriodicPaymentPrincipal,DebtInstrumentUnamortizedDiscount,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsTaxDeferredExpense,DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsShareBasedCompensationCost,DeferredTaxAssetsValuationAllowance,DepositLiabilitiesAccruedInterest,DepositLiabilityCurrent,DerivativeGainLossOnDerivativeNet,DerivativeLiabilitiesCurrent,DerivativeLossOnDerivative,DueToOtherRelatedPartiesClassifiedCurrent,DueToRelatedPartiesCurrent,DueToRelatedPartiesCurrentAndNoncurrent,EarningsPerShareBasic,EarningsPerShareBasicAndDiluted,EarningsPerShareDiluted,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,FairValueAssumptionsExercisePrice,FairValueAssumptionsExpectedDividendRate,FairValueAssumptionsExpectedVolatilityRate,FairValueAssumptionsRiskFreeInterestRate,GeneralAndAdministrativeExpense,IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,IncomeTaxReconciliationNondeductibleExpense,IncreaseDecreaseInAccountsPayableRelatedParties,IncreaseDecreaseInDerivativeLiabilities,IncreaseDecreaseInOtherAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInPrepaidExpense,InterestExpense,IssuanceOfStockAndWarrantsForServicesOrClaims,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesAssumed1,LiabilitiesCurrent,MarketingAndAdvertisingExpense,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,NetIncomeLoss,NonoperatingIncomeExpense,NotesPayableRelatedPartiesClassifiedCurrent,OperatingExpenses,OperatingIncomeLoss,OperatingLossCarryforwards,OtherGeneralAndAdministrativeExpense,OtherPrepaidExpenseCurrent,OtherResearchAndDevelopmentExpense,PaymentsOfFinancingCosts,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValue,PrepaidExpenseCurrent,PrepaidExpenseCurrentAndNoncurrent,PrepaidExpenseNoncurrent,ProceedsFromConvertibleDebt,ProceedsFromIssuanceOfCommercialPaper,ProceedsFromIssuanceOfCommonStock,ProceedsFromIssuanceOfPreferredStockAndPreferenceStock,ProceedsFromIssuanceOfPrivatePlacement,ProceedsFromLoans,ProceedsFromMinorityShareholders,ProceedsFromRelatedPartyDebt,ProceedsFromShortTermDebt,ProfessionalFees,RelatedPartyTransactionAmountsOfTransaction,ResearchAndDevelopmentExpense,RetainedEarningsAccumulatedDeficit,RoyaltyExpense,SaleOfStockConsiderationReceivedOnTransaction,SaleOfStockConsiderationReceivedPerTransaction,SaleOfStockNumberOfSharesIssuedInTransaction,SaleOfStockPricePerShare,ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsGrantsInPeriodWeightedAverageGrantDateFairValue,ShareBasedCompensationArrangementByShareBasedPaymentAwardNonOptionEquityInstrumentsExercised,ShareBasedCompensationArrangementByShareBasedPaymentAwardNonOptionEquityInstrumentsGranted,ShareBasedCompensationArrangementByShareBasedPaymentAwardNonOptionEquityInstrumentsOutstandingNumber,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisableNumber,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisableWeightedAverageExercisePrice,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsForfeituresInPeriod,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriodGross,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingNumber,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingWeightedAverageExercisePrice,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsVestedAndExpectedToVestOutstandingNumber,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsVestedAndExpectedToVestOutstandingWeightedAverageExercisePrice,ShareBasedCompensationArrangementByShareBasedPaymentAwardSharesIssuedInPeriod,ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsForfeituresInPeriodWeightedAverageExercisePrice,ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsGrantsInPeriodWeightedAverageExercisePrice,SharePrice,SharesIssuedPricePerShare,StockGrantedDuringPeriodValueSharebasedCompensationGross,StockholdersEquity,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodValueIssuedForServices,StockIssuedDuringPeriodValueNewIssues,StockIssuedDuringPeriodValueOther,StockOptionPlanExpense,WeightedAverageNumberOfDilutedSharesOutstanding,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesOutstandingBasic,IncomeTaxesPaid,InterestPaidNet,NetCashProvidedByUsedInInvestingActivities,OfficersCompensation,OtherExpenses,Retains,Revenues
2017-03-31,2017-05-15,10-Q,QRONS INC.,QRON,CIK0001689084,USD,1359.0,,2500.0,329866.0,,,19590.0,2500.0,562000.0,167443.0,167443.0,,167443.0,12201.0,,,0.0001,100000000.0,11544000.0,11544000.0,,1154.0,,,10000.0,,,,,10000.0,10000.0,10000.0,3917.0,58827.0,,-19040.0,39787.0,,2000.0,,,,,,,,0.0,,0.34,0.4,0.0,0.979,0.0147,305.0,,,,,,1072.0,,2700.0,,9442.0,167443.0,,9442.0,,12410.0,,-209.0,,-3781.0,-2700.0,6083.0,1081.0,-1081.0,173021.0,,,,19590.0,0.001,10000.0,2000.0,2000.0,2.0,,,,,,0.4,,32000.0,,2000.0,,,,,776.0,-173021.0,,,,,,,,,,,,,,,,,,,,,0.25,,,158001.0,,,,,,,11528622.0,,,,,,,,
2017-06-30,2017-08-11,10-Q,QRONS INC.,QRON,CIK0001689084,USD,1521.0,,,328907.0,,,,1571.0,,145076.0,145076.0,,141076.0,,,,0.0001,100000000.0,11552000.0,11552000.0,,1155.0,,,10000.0,,,,,,10000.0,,1389.0,66340.0,,-19040.0,47300.0,689.0,,,,,,,,,0.0,,,0.4,,,,15304.0,,,,,,,,2730.0,,10132.0,145076.0,,10132.0,,,,,,-22099.0,-2730.0,8611.0,19369.0,-19369.0,195120.0,,,,,0.001,10000.0,2000.0,2000.0,2.0,4000.0,,,,,,,,,,,,3127.0,,938.0,-195120.0,,,,,,,,,,,,,,,,,,,,,0.25,,,134944.0,,,,,,,11552000.0,,,,,,,,
2017-09-30,2017-11-07,10-Q,QRONS INC.,QRON,CIK0001689084,USD,6346.0,,,328907.0,,,,1571.0,,116468.0,116468.0,,116468.0,,,,0.0001,100000000.0,11552000.0,11552000.0,,1155.0,,182.0,,,,,,,25000.0,,24818.0,99646.0,,-19040.0,64302.0,,,-47954.0,72954.0,,,,,,0.0,,,,,,,31643.0,,,,,,,,1785.0,,79482.0,116468.0,,79482.0,,,,,,-97958.0,-49739.0,,48219.0,-48219.0,248104.0,,,,,0.001,10000.0,2000.0,2000.0,2.0,,,,,,,,,,,,,8170.0,,8406.0,-293078.0,,,,,0.25,,,,,,,,,,,,,,,,,,,36986.0,,,,,,,11552000.0,,,,,,,,
2017-12-31,2018-03-02,10-K,QRONS INC.,QRON,CIK0001689084,USD,14141.0,1410.0,13082.0,1611711.0,,,812000.0,13082.0,1405711.0,73579.0,73579.0,,57767.0,-97475.0,,,0.0001,100000000.0,12404910.0,12404910.0,128000.0,1240.0,17250.0,6665.0,,1438.0,1438.0,25000.0,,,25000.0,,18335.0,333880.0,22000.0,210600.0,100000.0,,,-6090.0,31090.0,6090.0,,,,,-0.12,,0.21,,0.0,,,200939.0,-100000.0,298900.0,-198900.0,1410.0,6090.0,13854.0,15812.0,14205.0,335860.0,53306.0,73579.0,,53306.0,28481.0,24452.0,,-121927.0,,-1423440.0,-20295.0,,1403145.0,-1403145.0,1589930.0,106029.0,,,22548.0,0.001,10000.0,2000.0,2000.0,2.0,15812.0,15812.0,,15000.0,,,,32000.0,,,,,22429.0,,1179777.0,-1592680.0,,,,,,2.36,512000.0,64000.0,54000.0,13334.0,2.0,,670000.0,670000.0,1.93,656666.0,1.89,290000.0,,1.93,,,812000.0,20273.0,,106029.0,32000.0,,812000.0,,11657791.0,,,,,,,,
2018-03-31,2018-05-09,10-Q,QRONS INC.,QRON,CIK0001689084,USD,25986.0,1906.0,6362.0,2521083.0,,,28000.0,6362.0,1421480.0,506201.0,506201.0,,474308.0,416541.0,,,0.0001,100000000.0,12729125.0,12729125.0,,1273.0,17250.0,13027.0,,12055.0,,,,,25000.0,,11973.0,,,,,,,2016.0,29074.0,2016.0,,,,,-0.04,,,,0.0,,0.0193,398064.0,,,,496.0,-2016.0,11845.0,16081.0,6858.0,,69993.0,506201.0,,69993.0,33000.0,500000.0,,-83459.0,,-493470.0,-4842.0,,488628.0,-488628.0,,,17150.0,,,0.001,10000.0,2000.0,2000.0,2.0,31893.0,23391.0,3430.0,,,,,500000.0,,,,,21180.0,,69384.0,-2086150.0,,,,,,2.36,,,,13334.0,2.0,,,670000.0,1.93,656666.0,1.89,10000.0,,,,,28000.0,436208.0,,,500000.0,,27975.0,,12639078.0,,,,,,,,
2018-06-30,2018-08-02,10-Q,QRONS INC.,QRON,CIK0001689084,USD,19910.0,2408.0,,3071269.0,,,,5541.0,,367062.0,367062.0,,338895.0,,,,0.0001,100000000.0,12804125.0,12804125.0,,1280.0,17250.0,19459.0,,,,,,,25000.0,,5541.0,,,,,,,1547.0,27527.0,,,,,,-0.05,,,,,,,534555.0,,,,,,,,6933.0,,69304.0,367062.0,,69304.0,7925.0,,,,,-688643.0,-5386.0,,683257.0,-683257.0,,,6860.0,,,0.001,10000.0,2000.0,2000.0,2.0,28167.0,15812.0,13720.0,,,,,,,,,,7969.0,,140733.0,-2774793.0,,,,,,,,,,23334.0,2.0,,,700000.0,1.93,676666.0,1.93,,,,,,,297758.0,,150000.0,,,,,12785169.0,,,,,,,,
2018-09-30,2018-11-06,10-Q,QRONS INC.,QRON,CIK0001689084,USD,14267.0,2915.0,,3497774.0,,,,,,253613.0,253613.0,,198622.0,,,,0.0001,100000000.0,12826853.0,12826853.0,,1283.0,,25000.0,,,,,,,25000.0,,,,,,,,,-2979.0,30506.0,,,,,,-0.04,,,,,,,377545.0,,,,,,,,6048.0,,72688.0,253613.0,,72688.0,7907.0,,,,,-543341.0,-9027.0,,534314.0,-534314.0,,,,,,0.001,10000.0,2000.0,2000.0,2.0,54991.0,,,,,,,,,,,,6300.0,,150469.0,-3318134.0,,,,,,,,,,30000.0,2.0,,,720000.0,1.93,690000.0,1.93,,,,,,,180925.0,,,25000.0,,,,12807584.0,,,,,,,,
2018-12-31,2019-03-25,10-K,QRONS INC.,QRON,CIK0001689084,USD,23324.0,3421.0,18335.0,5629694.0,,,28000.0,18335.0,2081734.0,195847.0,195847.0,,143862.0,86095.0,2000.0,,0.0001,100000000.0,12872309.0,12872309.0,,1287.0,,25000.0,,68081.0,,,,,25000.0,,,1137380.0,,933600.0,201300.0,,,-5737.0,36827.0,5737.0,,,,,-0.31,,0.21,,,,,2941092.0,-101300.0,825500.0,-724200.0,2011.0,5737.0,9183.0,36173.0,20346.0,150000.0,88572.0,195847.0,,88572.0,56879.0,575000.0,,-488905.0,,-3931028.0,-26083.0,,3904945.0,-3904945.0,,,,,,0.001,10000.0,2000.0,2000.0,2.0,51985.0,16531.0,,,,,,575000.0,,,,,44147.0,380684.0,919706.0,-5523708.0,,,,,,2.19,2000.0,,52000.0,1486670.0,1.98,,945000.0,1615000.0,1.97,128330.0,1.81,10000.0,,2.0,,,28000.0,107275.0,,150000.0,575000.0,,592019.0,,12770845.0,,,,,,,,
2019-03-31,2019-05-14,10-Q,QRONS INC.,QRON,CIK0001689084,USD,38416.0,3917.0,,5752629.0,,,37500.0,,2104164.0,70367.0,70367.0,,48760.0,-95102.0,,,0.0001,100000000.0,12942309.0,12942309.0,,1294.0,,25000.0,,8625.0,,,,,25000.0,,,,,,,,,2549.0,34278.0,-2549.0,,,,,-0.02,,,,,,,82774.0,,,,496.0,-2549.0,15092.0,-30378.0,496.0,,101611.0,70367.0,,101611.0,48387.0,40000.0,,-135102.0,,-261461.0,2053.0,,263514.0,-263514.0,,,,,,0.001,10000.0,2000.0,2000.0,2.0,21607.0,12218.0,,,,,,40000.0,470000.0,,,,15586.0,,165154.0,-5785169.0,,,,,,1.94,,,52000.0,1486670.0,1.98,,,1615000.0,1.97,128330.0,1.81,30000.0,,,,,37500.0,-31244.0,,,40000.0,,45442.0,,12910865.0,,,,,,,,
2019-06-30,2019-08-14,10-Q,QRONS INC.,QRON,CIK0001689084,USD,41578.0,5065.0,,5820117.0,,,,,,91591.0,91591.0,,66705.0,,,100000.0,0.0001,100000000.0,12967309.0,12967309.0,,1297.0,,25000.0,,9343.0,,,,,25000.0,,,,,,,,,-17006.0,51284.0,,,50000.0,,,-0.02,,,,,,,33143.0,,,,,,,,1420.0,,272927.0,91591.0,,272927.0,19203.0,,,,,-217583.0,-18426.0,,199157.0,-199157.0,,,,,,0.001,10000.0,2000.0,2000.0,2.0,24886.0,15813.0,,,,,,,,,,,27640.0,,138374.0,-6002752.0,,,,,,,,,52000.0,1496670.0,1.98,,,1615000.0,1.97,118330.0,1.8,,,,,,,-181336.0,,,25000.0,,,,12966485.0,,,,,,,,
