end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableCurrent,AccountsReceivableNetCurrent,AccrualForTaxesOtherThanIncomeTaxesCurrent,AccruedIncomeTaxesCurrent,AccruedLiabilitiesCurrent,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,AdditionalPaidInCapital,AdditionalPaidInCapitalCommonStock,AdditionsToNoncurrentAssets,AllowanceForDoubtfulAccountsReceivableCurrent,Assets,AssetsCurrent,BuildingsAndImprovementsGross,CapitalExpendituresIncurredButNotYetPaid,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashDividends,CashEquivalentsAtCarryingValue,CertificatesOfDepositAtCarryingValue,ClassOfWarrantOrRightExercisePriceOfWarrantsOrRights1,CommonStockDividendsPerShareDeclared,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValueOutstanding,ContractWithCustomerLiabilityRevenueRecognized,CostOfGoodsSold,CostOfRevenue,CurrentStateAndLocalTaxExpenseBenefit,CustomerAdvancesAndDepositsCurrent,DeferredIncomeTaxExpenseBenefit,DeferredTaxAssetsInventory,DeferredTaxAssetsLiabilitiesNet,DeferredTaxAssetsNetCurrent,DeferredTaxAssetsOther,DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsCompensatedAbsences,DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsEmployeeCompensation,DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsAllowanceForDoubtfulAccounts,DeferredTaxAssetsValuationAllowance,DeferredTaxLiabilitiesNoncurrent,DeferredTaxLiabilitiesPropertyPlantAndEquipment,DefinedContributionPlanEmployerDiscretionaryContributionAmount,Depreciation,DepreciationAndAmortization,Dividends,DividendsCash,DividendsCommonStock,DividendsCommonStockCash,DividendsPayableAmountPerShare,DividendsPayableCurrent,EffectiveIncomeTaxRateContinuingOperations,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EffectiveIncomeTaxRateReconciliationChangeInEnactedTaxRate,EffectiveIncomeTaxRateReconciliationDeductionsOther,EffectiveIncomeTaxRateReconciliationOtherAdjustments,EffectiveIncomeTaxRateReconciliationStateAndLocalIncomeTaxes,EmployeeRelatedLiabilitiesCurrent,FederalIncomeTaxExpenseBenefitContinuingOperations,GainLossOnDispositionOfAssets,GainLossOnDispositionOfProperty,GrossProfit,IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,IncomeLossFromContinuingOperationsPerBasicAndDilutedShare,IncomeLossFromContinuingOperationsPerBasicShare,IncomeTaxExpenseBenefit,IncomeTaxExpenseBenefitContinuingOperations,IncomeTaxesPaid,IncomeTaxReconciliationChangeInEnactedTaxRate,IncomeTaxReconciliationDeductionsOther,IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,IncomeTaxReconciliationOtherAdjustments,IncomeTaxReconciliationStateAndLocalIncomeTaxes,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsReceivable,IncreaseDecreaseInCustomerAdvancesAndDeposits,IncreaseDecreaseInEmployeeRelatedLiabilities,IncreaseDecreaseInInventories,IncreaseDecreaseInOtherAccruedLiabilities,IncreaseDecreaseInOtherOperatingAssets,InterestAndOtherIncome,InventoryFinishedGoods,InventoryGross,InventoryNet,InventoryRawMaterials,InventoryValuationReserves,InventoryWorkInProcess,InvestmentIncomeInterest,Land,LandAndLandImprovements,LandImprovements,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LiabilityForUncertainTaxPositionsCurrent,MachineryAndEquipmentGross,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,OperatingIncomeLoss,OperatingLeasesRentExpenseNet,OtherAccruedLiabilitiesCurrent,OtherAssets,OtherAssetsCurrent,OtherEmployeeRelatedLiabilitiesCurrent,OtherNonoperatingIncome,OtherNonoperatingIncomeExpense,PaymentsOfDividendsCommonStock,PaymentsToAcquireHeldToMaturitySecurities,PaymentsToAcquireProductiveAssets,PaymentsToAcquirePropertyPlantAndEquipment,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesOutstanding,PreferredStockValue,PrepaidTaxes,ProceedsFromIncomeTaxRefunds,ProceedsFromMaturitiesPrepaymentsAndCallsOfHeldToMaturitySecurities,ProceedsFromSaleOfPropertyPlantAndEquipment,ProfitLoss,PropertyPlantAndEquipmentGross,PropertyPlantAndEquipmentNet,PropertyPlantAndEquipmentOther,PropertyPlantAndEquipmentOtherNet,RetainedEarningsAccumulatedDeficit,RevenueFromContractWithCustomerExcludingAssessedTax,RevenueFromContractWithCustomerIncludingAssessedTax,RevenueRemainingPerformanceObligation,Revenues,SalesRevenueNet,SellingExpense,SellingGeneralAndAdministrativeExpense,StockholdersEquity,TreasuryStockShares,TreasuryStockValue,UnrecognizedTaxBenefitsIncomeTaxPenaltiesAndInterestExpense,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesOutstandingBasic
2009-12-31,2010-03-23,10-K,CHICAGO RIVET & MACHINE CO,CVR,CIK0000019871,USD,,,,,,,,,,,,,,,569286.0,,,569286.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23498982.0,,,,,,,,,,,,,
2010-06-30,2010-08-06,10-Q,CHICAGO RIVET & MACHINE CO,CVR,CIK0000019871,USD,,,,,,,,,,,,,,,779163.0,,,,,,0.1,,,,,,,6028069.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6500.0,1910464.0,612060.0,,0.43,192000.0,,,,,,,,,,,,,,,,,,,,,,13119.0,,,,,,,,,,,,420060.0,588263.0,,,,,,4178.0,,,,,,,,,,,,,,,,,,,23759684.0,,,,,7938533.0,,1322201.0,,,,,,966132.0
2010-09-30,2010-11-05,10-Q,CHICAGO RIVET & MACHINE CO,CVR,CIK0000019871,USD,,,,,,,,,,,,,,,,,,1248833.0,,,0.1,,,,,,,5672520.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1277754.0,154993.0,,0.11,49000.0,,,,,,,,,,,,,,,,,,,,,,12754.0,,,,,,,,,,,,105993.0,138639.0,,,,,,3600.0,,,,,,,,,,,,,,,,,,,23769064.0,,,,,6950274.0,,1139115.0,,,,,,966132.0
2010-12-31,2011-03-28,10-K,CHICAGO RIVET & MACHINE CO,CVR,CIK0000019871,USD,748781.0,4017081.0,,,312123.0,28145698.0,,447134.0,,,23658845.0,16179967.0,6354014.0,12028.0,725524.0,156238.0,,725524.0,6380000.0,,,,,,,1138096.0,,22886772.0,,,84698.0,46000.0,,,394191.0,,,,,,745275.0,,,,1000354.0,,,,-405775.0,,,,,,,,,405604.0,,6651.0,,5633738.0,894025.0,,0.63,288000.0,,-264856.0,,,,,,-285994.0,-203418.0,-17548.0,35176.0,-556218.0,76862.0,471503.0,,,,4310154.0,,,,,936312.0,,314563.0,2296481.0,23658845.0,1551206.0,,28019687.0,-405775.0,-617380.0,1179393.0,606025.0,832097.0,,,,353017.0,,61928.0,,-405775.0,-8471000.0,-675080.0,,,,,,72249.0,,8521000.0,7700.0,,35624576.0,7478878.0,,,23699232.0,,,,,28520510.0,,4801641.0,21362364.0,,-3922098.0,,,
2011-03-31,2011-05-09,10-Q,CHICAGO RIVET & MACHINE CO,CVR,CIK0000019871,USD,,,,,,,,,,,,,,63366.0,591993.0,-133531.0,,,,,0.12,,,,,,,6369860.0,,,,-31000.0,,,,,,,,,,,,243244.0,,,-115936.0,,,,,,,,,,,,,-1990.0,1990.0,1444508.0,177022.0,,0.12,60000.0,,,,,,,,749714.0,-1035849.0,-19681.0,168693.0,-490373.0,-61107.0,30656.0,,,,,,,,11929.0,,,,,,,,,-115936.0,313076.0,-330671.0,117022.0,159503.0,,,,,,3600.0,,-115936.0,-298000.0,-240914.0,,,,,,,,850000.0,1990.0,,,,,,23700318.0,,,,,7814368.0,,1285005.0,,,,,,966132.0
2011-06-30,2011-08-09,10-Q,CHICAGO RIVET & MACHINE CO,CVR,CIK0000019871,USD,1008502.0,5046474.0,,,368520.0,27865877.0,,447134.0,,,24611255.0,17106975.0,6021895.0,,1265387.0,,,,5220000.0,,0.12,,,,,1138096.0,,6205420.0,,,94742.0,,,,388191.0,,,,,,685275.0,,,,,,,,,,,,,,,,,619181.0,,,187073.0,1928684.0,872521.0,,0.61,285000.0,,,,,,,,,,,,,,,,,,4895737.0,,,,11089.0,923587.0,,314563.0,2776220.0,24611255.0,2090945.0,,28110112.0,,,,587521.0,670181.0,,,,291186.0,,4178.0,,,,,,,,,,,,,,,35370157.0,7504280.0,,,24171903.0,,,,,8134104.0,,1258503.0,21835035.0,,-3922098.0,,,966132.0
2011-09-30,2011-11-08,10-Q,CHICAGO RIVET & MACHINE CO,CVR,CIK0000019871,USD,1105464.0,5335805.0,,,477061.0,28084871.0,,447134.0,,,25199804.0,17663866.0,6052385.0,,409452.0,,,409452.0,6320000.0,,0.12,,,,,1138096.0,,6075288.0,,,98613.0,,,,391191.0,,,,,,687275.0,,,,,,,,,,,,,,,,,794651.0,,,800.0,1746318.0,471640.0,,0.33,154000.0,,,,,,,,,,,,,,,,,,4828937.0,,,,9794.0,923587.0,,314563.0,3163064.0,25199804.0,2475789.0,,28330274.0,,,,317640.0,457446.0,,,,378481.0,,3600.0,,,,,,,,,,,,,,,35620809.0,7535938.0,,,24373608.0,,,,,7821606.0,,1288872.0,22036740.0,,-3922098.0,,,966132.0
2011-12-31,2012-03-28,10-K,CHICAGO RIVET & MACHINE CO,CVR,CIK0000019871,USD,968266.0,4398426.0,109313.0,,453594.0,28298066.0,,447134.0,1611789.0,,24858264.0,16962739.0,6169545.0,89250.0,704345.0,-21179.0,-492728.0,,5880000.0,,0.51,,,,,1138096.0,,24265598.0,,12000.0,151652.0,14000.0,285516.0,-365084.0,420191.0,-1370.0,,88045.0,48000.0,,785275.0,-785275.0,182000.0,971496.0,971496.0,,,,-492728.0,,,0.327,0.34,,-0.017,,0.004,374964.0,585000.0,-192544.0,192544.0,6649524.0,1865877.0,,1.3,611000.0,611000.0,490846.0,,-31000.0,634000.0,,8000.0,130235.0,-381345.0,66954.0,-30640.0,-901886.0,141471.0,5280.0,249804.0,1760640.0,5761040.0,5212040.0,2016032.0,549000.0,1984368.0,42282.0,923587.0,,314563.0,2733751.0,24858264.0,1948476.0,,28785896.0,-492728.0,-606349.0,1077898.0,1254877.0,1616073.0,42000.0,162281.0,7352273.0,347737.0,182000.0,14978.0,249804.0,-492728.0,-5130000.0,-1522539.0,,,,,,,,5630000.0,416190.0,3622033.0,36193591.0,7895525.0,,,24461381.0,,,,,30915122.0,-2005960.0,5033451.0,22124513.0,,-3922098.0,,,966132.0
2012-03-31,2012-05-04,10-Q,CHICAGO RIVET & MACHINE CO,CVR,CIK0000019871,USD,1285172.0,6210192.0,,,531989.0,28526667.0,,447134.0,136765.0,,25804299.0,18016005.0,6169545.0,34609.0,199867.0,-504478.0,-144920.0,,5798000.0,,0.15,,,,,1138096.0,,7122029.0,,,90103.0,-14000.0,,,419191.0,,,,,,770275.0,,,243996.0,,,-144920.0,,,,,,,,,,,653433.0,,-30000.0,30000.0,2078289.0,729734.0,,0.51,236000.0,,,,,,,,282297.0,-1811766.0,-61549.0,278469.0,146594.0,78395.0,24428.0,8852.0,,,5065446.0,,,,8852.0,923587.0,,314563.0,3330972.0,25804299.0,2560697.0,,28907266.0,-144920.0,9844.0,-369402.0,493734.0,686691.0,,,6740367.0,323309.0,,4191.0,,-144920.0,-1065000.0,-102156.0,,,,,,,,1147000.0,30000.0,1251768.0,36314961.0,7788294.0,,,24810195.0,,,,,9200318.0,-560886.0,1391598.0,22473327.0,,-3922098.0,,,966132.0
2012-06-30,2012-08-10,10-Q,CHICAGO RIVET & MACHINE CO,CVR,CIK0000019871,USD,1349036.0,5420892.0,,,399270.0,28710314.0,,447134.0,376641.0,,26018920.0,18102275.0,6188535.0,,602336.0,,,,6187000.0,,0.15,,,,,1138096.0,,6533152.0,,,49162.0,,,,419191.0,,,,,,758275.0,,,248290.0,,,,,,,,,,,,,,694337.0,,27500.0,27500.0,1896049.0,655432.0,,0.46,215000.0,,,,,,,,,,,,,,,7833.0,1868018.0,5802478.0,5227478.0,1969458.0,-575000.0,1965002.0,7833.0,923587.0,,314563.0,3250080.0,26018920.0,2491805.0,,29200274.0,,,,440432.0,616011.0,,,7453905.0,245378.0,,4088.0,,,,,,,,,,,,,,1113804.0,36626959.0,7916645.0,,,25105708.0,,,,,8429201.0,-493705.0,1280038.0,22768840.0,,-3922098.0,,,966132.0
