end,filed,form,Name,Ticker,CIK,Currency,AccountsPayable,AccountsPayableCurrent,AccountsPayableCurrentAndNoncurrent,AccruedLiabilitiesCurrent,AdditionalPaidInCapital,AdjustmentsToAdditionalPaidInCapitalConvertibleDebtWithConversionFeature,AmortizationOfDebtDiscountPremium,Assets,AssetsCurrent,AssetsNet,AssetsNoncurrent,BankOverdrafts,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashEquivalentsAtCarryingValue,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,ConversionOfStockAmountConverted1,ConvertibleDebt,ConvertibleDebtCurrent,ConvertibleNotesPayable,CostsAndExpenses,CurrentIncomeTaxExpenseBenefit,DebtInstrumentConvertibleBeneficialConversionFeature,DebtInstrumentInterestRateAtPeriodEnd,DebtInstrumentUnamortizedDiscount,DeferredIncomeTaxExpenseBenefit,DeferredOtherTaxExpenseBenefit,DeferredTaxAssetsLiabilitiesNet,DeferredTaxAssetsNet,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsTaxDeferredExpense,DeferredTaxAssetsValuationAllowance,DepositLiabilitiesAccruedInterest,Depreciation,DerivativeLiabilitiesCurrent,DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,DueFromRelatedPartiesCurrent,DueToRelatedPartiesCurrent,EarningsPerShareBasic,EarningsPerShareBasicAndDiluted,EarningsPerShareDiluted,GainLossOnSaleOfPropertiesBeforeApplicableIncomeTaxes,GainsLossesOnExtinguishmentOfDebt,GeneralAndAdministrativeExpense,IncomeLossBeforeExtraordinaryItemsAndCumulativeEffectOfChangeInAccountingPrinciple,IncomeLossFromContinuingOperations,IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeLossFromContinuingOperationsBeforeInterestExpenseInterestIncomeIncomeTaxesExtraordinaryItemsNoncontrollingInterestsNet,IncomeLossFromContinuingOperationsPerBasicAndDilutedShare,IncomeLossFromContinuingOperationsPerBasicShare,IncomeTaxExpenseBenefit,IncomeTaxesPaid,IncomeTaxesPaidNet,IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,IncomeTaxReconciliationChangeInEnactedTaxRate,IncomeTaxReconciliationDeductions,IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableRelatedParties,IncreaseDecreaseInAccountsPayableTrade,IncreaseDecreaseInAccruedInterestReceivableNet,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInBookOverdrafts,IncreaseDecreaseInDueToOtherRelatedPartiesCurrent,IncreaseDecreaseInDueToRelatedParties,IncreaseDecreaseInInterestAndDividendsReceivable,IncreaseDecreaseInInterestPayableNet,IncreaseDecreaseInNotesReceivables,IncreaseDecreaseInOperatingAssets,IncreaseDecreaseInOperatingCapital,IncreaseDecreaseInOtherAccruedLiabilities,IncreaseDecreaseInPrepaidExpense,InterestExpense,InterestPaid,InterestPaidNet,InterestPayableCurrent,InterestReceivable,InterestRevenueExpense,InvestmentIncomeInterest,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,MachineryAndEquipmentGross,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NetIncomeLossAttributableToParentDiluted,NetIncomeLossAvailableToCommonStockholdersBasic,NonoperatingIncomeExpense,NotesAssumed1,NotesPayable,NotesPayableCurrent,NotesPayableRelatedPartiesClassifiedCurrent,NotesPayableRelatedPartiesCurrentAndNoncurrent,NotesReceivableNet,OperatingExpenses,OperatingIncomeLoss,OperatingLossCarryforwards,OtherNoncashExpense,OtherNoncashIncomeExpense,OtherNonoperatingIncomeExpense,OtherNotesPayable,PartnersCapitalAccountContributions,PaymentsForRepurchaseOfCommonStock,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValue,PrepaidExpenseCurrent,PrepaidExpenseCurrentAndNoncurrent,ProceedsFromBankDebt,ProceedsFromCollectionOfLongtermLoansToRelatedParties,ProceedsFromCollectionOfNotesReceivable,ProceedsFromContributedCapital,ProceedsFromContributionsFromAffiliates,ProceedsFromConvertibleDebt,ProceedsFromInsuranceSettlementInvestingActivities,ProceedsFromIssuanceOfCommonStock,ProceedsFromNotesPayable,ProceedsFromRelatedPartyDebt,ProceedsFromRepaymentsOfBankOverdrafts,ProceedsFromRepaymentsOfNotesPayable,ProceedsFromRepaymentsOfOtherLongTermDebt,ProceedsFromRepaymentsOfRelatedPartyDebt,ProceedsFromSaleOfNotesReceivable,ProceedsFromUnsecuredNotesPayable,ProFormaWeightedAverageSharesOutstandingDiluted,ProfitLoss,RelatedPartyDepositLiabilities,RelatedPartyTaxExpenseDueFromAffiliatesCurrent,RelatedPartyTransactionDueFromToRelatedPartyCurrent,RepaymentsOfConvertibleDebt,RepaymentsOfNotesPayable,RepaymentsOfRelatedPartyDebt,RetainedEarningsAccumulatedDeficit,Revenues,SaleOfStockPricePerShare,SharesIssued,StandardizedMeasureOfDiscountedFutureNetCashFlowOfProvedOilAndGasReservesPeriodIncreaseDecrease,StockholdersEquity,StockRepurchasedAndRetiredDuringPeriodValue,TransferOfInvestments,TreasuryStockValue,ValuationAllowanceAmount,WeightedAverageNumberDilutedSharesOutstandingAdjustment,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesIssuedBasic,WeightedAverageNumberOfSharesOutstandingBasic
2009-12-31,2010-03-29,10-K,"BIOETHICS, LTD.",BOTH,CIK0000894560,USD,,,,,,,,,,,,,,3257.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-06-30,2010-08-11,10-Q,"BIOETHICS, LTD.",BOTH,CIK0000894560,USD,,,,,,,,,,,,,,17268.0,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,0.0,,,-3639.0,,3265.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-374.0,,,,,-3265.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3639.0,,,,,,,,0.0,,,,,,,,,,,,
2010-09-30,2010-11-01,10-Q,"BIOETHICS, LTD.",BOTH,CIK0000894560,USD,,,,,,,,,,,,,,8143.0,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,0.0,,,-3293.0,,2915.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-378.0,,,,,-2915.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3293.0,,,,,,,,0.0,,,,,,,,,,,,
2010-12-31,2011-03-29,10-K,"BIOETHICS, LTD.",BOTH,CIK0000894560,USD,0.0,0.0,,,92776.0,,,4463.0,4463.0,,,,4463.0,4463.0,1206.0,,0.001,25000000.0,11000000.0,11000000.0,11000.0,,,,,,0.0,,,,0.0,,,,,,,,,,-125743.0,,,0.0,,,,,15370.0,,,,-16800.0,,,,,,0.0,,,,,-8424.0,,,,,,,,,1430.0,,,,,,-1430.0,0.0,,1430.0,,,,26430.0,4463.0,26430.0,,25000.0,0.0,-23794.0,-16800.0,,,,,,,25000.0,,,,-15370.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,25000.0,,,,,,,,,-16800.0,,,,,,,,0.0,,,,-21967.0,,,,,,,,
2011-03-31,2011-05-13,10-Q,"BIOETHICS, LTD.",BOTH,CIK0000894560,USD,,,,,,,,,,,,,,3358.0,-1105.0,,0.001,25000000.0,11000000.0,11000000.0,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,0.0,,,,,6305.0,,,,-6675.0,,,,,,0.0,,,,,5200.0,,,,,,,,,370.0,,,,,,-370.0,0.0,,,,,,,,,,0.0,0.0,-1105.0,-6675.0,,,,,,,,,,,-6305.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,,,,,,,,,-6675.0,,,,,,,,0.0,,,,,,,,,,,,
2011-06-30,2011-08-15,10-Q,"BIOETHICS, LTD.",BOTH,CIK0000894560,USD,3005.0,,,,,,,22983.0,22983.0,,,,22983.0,22983.0,,,,,,,11000.0,,,,,,0.0,,0.06,,,0.0,,,,,,,,,-136015.0,,20000.0,0.0,,,-3597.0,,3180.0,,,,-3597.0,,,,,,,,,,,,,,,,,,,,,,,,,,-417.0,,,2217.0,,-3180.0,,55222.0,22983.0,55222.0,,,,,,,,,,,,50000.0,,,,-3180.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3597.0,,,,,,,,0.0,,,,-32239.0,,,,,,,,
2011-09-30,2011-11-08,10-Q,"BIOETHICS, LTD.",BOTH,CIK0000894560,USD,,0.0,,,,,,12522.0,12522.0,,,,12522.0,12522.0,,,0.001,25000000.0,11000000.0,11000000.0,11000.0,,,,,,0.0,,,,0.0,0.0,,,,,,,,,-144228.0,,,0.0,,,-8213.0,,7457.0,,,,-8213.0,,,,,,,,,,,,,,,,,,,,,,,,,,-756.0,,,2974.0,,-7457.0,,52974.0,12522.0,52974.0,,,,,-8213.0,,-8213.0,,,,,50000.0,,,,-7457.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8213.0,,,,,,,,0.0,,,,-40452.0,,,,,,,,11000000.0
2011-12-31,2012-03-30,10-K,"BIOETHICS, LTD.",BOTH,CIK0000894560,USD,0.0,0.0,,,92776.0,,,6989.0,6989.0,,,0.0,6989.0,6989.0,2526.0,,0.001,25000000.0,11000000.0,11000000.0,11000.0,,,,,,0.0,,,,0.0,,,0.0,,,,,,,-150517.0,,50000.0,0.0,,,-24774.0,,22474.0,,,,-24774.0,,,,,,0.0,,,,,0.0,,,,,,,,,2300.0,,,0.0,,,-2300.0,0.0,0.0,3730.0,,,,53730.0,6989.0,53730.0,,25000.0,0.0,-22474.0,-24774.0,,-24774.0,,,,,50000.0,,,,-22474.0,22400.0,,,,,,,,,,,,,,,,,0.0,,,,0.0,25000.0,,,,,,,,,-24774.0,,,,,,,,0.0,,,,-46741.0,,,,-22400.0,,,,11000000.0
2012-03-31,2012-05-14,10-Q,"BIOETHICS, LTD.",BOTH,CIK0000894560,USD,,5618.0,,,92776.0,,,5807.0,5807.0,,,,5807.0,5807.0,-1182.0,,0.001,25000000.0,11000000.0,11000000.0,11000.0,,,,,,0.0,,,,0.0,,,,,,,,,,-158065.0,,,0.0,,,-7548.0,,6800.0,,,,-7548.0,,,,,,0.0,,,,,5618.0,,,,,,,,,748.0,,,,,,-748.0,0.0,0.0,,,,,60096.0,5807.0,60096.0,,0.0,0.0,-1182.0,-7548.0,,-7548.0,,,,,50000.0,,,,-6800.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,,,,,,,,,-7548.0,,,,,,,,0.0,,,,-54289.0,,,,,,,,11000000.0
2012-06-30,2012-08-14,10-Q,"BIOETHICS, LTD.",BOTH,CIK0000894560,USD,2797.0,,,,92776.0,,,0.0,0.0,,,382.0,0.0,0.0,,,0.001,25000000.0,11000000.0,11000000.0,11000.0,,,,,,0.0,,,,0.0,0.0,,,,,,,,,-162181.0,,50000.0,0.0,,,-4116.0,,3368.0,,,,-4116.0,,,,,,,,,,,,,,,,,,,,,,,,,,748.0,,,,,,,58405.0,0.0,58405.0,,,,,,,-4116.0,,,,,,,,,-3368.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4116.0,,,,,,,,0.0,,,,-58405.0,,,,,,,,11000000.0
