end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsPayableRelatedPartiesCurrent,AccruedLiabilitiesCurrent,AdditionalPaidInCapital,AmortizationOfAcquisitionCosts,AmortizationOfDebtDiscountPremium,AssetImpairmentCharges,Assets,AssetsCurrent,BankOverdrafts,Cash,CashAcquiredInExcessOfPaymentsToAcquireBusiness,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,ChangeInUnrealizedGainLossOnHedgedItemInFairValueHedge1,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,ConvertibleDebtCurrent,DebtConversionConvertedInstrumentSharesIssued1,DebtInstrumentPeriodicPaymentPrincipal,DebtorReorganizationItemsWriteOffOfDeferredFinancingCostsAndDebtDiscounts,DepositLiabilitiesAccruedInterest,DepositsAssetsCurrent,Depreciation,DepreciationAndAmortization,DerivativeAssetsLiabilitiesAtFairValueNet,DerivativeInstrumentsAndHedgesLiabilities,DerivativeInstrumentsNotDesignatedAsHedgingInstrumentsGainLossNet,DerivativeLiabilities,DerivativeLiabilitiesCurrent,DerivativeLossOnDerivative,DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,EarningsPerShareDiluted,EmployeeBenefitsAndShareBasedCompensation,ExplorationAbandonmentAndImpairmentExpense,ExplorationExpenseMining,FinancingInterestExpense,ForeignCurrencyTransactionGainLossUnrealized,GainsLossesOnExtinguishmentOfDebt,GainsLossesOnRecourseDebt,GeneralAndAdministrativeExpense,ImpairmentOfRealEstate,IncomeTaxesPaid,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInDerivativeLiabilities,IncreaseDecreaseInDueToRelatedParties,IncreaseDecreaseInFairValueOfUnhedgedDerivativeInstruments,IncreaseDecreaseInPrepaidExpense,InformationTechnologyAndDataProcessing,InterestExpense,InterestExpenseDebt,InterestExpenseOther,InterestPaid,LaborAndRelatedExpense,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,ManagementFeeExpense,MineralPropertiesNet,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NonoperatingIncomeExpense,NotesAssumed1,NotesPayableRelatedPartiesClassifiedCurrent,OperatingExpenses,OperatingLossCarryforwards,OperatingLossCarryforwardsValuationAllowance,OtherAccruedLiabilitiesCurrent,OtherGeneralAndAdministrativeExpense,OtherNonoperatingExpense,OtherNotesPayableCurrent,PaymentsToAcquireMachineryAndEquipment,PaymentsToAcquireMiningAssets,PostconfirmationPreferredStock,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValue,PrepaidExpenseCurrent,ProceedsFromConvertibleDebt,ProceedsFromIssuanceOfCommonStock,ProceedsFromIssuanceOrSaleOfEquity,ProceedsFromNotesPayable,ProceedsFromOtherShortTermDebt,ProceedsFromRelatedPartyDebt,ProfessionalFees,RepaymentsOfNotesPayable,RepaymentsOfOtherShortTermDebt,RepaymentsOfRelatedPartyDebt,SellingGeneralAndAdministrativeExpense,StockGrantedDuringPeriodValueSharebasedCompensationGross,StockholdersEquity,StockIssuedDuringPeriodValueIssuedForNoncashConsiderations,TravelAndEntertainmentExpense,WeightedAverageNumberOfDilutedSharesOutstanding
2009-08-31,2009-12-15,10-K,YATERRA VENTURES CORP.,MNGG,CIK0001406588,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-187754.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-132835.0,,,
2010-08-31,2010-12-14,10-K,YATERRA VENTURES CORP.,MNGG,CIK0001406588,USD,,,,,,,,,,,51.0,,51.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-150984.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-283819.0,,,
2010-11-30,2011-01-19,10-Q,YATERRA VENTURES CORP.,MNGG,CIK0001406588,USD,,,,,,,,,,,868.0,,,817.0,,,,,,,,,,,,,98.0,,,,,,,,,-0.02,,,0.0,,0.0,,,2769.0,0.0,0.0,,12151.0,,4000.0,,0.0,0.0,4417.0,,4089.0,0.0,12000.0,,,,,,18777.0,0.0,-17960.0,-38298.0,,,,,,,,9283.0,,,0.0,0.0,,,,,,,,,0.0,,18777.0,,0.0,9409.0,0.0,,0.0,,,,,172.0,1630000.0
2011-02-28,2011-04-19,10-Q,YATERRA VENTURES CORP.,MNGG,CIK0001406588,USD,,,,,,,,,,,,,-2502.0,,,,,,,,,,,,,,0.0,,,,,,,,,-0.03,,,1756.0,0.0,,,,9178.0,0.0,,,,,,,,3956.0,5585.0,,,,12000.0,,,,,,,,,-47089.0,,,,,,,,5348.0,,,,,,,,,,,,,,,,,,8954.0,,,,,,,,162.0,1630000.0
2011-05-31,2011-07-20,10-Q,YATERRA VENTURES CORP.,MNGG,CIK0001406588,USD,,,,,,,,,,,,,-2760.0,,,,,,,,,,,,,,,,,,,,,,,-0.02,,,0.0,,,,,,,,,,,,0.0,,,,6363.0,,,12000.0,,,,,,,,,-35557.0,-6363.0,,,29194.0,,,,,,,,,,,,,,,,,,,,,,9849.0,,,,7345.0,,,,,1630000.0
2011-08-31,2012-01-19,10-K,YATERRA VENTURES CORP.,MNGG,CIK0001406588,USD,208274.0,47033.0,70.0,189370.0,,,25369.0,360.0,360.0,693.0,0.0,,0.0,-51.0,,0.001,100000000.0,1630000.0,1630000.0,1630.0,0.0,,,,,360.0,98.0,98.0,,,,,0.0,,676007.0,-0.12,,,11333.0,,,,,,25369.0,,83549.0,,,70.0,,-360.0,,,25381.0,,,,485367.0,360.0,485367.0,0.0,22000.0,93418.0,-1007.0,-92462.0,-201188.0,,,7086.0,175807.0,208358.0,-208358.0,70.0,,25381.0,233680.0,,1007.0,,0.001,100000000.0,0.0,0.0,0.0,360.0,,,,,88086.0,7194.0,111663.0,,1754.0,,27344.0,,-485007.0,,,1630000.0
2011-11-30,2012-01-26,10-Q,YATERRA VENTURES CORP.,MNGG,CIK0001406588,USD,167895.0,53000.0,,189370.0,,,,22000.0,,2347.0,-2347.0,,,-1654.0,,0.001,100000000.0,1630000.0,,1630.0,,,,,,,0.0,,,,,,,,684406.0,-0.02,,,2984.0,,4606.0,,,-3624.0,0.0,0.0,,7347.0,,5967.0,,-360.0,832.0,6950.0,,6443.0,0.0,11250.0,515406.0,22000.0,,,22000.0,13234.0,0.0,-14888.0,-30399.0,,,27401.0,,,,,9616.0,,264763.0,0.0,0.0,,0.001,100000000.0,,,,0.0,,0.0,,0.0,,17630.0,2044.0,4396.0,,0.0,,,-493406.0,,197.0,1630000.0
2012-02-29,2012-04-23,10-Q,YATERRA VENTURES CORP.,MNGG,CIK0001406588,USD,166703.0,52250.0,,211544.0,,,,23224.0,1224.0,0.0,1224.0,,1224.0,,,0.001,100000000.0,1630000.0,,1630.0,47938.0,,,,,,0.0,,,,,,,,759122.0,-0.05,,,0.0,1012.0,,,,8510.0,0.0,,,,,,,,9528.0,7981.0,,,,13750.0,569172.0,23224.0,,,22000.0,,,,-74716.0,,,23244.0,,,,,22279.0,,279037.0,,,,0.001,100000000.0,,,,0.0,,,,,,,11318.0,,,,,,-545948.0,,188.0,1630000.0
2012-05-31,2012-08-13,10-Q,YATERRA VENTURES CORP.,MNGG,CIK0001406588,USD,189484.0,72250.0,60497.0,-496186.0,,,,47126.0,25126.0,,126.0,,126.0,,,0.001,100000000.0,14130000.0,14130000.0,14130.0,13334.0,,,,,25000.0,,,,,,,59962.0,,819898.0,-0.02,,,0.0,,,,,,,,,,,,3327.0,,,,22250.0,,,27699.0,1349080.0,47126.0,,,22000.0,,,,-60075.0,-18923.0,,27024.0,41152.0,,,1488.0,,,925041.0,,,,0.001,100000000.0,0.0,0.0,0.0,,,,,,,,19612.0,,,,-6159.0,,-1301954.0,,,2988696.0
2012-08-31,2013-11-22,10-K,YATERRA VENTURES CORP.,MNGG,CIK0001406588,USD,224610.0,125250.0,3797.0,2027393.0,1103164.0,1103164.0,,37500.0,37500.0,,,8388.0,,,57214.0,0.001,100000000.0,35706097.0,35706097.0,35706.0,1096026.0,17426097.0,30000.0,1178265.0,,25000.0,,,,1559517.0,-430591.0,,1559517.0,373377.0,5398184.0,-0.59,965706.0,25396.0,7474.0,,,3566096.0,-1783048.0,,,,142278.0,,430591.0,128977.0,,-12140.0,,,1262311.0,,,,,37500.0,3372585.0,125250.0,,138979.0,,-138979.0,-4722177.0,,1050265.0,23544.0,1246227.0,347960.0,-347960.0,3797.0,,3475950.0,161589.0,,,,0.001,100000000.0,0.0,0.0,,12500.0,110500.0,,,,6239.0,26117.0,1224270.0,30000.0,10830.0,,14483.0,15706.0,-3335085.0,,,7981849.0
