end,filed,form,Name,Ticker,CIK,Currency,Assets,AssetsCurrent,Cash,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,DeferredOfferingCosts,DerivativeLiabilitiesNoncurrent,GainLossOnDerivativeInstrumentsNetPretax,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInDerivativeLiabilities,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LiabilitiesNoncurrent,NetCashProvidedByUsedInFinancingActivities,NetIncomeLoss,NotesPayableRelatedPartiesClassifiedCurrent,OperatingIncomeLoss,PaymentsOfStockIssuanceCosts,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,ProceedsFromOtherEquity,ProceedsFromRelatedPartyDebt,RestrictedCashNoncurrent,RetainedEarningsAccumulatedDeficit,StockholdersEquity,AccretionExpense,AccruedLiabilitiesCurrent,AdjustmentsToAdditionalPaidInCapitalStockIssuedIssuanceCosts,CashEquivalentsAtCarryingValue,CommonStockValue,EarningsPerShareBasicAndDiluted,IncreaseDecreaseInPrepaidExpense,MarketableSecuritiesNoncurrent,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,PaymentsToAcquireRestrictedInvestments,PrepaidExpenseCurrent,PrepaidExpenseNoncurrent,ProceedsFromIssuanceInitialPublicOffering,ProceedsFromIssuanceOfPrivatePlacement,RepaymentsOfRelatedPartyDebt,SellingGeneralAndAdministrativeExpense,SharePrice,TemporaryEquityCarryingAmountAttributableToParent,TemporaryEquityRedemptionPricePerShare,TemporaryEquitySharesAuthorized,WeightedAverageNumberOfShareOutstandingBasicAndDiluted
2021-09-30,2021-11-09,10-Q,MELI Kaszek Pioneer Corp,MEKA,CIK0001870258,USD,10653141.0,4903141.0,4005780.0,9755780.0,9755780.0,0.0001,464000000.0,0.0,0.0,897361.0,55875310.0,-893835.0,-55850310.0,10624.0,893835.0,66514075.0,10653141.0,10638765.0,55875310.0,9755780.0,-55850310.0,300000.0,-10624.0,319220.0,0.0001,1000000.0,0.0,0.0,25000.0,300000.0,5750000.0,-55860934.0,-55860934.0,,,,,,,,,,,,,,,,,,,,,,
2021-12-31,2022-02-17,10-K,MELI Kaszek Pioneer Corp,MEKA,CIK0001870258,USD,290267549.0,2117814.0,1259439.0,1259439.0,,0.0001,464000000.0,29725000.0,29725000.0,,84257215.0,,,,,94352134.0,290267549.0,32419.0,94319715.0,,,300000.0,,,0.0001,1000000.0,0.0,0.0,,,,-91590637.0,-91590539.0,,32419.0,,0.0,98.0,,,287505954.0,,,,858375.0,643781.0,,,,,,287505954.0,10.0,28750000.0,
