end,filed,form,Name,Ticker,CIK,Currency,AccountsAndNotesReceivableNet,AccountsPayableAndOtherAccruedLiabilitiesCurrent,AccountsPayableCurrent,AccruedLiabilitiesCurrent,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,AccumulatedOtherComprehensiveIncomeLossNetOfTax,AdditionalPaidInCapital,AssetImpairmentCharges,Assets,AssetsCurrent,AssetsNoncurrent,AvailableForSaleSecuritiesCurrent,Cash,CashAndCashEquivalentsAtCarryingValue,CashPeriodIncreaseDecrease,ClassOfWarrantOrRightOutstanding,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,ConversionOfStockAmountConverted1,ConversionOfStockSharesConverted1,ConversionOfStockSharesIssued1,ConvertibleNotesPayable,CostOfGoodsAndServicesSold,DeferredRevenueCurrent,Depreciation,DepreciationDepletionAndAmortization,DueToRelatedPartiesCurrent,EarningsPerShareBasic,EarningsPerShareBasicAndDiluted,EarningsPerShareDiluted,EffectOfExchangeRateOnCash,ExtinguishmentOfDebtGainLossNetOfTax,FinancialInstrumentsOwnedAtFairValue,ForeignCurrencyTransactionGainLossBeforeTax,GainLossOnInvestments,GeneralAndAdministrativeExpense,GrossProfit,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeTaxExpenseBenefit,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccountsPayableRelatedParties,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInDeferredRevenue,IncreaseDecreaseInNotesPayableCurrent,IncreaseDecreaseInNotesReceivableCurrent,IncreaseDecreaseInOtherNoncurrentAssets,IncreaseDecreaseInOtherOperatingLiabilities,IncreaseDecreaseInOtherReceivables,IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,InterestExpense,InterestExpenseDebt,InterestExpenseOther,InventoryWriteDown,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,MarketableSecurities,MarketableSecuritiesGainLoss,MarketableSecuritiesUnrealizedGainLoss,MarketingAndAdvertisingExpense,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NotesAndLoansReceivableNetNoncurrent,NotesPayable,OperatingExpenses,OperatingIncomeLoss,OperatingLossCarryforwards,OptionIndexedToIssuersEquityStrikePrice1,OtherAssetsCurrent,OtherAssetsNoncurrent,OtherInvestments,OtherNoncashExpense,OtherNonoperatingIncomeExpense,OtherReceivables,PaymentsToAcquireInvestments,PaymentsToAcquireProductiveAssets,PaymentsToAcquirePropertyPlantAndEquipment,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValue,ProceedsFromIssuanceOfCommonStock,ProceedsFromIssuanceOrSaleOfEquity,ProceedsFromNotesPayable,ProfessionalAndContractServicesExpense,ProfessionalFees,PropertyPlantAndEquipmentGross,PropertyPlantAndEquipmentNet,ReceivablesNetCurrent,RepaymentOfNotesReceivableFromRelatedParties,RepaymentsOfNotesPayable,RepaymentsOfRelatedPartyDebt,RetainedEarningsAccumulatedDeficit,Revenues,SalesRevenueNet,ShareBasedCompensation,ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsForfeitedInPeriod,ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsGrantsInPeriod,ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsNonvestedNumber,ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsVestedInPeriod,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedDividendRate,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsRiskFreeInterestRate,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsWeightedAverageVolatilityRate,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisableNumber,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisableWeightedAverageExercisePrice,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriodGross,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriodWeightedAverageGrantDateFairValue,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingNumber,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingWeightedAverageExercisePrice,ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsExercisesInPeriodWeightedAverageExercisePrice,ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsGrantsInPeriodWeightedAverageExercisePrice,SharebasedCompensationArrangementBySharebasedPaymentAwardOptionsNonvestedOptionsForfeitedWeightedAverageGrantDateFairValue,SharebasedCompensationArrangementBySharebasedPaymentAwardOptionsNonvestedWeightedAverageGrantDateFairValue,SharebasedCompensationArrangementBySharebasedPaymentAwardOptionsVestedWeightedAverageGrantDateFairValue,SharesOutstanding,StockholdersEquity,StockIssuedDuringPeriodSharesIssuedForServices,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodSharesOther,StockIssuedDuringPeriodValueAcquisitions,StockIssuedDuringPeriodValueIssuedForServices,StockIssuedDuringPeriodValueNewIssues,StockRepurchasedAndRetiredDuringPeriodShares,StockRepurchasedAndRetiredDuringPeriodValue,WeightedAverageNumberOfDilutedSharesOutstanding,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesOutstandingBasic
2016-04-30,2017-08-30,10-K,"BLOCKCHAIN INDUSTRIES, INC.",BCII,CIK0001084370,USD,,,429679.0,60004.0,,,6049489.0,,0.0,,,,0.0,,0.0,,0.001,400000000.0,368703.0,368703.0,368.0,,,,53000.0,,,,,3981423.0,,0.0,,,,,,,0.0,,0.0,0.0,,,,,,,,,,,0.0,,,,5025218.0,0.0,,,,,,0.0,0.0,0.0,0.0,,501112.0,0.0,0.0,11075075.0,,,,,,0.0,,,,,0.001,5000000.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,-11075075.0,0.0,,,,,,,,,,,,,,0.0,0.0,,,,,,,-5025218.0,,,,,,,,,,368703.0,
2017-04-30,2017-08-30,10-K,"BLOCKCHAIN INDUSTRIES, INC.",BCII,CIK0001084370,USD,,493596.0,429679.0,63917.0,0.0,0.0,6159120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.001,400000000.0,40737406.0,40737406.0,40737.0,,,,53000.0,0.0,0.0,0.0,0.0,3981423.0,,-0.003,,,0.0,0.0,,0.0,30580.0,0.0,-153913.0,0.0,0.0,,3913.0,0.0,,,0.0,,0.0,-3913.0,5913.0,5913.0,0.0,0.0,5029131.0,0.0,493596.0,0.0,,,,150000.0,0.0,-150000.0,-153913.0,0.0,501112.0,148000.0,-148000.0,11228988.0,,0.0,0.0,0.0,,-5913.0,0.0,0.0,,0.0,0.001,5000000.0,0.0,0.0,0.0,150000.0,150000.0,,40000.0,117420.0,0.0,0.0,0.0,0.0,0.0,0.0,-11228988.0,0.0,,0.0,,,0.0,,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,0.0,,0.0,,40737406.0,-5029131.0,,,,,,150000.0,,,,4901790.0,
2017-07-31,2017-08-31,10-Q,"BLOCKCHAIN INDUSTRIES, INC.",BCII,CIK0001084370,USD,,,0.0,0.0,,,6179489.0,,0.0,,,,0.0,,0.0,,0.001,400000000.0,20368703.0,20368703.0,20368.0,,,,0.0,,,,,36269.0,,0.25,,,5003192.0,,,,0.0,,4992862.0,0.0,,10330.0,,,,,,,,,441.0,,,,36269.0,0.0,,,,,,0.0,0.0,0.0,4992862.0,,0.0,9890.0,-9890.0,6236126.0,,,,,,5002752.0,,,,,0.001,5000000.0,0.0,0.0,0.0,,,0.0,,9890.0,,,,,,,-6236126.0,0.0,,,,,,,,,,,,,,,,,,,,,,-36269.0,,,,,,,,,,20368703.0,
2017-10-31,2017-12-15,10-Q,"BLOCKCHAIN INDUSTRIES, INC.",BCII,CIK0001084370,USD,,,0.0,0.0,,,6179489.0,,0.0,,,,0.0,,,,0.001,400000000.0,20368703.0,20368703.0,20368.0,,,,0.0,,,,,54917.0,,0.0,,,0.0,,,,8908.0,,-18649.0,0.0,,,,,,,,,,,441.0,,,,54917.0,0.0,,,,,,,,,-18649.0,,0.0,18208.0,-18208.0,6264744.0,,,,,,-441.0,,,,,0.001,5000000.0,0.0,0.0,0.0,,,,,9300.0,,,,,,,-6254774.0,,0.0,,,,,,,,,,,,,,,,,,,,,-54917.0,,,,,,,,,,20368703.0,
2018-01-31,2018-03-19,10-Q,"BLOCKCHAIN INDUSTRIES, INC.",BCII,CIK0001084370,USD,,110315.0,,,125.0,-555957.0,10592808.0,,5417596.0,5297604.0,119992.0,2283286.0,2712799.0,2712799.0,,9637500.0,0.001,400000000.0,36159446.0,36159446.0,36159.0,,,,0.0,,1953694.0,,,27289.0,-0.03,,-0.02,,20000.0,2283286.0,-12246.0,-555957.0,129459.0,,-1066972.0,0.0,,,,,,,,,,,441.0,,,,2091298.0,5417596.0,,2839243.0,,,16069.0,,,,-1066972.0,,0.0,626522.0,-518328.0,6264744.0,,51519.0,11317.0,,,-548644.0,,,,,0.001,5000000.0,328616.5,328616.5,329.0,,,,,480994.0,108800.0,108675.0,250000.0,,,,-7302998.0,108194.0,108194.0,,,,,,,,,,,,,,,,,,,,36159446.0,3326298.0,,,,,,,,,39738384.0,,32883186.0
2018-04-30,2018-10-29,10-K,"BLOCKCHAIN INDUSTRIES, INC.",BCII,CIK0001084370,USD,0.0,357208.0,,,584.0,,15215842.0,1126334.0,1337770.0,1268693.0,,600000.0,518960.0,518960.0,518960.0,9637500.0,0.001,400000000.0,39548579.0,39548579.0,39548.0,-58468.0,,278422.0,0.0,328785.0,1427285.0,584.0,0.0,0.0,,-0.117,,,5049131.0,,,-1020000.0,1134179.0,1253698.0,-4473403.0,0.0,-135837.0,,,1427285.0,,,69077.0,,26245.0,123488.0,441.0,0.0,441.0,112739.0,1784493.0,1337770.0,1784493.0,,,,,3519188.0,-7481397.0,4481169.0,-4473403.0,500000.0,0.0,9755791.0,-8502093.0,12140000.0,,123488.0,69077.0,0.0,,4028690.0,26245.0,2886477.0,,113497.0,0.001,5000000.0,278422.0,278422.0,278.0,5727125.0,4073300.0,,,1760703.0,112723.0,0.0,,-500000.0,501112.0,3981423.0,-15702391.0,1582483.0,,3222436.0,0.0,2820000.0,2600000.0,220000.0,0.0,0.0255,2.3198,276332.0,0.82,2116000.0,1.16,2116000.0,2.68,0.0,2.68,0.0,1.25,0.07,,-446723.0,,,,125000.0,2460083.0,,,-18750.0,,38116598.0,
