end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndOtherAccruedLiabilitiesCurrent,AccountsPayableCurrent,AccountsPayableTradeCurrent,AccruedLiabilitiesAndOtherLiabilities,AccruedLiabilitiesCurrent,AdditionalPaidInCapital,AdditionalPaidInCapitalCommonStock,AmortizationOfDebtDiscountPremium,AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,Assets,AssetsCurrent,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashProvidedByUsedInOperatingActivitiesDiscontinuedOperations,CommitmentsAndContingencies,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,ComprehensiveIncomeNetOfTax,ConvertiblePreferredStockSharesIssuedUponConversion,DebtInstrumentConvertibleIfConvertedValueInExcessOfPrincipal,DeferredTaxAssetsNet,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsValuationAllowance,Dividends,DueToRelatedPartiesCurrent,EarningsPerShareBasic,EarningsPerShareBasicAndDiluted,EarningsPerShareDiluted,GainsLossesOnExtinguishmentOfDebt,GeneralAndAdministrativeExpense,IncomeLossFromContinuingOperations,IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,IncomeLossFromDiscontinuedOperationsNetOfTaxAttributableToReportingEntity,IncomeTaxExpenseBenefit,IncomeTaxesPaid,IncomeTaxesPaidNet,IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,IncomeTaxReconciliationChangeInEnactedTaxRate,IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInDueToRelatedParties,IncreaseDecreaseInOtherAccountsPayable,IncreaseDecreaseInOtherAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInPrepaidExpense,InterestPaid,InterestPaidDiscontinuedOperations,InterestPaidNet,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,NetCashProvidedByUsedInDiscontinuedOperations,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NetIncomeLossAvailableToCommonStockholdersBasic,OperatingExpenses,OperatingLossCarryforwards,OperatingLossCarryforwardsValuationAllowance,OtherAccruedLiabilitiesCurrent,OtherComprehensiveIncomeUnrealizedHoldingGainLossOnSecuritiesArisingDuringPeriodNetOfTax,OtherIncome,OtherNonoperatingIncome,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValue,PrepaidExpenseAndOtherAssetsCurrent,ProceedsFromRepaymentsOfRelatedPartyDebt,ProfitLoss,RestructuringCharges,RetainedEarningsAccumulatedDeficit,ShareBasedCompensation,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedDividendRate,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedVolatilityRate,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsRiskFreeInterestRate,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisableNumber,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisableWeightedAverageExercisePrice,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisesInPeriodTotalIntrinsicValue,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsForfeituresAndExpirationsInPeriod,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsForfeituresAndExpirationsInPeriodWeightedAverageExercisePrice,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsForfeituresAndExpirationsInPeriodWeightedAverageIntrinsicValue,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriodGrantDateIntrinsicValue,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriodGross,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingNumber,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingWeightedAverageExercisePrice,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsVestedAndExpectedToVestExercisableAggregateIntrinsicValue,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsVestedAndExpectedToVestOutstandingAggregateIntrinsicValue,ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsExercisesInPeriodWeightedAverageExercisePrice,ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsGrantsInPeriodWeightedAverageExercisePrice,StockholdersEquity,StockIssuedDuringPeriodSharesNewIssues,ValuationAllowancesAndReservesDeductions,WeightedAverageNumberOfDilutedSharesOutstanding,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesOutstandingBasic,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect
2009-12-31,2010-03-30,10-K,"GREEN PLANET BIOENGINEERING CO., LTD.",GPLB,CIK0001392449,USD,,,,,,,,,,,,791775.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23823180.0,,,,,,
2010-06-30,2010-08-23,10-Q,"GREEN PLANET BIOENGINEERING CO., LTD.",GPLB,CIK0001392449,USD,,,,,,,,,,,,668.0,,,,,,,,,-94451.0,,,,,,,,0.0,,0.0,,21559.0,-94451.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,-94451.0,,,,,,0.0,,0.0,,,,,,,,,-14142.0,,,,,,,,,,,,,,,,,,,,,,,22709501.0,,20006402.0,
2010-09-30,2010-11-10,10-Q,"GREEN PLANET BIOENGINEERING CO., LTD.",GPLB,CIK0001392449,USD,,,,,,,,,,,,668.0,,,,,,,,,-28299.0,,,,,,0.0,,0.0,,0.0,,28299.0,-28299.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,-28299.0,-28299.0,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,20159001.0,,20006402.0,
2010-12-31,2011-04-14,10-K,"GREEN PLANET BIOENGINEERING CO., LTD.",GPLB,CIK0001392449,USD,2723.0,,88500.0,,,,431025.0,41250.0,,,5085.0,668.0,-791107.0,-1411928.0,,0.001,250000000.0,20006402.0,20006402.0,20006.0,803181.0,,300000.0,,,,-12153213.0,69170.0,-0.01,,,,-73740.0,-146632.0,-146632.0,949195.0,,588803.0,,,,,,,,69170.0,21980.0,,,58750.0,34578.0,,160393.0,5085.0,,-1411928.0,-300000.0,,920821.0,802563.0,,-146632.0,,,,618.0,,,0.001,10000000.0,0.0,0.0,0.0,4417.0,,,-14142.0,-606339.0,,,,,,,,,,,,,,,,,,,-155308.0,,,20159001.0,,20006402.0,
2011-03-31,2011-05-16,10-Q,"GREEN PLANET BIOENGINEERING CO., LTD.",GPLB,CIK0001392449,USD,,,,,,,,,,,,668.0,,,,,,,,,,,,,,,,,0.0,,0.0,,790.0,,-790.0,,,,,,,,,,,790.0,,,,,,,,,,,,,,-790.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20159001.0,,20006402.0,
2011-06-30,2011-08-15,10-Q,"GREEN PLANET BIOENGINEERING CO., LTD.",GPLB,CIK0001392449,USD,2723.0,,88500.0,,,,431025.0,,,,5085.0,668.0,,,,0.001,250000000.0,20006402.0,20006402.0,20006.0,-11924.0,,,,,,,81884.0,0.0,,0.0,0.0,11924.0,-11924.0,-11924.0,0.0,0.0,,,,,,,,,,,,,,,,173107.0,5085.0,,,,,,-11924.0,,,,,,0.0,,0.0,0.001,10000000.0,0.0,0.0,0.0,4417.0,,,0.0,-619053.0,,,,,,,,,,,,,,,,,,,-168022.0,,,20159001.0,,20006402.0,
2011-09-30,2011-11-21,10-Q,"GREEN PLANET BIOENGINEERING CO., LTD.",GPLB,CIK0001392449,USD,2723.0,,88500.0,,,,431025.0,,,,5085.0,668.0,,,,0.001,250000000.0,20006402.0,20006402.0,20006.0,-620.0,,,,,,0.0,82504.0,0.0,,0.0,0.0,620.0,-620.0,-620.0,0.0,,,,,,,,,,,,,,,,,173727.0,5085.0,,,,,,-620.0,-620.0,,,,,0.0,,,0.001,10000000.0,0.0,0.0,0.0,4417.0,,,0.0,-619673.0,,,,,,,,,,,,,,,,,,,-168642.0,,,20159001.0,,20006402.0,
2012-03-31,2012-05-14,10-Q,"GREEN PLANET BIOENGINEERING CO., LTD.",GPLB,CIK0001392449,USD,,,308.0,,,,431025.0,,,,,,-668.0,,,0.001,250000000.0,20006402.0,20006402.0,20006.0,,,,,,,,,0.01,0.0,0.01,178589.0,6959.0,,-6959.0,,,,,,,,308.0,,,,5983.0,,,,,,6291.0,,,,,,-668.0,-6959.0,,,,,5983.0,,,,0.001,10000000.0,0.0,0.0,,,,,,-457322.0,,,,,,,,,,,,,,,,,,,-6291.0,,,20159001.0,20006402.0,20006402.0,
2012-06-30,2012-08-20,10-Q,"GREEN PLANET BIOENGINEERING CO., LTD.",GPLB,CIK0001392449,USD,,,2420.0,,,,431025.0,,,,0.0,0.0,,,,0.001,250000000.0,20006402.0,20006402.0,20006.0,,,,,,,,5250.0,0.0,0.0,0.0,0.0,9479.0,,-9479.0,,0.0,,,,,,,,,,,,,,,,15770.0,0.0,,,,,,-9479.0,,,,,8100.0,,,,0.001,10000000.0,0.0,0.0,0.0,,,,,-466801.0,,,,,152599.0,0.001,,,,,,,152599.0,0.001,0.0,0.0,,,-15770.0,,,20159001.0,20006402.0,20006402.0,
2012-09-30,2012-11-14,10-Q,"GREEN PLANET BIOENGINEERING CO., LTD.",GPLB,CIK0001392449,USD,,,603.0,,,,431025.0,,,,1425.0,0.0,,,,0.001,250000000.0,20006402.0,20006402.0,20006.0,,,,,,,,18413.0,0.0,0.0,0.0,0.0,-6821.0,,6821.0,,,,,,,,,,,,,,,,,,24016.0,1425.0,,,,,,6821.0,,,,,5000.0,,,,0.001,10000000.0,0.0,0.0,0.0,1425.0,,,,-473622.0,,,,,152599.0,0.001,,,,,,,152599.0,0.001,,,,,-22591.0,,,20159001.0,20006402.0,20006402.0,
