end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableCurrent,AccountsReceivableNetCurrent,AccruedLiabilitiesCurrent,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,AccumulatedOtherComprehensiveIncomeLossNetOfTax,AdditionalPaidInCapital,AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,AdvertisingExpense,AllocatedShareBasedCompensationExpense,AllowanceForDoubtfulAccountsReceivableCurrent,AmortizationOfFinancingCosts,AmortizationOfIntangibleAssets,AssetImpairmentCharges,Assets,AssetsCurrent,AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedGainBeforeTax,AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedLossBeforeTax,AvailableForSaleDebtSecuritiesAmortizedCostBasis,AvailableForSaleSecuritiesDebtMaturitiesWithinOneYearAmortizedCost,AvailableForSaleSecuritiesDebtMaturitiesWithinOneYearFairValue,AvailableForSaleSecuritiesDebtSecurities,BusinessCombinationConsiderationTransferredEquityInterestsIssuedAndIssuable,CapitalExpendituresIncurredButNotYetPaid,CapitalizedContractCostAmortization,CapitalizedContractCostImpairmentLoss,Cash,CashAndCashEquivalentsAtCarryingValue,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,ComprehensiveIncomeNetOfTax,ContractWithCustomerAssetNetCurrent,ContractWithCustomerLiabilityCurrent,ContractWithCustomerLiabilityNoncurrent,ContractWithCustomerLiabilityRevenueRecognized,ConvertiblePreferredStockSharesIssuedUponConversion,CostOfGoodsAndServicesSold,CurrentFederalTaxExpenseBenefit,CurrentForeignTaxExpenseBenefit,CurrentIncomeTaxExpenseBenefit,CurrentStateAndLocalTaxExpenseBenefit,DecreaseInUnrecognizedTaxBenefitsIsReasonablyPossible,DeferredFederalIncomeTaxExpenseBenefit,DeferredForeignIncomeTaxExpenseBenefit,DeferredIncomeTaxExpenseBenefit,DeferredIncomeTaxLiabilities,DeferredStateAndLocalIncomeTaxExpenseBenefit,DeferredTaxAssetsCharitableContributionCarryforwards,DeferredTaxAssetsDeferredIncome,DeferredTaxAssetsGross,DeferredTaxAssetsNet,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsOther,DeferredTaxAssetsPropertyPlantAndEquipment,DeferredTaxAssetsTaxCreditCarryforwards,DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsShareBasedCompensationCost,DeferredTaxAssetsTaxDeferredExpenseReservesAndAccruals,DeferredTaxAssetsValuationAllowance,DeferredTaxLiabilities,DeferredTaxLiabilitiesGoodwillAndIntangibleAssetsGoodwill,DeferredTaxLiabilitiesPropertyPlantAndEquipment,DepreciationAndAmortization,DepreciationDepletionAndAmortization,EarningsPerShareBasic,EarningsPerShareBasicAndDiluted,EarningsPerShareDiluted,EffectiveIncomeTaxRateReconciliationShareBasedCompensationExcessTaxBenefitAmount,EffectOfExchangeRateOnCashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,EmployeeRelatedLiabilitiesCurrent,EmployeeServiceShareBasedCompensationNonvestedAwardsTotalCompensationCostNotYetRecognizedStockOptions,FiniteLivedIntangibleAssetsAccumulatedAmortization,FiniteLivedIntangibleAssetsAmortizationExpenseAfterYearFive,FiniteLivedIntangibleAssetsAmortizationExpenseNextTwelveMonths,FiniteLivedIntangibleAssetsAmortizationExpenseRemainderOfFiscalYear,FiniteLivedIntangibleAssetsAmortizationExpenseYearFive,FiniteLivedIntangibleAssetsAmortizationExpenseYearFour,FiniteLivedIntangibleAssetsAmortizationExpenseYearThree,FiniteLivedIntangibleAssetsAmortizationExpenseYearTwo,FiniteLivedIntangibleAssetsGross,FiniteLivedIntangibleAssetsNet,GainLossOnDispositionOfAssets,GeneralAndAdministrativeExpense,Goodwill,GoodwillAcquiredDuringPeriod,GoodwillPurchaseAccountingAdjustments,GrossProfit,IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeLossFromContinuingOperationsBeforeIncomeTaxesForeign,IncomeTaxExaminationPenaltiesAndInterestAccrued,IncomeTaxExpenseBenefit,IncomeTaxesPaidNet,IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,IncomeTaxReconciliationForeignIncomeTaxRateDifferential,IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,IncomeTaxReconciliationOtherReconcilingItems,IncomeTaxReconciliationStateAndLocalIncomeTaxes,IncomeTaxReconciliationTaxCreditsResearch,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsReceivable,IncreaseDecreaseInAccruedTaxesPayable,IncreaseDecreaseInContractWithCustomerLiability,IncreaseDecreaseInDeferredIncomeTaxes,IncreaseDecreaseInOtherCurrentAssets,IncreaseDecreaseInOtherNoncurrentAssets,IncreaseDecreaseInOtherNoncurrentLiabilities,IncreaseDecreaseInPrepaidExpense,InterestExpense,InterestIncomeRelatedParty,InterestPaidNet,LeaseCost,LesseeOperatingLeaseLiabilityPaymentsDue,LesseeOperatingLeaseLiabilityPaymentsDueAfterYearFive,LesseeOperatingLeaseLiabilityPaymentsDueNextTwelveMonths,LesseeOperatingLeaseLiabilityPaymentsDueYearFive,LesseeOperatingLeaseLiabilityPaymentsDueYearFour,LesseeOperatingLeaseLiabilityPaymentsDueYearThree,LesseeOperatingLeaseLiabilityPaymentsDueYearTwo,LesseeOperatingLeaseLiabilityPaymentsRemainderOfFiscalYear,LesseeOperatingLeaseLiabilityUndiscountedExcessAmount,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NetIncomeLossAvailableToCommonStockholdersBasic,NetIncomeLossAvailableToCommonStockholdersDiluted,NoncashContributionExpense,NoncashOrPartNoncashAcquisitionIntangibleAssetsAcquired1,NoncurrentAssets,NumberOfOperatingSegments,OperatingExpenses,OperatingIncomeLoss,OperatingLeaseCost,OperatingLeaseLiability,OperatingLeaseLiabilityCurrent,OperatingLeaseLiabilityNoncurrent,OperatingLeasePayments,OperatingLeaseRightOfUseAsset,OperatingLeaseWeightedAverageDiscountRatePercent,OtherAssetsCurrent,OtherAssetsNoncurrent,OtherComprehensiveIncomeAvailableforsaleSecuritiesAdjustmentNetOfTaxPortionAttributableToParent,OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationAdjustmentNetOfTaxPortionAttributableToParent,OtherComprehensiveIncomeLossNetOfTaxPortionAttributableToParent,OtherLiabilitiesNoncurrent,OtherNonoperatingIncomeExpense,OtherOperatingActivitiesCashFlowStatement,PaymentsForRepurchaseOfCommonStock,PaymentsForRepurchaseOfConvertiblePreferredStock,PaymentsOfDebtIssuanceCosts,PaymentsToAcquireAvailableForSaleSecuritiesDebt,PaymentsToAcquireBusinessesNetOfCashAcquired,PaymentsToAcquireIntangibleAssets,PaymentsToAcquireOtherInvestments,PaymentsToAcquirePropertyPlantAndEquipment,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValue,PrepaidExpenseCurrent,ProceedsFromIssuanceInitialPublicOffering,ProceedsFromIssuanceOfCommonStock,ProceedsFromIssuanceOfConvertiblePreferredStock,ProceedsFromLinesOfCredit,ProceedsFromMaturitiesPrepaymentsAndCallsOfAvailableForSaleSecurities,ProceedsFromSaleOfAvailableForSaleSecuritiesDebt,ProceedsFromStockOptionsExercised,PropertyPlantAndEquipmentGross,PropertyPlantAndEquipmentNet,PurchaseObligation,PurchaseObligationDueAfterFifthYear,PurchaseObligationDueInFourthAndFifthYear,PurchaseObligationDueInNextTwelveMonths,PurchaseObligationDueInSecondAndThirdYear,PurchaseObligationFutureMinimumPaymentsRemainderOfFiscalYear,RedeemablePreferredStockDividends,RepaymentsOfLinesOfCredit,ResearchAndDevelopmentExpense,RestrictedCash,RestrictedCashNoncurrent,RetainedEarningsAccumulatedDeficit,RevenueFromContractWithCustomerExcludingAssessedTax,RevenueRemainingPerformanceObligation,RightOfUseAssetObtainedInExchangeForOperatingLeaseLiability,SaleOfStockConsiderationReceivedOnTransaction,SaleOfStockNumberOfSharesIssuedInTransaction,SellingAndMarketingExpense,ShareBasedCompensation,ShareBasedCompensationArrangementByShareBasedPaymentAwardAcceleratedCompensationCost,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisableNumber,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisableWeightedAverageExercisePrice,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisesInPeriodTotalIntrinsicValue,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsForfeituresAndExpirationsInPeriod,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsForfeituresAndExpirationsInPeriodWeightedAverageExercisePrice,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriodGross,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriodWeightedAverageGrantDateFairValue,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingNumber,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingWeightedAverageExercisePrice,ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsExercisesInPeriodWeightedAverageExercisePrice,ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsGrantsInPeriodWeightedAverageExercisePrice,SharebasedCompensationArrangementBySharebasedPaymentAwardOptionsVestedInPeriodFairValue1,ShortTermLeaseCost,StockholdersEquity,StockholdersEquityNoteStockSplitConversionRatio1,StockIssuedDuringPeriodSharesConversionOfConvertibleSecurities,StockIssuedDuringPeriodSharesStockOptionsExercised,StockIssuedDuringPeriodValueAcquisitions,StockIssuedDuringPeriodValueConversionOfConvertibleSecurities,StockIssuedDuringPeriodValueNewIssues,StockIssuedDuringPeriodValueRestrictedStockAwardNetOfForfeitures,StockIssuedDuringPeriodValueStockOptionsExercised,StockRepurchasedAndRetiredDuringPeriodValue,SubleaseIncome,TaxCreditCarryforwardValuationAllowance,TaxesPayableCurrent,UnrecognizedTaxBenefits,UnrecognizedTaxBenefitsDecreasesResultingFromCurrentPeriodTaxPositions,UnrecognizedTaxBenefitsDecreasesResultingFromForeignCurrencyTranslation,UnrecognizedTaxBenefitsDecreasesResultingFromPriorPeriodTaxPositions,UnrecognizedTaxBenefitsIncreasesResultingFromCurrentPeriodTaxPositions,UnrecognizedTaxBenefitsIncreasesResultingFromForeignCurrencyTranslation,UnrecognizedTaxBenefitsIncreasesResultingFromPriorPeriodTaxPositions,UnrecognizedTaxBenefitsReductionsResultingFromLapseOfApplicableStatuteOfLimitations,UnrecognizedTaxBenefitsThatWouldImpactEffectiveTaxRate,ValuationAllowanceDeferredTaxAssetChangeInAmount,VariableLeaseCost,WeightedAverageNumberOfDilutedSharesOutstanding,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesOutstandingBasic,CashAndCashEquivalentsFairValueDisclosure,CashEquivalentsAtCarryingValue,ConvertibleDebtNoncurrent,DeferredTaxLiabilitiesLeasingArrangements,DeferredTaxLiabilitiesOther,IncomeTaxExaminationPenaltiesAndInterestExpense,InterestExpenseLongTermDebt,ProceedsFromConvertibleDebt,RestrictedCashAndCashEquivalents,StockIssuedDuringPeriodSharesRestrictedStockAwardNetOfForfeitures
2020-09-30,2020-11-13,10-Q,UNITY SOFTWARE INC.,U,CIK0001810806,USD,7856000.0,225525000.0,47174000.0,65690000.0,-3500000.0,2777400000.0,61806000.0,,61806000.0,4140000.0,,4751000.0,,2605696000.0,2030976000.0,,,,,,,,,400000.0,,1759415000.0,,1781824000.0,,0.0,1000000000.0,270967000.0,270967000.0,2000.0,-144510000.0,23100000.0,97910000.0,16531000.0,37900000.0,,47540000.0,,,,,2100000.0,,,,,,,,,,,,,,,,,,,,6523000.0,,-0.97,-0.97,-0.97,,,39780000.0,128500000.0,38353000.0,,15748000.0,4679000.0,,10305000.0,10772000.0,13182000.0,97622000.0,59269000.0,,117515000.0,271200000.0,,,153244000.0,,-144321000.0,,,398000.0,,,,,,,,,,,,,,,,,615000.0,,,8943000.0,144957000.0,,29080000.0,,18413000.0,21370000.0,26879000.0,7372000.0,18719000.0,545790000.0,2605696000.0,409813000.0,,,,-144719000.0,-144719000.0,-144719000.0,,,89042000.0,,294927000.0,-141683000.0,7446000.0,126238000.0,24363000.0,101875000.0,,108878000.0,0.045,19968000.0,23034000.0,0.0,209000.0,209000.0,17571000.0,-2023000.0,,,,,,,,,,,,0.0,,0.0,26068000.0,,,,,,,,155620000.0,89930000.0,,,,,,,0.0,,116648000.0,,22409000.0,-713996000.0,200784000.0,210500000.0,,,,60764000.0,,,,,,,,,,42978874.0,7.45,,,,241000.0,2059906000.0,,,,2018000.0,0.0,,,11980000.0,,8000.0,,41587000.0,48700000.0,,,,,,,,8500000.0,,1264000.0,149256000.0,149256000.0,149256000.0,,,,,,,,,,
2020-12-31,2021-03-05,10-K,UNITY SOFTWARE INC.,U,CIK0001810806,USD,11303000.0,274255000.0,53535000.0,70458000.0,-3418000.0,2838057000.0,134554000.0,12300000.0,134629000.0,2714000.0,,17755000.0,,2671225000.0,2080660000.0,170000.0,117000.0,479353000.0,311178000.0,311181000.0,479406000.0,25144000.0,4665000.0,1500000.0,0.0,1272578000.0,1272578000.0,1293947000.0,1146851000.0,5e-06,1000000000.0,273537000.0,273537000.0,2000.0,-282094000.0,26300000.0,113853000.0,20523000.0,96500000.0,,172347000.0,183000.0,4412000.0,4750000.0,155000.0,,0.0,-2503000.0,-2659000.0,19601000.0,-156000.0,13834000.0,4960000.0,285122000.0,19341000.0,118244000.0,150000.0,4300000.0,35630000.0,20394000.0,8537000.0,265781000.0,260000.0,260000.0,0.0,25219000.0,42974000.0,-1.66,-1.66,-1.66,-22624000.0,673000.0,52771000.0,121200000.0,43063000.0,0.0,16551000.0,,5088000.0,10826000.0,11292000.0,13702000.0,100522000.0,57459000.0,,254979000.0,286251000.0,68011000.0,-65000.0,600098000.0,-185580000.0,-280217000.0,-94637000.0,2200000.0,2091000.0,19956000.0,139219000.0,-29958000.0,-58846000.0,-664000.0,-12698000.0,12338000.0,-2526000.0,63294000.0,19525000.0,37408000.0,213000.0,12985000.0,1867000.0,898000.0,9131000.0,1520000.0,,1393000.0,35101000.0,141762000.0,29284000.0,30176000.0,13834000.0,18901000.0,22022000.0,27545000.0,,17855000.0,634082000.0,2671225000.0,503222000.0,1701455000.0,-575190000.0,19913000.0,-282308000.0,-282308000.0,-282308000.0,63615000.0,236000.0,94592000.0,1.0,874910000.0,-274812000.0,29265000.0,123907000.0,25375000.0,98532000.0,29336000.0,103609000.0,0.045,22396000.0,26333000.0,53000.0,161000.0,214000.0,11805000.0,-3885000.0,3246000.0,110000.0,0.0,247000.0,482453000.0,52475000.0,750000.0,1000000.0,40156000.0,5e-06,100000000.0,100000000.0,100000000.0,0.0,32025000.0,1417582000.0,100000000.0,149970000.0,125000000.0,1644000.0,,25404000.0,166002000.0,95544000.0,153870000.0,0.0,15625000.0,48502000.0,89743000.0,,0.0,125000000.0,403515000.0,21400000.0,21369000.0,-797498000.0,772445000.0,230100000.0,24647000.0,,,216416000.0,134554000.0,75000.0,23230263.0,4.61,441000000.0,860816.0,10.35,5348737.0,10.66,40457875.0,8.03,3.76,21.03,44100000.0,953000.0,2037143000.0,,102717396.0,6758226.0,25380000.0,0.0,,,,110000.0,130000.0,,64116000.0,74670000.0,0.0,,694000.0,38829000.0,406000.0,1689000.0,2952000.0,9000000.0,142400000.0,5013000.0,169973000.0,169973000.0,169973000.0,735812000.0,735812000.0,0.0,19341000.0,260000.0,-200000.0,,0.0,21369000.0,
2021-03-31,2021-05-12,10-Q,UNITY SOFTWARE INC.,U,CIK0001810806,USD,15958000.0,298200000.0,47821000.0,76046000.0,-3552000.0,2927242000.0,64424000.0,,66561000.0,4579000.0,,4459000.0,,2650442000.0,2010187000.0,91000.0,141000.0,527350000.0,325424000.0,325446000.0,527300000.0,,2358000.0,1000000.0,0.0,1119935000.0,,1138072000.0,-155875000.0,5e-06,1000000000.0,279170000.0,279170000.0,2000.0,-107594000.0,29700000.0,116718000.0,22256000.0,48200000.0,,58734000.0,,,,,1600000.0,,,,,,,,,,,,,,,,,,,,7373000.0,11832000.0,,-0.39,,,9000.0,44111000.0,139400000.0,47522000.0,,15296000.0,13412000.0,,5507000.0,11281000.0,11922000.0,105462000.0,57940000.0,,63132000.0,306160000.0,19909000.0,,176038000.0,,-109452000.0,,,-1992000.0,-1197000.0,,,,,,,6303000.0,25061000.0,-10104000.0,4201000.0,1824000.0,2318000.0,11569000.0,309000.0,9888000.0,115000.0,,84000.0,8300000.0,155639000.0,,29638000.0,,16180000.0,21136000.0,24194000.0,22941000.0,20205000.0,633230000.0,2650442000.0,490592000.0,22624000.0,-89626000.0,-88882000.0,-107460000.0,-107460000.0,-107460000.0,,,96470000.0,,286940000.0,-110902000.0,7301000.0,135434000.0,25437000.0,109996000.0,7840000.0,116409000.0,0.043,22839000.0,44012000.0,-103000.0,-31000.0,-134000.0,10386000.0,1565000.0,1441000.0,0.0,,0.0,129082000.0,24817000.0,0.0,4000000.0,11744000.0,5e-06,100000000.0,0.0,0.0,0.0,41913000.0,,0.0,0.0,0.0,2017000.0,78000000.0,22624000.0,173643000.0,97597000.0,128980000.0,,,,,22925000.0,,,154015000.0,,18137000.0,-906480000.0,234772000.0,218500000.0,18891000.0,,,69793000.0,64424000.0,2137000.0,,,515300000.0,78076.0,13.01,1003064.0,38.4,36838365.0,11.03,5.0,104.74,6300000.0,117000.0,2017212000.0,,,4544498.0,,,,0.0,22624000.0,,93000.0,,54231000.0,79500000.0,,,,,,,,9100000.0,,975000.0,,276068000.0,,,,,,,,,,,
2021-06-30,2021-08-11,10-Q,UNITY SOFTWARE INC.,U,CIK0001810806,USD,8306000.0,340716000.0,73583000.0,83528000.0,-3474000.0,3028077000.0,74913000.0,,85400000.0,5778000.0,,4709000.0,,2661732000.0,1995169000.0,123000.0,176000.0,587133000.0,355765000.0,355865000.0,587080000.0,,,1300000.0,,1001944000.0,,1012767000.0,,5e-06,1000000000.0,282177000.0,282177000.0,2000.0,-148264000.0,22000000.0,123461000.0,19570000.0,,,57725000.0,,,,,2300000.0,,,,,,,,,,,,,,,,,,,,7561000.0,,-0.53,,-0.53,,,54559000.0,128500000.0,52231000.0,,17878000.0,10114000.0,,7123000.0,13284000.0,14434000.0,117932000.0,65701000.0,,135917000.0,342134000.0,,,215837000.0,,-149599000.0,,,-1257000.0,,,,,,,,,,,,,,,,,485000.0,,,8910000.0,149299000.0,,29902000.0,,16290000.0,21307000.0,24422000.0,15503000.0,18942000.0,691949000.0,2661732000.0,556396000.0,,,,-148342000.0,-148342000.0,-148342000.0,,,94536000.0,,365021000.0,-149184000.0,7407000.0,130357000.0,25783000.0,104574000.0,,110656000.0,0.043,30552000.0,41301000.0,-3000.0,81000.0,78000.0,11409000.0,70000.0,,,,,,,,,,5e-06,100000000.0,0.0,0.0,0.0,34877000.0,,,,,,,,179476000.0,95948000.0,119294000.0,,,,,15036000.0,,,154216000.0,,10823000.0,-1054822000.0,273562000.0,220900000.0,,,,74888000.0,,,,,,,,,,34274912.0,11.82,,,,125000.0,1969783000.0,,,,,,,0.0,15435000.0,,93000.0,,49336000.0,86700000.0,,,,,,,,10200000.0,,1471000.0,280374000.0,,280374000.0,,,,,,,,,,
2021-09-30,2021-11-10,10-Q,UNITY SOFTWARE INC.,U,CIK0001810806,USD,10587000.0,301035000.0,67094000.0,90352000.0,-3411000.0,3140485000.0,97317000.0,,97317000.0,4936000.0,,7144000.0,,2678277000.0,1636970000.0,107000.0,87000.0,524949000.0,318980000.0,319063000.0,524969000.0,,,1600000.0,,755429000.0,,766252000.0,,5e-06,1000000000.0,285711000.0,285711000.0,2000.0,-115089000.0,21800000.0,129294000.0,18614000.0,,,63517000.0,,,,,2300000.0,,,,,,,,,,,,,,,,,,,,7976000.0,,-0.41,,-0.41,,,66562000.0,116900000.0,59375000.0,,35467000.0,9351000.0,,17191000.0,25727000.0,30705000.0,191302000.0,131927000.0,,73723000.0,638868000.0,,,222811000.0,,-126814000.0,,,-11662000.0,,,,,,,,,,,,,,,,,0.0,,,8537000.0,139755000.0,,29515000.0,,16090000.0,21047000.0,24106000.0,7688000.0,17383000.0,711175000.0,2678277000.0,578962000.0,,,,-115152000.0,-115152000.0,-115152000.0,,,97217000.0,,349561000.0,-126750000.0,7285000.0,122372000.0,25405000.0,96967000.0,,104762000.0,0.043,24379000.0,56239000.0,72000.0,-9000.0,63000.0,16632000.0,-64000.0,,,,,,,,,,5e-06,100000000.0,0.0,0.0,0.0,31158000.0,,,,,,,,189040000.0,98688000.0,603344000.0,,,,,30607000.0,,,178413000.0,,10823000.0,-1169974000.0,286328000.0,225600000.0,,,,97425000.0,,,,,,,,,,31395988.0,12.72,,,,172000.0,1967102000.0,,,,,,,0.0,15091000.0,,93000.0,,81334000.0,94500000.0,,,,,,,,11300000.0,,1173000.0,283714000.0,,283714000.0,,,,,,,,,,
2021-12-31,2022-02-22,10-K,UNITY SOFTWARE INC.,U,CIK0001810806,USD,14009000.0,340491000.0,60937000.0,97801000.0,-3858000.0,3729874000.0,334529000.0,24200000.0,347159000.0,5447000.0,,33483000.0,,4841346000.0,2151110000.0,22000.0,990000.0,682291000.0,381269000.0,381133000.0,681323000.0,526081000.0,8329000.0,5600000.0,0.0,,1055776000.0,1066599000.0,-227348000.0,5e-06,1000000000.0,292592000.0,292592000.0,2000.0,-533047000.0,28300000.0,140528000.0,15945000.0,108600000.0,,253630000.0,-111000.0,13594000.0,13702000.0,219000.0,,-4874000.0,-6600000.0,-12325000.0,24936000.0,-851000.0,13707000.0,5683000.0,592724000.0,24600000.0,332622000.0,1134000.0,0.0,81847000.0,29647000.0,9261000.0,568124000.0,336000.0,,4469000.0,31084000.0,64567000.0,-1.89,,-1.89,-91623000.0,459000.0,83936000.0,103600000.0,76546000.0,253912000.0,130074000.0,,76918000.0,108355000.0,120314000.0,124813000.0,890932000.0,814386000.0,,347912000.0,1620127000.0,1334074000.0,-198000.0,856896000.0,-318907000.0,-531230000.0,-212323000.0,2500000.0,1377000.0,5651000.0,301330000.0,-30114000.0,-111558000.0,1414000.0,-36984000.0,31088000.0,2022000.0,65151000.0,-1296000.0,15753000.0,13033000.0,13170000.0,6628000.0,-3282000.0,6831000.0,1131000.0,,110000.0,34604000.0,132533000.0,31547000.0,28193000.0,10174000.0,16242000.0,21409000.0,24968000.0,,16265000.0,2446955000.0,4841346000.0,625535000.0,1721002000.0,-1837360000.0,-111449000.0,-532607000.0,-532607000.0,-532607000.0,0.0,0.0,104111000.0,1.0,1388561000.0,-531665000.0,29153000.0,116268000.0,23729000.0,92539000.0,29811000.0,98393000.0,0.043,34423000.0,40401000.0,-1023000.0,583000.0,-440000.0,9901000.0,1566000.0,13843000.0,0.0,0.0,22575000.0,519698000.0,1580081000.0,0.0,4600000.0,41938000.0,5e-06,100000000.0,0.0,0.0,0.0,39097000.0,0.0,0.0,0.0,0.0,18572000.0,,66704000.0,203907000.0,106106000.0,692215000.0,0.0,295606000.0,116865000.0,279744000.0,,0.0,0.0,695710000.0,10800000.0,10823000.0,-1331627000.0,1110526000.0,581500000.0,18507000.0,,,344939000.0,334529000.0,12630000.0,20056867.0,6.15,1394700000.0,906223.0,13.23,1325352.0,39.05,29226041.0,13.28,5.72,107.1,48900000.0,728000.0,2394391000.0,,,11650963.0,526081000.0,,,,,,325000.0,,64759000.0,110315000.0,0.0,283000.0,2507000.0,38406000.0,,1729000.0,1700000.0,11900000.0,302300000.0,5048000.0,282195000.0,,282195000.0,73138000.0,73138000.0,1703035000.0,20467000.0,0.0,300000.0,500000.0,1725000000.0,10823000.0,3935813.0
