end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsPayableRelatedPartiesCurrent,AccountsPayableRelatedPartiesCurrentAndNoncurrent,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,AdditionalPaidInCapitalCommonStock,AdjustmentForAmortization,AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,AllocatedShareBasedCompensationExpense,AmortizationOfIntangibleAssets,AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,Assets,AssetsCurrent,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsIncludingDisposalGroupAndDiscontinuedOperations,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,CashFDICInsuredAmount,ClassOfWarrantOrRightExercisePriceOfWarrantsOrRights1,ClassOfWarrantOrRightNumberOfSecuritiesCalledByEachWarrantOrRight,ClassOfWarrantOrRightNumberOfSecuritiesCalledByWarrantsOrRights,ClassOfWarrantOrRightOutstanding,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockValue,CurrentForeignTaxExpenseBenefit,CurrentIncomeTaxExpenseBenefit,DebtConversionConvertedInstrumentAmount1,DepreciationAndAmortization,DueToRelatedPartiesCurrent,DueToRelatedPartiesCurrentAndNoncurrent,EarningsPerShareBasicAndDiluted,FDICIndemnificationAssetPeriodIncreaseDecrease,FiniteLivedIntangibleAssetsAccumulatedAmortization,FiniteLivedIntangibleAssetsNet,FiniteLivedPatentsGross,GeneralAndAdministrativeExpense,IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest,IncomeTaxesPaidNet,IncomeTaxReconciliationForeignIncomeTaxRateDifferential,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInPrepaidExpense,IncreaseDecreaseInPrepaidExpensesOther,InterestPaid,InterestPaidNet,IssuanceOfStockAndWarrantsForServicesOrClaims,LegalFees,Liabilities,LiabilitiesAndStockholdersEquity,LitigationSettlementExpense,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NoninterestExpenseDirectorsFees,NumberOfReportableSegments,NumberOfReportableSegments,OfficersCompensation,OperatingExpenses,OperatingLossCarryforwards,OtherAdditionalCapital,OtherGeneralAndAdministrativeExpense,OtherPrepaidExpenseCurrent,OtherTaxExpenseBenefit,PaymentsToAcquireIntangibleAssets,PaymentsToAcquirePropertyPlantAndEquipment,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PrepaidExpenseCurrent,PrepaidExpenseCurrentAndNoncurrent,ProceedsFromConvertibleDebt,ProceedsFromIssuanceOfCommonStock,ProceedsFromIssuanceOfPrivatePlacement,ProceedsFromWarrantExercises,ProfessionalFees,ProfitLoss,PropertyPlantAndEquipmentGross,PropertyPlantAndEquipmentNet,RetainageDeposit,RetainedEarningsAccumulatedDeficit,ShareBasedCompensation,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedDividendRate,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedVolatilityRate,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsRiskFreeInterestRate,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisableNumber,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExpirationsInPeriod,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsForfeituresAndExpirationsInPeriod,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsForfeituresAndExpirationsInPeriodWeightedAverageExercisePrice,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsForfeituresInPeriod,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriod,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriodGross,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriodWeightedAverageGrantDateFairValue,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingNumber,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingWeightedAverageExercisePrice,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsVestedAndExpectedToVestExercisableAggregateIntrinsicValue,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsVestedAndExpectedToVestOutstandingWeightedAverageExercisePrice,ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsExpirationsInPeriodWeightedAverageExercisePrice,ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsForfeituresInPeriodWeightedAverageExercisePrice,ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsGrantsInPeriodWeightedAverageExercisePrice,ShareBasedCompensationSharesAuthorizedUnderStockOptionPlansExercisePriceRangeNumberOfOutstandingOptions,SharebasedCompensationArrangementBySharebasedPaymentAwardCompensationCost1,SharebasedCompensationSharesAuthorizedUnderStockOptionPlansExercisePriceRangeOutstandingOptionsWeightedAverageExercisePriceBeginningBalance1,SharePrice,SharesIssuedPricePerShare,StockGrantedDuringPeriodValueSharebasedCompensationGross,StockholdersEquity,StockholdersEquityNoteSubscriptionsReceivable,StockIssued1,StockIssuedDuringPeriodSharesIssuedForServices,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodValueConversionOfConvertibleSecurities,StockIssuedDuringPeriodValueIssuedForServices,StockIssuedDuringPeriodValueNewIssues,StockIssuedDuringPeriodValueOther,StockIssuedDuringPeriodValueShareBasedCompensation,StockOptionPlanExpense,StockRepurchasedAndRetiredDuringPeriodValue,TreasuryStockSharesAcquired,WarrantsAndRightsOutstanding,WeightedAverageNumberOfShareOutstandingBasicAndDiluted
2016-03-31,2016-05-18,10-Q,VoIP-PAL.COM INC.,VPLM,CIK0001410738,USD,,,,,,,,,25186.0,,,,244801.0,,-236189.0,,,,,,,,,,,,,,,,,,0.0,,,,,536086.0,,,,,39710.0,,,,,,216678.0,,,,392876.0,,-629065.0,-536086.0,24429.0,,,,,,,28522.0,,,,,,,,,392876.0,,,,65957.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1040455868.0
2016-06-30,2016-08-15,10-Q,VoIP-PAL.COM INC.,VPLM,CIK0001410738,USD,17527.0,,900000.0,,29720857.0,,,,25168.0,,1528135.0,,182856.0,,-61945.0,,,250000.0,,,,,0.001,1100000000.0,,917464.0,,,,,,650000.0,0.0,,304647.0,1277779.0,1582426.0,977134.0,,,,-43897.0,-43897.0,67500.0,,,,92400.0,59722.0,17527.0,1528135.0,,510974.0,,-572919.0,-977134.0,8571.0,,,,,,759721.0,42024.0,,,,,0.01,1000000.0,67500.0,,241974.0,269000.0,269000.0,,256630.0,,,,,-29887434.0,398044.0,,,,,,,,,,,,,0.06,,,,,,,,,,,,1510608.0,,,,,,,,,,398044.0,,,,1050830868.0
2016-09-30,2017-01-11,10-K,VoIP-PAL.COM INC.,VPLM,CIK0001410738,USD,243337.0,0.0,,,30882963.0,,950294.0,,129368.0,,1486306.0,292365.0,121115.0,,-652160.0,,,250000.0,,,,0.0,0.001,1300000000.0,1056474201.0,933108.0,-266000.0,-877000.0,326000.0,,0.0,,0.0,,358475.0,1193941.0,1552416.0,3474105.0,,,,,199736.0,71250.0,100000.0,0.0,,1121195.0,201065.0,243337.0,1486306.0,,707000.0,-114398.0,-1244762.0,-3474105.0,713000.0,,,,,20446000.0,1063041.0,187424.0,100000.0,323000.0,114398.0,,0.01,1000000.0,71250.0,,326000.0,,381000.0,,439894.0,-3424105.0,,,,-31636143.0,950294.0,,,,,,,,,,28000000.0,,28000000.0,0.06,,,,,0.06,,,,,,,1242969.0,,,,,,1121195.0,381000.0,39800.0,,950294.0,,,,1041024918.0
2016-12-31,2017-02-10,10-Q,VoIP-PAL.COM INC.,VPLM,CIK0001410738,USD,87902.0,46500.0,,,31444240.0,,117090.0,,34548.0,,1375262.0,215869.0,67119.0,,-53996.0,,,250000.0,,,,,0.001,1200000000.0,1072187534.0,948821.0,,,72500.0,,,,0.0,,393023.0,1159393.0,1552416.0,532599.0,,,,,-155435.0,-22500.0,,,,112400.0,89619.0,87902.0,1375262.0,,347500.0,,-401496.0,-532599.0,53100.0,,,,,,1063041.0,67362.0,100000.0,,,,0.01,1000000.0,48750.0,,72500.0,,275000.0,,80880.0,,,,,-32168742.0,117090.0,,,,18700000.0,,,,,,3450000.0,,31450000.0,0.06,,,,,0.06,31450000.0,,0.06,0.03,,,1287360.0,,,,,,,275000.0,,,117090.0,,,,1064989925.0
2017-03-31,2017-05-12,10-Q,VoIP-PAL.COM INC.,VPLM,CIK0001410738,USD,184002.0,93000.0,,,31857850.0,,,,34548.0,,1315125.0,190279.0,90279.0,,23160.0,,,250000.0,0.04,1.0,,22400000.0,0.001,1300000000.0,1098677534.0,975311.0,,,,,,,0.0,,427570.0,1124846.0,1552416.0,670537.0,,,,,96100.0,-48750.0,,,,17300.0,282940.0,184002.0,1315125.0,,497000.0,,-473840.0,-670537.0,53100.0,,,,,,1063041.0,134755.0,100000.0,,,,0.01,1000000.0,,,,,497000.0,,125194.0,,,,,-32765079.0,,,,,18700000.0,,,,,,,,31450000.0,0.06,,,,,,31450000.0,,0.06,0.05,,,1131123.0,,,,,,,,,,,,,,1082812451.0
2017-06-30,2017-08-14,10-Q,VoIP-PAL.COM INC.,VPLM,CIK0001410738,USD,140900.0,,,,32682941.0,,,,34548.0,,1199676.0,109378.0,9378.0,,-80902.0,,,250000.0,,,43950000.0,43950000.0,0.001,1300000000.0,1124062534.0,1000697.0,,,,,139500.0,,0.0,,462118.0,1090298.0,1552416.0,922824.0,,,,,-43102.0,,,,,94700.0,218570.0,140900.0,1199676.0,,451000.0,,-531901.0,-922824.0,55100.0,,,,,,1063041.0,90221.0,100000.0,,,,0.01,1000000.0,,,,,451000.0,,189608.0,,,,,-33687903.0,304777.0,,,,27350000.0,,,,,,,,39850000.0,0.06,,0.04,,,,39850000.0,,0.0575,,,,1058776.0,,,,,,,,,,304777.0,,,,1092945507.0
2017-09-30,2018-01-12,10-K,VoIP-PAL.COM INC.,VPLM,CIK0001410738,USD,316533.0,,,,33028389.0,,421867.0,,138191.0,,1179907.0,124157.0,12157.0,,-108958.0,,,250000.0,0.04,,61500500.0,61500500.0,0.001,1300000000.0,1142125534.0,1018760.0,-1030000.0,-659000.0,32500.0,,186700.0,,0.0,,496666.0,1055750.0,1552416.0,2610673.0,-2610673.0,0.0,,,73196.0,-14250.0,,0.0,,231701.0,911003.0,316533.0,1179907.0,,1622510.0,,-1731468.0,-2610673.0,214400.0,,1.0,,,24857000.0,1063041.0,291988.0,100000.0,143000.0,,,0.01,1000000.0,12000.0,,32500.0,,1590010.0,,405834.0,-2610673.0,,,,-34246816.0,421867.0,,,,39350000.0,,,,,,11850000.0,,39850000.0,0.058,,0.04,,,0.053,39850000.0,,0.06,,,,863374.0,,0.0,,,32500.0,231701.0,1590010.0,,,421867.0,45000.0,,,1111696541.0
2017-12-31,2018-02-14,10-Q,VoIP-PAL.COM INC.,VPLM,CIK0001410738,USD,406510.0,,,,34914656.0,,,,34550.0,,2577257.0,1556057.0,1379057.0,,1366900.0,,,250000.0,,,66406500.0,66406500.0,0.001,1300000000.0,1228321197.0,1104956.0,,,,,227200.0,,0.0,1129063.0,531216.0,1021200.0,1552416.0,665090.0,-665090.0,0.0,,,89977.0,,,0.0,,2370.0,343777.0,406510.0,2577257.0,,1970093.0,,-603193.0,-665090.0,53100.0,,1.0,,,,1063041.0,89204.0,100000.0,,,,0.01,1000000.0,12000.0,,,,1930093.0,40000.0,110930.0,,,,,-34911906.0,,,,,39850000.0,,,,,,0.0,,39850000.0,0.058,,0.04,,,0.0,39850000.0,,0.058,,,,2170747.0,65000.0,0.0,,,,2370.0,1930093.0,,,,,,,1166319004.0
2018-03-31,2018-05-11,10-Q,VoIP-PAL.COM INC.,VPLM,CIK0001410738,USD,298064.0,,,,43222820.0,,2651050.0,,34550.0,,3791343.0,2804693.0,2642693.0,,,,,250000.0,0.04,,,39156500.0,0.001,2000000000.0,1472796135.0,1231310.0,,,,,227200.0,,0.0,,565766.0,986650.0,1552416.0,6048944.0,,,,,,,,,,,284875.0,298064.0,3791343.0,,,,,-6048945.0,53100.0,,,,,,,98452.0,100000.0,,,,0.01,1000000.0,12000.0,,,,,,2916917.0,,,,,-40960851.0,2651050.0,,,,54350000.0,,,,,,,,58350000.0,0.1,,0.04,,,,58350000.0,,0.1,,,,3493279.0,50000.0,,,,,2808460.0,1005967.0,,,,,,,1337628236.0
2018-06-30,2018-08-13,10-Q,VoIP-PAL.COM INC.,VPLM,CIK0001410738,USD,341870.0,,,,43931020.0,,120825.0,,34550.0,,3861405.0,2909305.0,2797305.0,,,,,250000.0,0.04,,,18906500.0,0.001,2000000000.0,1487921135.0,1246435.0,,,,34550.0,318100.0,,0.0,,600316.0,952100.0,1552416.0,732069.0,,,,,,,,,,,231233.0,341870.0,3861405.0,,,,,-732069.0,55300.0,,,,,,35000.0,71978.0,100000.0,,,,0.01,1000000.0,12000.0,,,,,,187976.0,,,,,-41692920.0,120825.0,,,,56350000.0,,,,,,,,58350000.0,0.058,,0.04,,,,58350000.0,,0.058,,,,3519535.0,,,,,,7500.0,,,,,,,,1464963231.0
