end,filed,form,Name,Ticker,CIK,Currency,AccountsAndNotesReceivableNet,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsPayableCurrent,AccountsReceivableGross,AccountsReceivableGrossCurrent,AccountsReceivableNetCurrent,AccruedLiabilitiesCurrent,AccumulatedOtherComprehensiveIncomeLossNetOfTax,AdditionalPaidInCapital,AdjustmentForAmortization,AdjustmentsToAdditionalPaidInCapitalOther,AdvancesOnInventoryPurchases,AdvertisingExpense,AllowanceForDoubtfulAccountsReceivable,AllowanceForDoubtfulAccountsReceivableCurrent,AmortizationOfDebtDiscountPremium,AssetImpairmentCharges,Assets,AssetsCurrent,CapitalizedComputerSoftwareAccumulatedAmortization,CapitalizedComputerSoftwareGross,CapitalizedComputerSoftwareNet,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect,CommonStockParOrStatedValuePerShare,CommonStockShareSubscribedButUnissuedSubscriptionsReceivable,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,ComprehensiveIncomeNetOfTax,CostOfRevenue,CumulativeTranslationAdjustmentNetOfTaxPeriodIncreaseDecrease,CustomerAdvancesAndDeposits,DeferredTaxAssetsGross,DeferredTaxAssetsNet,DeferredTaxAssetsValuationAllowance,Depreciation,DepreciationAndAmortization,DepreciationDepletionAndAmortization,DueFromRelatedPartiesCurrent,DueToOtherRelatedPartiesClassifiedCurrent,DueToRelatedPartiesCurrent,EarningsPerShareBasic,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EffectOfExchangeRateOnCashAndCashEquivalents,ForeignCurrencyTransactionGainLossBeforeTax,GainLossOnDispositionOfAssets,GainLossOnSaleOfPropertyPlantEquipment,GeneralAndAdministrativeExpense,GrossProfit,HealthCareOrganizationPatientServiceRevenueProvisionforBadDebts,ImpairmentOfIntangibleAssetsFinitelived,IncomeLossAttributableToNoncontrollingInterest,IncomeLossFromContinuingOperationsAttributableToNoncontrollingEntity,IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,IncomeTaxExpenseBenefit,IncomeTaxesPaid,IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccountsReceivable,IncreaseDecreaseInCustomerDeposits,IncreaseDecreaseInDeposits,IncreaseDecreaseInDueFromOtherRelatedPartiesCurrent,IncreaseDecreaseInDueFromRelatedPartiesCurrent,IncreaseDecreaseInDueToOtherRelatedPartiesCurrent,IncreaseDecreaseInDueToRelatedPartiesCurrent,IncreaseDecreaseInInventories,IncreaseDecreaseInOtherCurrentAssets,IncreaseDecreaseInOtherCurrentLiabilities,IncreaseDecreaseInOtherOperatingAssets,IncreaseDecreaseInPrepaidExpense,IncreaseDecreaseInPrepaidSupplies,InformationTechnologyAndDataProcessing,InterestExpense,InterestIncomeExpenseNet,InterestPaid,InterestPaidNet,InventoryFinishedGoods,InventoryGross,InventoryNet,InventoryRawMaterialsAndSupplies,InventoryValuationReserves,InventoryWorkInProcess,InventoryWriteDown,InvestmentIncomeInterest,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LiabilitiesNoncurrent,LoansPayable,LoansPayableCurrent,LongTermLoansPayable,MinorityInterest,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NonoperatingIncomeExpense,OperatingExpenses,OperatingIncomeLoss,OperatingLossCarryforwards,OtherAssetImpairmentCharges,OtherAssetsCurrent,OtherComprehensiveIncomeDefinedBenefitPlansNetUnamortizedGainLossArisingDuringPeriodNetOfTax,OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationAdjustmentBeforeTaxPortionAttributableToParent,OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationAdjustmentNetOfTaxPortionAttributableToParent,OtherComprehensiveIncomeForeignCurrencyTranslationGainLossArisingDuringPeriodTax,OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax,OtherComprehensiveIncomeLossNetOfTaxPortionAttributableToParent,OtherExpenses,OtherIncome,OtherLiabilitiesCurrent,OtherLoansPayable,OtherNoncashIncomeExpense,OtherNonoperatingExpense,OtherNonoperatingIncome,OtherNonoperatingIncomeExpense,OtherNotesPayable,PaidInKindInterest,PaymentsForLoans,PaymentsToAcquireProductiveAssets,PaymentsToAcquirePropertyPlantAndEquipment,PaymentsToAcquireSoftware,PaymentsToSuppliers,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValue,PrepaidExpenseCurrent,ProceedsFromContributedCapital,ProceedsFromContributionsFromAffiliates,ProceedsFromIssuanceOfCommonStock,ProceedsFromIssuanceOrSaleOfEquity,ProceedsFromLoans,ProceedsFromRefundsFromSuppliersOfMaterial,ProceedsFromRelatedPartyDebt,ProfessionalFees,ProfitLoss,PropertyPlantAndEquipmentGross,PropertyPlantAndEquipmentNet,PropertyPlantAndEquipmentOtherAccumulatedDepreciation,ProvisionForDoubtfulAccounts,RedemptionPremium,RepaymentsOfDebt,RepaymentsOfLongtermLoansFromVendors,RepaymentsOfRelatedPartyDebt,RepaymentsOfShortTermDebt,RetainedEarningsAccumulatedDeficit,Revenues,SaleOfStockPercentageOfOwnershipAfterTransaction,SaleOfStockPricePerShare,SecuritiesLoanedAsset,SellingGeneralAndAdministrativeExpense,ShareBasedCompensation,SharePrice,StockholdersEquity,StockIssuedDuringPeriodSharesIssuedForServices,StockIssuedDuringPeriodSharesRestrictedStockAwardGross,StockIssuedDuringPeriodValueAcquisitions,StockIssuedDuringPeriodValueIssuedForServices,StockIssuedDuringPeriodValueNewIssues,StockRedeemedOrCalledDuringPeriodShares,StockRedeemedOrCalledDuringPeriodValue,TechnologyServicesCosts,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesOutstandingBasic
2017-09-30,2017-11-17,10-Q,CAT9 Group Inc.,CATN,CIK0001632275,USD,,4386.0,,,,24822.0,,-4508.0,401702.0,,,6289.0,,,,,,347642.0,330129.0,,,,252292.0,252292.0,,,,0.0001,8100.0,500000000.0,101000000.0,101000000.0,10100.0,-101146.0,53598.0,,50251.0,,,,,,,24626.0,,78610.0,0.0,0.0,,,-4341.0,,,170308.0,73503.0,0.0,,,,-96805.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,21229.0,,,,,,161506.0,347642.0,161506.0,,,,,,,,,-96805.0,,170308.0,-96805.0,,,871.0,,,,,-4418.0,-101223.0,,,,78610.0,,,,,28259.0,,,,,,,0.0001,5000000.0,0.0,0.0,0.0,,,,,,,,,,,17513.0,,,,,,,,,-213135.0,127101.0,,0.0001,,,,,186136.0,,,,,,,,,101000000.0,101000000.0
2017-12-31,2018-03-29,10-K,CAT9 Group Inc.,CATN,CIK0001632275,USD,,57594.0,,,13910.0,13910.0,57594.0,-9705.0,404378.0,,22460.0,63698.0,,,,,-185525.0,338083.0,285905.0,,,,,168539.0,90306.0,,,0.0001,,500000000.0,101000000.0,101000000.0,10100.0,,146468.0,-12733.0,50310.0,100600.0,,100600.0,2840.0,,,20224.0,150927.0,150927.0,,0.0,0.25,,,,,475110.0,186922.0,,,,,-192937.0,,,,,57594.0,13910.0,23075.0,,,17487.0,,,2606.0,16928.0,,,,-117304.0,53540.0,,2508.0,,,2606.0,2606.0,2606.0,,,,,2508.0,335675.0,338083.0,335675.0,,,76844.0,,,200263.0,-54169.0,-55788.0,-192937.0,2508.0,382367.0,-195445.0,402365.0,,16928.0,,,12733.0,,-12733.0,-205670.0,,,76844.0,,,,,,,,,,54169.0,,,0.0001,5000000.0,0.0,0.0,,,22460.0,,,8100.0,76844.0,,96765.0,39242.0,,,52178.0,,,,,,3906.0,,-402365.0,333390.0,,,,475110.0,,,2408.0,,,,,8100.0,,,53540.0,72260274.0,
2018-03-31,2018-05-10,10-Q,CAT9 Group Inc.,CATN,CIK0001632275,USD,,64133.0,,,,16633.0,,-13118.0,404378.0,,,34633.0,,,,,,173609.0,120734.0,,,,,4378.0,-166995.0,,,0.0001,,500000000.0,101000000.0,101000000.0,10100.0,,9695.0,-3413.0,58186.0,,,,3287.0,,,35738.0,,208094.0,,0.0,,2834.0,,,,190426.0,10414.0,,,,,-235477.0,,,,,6539.0,2723.0,7876.0,-7876.0,,15514.0,57167.0,,26746.0,-16928.0,57167.0,,,-29065.0,17310.0,49.0,,,,,,29352.0,,,,,,410091.0,173609.0,410091.0,,,,,,,-3984.0,-163011.0,-235477.0,2278.0,248169.0,-237755.0,,,,,,3413.0,,-3413.0,-238890.0,,2327.0,79678.0,,,,2327.0,,,,,,3984.0,,,0.0001,5000000.0,0.0,0.0,,,,,,,,,,40433.0,,,52875.0,,,,,,,,-637842.0,20109.0,,,,190426.0,,,-236482.0,,,,,,,,,101000000.0,
2018-06-30,2018-08-13,10-Q,CAT9 Group Inc.,CATN,CIK0001632275,USD,,60093.0,,,,11873.0,,-17778.0,505252.0,,7679.0,13008.0,,,,,,131410.0,82507.0,,,,,3814.0,,,,0.0001,,500000000.0,102166400.0,102166400.0,10217.0,,4490.0,,28427.0,,,,,,,41759.0,,239350.0,,0.0,,,,,,95114.0,3828.0,,,,,-131854.0,,,,,,,,,,,,,,,,,,,24713.0,,,,,,,12053.0,,,,,,403415.0,131410.0,403415.0,,,,,,,,,-131854.0,346.0,136028.0,-132200.0,,,,,,,,-4660.0,-136514.0,,346.0,75545.0,,,,346.0,,,,,,,,,0.0001,5000000.0,0.0,0.0,,,,,,,,,,16201.0,,,48903.0,,,,,,,,-769696.0,8318.0,,,,95114.0,,,-272005.0,,,,,93312.0,,,,101781873.0,
2018-09-30,2018-11-08,10-Q,CAT9 Group Inc.,CATN,CIK0001632275,USD,,117369.0,,,,18787.0,,-13603.0,505252.0,,,43060.0,,,,,,264217.0,220679.0,,,,,4515.0,,,,0.0001,,500000000.0,102166400.0,102166400.0,10217.0,,11955.0,,149732.0,,,,,,,3778.0,,282343.0,,0.0,,,,,,116841.0,16533.0,,,,,-157529.0,,,,,,,,,,,,,,,,,,,55073.0,,400.0,,,,,27940.0,,,,,,689576.0,264217.0,689576.0,,,,,,,,,-157529.0,-1992.0,172070.0,-155537.0,,,122599.0,,,,,4175.0,-153354.0,,,140132.0,,,,,-2392.0,,,,,,,,0.0001,5000000.0,0.0,0.0,,,,,,,,,,156.0,,,43538.0,,,,,,,,-927225.0,28488.0,,,,116841.0,,,-425359.0,,,,,,,,,102166400.0,
2018-12-31,2019-04-01,10-K,CAT9 Group Inc.,CATN,CIK0001632275,USD,13879.0,151840.0,,,13879.0,10129.0,,-1933.0,497573.0,,,78403.0,,3750.0,3750.0,,,452974.0,410793.0,,,,,119792.0,-48747.0,119792.0,,0.0001,,500000000.0,102166400.0,102166400.0,10217.0,,253418.0,7772.0,14092.0,279565.0,,279565.0,11960.0,,,1682.0,330518.0,466121.0,,-0.007,0.25,,,,,,209004.0,,,,,-715894.0,,,,,94246.0,125.0,-36218.0,,-18542.0,-18542.0,,,138925.0,29043.0,15575.0,,13285.0,14705.0,112186.0,757.0,-757.0,,,114682.0,141531.0,141531.0,26849.0,,,,1066.0,1065376.0,452974.0,1065376.0,,,87230.0,,,749410.0,-1963.0,-796194.0,-715894.0,-884.0,924014.0,-715010.0,1118259.0,,45971.0,,,-7772.0,,7772.0,-708122.0,,,15575.0,,,1193.0,,1066.0,,,,,1963.0,,,0.0001,5000000.0,0.0,0.0,,13285.0,,,,93312.0,476507.0,,179591.0,61020.0,-715894.0,,42181.0,,3906.0,,,,,,-1118259.0,462422.0,,,,750808.0,,,-612402.0,,,,,93312.0,,,,102166400.0,
2019-03-31,2019-05-20,10-Q,CAT9 Group Inc.,CATN,CIK0001632275,USD,,83883.0,,,,55254.0,,-16564.0,497573.0,,,42677.0,,,,,,429782.0,389282.0,,,,,97383.0,-21356.0,,,0.0001,,500000000.0,102166400.0,102166400.0,10217.0,,186413.0,-14631.0,123557.0,,,,3313.0,3313.0,,2986.0,377553.0,527693.0,,0.0,,-1053.0,,,,,146838.0,,,,,-158182.0,,,,,-67957.0,45452.0,109465.0,,,1304.0,-1304.0,,-1715.0,-919.0,12236.0,,-7171.0,-35726.0,34590.0,539.0,-539.0,,942.0,93359.0,139816.0,139816.0,46457.0,,,,,1214997.0,429782.0,1214997.0,,,74500.0,,,95877.0,-579.0,-116654.0,-158182.0,-686.0,304334.0,-157496.0,,,45052.0,,,14631.0,,-14631.0,-172813.0,,,27811.0,,,749.0,602.0,602.0,,,,,579.0,,,0.0001,5000000.0,0.0,0.0,,6114.0,,,,,48842.0,,47035.0,19555.0,-158182.0,,40500.0,,327.0,,,,,,-1276441.0,333251.0,,,,250189.0,,,-785215.0,,,,,,,,,102166400.0,
2019-06-30,2019-08-13,10-Q,CAT9 Group Inc.,CATN,CIK0001632275,USD,,130311.0,,,,10871.0,,-15032.0,497573.0,,,63062.0,,,,,,1040197.0,1003856.0,,,,,504104.0,,504104.0,,0.0001,,500000000.0,102166400.0,102166400.0,10217.0,,557891.0,,203277.0,,,,,,,7813.0,403345.0,559528.0,,0.0,,,,,,,1098104.0,,,,,445371.0,,,,,,,,,,,,,,,,,,,15740.0,1241.0,-1241.0,,,299628.0,366030.0,366030.0,66402.0,,,,,1378509.0,1040197.0,1378509.0,,,72827.0,,,,,,445371.0,272.0,653005.0,445099.0,,,47030.0,,,,,1532.0,446903.0,,,9221.0,,,,1513.0,1513.0,,,,,,,,0.0001,5000000.0,0.0,0.0,,4946.0,,,,,,,,14374.0,445371.0,,36341.0,,,,,,,,-831070.0,1655995.0,,,,622891.0,,,-338312.0,,,,,,,,,102166400.0,
2019-09-30,2019-11-14,10-Q,CAT9 Group Inc.,CATN,CIK0001632275,USD,,112699.0,,,,77884.0,,-18794.0,497573.0,,,119117.0,,,,,,1394361.0,1358534.0,,,,,546239.0,,546239.0,,0.0001,,500000000.0,102166400.0,102166400.0,10217.0,,860496.0,,268050.0,,,,,,,63257.0,415396.0,372691.0,,0.0,,,,,,,1348173.0,,,,,475096.0,,,,,,,,,,,,,,,,,,,15090.0,,742.0,,,367361.0,468333.0,468333.0,100972.0,,,,,1261339.0,1394361.0,1261339.0,,,70812.0,,,,,,471334.0,-9444.0,863633.0,484540.0,,,49961.0,,,,,-3762.0,471334.0,,,21691.0,,,,,-10186.0,,,,,,,,0.0001,5000000.0,0.0,0.0,,33743.0,,,,,,,,4730.0,475096.0,,35827.0,,,,,,,,-355974.0,2208669.0,,,,843813.0,,,133022.0,,,,,,,,,102166400.0,
2019-12-31,2020-04-27,10-K,CAT9 Group Inc.,CATN,CIK0001632275,USD,434810.0,811242.0,,,,426895.0,,-12338.0,497573.0,,,97210.0,,7915.0,,2697.0,,1021625.0,986058.0,2676.0,16055.0,13379.0,,189429.0,69637.0,189429.0,69637.0,0.0001,,500000000.0,102166400.0,102166400.0,10217.0,,2271707.0,-10405.0,29261.0,213188.0,,213188.0,15349.0,,,1669.0,416807.0,,,0.0,0.25,,,-5711.0,-5711.0,,3321113.0,,,,,292507.0,,,,,659402.0,421011.0,15169.0,,-13.0,,,,93570.0,-11768.0,7232.0,,-11734.0,18807.0,172758.0,,2176.0,,930.0,198391.0,235101.0,235101.0,36710.0,,,,,1351925.0,1021625.0,1351925.0,,,71808.0,,,-395254.0,-17609.0,482500.0,292507.0,25391.0,3053997.0,267116.0,852752.0,,34203.0,,,9939.0,,-10405.0,282102.0,,,22807.0,,,16199.0,,39414.0,,,,16182.0,1427.0,,,0.0001,5000000.0,0.0,0.0,,1551.0,,,,,,,86289.0,88610.0,292507.0,,22188.0,,4245.0,,,,481543.0,,-825752.0,5592820.0,,,,2792629.0,,,-330300.0,,,,,,,,,102166400.0,
2020-03-31,2020-07-09,10-Q,CAT9 Group Inc.,CATN,CIK0001632275,USD,535313.0,1119361.0,,,,153816.0,,16132.0,497573.0,,,436192.0,,381497.0,,,,1219904.0,1191885.0,6579.0,15790.0,9211.0,,171223.0,-18693.0,171223.0,-18693.0,0.0001,,500000000.0,102166400.0,102166400.0,10217.0,,509592.0,28470.0,30562.0,,,,,7061.0,3057.0,4467.0,417871.0,141246.0,,0.0,,487.0,,,,,544423.0,,,,,-276295.0,,,,,308119.0,106008.0,1301.0,,2798.0,,-2798.0,,148723.0,8160.0,-4440.0,,-1551.0,338982.0,106398.0,,,,,134533.0,383824.0,383824.0,58359.0,,190932.0,,,1798029.0,1219904.0,1798029.0,,,70622.0,,,141124.0,,-159817.0,-276295.0,-12634.0,808085.0,-263662.0,,,42363.0,,,-28470.0,,28470.0,-247825.0,,,18367.0,,,12958.0,,324.0,,,,,,,,0.0001,5000000.0,0.0,0.0,,,,,,,140060.0,,1064.0,57790.0,-276295.0,,18808.0,,379087.0,,,,,,-1102047.0,1054015.0,,,,643897.0,,,-578125.0,,,,,,,,,102166400.0,
2020-06-30,2020-08-12,10-Q,CAT9 Group Inc.,CATN,CIK0001632275,USD,638590.0,969364.0,,,,134311.0,,25297.0,497573.0,,,314541.0,,504279.0,,,,882550.0,861313.0,10549.0,15823.0,5274.0,,2554.0,,2554.0,,0.0001,,500000000.0,102166400.0,102166400.0,10217.0,,96866.0,,128509.0,,,,5932.0,,,3768.0,417562.0,110077.0,,0.0,,,,,,,130557.0,,,,,-265568.0,,,,,,,,,,,,,,,,,,,10899.0,,-2181.0,,,290676.0,364717.0,364717.0,74041.0,,,,,1717078.0,882550.0,1717078.0,,,70770.0,,,,,,-265568.0,-11665.0,384460.0,-253903.0,,,39893.0,-256403.0,,,,9165.0,-256403.0,11780.0,2296.0,20796.0,,,11780.0,,-11665.0,,,,,,,,0.0001,5000000.0,0.0,0.0,,1529.0,,,,,,,,13441.0,-265568.0,,15963.0,,,,,,,,-1367615.0,227423.0,,,,360120.0,,,-834528.0,,,,,,,,,102166400.0,
2020-09-30,2020-11-13,10-Q,CAT9 Group Inc.,CATN,CIK0001632275,USD,608390.0,843503.0,,,,15701.0,,-31232.0,497573.0,,,214286.0,,592689.0,,,,647171.0,632410.0,15884.0,16463.0,579.0,,1455.0,,1455.0,,0.0001,,500000000.0,102166400.0,102166400.0,10217.0,,123331.0,,62111.0,,,,,,,2536.0,421755.0,98853.0,,0.0,,,,,,,78543.0,,,0.0,,-91155.0,,,,,,,,,,,,,,,,,,,5968.0,,-3082.0,,,294783.0,364813.0,364813.0,70030.0,,,,,1629384.0,647171.0,1629384.0,,30634.0,112657.0,,,,,,-91155.0,2904.0,172602.0,-94059.0,,,33015.0,,,,,-56529.0,-149684.0,,577.0,90505.0,,5409.0,,,2904.0,,,,,,,,0.0001,5000000.0,0.0,0.0,,604.0,,,,,,,,7464.0,-91155.0,,14182.0,,,,,,,,-1458771.0,201874.0,,,15317.0,159170.0,,,-982213.0,,,,,,,,,102166400.0,
2020-12-31,2021-03-30,10-K,CAT9 Group Inc.,CATN,CIK0001632275,USD,12824.0,511011.0,,12824.0,,12824.0,,-28823.0,497573.0,,,167235.0,,0.0,,15505.0,,517821.0,501346.0,19247.0,23495.0,4248.0,7000.0,7000.0,,7000.0,-182429.0,0.0001,,500000000.0,102166400.0,102166400.0,10217.0,,710269.0,-16485.0,1673.0,306432.0,,306432.0,10817.0,,,1149.0,426027.0,183709.0,,0.0,0.25,,,,,,861992.0,,,,,-372978.0,,,,,-300231.0,83375.0,-27588.0,,-520.0,,,,94219.0,-28038.0,-21757.0,,-1551.0,70025.0,130233.0,8553.0,-8501.0,,8553.0,248571.0,314660.0,306973.0,66089.0,7687.0,,22347.0,,1237584.0,517821.0,1237584.0,0.0,,114113.0,0.0,0.0,235234.0,-6027.0,-411636.0,-372978.0,277752.0,1512722.0,-650730.0,1225730.0,,6165.0,,,17687.0,,-16485.0,-389463.0,,,1051.0,,,,,324359.0,,,,6027.0,,,,0.0001,5000000.0,0.0,0.0,0.0,,,,,,226014.0,,9220.0,84327.0,-372978.0,51670.0,12227.0,39443.0,497446.0,,,,,,-1198730.0,1572261.0,,,,1298162.0,,,-719763.0,,,,,,,,,102166400.0,
2021-03-31,2021-05-17,10-Q,CAT9 Group Inc.,CATN,CIK0001632275,USD,51747.0,475833.0,,,,51747.0,,-16314.0,497573.0,,,126428.0,,,,,,500526.0,489800.0,22351.0,23409.0,1058.0,,42066.0,,42066.0,35066.0,0.0001,,500000000.0,102166400.0,102166400.0,10217.0,,93204.0,12509.0,8459.0,,,,,4806.0,2124.0,1293.0,425414.0,160369.0,,0.0,,,,,,,162986.0,,,,,27655.0,,,,,-35178.0,38923.0,6786.0,,144.0,,,,-47640.0,1120.0,7515.0,,1648.0,-40807.0,7437.0,,-2379.0,,,200318.0,259333.0,259333.0,59015.0,,,,,1180125.0,500526.0,1180125.0,,,101484.0,,,-36582.0,,71648.0,27655.0,693.0,136024.0,26962.0,,,7285.0,,,-13452.0,,12509.0,40164.0,,,8566.0,,,,,4546.0,,,,,,,,0.0001,5000000.0,0.0,0.0,,1648.0,,,,,,,,24829.0,27655.0,,9668.0,,,,,,613.0,35969.0,-1171075.0,256190.0,,,,103758.0,,,-679599.0,,,,,,,,,102166400.0,
2021-06-30,2021-08-16,10-Q,CAT9 Group Inc.,CATN,CIK0001632275,USD,,430597.0,,40887.0,,40887.0,,-31888.0,497573.0,,,117233.0,,0.0,,,,707253.0,695675.0,25898.0,30192.0,4294.0,,283401.0,,,,0.0001,,500000000.0,102166400.0,102166400.0,10217.0,,249861.0,,60750.0,,,,,,,,423095.0,37480.0,,0.0,,,,,,,445068.0,,,,,204675.0,,,,,,,,,,,,,,,,,,,16101.0,,-2592.0,,,160193.0,244395.0,244395.0,84202.0,0.0,,,,1197751.0,707253.0,1197751.0,,95222.0,95222.0,,,,,,204675.0,,224263.0,220805.0,,,9759.0,189101.0,,,,-15574.0,,14326.0,788.0,150607.0,,,,,-16130.0,,,,,,,,0.0001,5000000.0,0.0,0.0,0.0,,,,,,,,,4730.0,204675.0,52231.0,7284.0,44947.0,,,,,,,-966400.0,694929.0,,,15483.0,203432.0,,,-490498.0,,,,,,,,,102166400.0,
2021-09-30,2021-11-22,10-Q,CAT9 Group Inc.,CATN,CIK0001632275,USD,,590482.0,,46535.0,,46535.0,,-22558.0,506367.0,,,275391.0,,0.0,,,,902717.0,890293.0,29174.0,36703.0,7529.0,287168.0,287166.0,,,,0.0001,,500000000.0,102166400.0,102166400.0,10217.0,,75071.0,,385267.0,,,,,,,26008.0,422557.0,45762.0,,0.0,,,,,,,130394.0,,,4885.0,,-266477.0,,,,,,,,,,,,,,,,,,,6575.0,,-12552.0,,,158263.0,255191.0,255191.0,96928.0,0.0,,,,1641538.0,902717.0,1486413.0,155125.0,168637.0,24820.0,155125.0,-4885.0,,,,-266477.0,,379318.0,-248924.0,,,0.0,,,,,9330.0,-252262.0,,2473.0,17525.0,,-7444.0,,,-17523.0,,8794.0,,,,,,0.0001,5000000.0,0.0,0.0,0.0,,,,,,,,,4730.0,,58783.0,4895.0,47434.0,,,,,,,-1227962.0,205465.0,,,15261.0,368013.0,,,-738821.0,,,,,,,,,102166400.0,
