end,filed,form,Name,Ticker,CIK,Currency,AccountsPayable,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsPayableCurrent,AdditionalPaidInCapital,AdditionalPaidInCapitalCommonStock,AdvertisingExpense,AssetImpairmentCharges,Assets,AssetsCurrent,BankOverdrafts,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsIncludingDisposalGroupAndDiscontinuedOperations,CashPeriodIncreaseDecrease,CommitmentsAndContingencies,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockSharesSubscriptions,CommonStockValue,DeferredTaxAssetsNet,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsValuationAllowance,DeferredTaxesBusinessCombinationValuationAllowanceAllocatedToContributedCapital,DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,DividendsAndInterestPaid,DueToRelatedPartiesCurrent,EarningsPerShareBasic,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EffectiveIncomeTaxRateReconciliationChangeInDeferredTaxAssetsValuationAllowance,EffectiveIncomeTaxRateReconciliationForeignIncomeTaxRateDifferential,EffectiveIncomeTaxRateReconciliationStateAndLocalIncomeTaxes,EffectiveIncomeTaxRateReconciliationTaxExemptIncome,EquityIssuancePerShareAmount,ExplorationExpense,ExplorationExpenseMining,FederalDepositInsuranceCorporationPremiumExpense,GeneralAndAdministrativeExpense,ImpairmentOfInvestments,IncomeLossFromContinuingOperations,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeLossFromContinuingOperationsBeforeInterestExpenseInterestIncomeIncomeTaxesExtraordinaryItemsNoncontrollingInterestsNet,IncomeTaxExpenseBenefit,IncomeTaxesPaid,IncomeTaxesPaidNet,IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInDueToRelatedParties,IncreaseDecreaseInNotesPayableRelatedParties,IncreaseDecreaseInNotesPayableRelatedPartiesCurrent,IncreaseDecreaseInOptionPremiumContractsPayable,IncreaseDecreaseInPrepaidExpense,IncrementalCommonSharesAttributableToShareBasedPaymentArrangements,InterestExpenseRelatedParty,InterestPaid,InterestPaidNet,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LossesGainsOnSalesOfAssetsAndAssetImpairmentCharges,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,NetIncomeLoss,NotesPayable,NotesPayableRelatedPartiesCurrent,NotesPayableRelatedPartiesCurrentAndNoncurrent,OperatingExpenses,OperatingLossCarryforwards,OperatingLossCarryforwardsValuationAllowance,OtherMaterialNoncashItems,OtherNoncashExpense,OtherPrepaidExpenseCurrent,PaymentsToAcquireMineralRights,PaymentsToAcquireMiningAssets,PaymentsToAcquirePropertyPlantAndEquipment,PreferredStockNoParValue,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValue,PrepaidExpenseCurrent,ProceedsFromBankDebt,ProceedsFromIssuanceOfCommonStock,ProceedsFromRelatedPartyDebt,ProceedsFromRepaymentsOfBankOverdrafts,ProceedsFromRepaymentsOfRelatedPartyDebt,ProfessionalFees,PropertyPlantAndEquipmentNet,ProvisionForDoubtfulAccounts,RetainedEarningsAccumulatedDeficit,RevenueFromContractWithCustomerIncludingAssessedTax,RevenueMineralSales,Revenues,SalesRevenueNet,SalesRevenueServicesNet,SharebasedCompensationArrangementBySharebasedPaymentAwardCompensationCost1,SharesIssuedPricePerShare,ShortTermBankLoansAndNotesPayable,StockholdersEquity,StockholdersEquityPeriodIncreaseDecrease,StockIssuedDuringPeriodSharesIssuedForCash,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodValueIssuedForCash,ValuationAllowanceForImpairmentOfRecognizedServicingAssetsPeriodIncreaseDecrease,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesIssuedBasic,WeightedAverageNumberOfSharesOutstandingBasic,AccountsPayableRelatedPartiesCurrent,CapitalUnitsAuthorized,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect,IncreaseDecreaseInAccountsAndOtherReceivables,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,ManagementFeeExpense,ProceedsFromSaleOfPropertyPlantAndEquipment,RepaymentsOfNotesPayable,StockholdersEquityNoteSubscriptionsReceivable
2012-09-30,2012-11-13,10-Q,THE HEALING COMPANY INC.,THCC,CIK0001441082,USD,,,3162.0,,31000.0,,,240.0,240.0,,240.0,240.0,-390.0,,-390.0,,0.001,75000000.0,11000000.0,11000000.0,30000.0,11000.0,,,,,-73922.0,,,0.0,0.0,,,,,,,,0.0,,1552.0,0.0,-3364.0,-3364.0,,0.0,,,,,-2026.0,,,,,,,,,,,240.0,32162.0,,5000.0,5000.0,0.0,,-5390.0,-5390.0,-3364.0,,29000.0,29000.0,3364.0,,,,,,,,0.0,0.001,,,10000000.0,,,,,0.0,5000.0,,5000.0,1812.0,,,,,,0.0,,0.0,,,,-31922.0,,,,,0.0,11000000.0,,11000000.0,,,,,,,,,
2012-12-31,2013-02-14,10-Q,THE HEALING COMPANY INC.,THCC,CIK0001441082,USD,,,2530.0,,31000.0,,,499.0,499.0,,499.0,499.0,,,,,0.001,75000000.0,11000000.0,11000000.0,30000.0,11000.0,,,,,-77031.0,,,0.0,0.0,,,,,,,,0.0,,1320.0,0.0,-3109.0,-3109.0,,0.0,,,,,,,,,,,,,,,,499.0,35530.0,,,,,,,,-3109.0,,33000.0,33000.0,3109.0,,,,,,,,,0.001,,,10000000.0,,,,,,,,,1789.0,,,,,,0.0,,0.0,,,,-35031.0,,,,,,11000000.0,,11000000.0,,,,,,,,,
2013-03-31,2013-05-15,10-Q,THE HEALING COMPANY INC.,THCC,CIK0001441082,USD,,,,,,,,,,,,1399.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,880.0,,,-2669.0,,,,,,,,,,,,,,,,,,,,,,,,,,,-2669.0,,,,2669.0,,,,,,,,,,,,,,,,,,,,,1789.0,,,,,,,,,,,,,,,,,,11000000.0,,,,,,,,,,,
2013-06-30,2013-10-15,10-K,THE HEALING COMPANY INC.,THCC,CIK0001441082,USD,,,6143.0,,31000.0,,,1009.0,1009.0,,1009.0,1009.0,379.0,,379.0,,0.001,75000000.0,11000000.0,11000000.0,,11000.0,,,,,85134.0,,38000.0,0.0,0.0,0.39,,,,,,,0.0,,5247.0,0.0,-14567.0,-14576.0,,0.0,,,-5685.0,5685.0,955.0,,,,,,,,,,,1009.0,44143.0,,14000.0,14000.0,0.0,,-13621.0,-13621.0,-14576.0,,38000.0,,14576.0,33203.0,33203.0,,,,,,0.0,,0.001,10000000.0,,,,,,0.0,14000.0,,14000.0,9329.0,,,,,,0.0,,0.0,,,,-43134.0,-14576.0,,,,0.0,11000000.0,,11000000.0,,,,,,,,,
2013-09-30,2013-11-13,10-Q,THE HEALING COMPANY INC.,THCC,CIK0001441082,USD,,,4605.0,,31000.0,,,831.0,831.0,,,831.0,-178.0,,,,0.001,75000000.0,11000000.0,11000000.0,,11000.0,,,,,87774.0,,42000.0,,0.0,,,,,,0.01,,,,880.0,,,-2640.0,,,,,,,-1538.0,,,,,,,,,,,831.0,46605.0,,,4000.0,,,,-4178.0,-2640.0,,,,2640.0,,,,,,,,,,0.001,10000000.0,,,,,,,4000.0,,,1760.0,,,,,,,,,,,,-45774.0,,3000000.0,,30000.0,,11000000.0,,,,,,,,,,,
2013-12-31,2014-02-10,10-Q,THE HEALING COMPANY INC.,THCC,CIK0001441082,USD,,,3399.0,,31000.0,,,1203.0,1203.0,,,1203.0,,,,,0.001,75000000.0,11000000.0,11000000.0,,11000.0,,,,,90196.0,,46000.0,,0.0,,,,,,,,,,610.0,,,-2422.0,,,,,,,,,,,,,,,,,,1203.0,49399.0,,,,,,,,-2422.0,,,,2422.0,,,,,,,,,,0.001,10000000.0,,,,,,,,,,1812.0,,,,,,,,,,,,-48196.0,,,,,,11000000.0,,,,,,,,,,,
2014-03-31,2014-05-07,10-Q,THE HEALING COMPANY INC.,THCC,CIK0001441082,USD,,,3234.0,,31000.0,,,1200.0,1200.0,,,1200.0,,,,,0.001,75000000.0,11000000.0,11000000.0,,11000.0,,,,,93034.0,,49000.0,,0.0,,,,,,,,,,1050.0,,,-2838.0,,,,,,,,,,,,,,,,,,1200.0,52234.0,,,,,,,,-2838.0,,,,2838.0,,,,,,,,,,0.001,10000000.0,,,,,,,,,,1788.0,,,,,,,,,,,,-51034.0,,,,,,11000000.0,,,,,,,,,,,
2014-06-30,2014-09-26,10-K,THE HEALING COMPANY INC.,THCC,CIK0001441082,USD,,,5768.0,,31000.0,,,1090.0,1090.0,,,1090.0,81.0,,,,0.001,75000000.0,11000000.0,11000000.0,,11000.0,,38290.0,38290.0,,98178.0,,51500.0,,0.0,0.39,,,,,,,,,3770.0,,,-13044.0,,,,,-5087.0,5087.0,-375.0,,,,,,,,,,,1090.0,57268.0,,,13500.0,,,,-13419.0,-13044.0,,,,13044.0,38290.0,38290.0,,,,,,,,0.001,10000000.0,,,,,,,13500.0,,,9274.0,,,-98178.0,,,,,,,,,-56178.0,,,,,,11000000.0,,,,,,,,,,,
2014-09-30,2014-11-14,10-Q,THE HEALING COMPANY INC.,THCC,CIK0001441082,USD,,,4169.0,,31000.0,,,1564.0,1564.0,,,1564.0,474.0,,,,0.001,75000000.0,11000000.0,11000000.0,,11000.0,,,,,101105.0,,56500.0,,0.0,,,,,,0.01,,,,1208.0,,,-2927.0,,,,,,,-1599.0,,,,,,,,,,,1564.0,60669.0,,,5000.0,,,,-4526.0,-2927.0,,,,2927.0,,,,,,,,,,0.001,10000000.0,,,,,,,5000.0,,,1719.0,,,,,,,,,,,,-59105.0,,3000000.0,,30000.0,,11000000.0,,,,,,,,,,,
2014-12-31,2015-02-04,10-Q,THE HEALING COMPANY INC.,THCC,CIK0001441082,USD,,,3438.0,,31000.0,,,494.0,494.0,,,494.0,,,,,0.001,75000000.0,11000000.0,11000000.0,,11000.0,,,,,103944.0,,59000.0,,0.0,,,,,,,,,,1050.0,,,-2839.0,,,,,,,,,,,,,,,,,,494.0,62438.0,,,,,,,,-2839.0,,,,2839.0,,,,,,,,,,0.001,10000000.0,,,,,,,,,,1789.0,,,,,,,,,,,,-61944.0,,,,,,11000000.0,,,,,,,,,,,
2015-03-31,2015-04-30,10-Q,THE HEALING COMPANY INC.,THCC,CIK0001441082,USD,,,3726.0,,31000.0,,,904.0,904.0,,,904.0,,,,,0.001,75000000.0,11000000.0,11000000.0,,11000.0,,,,,106822.0,,62000.0,,0.0,,,,,,,,,,1090.0,,,-2879.0,,,,,,,,,,,,,,,,,,904.0,65726.0,,,,,,,,-2879.0,,,,2879.0,,,,,,,,,,0.001,10000000.0,,,,,,,,,,1789.0,,,,,,,,,,,,-64822.0,,,,,,11000000.0,,,,,,,,,,,
2015-06-30,2015-09-28,10-K,THE HEALING COMPANY INC.,THCC,CIK0001441082,USD,,,6260.0,,31000.0,,,804.0,804.0,,,804.0,-286.0,,,,0.001,75000000.0,11000000.0,11000000.0,,11000.0,,43858.0,43858.0,,,,65000.0,,0.0,0.39,,,,,,,,,5118.0,,,-14278.0,,,,,-5568.0,5568.0,492.0,,,,,,,,,,,804.0,71260.0,,,13500.0,,,,-13786.0,-14278.0,,,,14278.0,,,,,,,,,,0.001,10000000.0,0.0,0.0,,,,,13500.0,,,9160.0,,,-112456.0,,,,,,,,,-70456.0,,,,,,11000000.0,,,,,,,,,,,
2015-09-30,2015-11-09,10-Q,THE HEALING COMPANY INC.,THCC,CIK0001441082,USD,,,5484.0,,31000.0,,,3047.0,3047.0,,,3047.0,2243.0,,,,0.001,75000000.0,11000000.0,11000000.0,,11000.0,,,,,,,71000.0,,0.0,,,,,,,,,,1212.0,,,-2981.0,,,,,,,-776.0,,,,,,,,,,,3047.0,76484.0,,,6000.0,,,,-3757.0,-2981.0,,,,2981.0,,,,,,,,,,0.001,10000000.0,,,,,,,6000.0,,,1769.0,,,-115437.0,,,,,,,,,-73437.0,,,,,,11000000.0,,,,,,,,,,,
2015-12-31,2016-02-05,10-Q,THE HEALING COMPANY INC.,THCC,CIK0001441082,USD,,,3878.0,,31000.0,,,1492.0,1492.0,,,1492.0,,,,,0.001,75000000.0,11000000.0,11000000.0,,11000.0,,,,,,,74000.0,,0.0,,,,,,,,,,1160.0,,,-2949.0,,,,,,,,,,,,,,,,,,1492.0,77878.0,,,,,,,,-2949.0,,,,2949.0,,,,,,,,,,0.001,10000000.0,0.0,0.0,,,,,,,,1789.0,0.0,,-118386.0,,,,,,,,,-76386.0,,,,,,11000000.0,,,,,,,,,,,
2016-03-31,2016-05-09,10-Q,THE HEALING COMPANY INC.,THCC,CIK0001441082,USD,,,4436.0,,31000.0,,,2262.0,2262.0,,,2262.0,,,,,0.001,75000000.0,11000000.0,11000000.0,,11000.0,,,,,,,77000.0,,0.0,,,,,,,,,,1000.0,,,-2789.0,,,,,,,,,,,,,,,,,,2262.0,81436.0,,,,,,,,-2789.0,,,,2789.0,,,,,,,,,,0.001,10000000.0,0.0,0.0,,,,,,,,1789.0,0.0,,-121174.0,,,,,,,,,-79174.0,,,,,,11000000.0,,,,,,,,,,,
2016-06-30,2016-09-23,10-K,THE HEALING COMPANY INC.,THCC,CIK0001441082,USD,,,5914.0,,31000.0,,,146.0,146.0,,,146.0,-658.0,,,,0.001,75000000.0,11000000.0,11000000.0,,11000.0,,49830.0,49830.0,,,,80000.0,,0.0,0.39,,,,,,,,,5452.0,,,-15312.0,,,,,-5972.0,5972.0,-346.0,,,,,,,,,,,146.0,85914.0,,,15000.0,,,,-15658.0,-15312.0,,,,15312.0,,,,,,,,,,0.001,10000000.0,0.0,0.0,,,,,15000.0,,,9860.0,,,-127768.0,,,,,,,,,-85768.0,,,,,,11000000.0,,,,,,,,,,,
2016-09-30,2016-11-10,10-Q,THE HEALING COMPANY INC.,THCC,CIK0001441082,USD,,,5101.0,,31000.0,,0.0,1406.0,1406.0,,,1406.0,1260.0,,,,0.001,75000000.0,11000000.0,11000000.0,,11000.0,,,,,,,86000.0,,0.0,,,,,,,,,,1145.0,,,-3927.0,,0.0,,,,,-813.0,,,,,,,,,,,1406.0,91101.0,,,6000.0,,0.0,,-4740.0,-3927.0,,,,3927.0,,,,,,0.0,,,,0.001,10000000.0,0.0,0.0,,,,0.0,6000.0,,,2782.0,,,-131695.0,,,,0.0,0.0,,,,-89695.0,,,,,,11000000.0,,,,,,,,,,,
2016-12-31,2017-01-31,10-Q,THE HEALING COMPANY INC.,THCC,CIK0001441082,USD,,,5720.0,,31000.0,,,1756.0,1756.0,,,1756.0,,,,,0.001,75000000.0,11000000.0,11000000.0,,11000.0,,,,,,,89000.0,,0.0,,,,,,,,,,980.0,,,-3269.0,,0.0,,,,,,,,,,,,,,,,1756.0,94720.0,,,,,,,,-3269.0,,,,3269.0,,,,,,,,,,0.001,10000000.0,0.0,0.0,,,,,,,,2289.0,,,-134964.0,,,,0.0,0.0,,,,-92964.0,,,,,,11000000.0,,,,,,,,,,,
2017-03-31,2017-05-04,10-Q,THE HEALING COMPANY INC.,THCC,CIK0001441082,USD,,,5598.0,,31000.0,,,2117.0,2117.0,,,2117.0,,,,,0.001,75000000.0,11000000.0,11000000.0,,11000.0,,,,,,,92700.0,,0.0,,,,,,,,,,1178.0,,,-3217.0,,0.0,,,,,,,,,,,,,,,,2117.0,98298.0,,,,,,,,-3217.0,,,,3217.0,,,,,,,,,,0.001,10000000.0,0.0,0.0,,,,,,,,2039.0,,,-138181.0,,,,0.0,0.0,,,,-96181.0,,,,,,11000000.0,,,,,,,,,,,
2017-06-30,2017-09-19,10-K,THE HEALING COMPANY INC.,THCC,CIK0001441082,USD,,,8857.0,,31000.0,,,1212.0,1212.0,,,1212.0,1066.0,,,,0.001,75000000.0,11000000.0,11000000.0,,11000.0,0.0,57192.0,57192.0,,,,97000.0,,0.0,0.39,,,,,,,,,6423.0,,,-18877.0,,0.0,,,-7362.0,7362.0,2943.0,,,,,,,,,,,1212.0,105857.0,,17000.0,17000.0,0.0,,-15934.0,-15934.0,-18877.0,,,,18877.0,,,,,,0.0,,,,0.001,10000000.0,0.0,0.0,0.0,0.0,,,17000.0,,,12454.0,,,-146645.0,0.0,,,,,,,,-104645.0,,,,,,11000000.0,,,,,,,,,,,
