end,filed,form,Name,Ticker,CIK,Currency,AccountsPayable,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsPayableCurrent,AdditionalPaidInCapital,AdditionalPaidInCapitalCommonStock,AdvertisingExpense,AssetImpairmentCharges,Assets,AssetsCurrent,BankOverdrafts,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsIncludingDisposalGroupAndDiscontinuedOperations,CashPeriodIncreaseDecrease,CommitmentsAndContingencies,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockSharesSubscriptions,CommonStockValue,DeferredTaxAssetsNet,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsValuationAllowance,DeferredTaxesBusinessCombinationValuationAllowanceAllocatedToContributedCapital,DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,DividendsAndInterestPaid,DueToRelatedPartiesCurrent,EarningsPerShareBasic,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EffectiveIncomeTaxRateReconciliationChangeInDeferredTaxAssetsValuationAllowance,EffectiveIncomeTaxRateReconciliationForeignIncomeTaxRateDifferential,EffectiveIncomeTaxRateReconciliationStateAndLocalIncomeTaxes,EffectiveIncomeTaxRateReconciliationTaxExemptIncome,EquityIssuancePerShareAmount,ExplorationExpense,ExplorationExpenseMining,FederalDepositInsuranceCorporationPremiumExpense,GeneralAndAdministrativeExpense,ImpairmentOfInvestments,IncomeLossFromContinuingOperations,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeLossFromContinuingOperationsBeforeInterestExpenseInterestIncomeIncomeTaxesExtraordinaryItemsNoncontrollingInterestsNet,IncomeTaxExpenseBenefit,IncomeTaxesPaid,IncomeTaxesPaidNet,IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInDueToRelatedParties,IncreaseDecreaseInNotesPayableRelatedParties,IncreaseDecreaseInNotesPayableRelatedPartiesCurrent,IncreaseDecreaseInOptionPremiumContractsPayable,IncreaseDecreaseInPrepaidExpense,IncrementalCommonSharesAttributableToShareBasedPaymentArrangements,InterestExpenseRelatedParty,InterestPaid,InterestPaidNet,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LossesGainsOnSalesOfAssetsAndAssetImpairmentCharges,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,NetIncomeLoss,NotesPayable,NotesPayableRelatedPartiesCurrent,NotesPayableRelatedPartiesCurrentAndNoncurrent,OperatingExpenses,OperatingLossCarryforwards,OperatingLossCarryforwardsValuationAllowance,OtherMaterialNoncashItems,OtherNoncashExpense,OtherPrepaidExpenseCurrent,PaymentsToAcquireMineralRights,PaymentsToAcquireMiningAssets,PaymentsToAcquirePropertyPlantAndEquipment,PreferredStockNoParValue,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValue,PrepaidExpenseCurrent,ProceedsFromBankDebt,ProceedsFromIssuanceOfCommonStock,ProceedsFromRelatedPartyDebt,ProceedsFromRepaymentsOfBankOverdrafts,ProceedsFromRepaymentsOfRelatedPartyDebt,ProfessionalFees,PropertyPlantAndEquipmentNet,ProvisionForDoubtfulAccounts,RetainedEarningsAccumulatedDeficit,RevenueFromContractWithCustomerIncludingAssessedTax,RevenueMineralSales,Revenues,SalesRevenueNet,SalesRevenueServicesNet,SharebasedCompensationArrangementBySharebasedPaymentAwardCompensationCost1,SharesIssuedPricePerShare,ShortTermBankLoansAndNotesPayable,StockholdersEquity,StockholdersEquityPeriodIncreaseDecrease,StockIssuedDuringPeriodSharesIssuedForCash,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodValueIssuedForCash,ValuationAllowanceForImpairmentOfRecognizedServicingAssetsPeriodIncreaseDecrease,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesIssuedBasic,WeightedAverageNumberOfSharesOutstandingBasic,AccountsPayableRelatedPartiesCurrent,CapitalUnitsAuthorized,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect,IncreaseDecreaseInAccountsAndOtherReceivables,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,ManagementFeeExpense,ProceedsFromSaleOfPropertyPlantAndEquipment,RepaymentsOfNotesPayable,StockholdersEquityNoteSubscriptionsReceivable
2009-06-30,2009-09-24,10-K,THE HEALING COMPANY INC.,THCC,CIK0001441082,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-20013.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15748.0,-20013.0,,,30000.0,,,,,,,,,,,,,
2010-06-30,2010-09-28,10-K,THE HEALING COMPANY INC.,THCC,CIK0001441082,USD,,,,,,,,,,,1766.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-19582.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3834.0,-19582.0,,,,,,,,,,,,,,,,
2010-09-30,2010-11-08,10-Q,THE HEALING COMPANY INC.,THCC,CIK0001441082,USD,,,,,,,,,,,1336.0,,,,-430.0,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,,650.0,0.0,-3085.0,,,0.0,,,,,-2345.0,,5000.0,,,,,,,,,,,0.0,5000.0,,0.0,,-5430.0,,-3085.0,,,,3085.0,,,,,,,0.0,,,,,,,,,,0.0,,,,2435.0,,,,,,0.0,,,,,,,,,,,,,11000000.0,,,,,,,,,,
2010-12-31,2011-02-08,10-Q,THE HEALING COMPANY INC.,THCC,CIK0001441082,USD,,,,,,,,,,,1401.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,,140.0,0.0,,,-1960.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,-1960.0,,,,1960.0,,,,,,,,,,,,,,,,,,,,,1820.0,,,,,0.0,0.0,,,,,,,,,,,,,11000000.0,,,,,,,,,,
2011-03-31,2011-05-13,10-Q,THE HEALING COMPANY INC.,THCC,CIK0001441082,USD,,,,,,,,,,,91.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,,410.0,0.0,,,-2341.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,-2341.0,,,,2341.0,,,,,,,,,,,,,,,,,,,,,1931.0,,,,,0.0,0.0,,,,,,,,,,,,,11000000.0,,,,,,,,,,
2011-06-30,2011-09-28,10-K,THE HEALING COMPANY INC.,THCC,CIK0001441082,USD,5415.0,,5415.0,31000.0,31000.0,,,2718.0,2718.0,,2718.0,,,,952.0,,0.001,75000000.0,11000000.0,11000000.0,,11000.0,,,,-22704.0,-58215.0,,,0.0,,,,,,,,,0.0,,2290.0,0.0,-12381.0,,,0.0,,,,,-185.0,,,,,,,,,,18933.0,2718.0,18933.0,,13518.0,,0.0,,-12566.0,,-12381.0,13518.0,13518.0,,12381.0,22704.0,,,,,,,0.0,,,,,,,,,0.0,,,13518.0,10091.0,,,,,,0.0,,0.0,,,,-16215.0,-12381.0,,,,0.0,,,11000000.0,,,,,,,,,
2011-09-30,2011-11-10,10-Q,THE HEALING COMPANY INC.,THCC,CIK0001441082,USD,3187.0,,,31000.0,,,,3202.0,3202.0,,3202.0,,,,484.0,,,,,,,11000.0,,,,,-60485.0,,,0.0,0.0,,,,,,,0.0,0.0,,408.0,0.0,-2270.0,,,0.0,,,,,-2228.0,,4982.0,,,,,,,,21687.0,3202.0,21687.0,0.0,4982.0,,0.0,,-4498.0,,-2270.0,18500.0,,,2270.0,,,,,,,0.0,0.0,,,,,,,,,0.0,,,4982.0,1862.0,,,,,,0.0,,0.0,,,,-18485.0,,,,,0.0,,11000000.0,11000000.0,,,,,,,,,
2011-12-31,2012-02-14,10-Q,THE HEALING COMPANY INC.,THCC,CIK0001441082,USD,3582.0,,,31000.0,,,,1367.0,1367.0,,1367.0,,,,,,,,,,,11000.0,,,,,-62715.0,,,0.0,0.0,,,,,,,0.0,0.0,,280.0,0.0,-2230.0,,-2230.0,0.0,,,,,,,,,,,,,,,,1367.0,22082.0,,,,,,,,-2230.0,,18500.0,,2230.0,,,,,,,,,,,,,,,,,,,,,1950.0,,,,,0.0,0.0,,0.0,,,,-20715.0,,,,,,,11000000.0,11000000.0,,,,,,,,,
2012-03-31,2012-05-09,10-Q,THE HEALING COMPANY INC.,THCC,CIK0001441082,USD,2733.0,,,31000.0,,,,845.0,845.0,,845.0,,,,,,,,,,,11000.0,,,,,-65388.0,,,,0.0,,,,,,,0.0,,,900.0,0.0,,,-2673.0,0.0,,,,,,,,,,,,,,,,845.0,24233.0,,,,,,,,-2673.0,,21500.0,,2673.0,,,,,,,,,,,,,,,,,,,,,1773.0,,,,,0.0,0.0,,,,,,-23388.0,,,,,,,11000000.0,,,,,,,,,,
2012-06-30,2012-09-24,10-K,THE HEALING COMPANY INC.,THCC,CIK0001441082,USD,,,5188.0,,31000.0,,,630.0,630.0,,630.0,630.0,,,-2088.0,,0.001,75000000.0,11000000.0,11000000.0,30000.0,11000.0,,,,-27518.0,-70558.0,,,0.0,,,,,,,,,0.0,,3003.0,0.0,-12343.0,,,0.0,,,,,-227.0,,,,,,,,,,,630.0,29188.0,,10482.0,,0.0,,-12570.0,,-12343.0,,24000.0,5000.0,12343.0,27518.0,,,,,,,0.0,0.001,,,10000000.0,,,,,0.0,,,10482.0,9340.0,,,,,,0.0,,0.0,,,,-28558.0,-12343.0,,,,0.0,,,11000000.0,,,,,,,,,
