end,filed,form,Name,Ticker,CIK,Currency,AccountsPayable,AccountsPayableCurrentAndNoncurrent,AccountsPayableInterestBearingInterestRate,AccountsPayableRelatedParties,AccountsPayableRelatedPartiesCurrent,AccountsPayableRelatedPartiesCurrentAndNoncurrent,AdditionalPaidInCapital,Assets,AssetsCurrent,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CommitmentsAndContingencies,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,DebtInstrumentDecreaseForgiveness,DeferredOtherTaxExpenseBenefit,DeferredTaxAssetsLiabilitiesNet,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsAccruedLiabilities,DeferredTaxAssetsValuationAllowance,DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,ExtinguishmentOfDebtAmount,ExtraordinaryItemsGross,GainsLossesOnExtinguishmentOfDebt,GeneralAndAdministrativeExpense,IncomeLossBeforeExtraordinaryItemsAndCumulativeEffectOfChangeInAccountingPrinciple,IncomeLossFromContinuingOperationsPerBasicAndDilutedShare,IncomeLossFromContinuingOperationsPerBasicShare,IncomeTaxExpenseBenefitContinuingOperations,IncomeTaxExpenseBenefitContinuingOperationsAdjustmentOfDeferredTaxAssetLiability,IncomeTaxesPaid,IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInInterestPayableNet,IncreaseDecreaseInPrepaidExpense,InterestExpense,InterestPaid,InterestPayable,InterestPayableCurrentAndNoncurrent,IssuanceOfStockAndWarrantsForServicesOrClaims,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,NetCashProvidedByUsedInContinuingOperations,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NetIncomeLossAvailableToCommonStockholdersBasic,NotesPayableRelatedPartiesCurrent,NotesPayableRelatedPartiesCurrentAndNoncurrent,OperatingExpenses,OperatingLossCarryforwards,OtherExpenses,OtherExtraordinaryGainLoss,OtherMaterialNoncashItems,OtherOperatingIncomeExpenseNet,OtherSignificantNoncashTransactionValueOfConsiderationGiven1,OtherTaxExpenseBenefit,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValue,PrepaidExpenseCurrent,PrepaidExpenseCurrentAndNoncurrent,ProceedsFromContributedCapital,ProceedsFromRelatedPartyDebt,RelatedPartyTransactionRate,RetainedEarningsAccumulatedDeficit,Revenues,StockholdersEquity,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,StockholdersEquityNoteStockSplitConversionRatio,ValuationAllowanceAmount,ValuationAllowanceDeferredTaxAssetChangeInAmount,ValuationAllowancesAndReservesPeriodIncreaseDecrease,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesOutstandingBasic,CurrentFederalTaxExpenseBenefit,EffectiveIncomeTaxRateContinuingOperations
2012-09-30,2013-03-13,10-Q,ATLANTICA INC,ALDA,CIK0001062506,USD,222673.0,,,575487.0,,,125456.0,0.0,0.0,,0.0,,,0.0001,50000000.0,,2458590.0,246.0,0.0,,,,,,-213940.0,,,,0.0,37089.0,-40010.0,,-0.02,,,,,,,,2921.0,,27559.0,,,917058.0,0.0,917058.0,,,,,-40010.0,-40010.0,91339.0,,37089.0,,,,,-2921.0,,,0.0001,10000000.0,,0.0,0.0,,,,,,-1256700.0,0.0,-917058.0,,,,,,,2458590.0,,
2012-12-31,2013-04-01,10-K,ATLANTICA INC,ALDA,CIK0001062506,USD,32238.0,32238.0,,605487.0,,605487.0,125456.0,0.0,0.0,,0.0,0.0,,0.0001,50000000.0,,2458590.0,246.0,-65436.0,4500.0,0.0,100000.0,247000.0,,-246106.0,0.39,-65436.0,0.0,0.0,146389.0,-92590.0,,-0.04,-36100.0,,0.0,0.0,9446.0,11637.0,0.0,11637.0,0.0,30828.0,30828.0,0.0,884892.0,0.0,884892.0,-136943.0,136943.0,0.0,,-92590.0,,216339.0,216339.0,146389.0,256514.0,,0.0,0.0,53799.0,,46800.0,0.0001,10000000.0,,0.0,0.0,0.0,,0.0,136943.0,,-1256700.0,0.0,-884892.0,,10.0,-347000.0,-15200.0,37000.0,,2458590.0,,
2013-03-31,2013-05-10,10-Q,ATLANTICA INC,ALDA,CIK0001062506,USD,11044.0,,0.1,630000.0,,,125456.0,0.0,0.0,,0.0,0.0,,0.0001,50000000.0,,,246.0,0.0,,,,,,-178459.0,,0.0,0.0,0.0,60692.0,-67647.0,,-0.03,,,0.0,,3319.0,6955.0,-5000.0,-6955.0,0.0,37783.0,,0.0,952539.0,0.0,952539.0,-57373.0,57373.0,0.0,,-67647.0,-67647.0,273712.0,,60692.0,,,,0.0,-6955.0,,,0.0001,10000000.0,,,0.0,,,0.0,57373.0,,-1256700.0,0.0,-952539.0,,10.0,,,,,2458590.0,,
2013-06-30,2013-07-29,10-Q,ATLANTICA INC,ALDA,CIK0001062506,USD,,14636.0,0.1,,,660000.0,125456.0,0.0,0.0,,0.0,,,0.0001,50000000.0,,2458590.0,246.0,0.0,,,,,,-123299.0,,,,0.0,47313.0,-55162.0,,-0.02,,,,,,,,-7849.0,,,45631.0,,1007699.0,0.0,1007699.0,,,,,-55162.0,-55162.0,,287432.0,47313.0,,,,,-7849.0,,,0.0001,10000000.0,,0.0,0.0,,,,,,-1256700.0,0.0,-1007699.0,,,,,,,2458590.0,,
2013-09-30,2013-10-31,10-Q,ATLANTICA INC,ALDA,CIK0001062506,USD,,17202.0,0.1,,,693228.0,125456.0,0.0,0.0,,0.0,,,0.0001,50000000.0,,2458590.0,246.0,0.0,,,,,,-79112.0,,,,0.0,35795.0,-44187.0,,-0.02,,,,,,,,-8392.0,,,54024.0,,1051886.0,0.0,1051886.0,,,,,-44187.0,-44187.0,,287432.0,35795.0,,,,,-8392.0,,,0.0001,10000000.0,,0.0,0.0,,,,,,-1256700.0,0.0,-1051886.0,,,,,,,2458590.0,,
2013-12-31,2014-03-12,10-K,ATLANTICA INC,ALDA,CIK0001062506,USD,,14283.0,,,,720000.0,125456.0,5000.0,5000.0,0.0,0.0,0.0,,0.0001,50000000.0,2458590.0,2458590.0,246.0,0.0,12500.0,0.0,123000.0,306000.0,-429000.0,-35438.0,0.39,0.0,0.0,0.0,178601.0,-210668.0,,-0.09,-82200.0,-82200.0,0.0,0.0,96558.0,32066.0,-5000.0,-32067.0,0.0,,62894.0,0.0,1100560.0,5000.0,1100560.0,-87044.0,87044.0,0.0,,-210668.0,,,303383.0,178601.0,315115.0,,,0.0,-32067.0,,46800.0,0.0001,10000000.0,0.0,0.0,0.0,5000.0,5000.0,0.0,87044.0,,-1221262.0,0.0,-1095560.0,,,-429000.0,-22900.0,82000.0,,2458590.0,,
2014-03-31,2014-05-13,10-Q,ATLANTICA INC,ALDA,CIK0001062506,USD,,31954.0,0.1,,,750000.0,125456.0,0.0,0.0,0.0,0.0,0.0,,0.0001,50000000.0,,2458590.0,246.0,0.0,,,,,,29878.0,,0.0,0.0,0.0,56332.0,-65316.0,,-0.03,,,0.0,,47671.0,8985.0,5000.0,8984.0,0.0,,71879.0,0.0,1160876.0,0.0,1160876.0,-3660.0,3660.0,0.0,,-65316.0,-65316.0,,307043.0,56332.0,,-8984.0,,0.0,-8984.0,,,0.0001,10000000.0,,0.0,0.0,,0.0,0.0,3660.0,0.1,-1256700.0,0.0,-1160876.0,,10.0,,,,,2458590.0,,
2014-06-30,2014-08-06,10-Q,ATLANTICA INC,ALDA,CIK0001062506,USD,,47898.0,0.1,,,783243.0,125456.0,0.0,0.0,0.0,0.0,,,0.0001,50000000.0,2458590.0,2458590.0,246.0,,,,,,,,,,,,49187.0,,,-0.02,,,,,,,,9029.0,,,80908.0,,1219092.0,0.0,1219092.0,,,,,-58216.0,-58216.0,,307043.0,49187.0,,-9029.0,,,-9029.0,,,0.0001,10000000.0,,0.0,0.0,,0.0,,0.0,,-1344794.0,0.0,-1219092.0,,,,,,,2458590.0,,
2014-09-30,2014-10-27,10-Q,ATLANTICA INC,ALDA,CIK0001062506,USD,,43633.0,0.1,,,810000.0,125456.0,0.0,0.0,0.0,0.0,,,0.0001,50000000.0,2458590.0,2458590.0,246.0,,,,,,,,,,,,35720.0,,,-0.02,,,,,,,,9896.0,,,90804.0,,1264708.0,0.0,1264708.0,,,,,-45616.0,-45616.0,,320271.0,35720.0,,-9896.0,,,-9896.0,,,0.0001,10000000.0,,0.0,0.0,,0.0,,,,-1390410.0,0.0,-1264708.0,,,,,,,2458590.0,,
2014-12-31,2015-02-23,10-K,ATLANTICA INC,ALDA,CIK0001062506,USD,,34202.0,,,,843228.0,125456.0,0.0,0.0,0.0,0.0,0.0,,0.0001,50000000.0,2458590.0,2458590.0,246.0,,15000.0,0.0,145000.0,367500.0,-512500.0,,0.39,,,0.0,176440.0,,,-0.09,,-83750.0,0.0,0.0,143147.0,38318.0,5000.0,38318.0,0.0,,101212.0,0.0,1310318.0,0.0,1310318.0,-28293.0,28293.0,0.0,-28293.0,-214758.0,,,331676.0,176440.0,371556.0,,,,-38318.0,66471.0,46800.0,0.0001,10000000.0,0.0,0.0,0.0,0.0,,,28293.0,,-1436020.0,0.0,-1310318.0,,,,-21950.0,83500.0,,2458590.0,,
2015-03-31,2015-05-08,10-Q,ATLANTICA INC,ALDA,CIK0001062506,USD,,42924.0,0.1,,,876778.0,125456.0,0.0,0.0,0.0,0.0,0.0,,0.0001,50000000.0,2458590.0,2458590.0,246.0,,,,,,,,,,,0.0,42372.0,,,-0.02,,,0.0,,42272.0,10557.0,0.0,10557.0,0.0,,111769.0,,1363247.0,0.0,1363247.0,-100.0,100.0,0.0,-100.0,-52929.0,-52929.0,,331776.0,42372.0,,-10557.0,,,-10557.0,,,0.0001,10000000.0,0.0,0.0,0.0,,,,100.0,0.1,-1488949.0,0.0,-1363247.0,,,,,,,2458590.0,,
2015-06-30,2015-08-10,10-Q,ATLANTICA INC,ALDA,CIK0001062506,USD,,35103.0,0.1,,,903237.0,125456.0,0.0,0.0,0.0,0.0,,,,,,,246.0,,,,,,,,,,,0.0,35500.0,,,-0.02,,,,,,,,11201.0,,,122970.0,,1409949.0,0.0,1409949.0,,,,,-46701.0,,,348639.0,35500.0,,-11201.0,,,-11201.0,,,,,,,0.0,,,,,,-1535651.0,0.0,-1409949.0,,,,,,,2458590.0,,
2015-09-30,2015-11-06,10-Q,ATLANTICA INC,ALDA,CIK0001062506,USD,,36764.0,0.1,,,936474.0,125456.0,0.0,0.0,0.0,0.0,,,0.0001,50000000.0,2458590.0,2458590.0,246.0,,,,,,,,,,,0.0,34899.0,,,-0.02,,,,,,,,11758.0,,,134728.0,,1456605.0,0.0,1456605.0,,,,,-46657.0,,,348639.0,34899.0,,-11758.0,,,-11758.0,,,0.0001,10000000.0,0.0,0.0,0.0,,,,,,-1582307.0,0.0,-1456605.0,,,,,,,2458590.0,,
2015-12-31,2016-03-30,10-K,ATLANTICA INC,ALDA,CIK0001062506,USD,,8266.0,,,,963237.0,125456.0,0.0,0.0,0.0,0.0,0.0,,0.0001,50000000.0,2458590.0,2458590.0,246.0,,18400.0,0.0,155100.0,432700.0,-587800.0,,0.39,,,29389.0,175623.0,,,-0.08,,-75400.0,0.0,0.0,123462.0,47152.0,0.0,47152.0,0.0,,148364.0,,1503704.0,0.0,1503704.0,,52161.0,0.0,-52161.0,-193386.0,,,383837.0,175623.0,397790.0,,,,-17763.0,,65200.0,0.0001,10000000.0,0.0,0.0,0.0,,,,52161.0,,-1629406.0,0.0,-1503704.0,,,,10200.0,75300.0,,2458590.0,,
2016-03-31,2016-05-16,10-Q,ATLANTICA INC,ALDA,CIK0001062506,USD,,17905.0,0.1,,,993698.0,125456.0,0.0,0.0,0.0,0.0,0.0,,0.0001,50000000.0,2458590.0,2458590.0,246.0,,,,,,,,,,,2890.0,51826.0,,-0.02,-0.02,,,0.0,,40100.0,13233.0,0.0,13233.0,0.0,,161597.0,,1565873.0,0.0,1565873.0,,8836.0,0.0,-8836.0,-62169.0,,,392673.0,51826.0,,,,,-10343.0,,,0.0001,10000000.0,0.0,0.0,0.0,,,,8836.0,0.1,-1691575.0,0.0,-1565873.0,,,,,,2458590.0,2458590.0,,
2016-06-30,2016-08-15,10-Q,ATLANTICA INC,ALDA,CIK0001062506,USD,,18341.0,0.1,,,1026944.0,125456.0,0.0,0.0,0.0,0.0,,,0.0001,50000000.0,2458590.0,2458590.0,246.0,,,,,,,,,,,0.0,37926.0,,-0.02,-0.02,,,,,,,,13733.0,,,175328.0,,1617532.0,0.0,1617532.0,,,,,-51659.0,,,396919.0,37926.0,,,,,-13733.0,,,0.0001,10000000.0,0.0,0.0,0.0,,,,,,-1743234.0,0.0,-1617532.0,,,,,,2458590.0,2458590.0,,
2016-09-30,2016-11-02,10-Q,ATLANTICA INC,ALDA,CIK0001062506,USD,,17865.0,0.1,,,1060190.0,125456.0,0.0,0.0,0.0,0.0,,,0.0001,50000000.0,2458590.0,2458590.0,246.0,,,,,,,,,,,0.0,41030.0,,-0.02,-0.02,,,,,,,,14418.0,,,189750.0,,1672983.0,0.0,1672983.0,,,,,-55448.0,,,405178.0,41030.0,,,,,-14418.0,,,0.0001,10000000.0,0.0,0.0,0.0,,,,,,-1798685.0,0.0,-1672983.0,,,,,,2458590.0,2458590.0,,
2016-12-31,2017-03-30,10-K,ATLANTICA INC,ALDA,CIK0001062506,USD,,13081.0,,,,1083246.0,125456.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,50000000.0,2458590.0,2458590.0,246.0,,,,165600.0,501200.0,-666800.0,,,,,2890.0,175847.0,,-0.09,-0.09,,-89600.0,0.0,0.0,127714.0,56662.0,0.0,56662.0,0.0,,205026.0,,1733323.0,0.0,1733323.0,,48133.0,0.0,-48133.0,-229619.0,,,431970.0,175847.0,425000.0,,,,-53772.0,,68900.0,0.0001,10000000.0,0.0,0.0,0.0,,,,48133.0,,-1859025.0,0.0,-1733323.0,-1733323.0,,,20700.0,,,2458590.0,,
2017-03-31,2017-05-12,10-Q,ATLANTICA INC,ALDA,CIK0001062506,USD,,14571.0,0.1,,,1113246.0,125456.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,50000000.0,2458590.0,2458590.0,246.0,,,,,,,,,,,0.0,44569.0,,-0.02,-0.02,,,0.0,,31490.0,15586.0,,15586.0,0.0,,220612.0,,1793478.0,0.0,1793478.0,,13079.0,0.0,-13079.0,-60155.0,,,445049.0,44569.0,,,,,-15586.0,,,0.0001,10000000.0,0.0,0.0,0.0,,,,13079.0,0.1,-1919180.0,0.0,-1793478.0,,,,,,2458590.0,2458590.0,,
2017-06-30,2017-08-11,10-Q,ATLANTICA INC,ALDA,CIK0001062506,USD,,19126.0,0.1,,,1146492.0,125456.0,0.0,0.0,0.0,0.0,,0.0,0.0001,50000000.0,2458590.0,2458590.0,246.0,,,,,,,,,,,0.0,37902.0,,-0.02,-0.02,,,,,,,,16415.0,,,237027.0,,1847794.0,0.0,1847794.0,,,,,-54317.0,,,445149.0,37902.0,,,,,-16415.0,,,0.0001,10000000.0,0.0,0.0,0.0,,,,,,-1973496.0,0.0,-1847794.0,,,,,,2458590.0,2458590.0,,
2017-09-30,2017-11-14,10-Q,ATLANTICA INC,ALDA,CIK0001062506,USD,,3860.0,0.1,,,1179738.0,125456.0,0.0,0.0,0.0,0.0,,0.0,0.0001,50000000.0,2458590.0,2458590.0,246.0,,,,,,,,,,,0.0,37007.0,,-0.02,-0.02,,,,,,,,17308.0,,,254335.0,,1902109.0,0.0,1902109.0,,,,,-54315.0,,,464176.0,37007.0,,,,,-17308.0,,,0.0001,10000000.0,0.0,0.0,0.0,,,,,,-2027811.0,0.0,-1902109.0,,,,,,2458590.0,2458590.0,,
2017-12-31,2018-04-02,10-K,ATLANTICA INC,ALDA,CIK0001062506,USD,,7197.0,,,,1200000.0,125456.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,50000000.0,2458590.0,2458590.0,246.0,,,0.0,119749.0,382835.0,-502584.0,,,,,0.0,156060.0,,-0.09,-0.09,,-58104.0,0.0,0.0,110870.0,67418.0,0.0,67418.0,0.0,,272444.0,,1956801.0,0.0,1956801.0,,45190.0,0.0,-45190.0,-223478.0,,,477160.0,156060.0,460000.0,,,,-67418.0,,48729.0,0.0001,10000000.0,0.0,0.0,0.0,,,,45190.0,,-2082504.0,0.0,-1956801.0,-1956801.0,,,9375.0,,2458590.0,2458590.0,,
2018-03-31,2018-05-11,10-Q,ATLANTICA INC,ALDA,CIK0001062506,USD,,10950.0,0.1,,,1233457.0,125456.0,0.0,0.0,0.0,0.0,0.0,,0.0001,50000000.0,2458590.0,2458590.0,246.0,,,,,,,,,,,,44345.0,,-0.03,-0.03,,,0.0,,37210.0,18281.0,,18281.0,0.0,,290725.0,,2019427.0,0.0,2019427.0,,7135.0,0.0,-7135.0,-62626.0,,,484295.0,44345.0,,,,,-18281.0,,,0.0001,10000000.0,0.0,0.0,0.0,,,,7135.0,0.1,-2145129.0,0.0,-2019427.0,,,,,,2458590.0,2458590.0,,
2018-06-30,2018-08-13,10-Q,ATLANTICA INC,ALDA,CIK0001062506,USD,,13639.0,0.1,,,1266694.0,125456.0,0.0,0.0,0.0,0.0,,,0.0001,50000000.0,2458590.0,2458590.0,246.0,,,,,,,,,,,,36026.0,,-0.02,-0.02,,,,,,,,19115.0,,,309839.0,,2074567.0,0.0,2074567.0,,,,,-55141.0,,,484395.0,36026.0,,,,,-19115.0,,,0.0001,10000000.0,0.0,0.0,0.0,,,,,,-2200269.0,0.0,-2074567.0,,,,,,2458590.0,2458590.0,,
2018-09-30,2018-11-14,10-Q,ATLANTICA INC,ALDA,CIK0001062506,USD,,187797.0,0.1,,,1299985.0,125456.0,0.0,0.0,0.0,0.0,,0.0,0.0001,50000000.0,2458590.0,2458590.0,246.0,,,,,,,,,,,,207349.0,,-0.09,-0.09,,,,,,,,19799.0,,,329636.0,,2301713.0,0.0,2301713.0,,,,,-227148.0,,,484295.0,207349.0,,,,,-19799.0,,,0.0001,10000000.0,0.0,0.0,0.0,,,,,,-2427415.0,0.0,-2301713.0,,,,,,2458590.0,2458590.0,,
2018-12-31,2019-04-01,10-K,ATLANTICA INC,ALDA,CIK0001062506,USD,,186966.0,0.1,,,1323237.0,125456.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,50000000.0,2458590.0,2458590.0,246.0,,,0.0,182018.0,435120.0,-617138.0,,,,,,336504.0,,-0.17,-0.17,,-107733.0,0.0,0.0,303006.0,77856.0,,77856.0,0.0,,350300.0,,2371161.0,0.0,2371161.0,,33498.0,0.0,-33498.0,-828719.0,,,510658.0,336504.0,700100.0,,,,-77856.0,,52284.0,0.0001,10000000.0,0.0,0.0,0.0,,,,33498.0,,-2496863.0,0.0,-2371161.0,-2371161.0,,,55449.0,,2458590.0,2458590.0,,
