end,filed,form,Name,Ticker,CIK,Currency,AccountsPayable,AccountsPayableCurrentAndNoncurrent,AccountsPayableInterestBearingInterestRate,AccountsPayableRelatedParties,AccountsPayableRelatedPartiesCurrent,AccountsPayableRelatedPartiesCurrentAndNoncurrent,AdditionalPaidInCapital,Assets,AssetsCurrent,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CommitmentsAndContingencies,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,DebtInstrumentDecreaseForgiveness,DeferredOtherTaxExpenseBenefit,DeferredTaxAssetsLiabilitiesNet,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsAccruedLiabilities,DeferredTaxAssetsValuationAllowance,DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,ExtinguishmentOfDebtAmount,ExtraordinaryItemsGross,GainsLossesOnExtinguishmentOfDebt,GeneralAndAdministrativeExpense,IncomeLossBeforeExtraordinaryItemsAndCumulativeEffectOfChangeInAccountingPrinciple,IncomeLossFromContinuingOperationsPerBasicAndDilutedShare,IncomeLossFromContinuingOperationsPerBasicShare,IncomeTaxExpenseBenefitContinuingOperations,IncomeTaxExpenseBenefitContinuingOperationsAdjustmentOfDeferredTaxAssetLiability,IncomeTaxesPaid,IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInInterestPayableNet,IncreaseDecreaseInPrepaidExpense,InterestExpense,InterestPaid,InterestPayable,InterestPayableCurrentAndNoncurrent,IssuanceOfStockAndWarrantsForServicesOrClaims,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,NetCashProvidedByUsedInContinuingOperations,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NetIncomeLossAvailableToCommonStockholdersBasic,NotesPayableRelatedPartiesCurrent,NotesPayableRelatedPartiesCurrentAndNoncurrent,OperatingExpenses,OperatingLossCarryforwards,OtherExpenses,OtherExtraordinaryGainLoss,OtherMaterialNoncashItems,OtherOperatingIncomeExpenseNet,OtherSignificantNoncashTransactionValueOfConsiderationGiven1,OtherTaxExpenseBenefit,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValue,PrepaidExpenseCurrent,PrepaidExpenseCurrentAndNoncurrent,ProceedsFromContributedCapital,ProceedsFromRelatedPartyDebt,RelatedPartyTransactionRate,RetainedEarningsAccumulatedDeficit,Revenues,StockholdersEquity,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,StockholdersEquityNoteStockSplitConversionRatio,ValuationAllowanceAmount,ValuationAllowanceDeferredTaxAssetChangeInAmount,ValuationAllowancesAndReservesPeriodIncreaseDecrease,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesOutstandingBasic,CurrentFederalTaxExpenseBenefit,EffectiveIncomeTaxRateContinuingOperations
2009-12-31,2010-03-31,10-K,ATLANTICA INC,ALDA,CIK0001062506,USD,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-06-30,2010-08-13,10-Q,ATLANTICA INC,ALDA,CIK0001062506,USD,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,39292.0,-40715.0,,-0.02,,,,,,,,1423.0,,,,,,,,,,,,-40715.0,,,,40715.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,2458590.0,,
2010-09-30,2010-11-09,10-Q,ATLANTICA INC,ALDA,CIK0001062506,USD,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,35873.0,-37520.0,,-0.02,,,,,,,,1647.0,,,,,,,,,,,,-37520.0,,,,37520.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,2458590.0,,
2010-12-31,2011-03-31,10-K,ATLANTICA INC,ALDA,CIK0001062506,USD,192186.0,,,360000.0,360000.0,,125456.0,0.0,0.0,,0.0,0.0,,0.0001,50000000.0,,2458590.0,246.0,,,,,,,-501726.0,,0.0,,0.0,156959.0,-163093.0,,-0.07,,,0.0,,131275.0,6134.0,,6134.0,0.0,10415.0,,0.0,629272.0,0.0,629272.0,-25684.0,25684.0,0.0,,-163093.0,,66671.0,,163093.0,,,,0.0,,,,0.0001,10000000.0,,0.0,0.0,,,0.0,25684.0,,-1256700.0,0.0,-629272.0,,,,,,,2458590.0,,
2011-03-31,2011-05-16,10-Q,ATLANTICA INC,ALDA,CIK0001062506,USD,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,42854.0,-44804.0,,-0.02,,,0.0,,39030.0,1950.0,,1950.0,0.0,,,0.0,,,,-3824.0,3824.0,0.0,,-44804.0,,,,44804.0,,,,0.0,,,,,,,,,,,0.0,3824.0,,,0.0,,,,,,,,2458590.0,,
2011-06-30,2011-08-15,10-Q,ATLANTICA INC,ALDA,CIK0001062506,USD,206895.0,,,,423728.0,,125456.0,0.0,0.0,,0.0,,,0.0001,50000000.0,,2458590.0,246.0,,,,,,,-415344.0,,,,0.0,39512.0,-41578.0,,-0.02,,,,,,,,2066.0,,14432.0,,,715654.0,0.0,715654.0,,,,,-41578.0,-41578.0,70599.0,,41578.0,,,,,,,,0.0001,10000000.0,,0.0,0.0,,,,,,-1256700.0,0.0,-715654.0,,,,,,,2458590.0,,
2011-09-30,2011-11-18,10-Q,ATLANTICA INC,ALDA,CIK0001062506,USD,206674.0,,,451487.0,,,125456.0,0.0,0.0,,0.0,,,0.0001,50000000.0,,2458590.0,246.0,,,,,,,-376705.0,,,,0.0,36336.0,-38639.0,,-0.02,,,,,,,,2303.0,,16735.0,,,754293.0,0.0,754293.0,,,,,-38639.0,-38639.0,79397.0,,38639.0,,,,,,,,0.0001,10000000.0,,0.0,0.0,,,,,,-1256700.0,0.0,-754293.0,,,,,,,2458590.0,,
2011-12-31,2012-03-29,10-K,ATLANTICA INC,ALDA,CIK0001062506,USD,209656.0,,,484058.0,,,125456.0,0.0,0.0,,0.0,0.0,,0.0001,50000000.0,,2458590.0,246.0,,3500.0,0.0,115000.0,195000.0,,-338696.0,,0.0,0.0,0.0,154254.0,-163030.0,,-0.07,-63500.0,,0.0,0.0,141529.0,8776.0,,8776.0,0.0,19191.0,,0.0,792302.0,0.0,792302.0,-12725.0,12725.0,0.0,,-163030.0,,79397.0,,154254.0,,,0.0,0.0,-8776.0,,47000.0,0.0001,10000000.0,,0.0,0.0,,,0.0,12725.0,,-1256700.0,0.0,-792302.0,,,-310000.0,13000.0,,,2458590.0,,
2012-03-31,2012-05-15,10-Q,ATLANTICA INC,ALDA,CIK0001062506,USD,214223.0,,,513000.0,,,125456.0,0.0,0.0,,0.0,0.0,,0.0001,50000000.0,,2458590.0,246.0,0.0,,,,,,-294532.0,,0.0,0.0,0.0,41556.0,-44164.0,,-0.02,,,0.0,,33508.0,2608.0,,2608.0,0.0,21798.0,,0.0,836466.0,0.0,836466.0,-8048.0,8048.0,0.0,,-44164.0,-44164.0,87445.0,,41556.0,,,,0.0,-2608.0,,,0.0001,10000000.0,,0.0,0.0,,,0.0,8048.0,,-1256700.0,0.0,-836466.0,,,,,,,2458590.0,,
2012-06-30,2013-02-19,10-Q,ATLANTICA INC,ALDA,CIK0001062506,USD,218584.0,,,542487.0,,,125456.0,0.0,0.0,,0.0,,,0.0001,50000000.0,,2458590.0,246.0,0.0,,,,,,-253950.0,,,,0.0,37743.0,-40582.0,,-0.02,,,,,,,,2839.0,,24638.0,,,877048.0,0.0,877048.0,,,,,-40582.0,-40582.0,91339.0,,37743.0,,,,,-2839.0,,,0.0001,10000000.0,,0.0,0.0,,,,,,-1256700.0,0.0,-877048.0,,,,,,,2458590.0,,
