end,filed,form,Name,Ticker,CIK,Currency,AccountsAndNotesReceivableNet,AccountsPayableAndAccruedLiabilitiesCurrentAndNoncurrent,AccountsPayableAndOtherAccruedLiabilities,AccountsPayableCurrentAndNoncurrent,AccountsReceivableNet,AccrualForTaxesOtherThanIncomeTaxesCurrentAndNoncurrent,AccruedLiabilitiesAndOtherLiabilities,AccruedLiabilitiesCurrentAndNoncurrent,AccumulatedOtherComprehensiveIncomeLossNetOfTax,AcquisitionCosts,AdditionalPaidInCapital,AdjustmentsToAdditionalPaidInCapitalStockIssuedIssuanceCosts,AffiliateCosts,AllowanceForDoubtfulAccountsReceivable,AmortizationOfDebtDiscountPremium,AmortizationOfFinancingCosts,AssetImpairmentCharges,AssetManagementCosts,Assets,AssetsHeldForSaleAtCarryingValue,AssetsHeldForSaleCurrent,AssetsHeldForSaleNotPartOfDisposalGroup,AssetsOfDisposalGroupIncludingDiscontinuedOperation,AssetsOfDisposalGroupIncludingDiscontinuedOperationCurrent,AvailableForSaleDebtSecuritiesAmortizedCostBasis,AvailableForSaleDebtSecuritiesGrossUnrealizedGain,AvailableForSaleDebtSecuritiesGrossUnrealizedLoss,AvailableForSaleEquitySecuritiesAccumulatedGrossUnrealizedGainBeforeTax,AvailableForSaleEquitySecuritiesAccumulatedGrossUnrealizedLossBeforeTax,AvailableForSaleEquitySecuritiesAmortizedCostBasis,AvailableForSaleEquitySecuritiesGrossUnrealizedGain,AvailableForSaleEquitySecuritiesGrossUnrealizedLoss,AvailableForSaleSecurities,AvailableForSaleSecuritiesAmortizedCost,AvailableForSaleSecuritiesDebtMaturitiesAfterFiveThroughTenYearsFairValue,AvailableForSaleSecuritiesDebtMaturitiesAfterOneThroughFiveYearsFairValue,AvailableForSaleSecuritiesDebtMaturitiesAfterTenYearsFairValue,AvailableForSaleSecuritiesDebtMaturitiesWithinOneYearFairValue,AvailableForSaleSecuritiesDebtSecurities,AvailableForSaleSecuritiesEquitySecurities,AvailableForSaleSecuritiesGrossUnrealizedLoss,AvailableForSaleSecuritiesGrossUnrealizedLosses1,AvailableforsaleSecuritiesGrossUnrealizedGain,BuildingsAndImprovementsGross,BusinessAcquisitionProFormaEarningsPerShareBasic,BusinessAcquisitionsProFormaNetIncomeLoss,BusinessAcquisitionsProFormaRevenue,BusinessCombinationAcquisitionRelatedCosts,BusinessCombinationBargainPurchaseGainRecognizedAmount,BusinessCombinationConsiderationTransferred1,BusinessCombinationProFormaInformationEarningsOrLossOfAcquireeSinceAcquisitionDateActual,BusinessCombinationProFormaInformationRevenueOfAcquireeSinceAcquisitionDateActual,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsFairValueDisclosure,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,CashEquivalentsAtCarryingValue,CashProvidedByUsedInFinancingActivitiesDiscontinuedOperations,CashProvidedByUsedInInvestingActivitiesDiscontinuedOperations,CashProvidedByUsedInOperatingActivitiesDiscontinuedOperations,CollateralAlreadyPostedAggregateFairValue,CommitmentsAndContingencies,CommonStockCapitalSharesReservedForFutureIssuance,CommonStockDividendsPerShareCashPaid,CommonStockDividendsPerShareDeclared,CommonStockDividendsShares,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,ComprehensiveIncomeNetOfTax,ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest,ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,ConstructionInProgressExpendituresIncurredButNotYetPaid,ConstructionInProgressGross,ContributionsFromNoncontrollingInterests,CostOfOtherPropertyOperatingExpense,CostsAndExpenses,CumulativeDividends,DebtInstrumentBasisSpreadOnVariableRate1,DebtInstrumentCarryingAmount,DebtInstrumentCollateralAmount,DebtInstrumentFaceAmount,DebtInstrumentFairValue,DebtInstrumentIncreaseAccruedInterest,DebtInstrumentInterestRateStatedPercentage,DebtInstrumentPeriodicPaymentTermsBalloonPaymentToBePaid,DebtSecuritiesAvailableForSaleRealizedGain,DebtSecuritiesAvailableForSaleRealizedGainLoss,DebtSecuritiesAvailableForSaleRealizedLoss,DebtSecuritiesAvailableForSaleUnrealizedGainLoss,DebtSecuritiesTradingUnrealizedGainLoss,DebtWeightedAverageInterestRate,DeferredCompensationArrangementWithIndividualCommonStockReservedForFutureIssuance,DeferredFinanceCostsNet,DeferredRentCredit,DeferredRevenueAndCredits,DeferredTaxLiabilityNotRecognizedAmountOfUnrecognizedDeferredTaxLiability,DepreciationAndAmortization,DepreciationAndAmortizationDiscontinuedOperations,DepreciationDepletionAndAmortization,DerivativeAveragePriceRiskOptionStrikePrice,DerivativeCostOfHedge,DerivativeFairValueOfDerivativeLiabilityAmountNotOffsetAgainstCollateral,DerivativeFairValueOfDerivativeNet,DerivativeLiabilityFairValueNet1,DevelopmentCosts,DevelopmentInProcess,DirectCostsOfLeasedAndRentedPropertyOrEquipment,DiscontinuedOperationIncomeLossFromDiscontinuedOperationNetOfTaxPerBasicAndDilutedShare,DisposalGroupIncludingDiscontinuedOperationAccountsPayableAndAccruedLiabilities,DisposalGroupIncludingDiscontinuedOperationConsideration,DisposalGroupIncludingDiscontinuedOperationIntangibleAssets,DisposalGroupIncludingDiscontinuedOperationIntangibleAssetsNet,DisposalGroupIncludingDiscontinuedOperationInterestExpense,DisposalGroupIncludingDiscontinuedOperationOperatingExpense,DisposalGroupIncludingDiscontinuedOperationOperatingIncomeLoss,DisposalGroupIncludingDiscontinuedOperationOtherAssets,DisposalGroupIncludingDiscontinuedOperationOtherLiabilities,DisposalGroupIncludingDiscontinuedOperationRevenue,DividendIncomeOperating,DividendsCash,DividendsCommonStockCash,DividendsPayableAmountPerShare,DividendsPayableCurrent,DividendsPayableCurrentAndNoncurrent,DueFromAffiliateCurrent,DueFromAffiliates,DueToAffiliateCurrentAndNoncurrent,DueToOtherRelatedPartiesCurrentAndNoncurrent,EarningsPerShareBasicAndDiluted,EquityMethodInvestmentDeferredGainOnSale,EquityMethodInvestmentOwnershipPercentage,EquityMethodInvestmentRealizedGainLossOnDisposal,EquityMethodInvestmentSummarizedFinancialInformationAssets,EquityMethodInvestmentSummarizedFinancialInformationEquityOrCapital,EquityMethodInvestmentSummarizedFinancialInformationLiabilitiesAndEquity,EquityMethodInvestments,EquitySecuritiesFvNi,EscrowDeposit,EscrowDepositsRelatedToPropertySales,ExtinguishmentOfDebtAmount,ExtinguishmentOfDebtGainLossNetOfTax,FairValueHedgeLiabilitiesAtFairValue,FairValueOfAssetsAcquired,FinancingReceivableUnamortizedLoanCommitmentOriginationFeeAndPremiumDiscount,FixturesAndEquipmentGross,FurnitureAndFixturesGross,FutureMinimumSubleaseRentalsSaleLeasebackTransactions,FutureMinimumSubleaseRentalsSaleLeasebackTransactionsThereafter,FutureMinimumSubleaseRentalsSaleLeasebackTransactionsWithinFiveYears,FutureMinimumSubleaseRentalsSaleLeasebackTransactionsWithinFourYears,FutureMinimumSubleaseRentalsSaleLeasebackTransactionsWithinOneYear,FutureMinimumSubleaseRentalsSaleLeasebackTransactionsWithinThreeYears,FutureMinimumSubleaseRentalsSaleLeasebackTransactionsWithinTwoYears,GainLossOnDerivativeInstrumentsNetPretax,GainLossOnDispositionOfAssets,GainLossOnDispositionOfRealEstateDiscontinuedOperations,GainLossOnFairValueHedgeIneffectivenessNet,GainLossOnSaleOfDerivatives,GainLossOnSaleOfMortgageLoans,GainLossOnSaleOfProperties,GainLossOnSaleOfPropertyPlantEquipment,GainsLossesOnExtinguishmentOfDebt,GainsLossesOnSalesOfAssets,GainsLossesOnSalesOfInvestmentRealEstate,GeneralAndAdministrativeExpense,GeneralPartnersContributedCapital,GuaranteeObligationsMaximumExposure,ImpairmentOfInvestments,ImpairmentOfLongLivedAssetsToBeDisposedOf,IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest,IncomeLossFromContinuingOperationsPerBasicAndDilutedShare,IncomeLossFromDiscontinuedOperationsNetOfTax,IncomeLossFromDiscontinuedOperationsNetOfTaxPerBasicAndDilutedShare,IncomeLossFromEquityMethodInvestments,IncreaseDecreaseInAccountsAndOtherReceivables,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInDeferredRevenue,IncreaseDecreaseInDueToOtherRelatedPartiesCurrent,IncreaseDecreaseInDueToRelatedPartiesCurrent,IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,IncreaseDecreaseInRestrictedCash,IntangibleAssetsNetExcludingGoodwill,InterestCostsCapitalized,InterestExpense,InterestExpenseDebt,InterestIncomePurchasedReceivables,InterestPaid,InterestPaidNet,InterestPayableCurrentAndNoncurrent,InterestReceivable,InvestmentBuildingAndBuildingImprovements,InvestmentIncomeInterest,InvestmentIncomeInterestAndDividend,InvestmentsInAndAdvancesToAffiliatesAtFairValue,InvestmentsInAndAdvancesToAffiliatesAtFairValueGrossAdditions,LandAndLandImprovements,LeaseIncome,LeasingCommissionsExpense,LessorOperatingLeasePaymentsToBeReceived,LessorOperatingLeasePaymentsToBeReceivedFiveYears,LessorOperatingLeasePaymentsToBeReceivedFourYears,LessorOperatingLeasePaymentsToBeReceivedNextTwelveMonths,LessorOperatingLeasePaymentsToBeReceivedRemainderOfFiscalYear,LessorOperatingLeasePaymentsToBeReceivedThereafter,LessorOperatingLeasePaymentsToBeReceivedThreeYears,LessorOperatingLeasePaymentsToBeReceivedTwoYears,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesOfAssetsHeldForSale,LiabilitiesOfDisposalGroupIncludingDiscontinuedOperation,LiabilityForUncertainTaxPositionsCurrent,LimitedLiabilityCompanyLLCOrLimitedPartnershipLPManagingMemberOrGeneralPartnerOwnershipInterest,LitigationSettlementAmount,LitigationSettlementGross,LoanProcessingFee,LoansAssumed1,LongLivedAssetsHeldForSaleProceedsFromSale,LongTermDebt,LongTermDebtMaturitiesRepaymentsOfPrincipalAfterYearFive,LongTermDebtMaturitiesRepaymentsOfPrincipalInNextTwelveMonths,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearFive,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearFour,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearThree,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearTwo,LongTermDebtMaturitiesRepaymentsOfPrincipalRemainderOfFiscalYear,LossContingencyEstimateOfPossibleLoss,ManagementFeeExpense,MarketableSecurities,MarketableSecuritiesGainLoss,MarketableSecuritiesRealizedGainLoss,MarketableSecuritiesRealizedGainLossExcludingOtherThanTemporaryImpairments,MarketableSecuritiesRestricted,MarketableSecuritiesUnrealizedGainLoss,MinorityInterest,MinorityInterestDecreaseFromDistributionsToNoncontrollingInterestHolders,MinorityInterestDecreaseFromRedemptions,MinorityInterestIncreaseFromStockIssuance,MinorityInterestInNetIncomeLossOtherMinorityInterests,MinorityInterestPeriodIncreaseDecrease,MortgageLoansOnRealEstateCarryingAmountOfMortgages,MortgageLoansOnRealEstateCommercialAndConsumerNet,MortgageLoansOnRealEstateDelinquentPrincipalOrInterestAcquiredFromAffiliates,MortgageLoansOnRealEstatePeriodicPaymentTermsBalloonPaymentAmount,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,NetIncomeLoss,NetIncomeLossAttributableToNoncontrollingInterest,NoncashOrPartNoncashAcquisitionInvestmentsAcquired1,NotesIssued1,NotesPayable,NotesPayableFairValueDisclosure,NotesReceivableGross,NotesReduction,NumberOfReportableSegments,NumberOfReportableSegments,OperatingIncomeLoss,OperatingLeaseInitialDirectCostExpenseOverTerm,OperatingLeaseLeaseIncome,OperatingLeasesIncomeStatementLeaseRevenue,OperatingLossCarryforwards,OriginationOfNotesReceivableFromRelatedParties,OtherAdjustmentsToIncomeDiscontinuedOperations,OtherAmortizationOfDeferredCharges,OtherAssetImpairmentCharges,OtherComprehensiveIncomeAvailableForSaleSecuritiesAdjustmentNetOfTaxPeriodIncreaseDecrease,OtherComprehensiveIncomeLossNetOfTax,OtherComprehensiveIncomeLossNetOfTaxPeriodIncreaseDecrease,OtherComprehensiveIncomeLossReclassificationAdjustmentForSaleOfSecuritiesIncludedInNetIncomeNetOfTax,OtherComprehensiveIncomeLossReclassificationAdjustmentFromAOCIForSaleOfSecuritiesNetOfTax,OtherComprehensiveIncomeLossReclassificationAdjustmentFromAociForInvestmentTransferredFromAvailableForSaleToEquityMethodAfterTax,OtherComprehensiveIncomeReclassificationAdjustmentForSaleOfSecuritiesIncludedInNetIncomeNetOfTax,OtherComprehensiveIncomeUnrealizedHoldingGainLossOnSecuritiesArisingDuringPeriodNetOfTax,OtherInvestmentsAndSecuritiesAtCost,OtherLiabilities,OtherLoansPayable,OtherNoncashIncomeExpense,OtherNonoperatingIncomeExpense,OtherOperatingIncomeExpenseNet,OtherSalesRevenueNet,PartnersCapitalAccountContributions,PartnersCapitalAccountUnits,PartnersCapitalAccountUnitsSaleOfUnits,PaymentsForDepositsOnRealEstateAcquisitions,PaymentsForDerivativeInstrumentInvestingActivities,PaymentsForProceedsFromBusinessesAndInterestInAffiliates,PaymentsForProceedsFromDepositsOnRealEstateAcquisitions,PaymentsForProceedsFromDerivativeInstrumentInvestingActivities,PaymentsForProceedsFromInvestments,PaymentsForProceedsFromOtherInvestingActivities,PaymentsForProceedsFromProductiveAssets,PaymentsForProceedsFromShortTermInvestments,PaymentsForRepurchaseOfCommonStock,PaymentsForRepurchaseOfEquity,PaymentsOfDistributionsToAffiliates,PaymentsOfDividends,PaymentsOfDividendsCommonStock,PaymentsOfDividendsMinorityInterest,PaymentsOfLoanCosts,PaymentsOfOrdinaryDividends,PaymentsOfStockIssuanceCosts,PaymentsToAcquireEquityMethodInvestments,PaymentsToAcquireInterestInJointVenture,PaymentsToAcquireInterestInSubsidiariesAndAffiliates,PaymentsToAcquireMarketableSecurities,PaymentsToAcquireMortgageNotesReceivable,PaymentsToAcquireNotesReceivable,PaymentsToAcquireProductiveAssets,PaymentsToAcquireRestrictedInvestments,PaymentsToAcquireShortTermInvestments,PaymentsToAcquireTrustPreferredInvestments,PaymentsToMinorityShareholders,PreferredStockDividendRatePercentage,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValue,PreferredUnitsContributedCapital,PreferredUnitsPreferredPartnersCapitalAccounts,PrepaidExpenseAndOtherAssets,ProceedsFromAdvancesForConstruction,ProceedsFromCollectionOfAdvanceToAffiliate,ProceedsFromCollectionOfLongtermLoansToRelatedParties,ProceedsFromDivestitureOfInterestInJointVenture,ProceedsFromDivestitureOfInterestInSubsidiariesAndAffiliates,ProceedsFromIssuanceOfCommonLimitedPartnersUnits,ProceedsFromIssuanceOfSecuredDebt,ProceedsFromIssuanceOfTrustPreferredSecurities,ProceedsFromLinesOfCredit,ProceedsFromMinorityShareholders,ProceedsFromMortgageDeposits,ProceedsFromOtherDebt,ProceedsFromPaymentsForOtherFinancingActivities,ProceedsFromRelatedPartyDebt,ProceedsFromRepaymentsOfNotesPayable,ProceedsFromRepaymentsOfOtherDebt,ProceedsFromSaleAndCollectionOfMortgageNotesReceivable,ProceedsFromSaleAndCollectionOfNotesReceivable,ProceedsFromSaleAndMaturityOfMarketableSecurities,ProceedsFromSaleAndMaturityOfOtherInvestments,ProceedsFromSaleOfAvailableForSaleSecuritiesEquity,ProceedsFromSaleOfEquityMethodInvestments,ProceedsFromSaleOfForeclosedAssets,ProceedsFromSaleOfInvestmentProjects,ProceedsFromSaleOfNotesReceivable,ProceedsFromSaleOfProductiveAssets,ProceedsFromSaleOfRealEstate,ProceedsFromSaleOfShortTermInvestments,ProductionAndDistributionCosts,ProfitLoss,PropertyPlantAndEquipmentNet,ProvisionForDoubtfulAccounts,RealEstateAccumulatedDepreciation,RealEstateAccumulatedDepreciationDepreciationExpense,RealEstateAccumulatedDepreciationOtherDeductions,RealEstateAccumulatedDepreciationRealEstateSold,RealEstateAndAccumulatedDepreciationAccumulatedDepreciation,RealEstateAndAccumulatedDepreciationAmountOfEncumbrances,RealEstateAndAccumulatedDepreciationCarryingAmountOfBuildingsAndImprovements,RealEstateAndAccumulatedDepreciationCarryingAmountOfLand,RealEstateAndAccumulatedDepreciationCarryingAmountOfLandAndBuildingsAndImprovements,RealEstateAndAccumulatedDepreciationCostsCapitalizedSubsequentToAcquisitionCarryingCosts,RealEstateAndAccumulatedDepreciationInitialCostOfBuildingsAndImprovements,RealEstateAndAccumulatedDepreciationInitialCostOfLand,RealEstateCostOfRealEstateSold,RealEstateGrossAtCarryingValue,RealEstateImprovements,RealEstateInvestmentPropertyAccumulatedDepreciation,RealEstateInvestmentPropertyAtCost,RealEstateInvestmentPropertyNet,RealEstateOtherAcquisitions,RealEstateOtherDeductions,RealEstateTaxExpense,ReclassificationFromAccumulatedOtherComprehensiveIncomeCurrentPeriodBeforeTax,ReclassificationFromAccumulatedOtherComprehensiveIncomeCurrentPeriodNetOfTax,RelatedPartyTransactionExpensesFromTransactionsWithRelatedParty,RepaymentOfNotesReceivableFromRelatedParties,RepaymentsOfLinesOfCredit,RepaymentsOfNotesPayable,RepaymentsOfOtherDebt,RepaymentsOfSecuredDebt,RestrictedCashAndCashEquivalents,RestrictedCashEquivalentsCurrent,RetainedEarningsAccumulatedDeficit,RevenueFromContractWithCustomerIncludingAssessedTax,Revenues,SaleOfStockConsiderationReceivedOnTransaction,SaleOfStockPricePerShare,SECScheduleIIIRealEstateAccumulatedDepreciationDepreciationExpense,SecuredDebt,SecurityDepositLiability,SecurityOwnedAndPledgedAsCollateralAssociatedLiabilitiesFairValue,ShareBasedCompensation,ShareBasedCompensationArrangementByShareBasedPaymentAwardNumberOfSharesAuthorized,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExpirationsInPeriod,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriodGross,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingNumber,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsVestedAndExpectedToVestOutstandingNumber,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsVestedAndExpectedToVestOutstandingWeightedAverageExercisePrice,ShareBasedCompensationSharesAuthorizedUnderStockOptionPlansExercisePriceRangeLowerRangeLimit,ShareBasedCompensationSharesAuthorizedUnderStockOptionPlansExercisePriceRangeUpperRangeLimit,SharePrice,SharesOutstanding,ShortTermBorrowings,StockholdersEquity,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,StockholdersEquityOther,StockIssued1,StockIssuedDuringPeriodSharesDividendReinvestmentPlan,StockIssuedDuringPeriodValueDividendReinvestmentPlan,StockRedeemedOrCalledDuringPeriodShares,StockRedeemedOrCalledDuringPeriodValue,StockRepurchasedAndRetiredDuringPeriodValue,StockRepurchasedDuringPeriodShares,StockRepurchasedDuringPeriodValue,StockRepurchaseProgramAuthorizedAmount,StockRepurchaseProgramNumberOfSharesAuthorizedToBeRepurchased,StockRepurchaseProgramRemainingNumberOfSharesAuthorizedToBeRepurchased,TenantReimbursements,TradingSecuritiesUnrealizedHoldingLoss,TransferMortgagePayable,TransferOfOtherRealEstate,TransferToOtherRealEstate,TreasuryStockAcquiredAverageCostPerShare,UnrealizedGainLossOnSecurities,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,DebtAndEquitySecuritiesGainLoss,OtherNoncashIncome,SharesIssuedPricePerShare
2008-12-31,2009-03-31,10-K,"LIGHTSTONE VALUE PLUS REIT I, INC.",LHTV,CIK0001296884,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66105000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,497209000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,237627000.0,,,,,,,,,,,,,,,,,,,,,,,
2009-03-31,2009-05-15,10-Q,"LIGHTSTONE VALUE PLUS REIT I, INC.",LHTV,CIK0001296884,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-12-31,2010-03-31,10-K,"LIGHTSTONE VALUE PLUS REIT I, INC.",LHTV,CIK0001296884,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17076000.0,,-49029000.0,,,,,631000.0,8000.0,-342000.0,,,,,,,,,,,,-61516000.0,,,,,,12688000.0,47568000.0,,,,,,,,,,,,,,,,,,,,,8516000.0,,8516000.0,,,,,,,,,,,,,,,,,,,,,27335000.0,,,,,,,,,-2.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8226000.0,,,,14625000.0,-34000000.0,-1.06,-32104000.0,-1.02,-10311000.0,-1542000.0,-2276000.0,139000.0,,,548000.0,-1287000.0,,,11604000.0,,,,,,,,4200000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,344000.0,-3374000.0,,,,4737000.0,,6878000.0,70858000.0,78988000.0,,,,,-38941000.0,-39572000.0,-11466000.0,-11474000.0,1378000.0,1720000.0,-65195000.0,-909000.0,,,,,,,,,-13712000.0,,,29387000.0,,22358000.0,,,,,,,,,,-4078000.0,510000.0,,,,-457000.0,457000.0,,,,,497209000.0,,,,,,,,,,4282000.0,,,,12315000.0,4737000.0,23000.0,,,30164000.0,,,,,,7801000.0,,,,,,,,,,,,,,,,,,,6983000.0,,,,,,,-631000.0,,,,,,12167000.0,,,,,,,,,,,-66104000.0,,,15840000.0,,,,,,,,,,,,,249682000.0,,,,,,,3513000.0,,,,,,,,2209000.0,,,,,33856000.0,,,,,,,,,,,,,,,,,,,,171210000.0,-6983000.0,,,9462000.0,,4282000.0,,,,,,,4469000.0,,,,,,,,,,
2010-06-30,2010-08-16,10-Q,"LIGHTSTONE VALUE PLUS REIT I, INC.",LHTV,CIK0001296884,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6372000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2854000.0,8512000.0,,,,,,,,,,,,,,,,,,,,,1373000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,-1150000.0,,,,,,,,,,2215000.0,,,,,-4125000.0,-0.14,16992000.0,0.54,-2034000.0,,,,,,,,,,2919000.0,,,,,,,,1046000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67000.0,,,,,,,,,,,,,,,,,,,,12667000.0,200000.0,,,,,,,,,-377000.0,,,6991000.0,,,,,,,,,,,,,,,,,,92000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12867000.0,,,,,,,,,,,,,,,,,,,,,,,920000.0,,,,,,,,,,,,,8135000.0,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,1144000.0,,,,,,,,,,
2010-09-30,2010-11-15,10-Q,"LIGHTSTONE VALUE PLUS REIT I, INC.",LHTV,CIK0001296884,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46606000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,3043000.0,7743000.0,,,,,,,,,,,,,,,,,,,,,1881000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.13,,,142780000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1904000.0,,,,,133538000.0,4.13,87000.0,,-7838000.0,,,,,,,,,,2932000.0,,,,,,,,999000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131561000.0,2064000.0,,,,,,,,,381000.0,,,6918000.0,,,,,,,,,,,,,,,,,,148000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133625000.0,,,,,,,,,,,,,,,,,,,,,,,915000.0,,,,,,,,,,,,,8124000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1206000.0,,,,,,,,,,
