end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsPayableTradeCurrent,AccountsReceivableFromSecuritization,AccruedPayrollTaxesCurrent,AccruedSalariesCurrent,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,AdditionalPaidInCapital,AdjustmentsToAdditionalPaidInCapitalOther,Assets,AssetsCurrent,AssetsNoncurrent,BusinessAcquisitionCostOfAcquiredEntityEquityInterestsIssuedAndIssuable,BusinessCombinationConsiderationTransferredEquityInterestsIssuedAndIssuable,CapitalLeasesOfLesseeContingentRentalsBasisSpreadOnVariableRate,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,CommonStockCapitalSharesReservedForFutureIssuance,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockSharesSubscriptions,CommonStockValue,ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,ConversionOfStockSharesConverted1,DebtAndCapitalLeaseObligations,DebtInstrumentInterestRateIncreaseDecrease,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsEmployeeBenefits,DeferredTaxAssetsValuationAllowance,Depreciation,DepreciationDepletionAndAmortization,DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,DividendsCommonStockCash,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateContinuingOperations,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EffectiveIncomeTaxRateReconciliationForeignIncomeTaxRateDifferential,EffectiveIncomeTaxRateReconciliationTaxSettlementsStateAndLocal,EmployeeRelatedLiabilitiesCurrent,EquityMethodInvestmentOwnershipPercentage,FederalDepositInsuranceCorporationPremiumExpense,FinanceLeaseRightOfUseAsset,FiniteLivedIntangibleAssetsAccumulatedAmortization,FiniteLivedIntangibleAssetsNet,ForeignCurrencyTransactionGainLossBeforeTax,GeneralAndAdministrativeExpense,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,IncomeLossFromDiscontinuedOperationsNetOfTaxPerBasicAndDilutedShare,IncomeTaxExpenseBenefit,IncomeTaxExpenseBenefitIntraperiodTaxAllocation,IncomeTaxesPaid,IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,IncomeTaxReconciliationNondeductibleExpenseOther,IncomeTaxReconciliationNondeductibleExpenseShareBasedCompensationCost,IncomeTaxReconciliationOtherAdjustments,IncomeTaxReconciliationStateAndLocalIncomeTaxes,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccountsPayableTrade,IncreaseDecreaseInAccruedSalaries,IncreaseDecreaseInOtherAccruedLiabilities,IncreaseDecreaseInPrepaidExpense,IncreaseDecreaseInPrepaidExpensesOther,InterestExpenseDebt,InterestIncomeExpenseAfterProvisionForLoanLoss,InterestPaid,LaborAndRelatedExpense,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LongTermDebt,LongTermDebtAndCapitalLeaseObligations,LongTermDebtAndCapitalLeaseObligationsCurrent,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NetIncomeLossAttributableToNoncontrollingInterest,NonoperatingIncomeExpense,NotesPayableCurrent,OfficersCompensation,OperatingExpenses,OperatingIncomeLoss,OperatingLeaseLiability,OperatingLeaseLiabilityCurrent,OperatingLeaseLiabilityNoncurrent,OperatingLeasePayments,OperatingLeaseRightOfUseAsset,OperatingLeasesFutureMinimumPaymentsDue,OperatingLeasesFutureMinimumPaymentsDueCurrent,OperatingLeasesFutureMinimumPaymentsDueInThreeYears,OperatingLeasesFutureMinimumPaymentsDueInTwoYears,OperatingLeasesRentExpenseNet,OtherAccruedLiabilitiesCurrent,OtherComprehensiveIncomeLossNetOfTaxPortionAttributableToNoncontrollingInterest,OtherGeneralAndAdministrativeExpense,PaymentsForRent,PaymentsOfCapitalDistribution,PreferredStockParOrStatedValuePerShare,PreferredStockRedemptionAmount,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValue,PrepaidExpenseAndOtherAssetsCurrent,PrepaidExpenseCurrent,ProceedsFromContributedCapital,ProceedsFromIssuanceOfCommonStock,ProceedsFromIssuanceOfWarrants,ProceedsFromIssuanceOrSaleOfEquity,ProceedsFromLeasePayments,ProceedsFromNotesPayable,ProfessionalFees,ProfitLoss,PropertyPlantAndEquipmentGross,RentalProperties,RepaymentsOfNotesPayable,ResearchAndDevelopmentExpense,RetainedEarningsAccumulatedDeficit,Revenues,RightOfUseAssetObtainedInExchangeForOperatingLeaseLiability,SaleOfStockConsiderationReceivedOnTransaction,SaleOfStockNumberOfSharesIssuedInTransaction,SaleOfStockPricePerShare,SharesIssued,SharesOutstanding,StockholdersEquity,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodSharesOther,StockIssuedDuringPeriodValueEmployeeBenefitPlan,StockIssuedDuringPeriodValueIssuedForServices,StockIssuedDuringPeriodValueNewIssues,StockIssuedDuringPeriodValueOther,TemporaryEquitySharesIssued,TemporaryEquitySharesSubscribedButUnissuedSubscriptionsReceivable,TreasuryStockShares,TreasuryStockValue,ValuationAllowanceDeferredTaxAssetChangeInAmount,WeightedAverageNumberOfShareOutstandingBasicAndDiluted
2008-12-31,2009-04-08,10-K,"SIGNET INTERNATIONAL HOLDINGS, INC.",SIGN,CIK0001317833,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-310630.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-310630.0,,,,,,,,,,,,0.0,3315430.0,3315430.0,,,,,,,,,,,,
2009-12-31,2010-04-12,10-K,"SIGNET INTERNATIONAL HOLDINGS, INC.",SIGN,CIK0001317833,USD,,,,,,,,-5300.0,,,,,,,,32396.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-296313.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-296313.0,,,,,,,,,,,,0.0,3571058.0,3571058.0,,,,,,,,,,,,
2010-06-30,2010-08-16,10-Q,"SIGNET INTERNATIONAL HOLDINGS, INC.",SIGN,CIK0001317833,USD,,,,,,,,,,,,,,,,13380.0,,,,,,,,,,-100568.0,,,,,,,,,,,,,,,,,,,,,,,,-100568.0,,0.0,,,,,,,,,,,,,,,-125.0,,,47250.0,,,,,,,,,,,,,,22500.0,100443.0,-100443.0,,,,,,,,,,,,0.0,30693.0,,,,,,,,,,,,,,,,,,-100568.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
2010-09-30,2010-11-15,10-Q,"SIGNET INTERNATIONAL HOLDINGS, INC.",SIGN,CIK0001317833,USD,,,,,,,,,,,,,,,,24536.0,,,,,,,,,,-76017.0,,,,,,,,,,,-0.01,,,,,,,,,,,,,-76017.0,,0.0,,,,,,,,,,,,,,,250.0,,,29250.0,,,,,,,,,,,,,,22500.0,75767.0,-75767.0,,,,,,,,,,,,0.0,24017.0,,,,,,,,,,,,,,,,,,-76017.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
2010-12-31,2011-04-13,10-K,"SIGNET INTERNATIONAL HOLDINGS, INC.",SIGN,CIK0001317833,USD,,155631.0,,,,,5627266.0,0.0,4617950.0,10659.0,4607291.0,,,,10659.0,10659.0,-21737.0,,,0.001,100000000.0,5383402.0,5383402.0,0.0,5383.0,-380542.0,,,,,,,,0.0,2218471.0,,-0.07,,,,,514683.0,,,,0.0,4007249.0,,,-380542.0,,0.0,,0.0,,,,,,,,2103.0,43082.0,90000.0,0.0,,500.0,,0.0,172000.0,,4617950.0,1198772.0,,,,211120.0,0.0,-232857.0,-380542.0,,,0.0,90000.0,380042.0,-380042.0,,,,,,,,,,32020.0,528458.0,0.0,118042.0,,0.0,0.001,,50000000.0,5000000.0,5000000.0,5000.0,,0.0,0.0,216120.0,,,,0.0,,-380542.0,600042.0,,5000.0,,,0.0,,,,,,0.0,3419178.0,3419178.0,,,,,,,,0.0,,,,
2011-03-31,2011-05-16,10-Q,"SIGNET INTERNATIONAL HOLDINGS, INC.",SIGN,CIK0001317833,USD,,,,,,,,,,,,,,,,11006.0,347.0,,,,,,,,,-100854.0,,,,,,,0.0,,,,-0.02,,,,,,,,,,,,,-100854.0,,0.0,,0.0,,,,,,,,5137.0,38764.0,22500.0,0.0,,0.0,,0.0,34250.0,,,,,,,34800.0,0.0,-34453.0,,,,,22500.0,100854.0,-100854.0,,,,,,,,,,,,0.0,44104.0,,0.0,,,,,,,,,0.0,39300.0,,,,0.0,,-100854.0,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,
2011-06-30,2011-08-15,10-Q,"SIGNET INTERNATIONAL HOLDINGS, INC.",SIGN,CIK0001317833,USD,,160768.0,,,,,5700641.0,,4638596.0,,4607291.0,,,,31305.0,31305.0,,,,0.001,100000000.0,6607802.0,6607802.0,0.0,6608.0,-75252.0,,,,,,,,,2394576.0,,-0.01,,,,,559683.0,,,,0.0,4007249.0,,,-75252.0,,0.0,,,,,,,,,,,,,,,558.0,,,29750.0,,4638596.0,1320923.0,,,,,,,,,,,22500.0,74694.0,-74694.0,,,,,,,,,,,600472.0,0.0,22444.0,,,0.001,,50000000.0,5000000.0,5000000.0,5000.0,,,,,,,,,,-75252.0,600042.0,,,,,0.0,,,,,,,,3317673.0,,,,,,,,0.0,,,,6566727.0
2011-09-30,2011-11-14,10-Q,"SIGNET INTERNATIONAL HOLDINGS, INC.",SIGN,CIK0001317833,USD,,160768.0,,,,,5702631.0,,4623420.0,,4607291.0,,,,16129.0,16129.0,,,,0.001,100000000.0,6618302.0,6618302.0,,6618.0,-76776.0,,,,,,,,,2471352.0,,-0.01,,,,,582183.0,,,,0.0,4007249.0,,,-76776.0,,0.0,,,,,,,,,,,,,,,0.0,,,32350.0,,4623420.0,1380523.0,,,,,,,,,,,22500.0,76776.0,-76776.0,,,,,,,,,,,637572.0,0.0,21926.0,,,0.001,,50000000.0,5000000.0,5000000.0,5000.0,,,,,,,,,,-76776.0,600042.0,,,,,0.0,,,,,,,,3242897.0,,,,,,,,,,,,6614259.0
2011-12-31,2012-03-30,10-K,"SIGNET INTERNATIONAL HOLDINGS, INC.",SIGN,CIK0001317833,USD,,168158.0,,,,,5728525.0,,4654798.0,47507.0,4607291.0,,,,22507.0,22507.0,11848.0,,,0.001,100000000.0,6725000.0,6725000.0,,6725.0,-314894.0,,,,296000.0,503000.0,799000.0,,0.0,2533365.0,,-0.05,,,,,604683.0,,,,0.0,4007249.0,,,-314894.0,,0.0,,0.0,,-107000.0,26000.0,,,,,12528.0,90000.0,146614.0,25000.0,,0.0,,500.0,128600.0,,4654798.0,1447913.0,,,,102600.0,0.0,-90752.0,-314894.0,,,0.0,90000.0,314894.0,-314894.0,,,,,,,,,,31000.0,675072.0,0.0,96294.0,,0.0,0.001,,50000000.0,5000000.0,5000000.0,5000.0,,25000.0,0.0,102600.0,,,,0.0,,-314894.0,600042.0,,0.0,,,0.0,,,,,,0.0,3206885.0,3206885.0,,,,,,,,,,,107000.0,6404720.0
2012-03-31,2012-05-15,10-Q,"SIGNET INTERNATIONAL HOLDINGS, INC.",SIGN,CIK0001317833,USD,,168158.0,,,,,5765775.0,,4675104.0,67813.0,4607291.0,,,,42813.0,42813.0,20306.0,,,0.001,100000000.0,6975000.0,6975000.0,,6975.0,-64444.0,,,,,,,0.0,,2597809.0,,-0.01,,,,,627183.0,,,,0.0,4007249.0,,,-64444.0,,0.0,,0.0,,-22000.0,14300.0,,7700.0,,,0.0,22500.0,24750.0,0.0,,0.0,,0.0,19500.0,,4675104.0,1495163.0,,,,37500.0,0.0,-17194.0,-64444.0,,,,22500.0,64444.0,-64444.0,,,,,,,,,,,699822.0,0.0,22444.0,,0.0,0.001,,50000000.0,5000000.0,5000000.0,5000.0,,25000.0,0.0,37500.0,,,,0.0,,-64444.0,600042.0,,0.0,,,0.0,,,,,,,,3179941.0,,,,,,,,,,,,6733242.0
