end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableFairValueDisclosure,AccountsPayableRelatedPartiesCurrentAndNoncurrent,AdditionalPaidInCapital,Assets,AssetsNet,CommonStockOtherSharesOutstanding,CommonStockSharesHeldInEmployeeTrustShares,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,GainLossOnInvestments,IncreaseDecreaseInOperatingAssets,InvestmentCompanyExpenseRatioIncludingIncentiveFee,InvestmentCompanyGainLossOnInvestmentPerShare,InvestmentCompanyInvestmentIncomeLossFromOperationsPerShare,InvestmentCompanyInvestmentIncomeLossPerShare,InvestmentCompanyInvestmentIncomeLossRatio,InvestmentCompanyTotalReturn,InvestmentIncomeNet,InvestmentOwnedAtCost,InvestmentOwnedAtFairValue,InvestmentOwnedBalanceContracts,InvestmentOwnedBalanceContracts,InvestmentOwnedPercentOfNetAssets,InvestmentOwnedUnrecognizedUnrealizedAppreciation,Liabilities,NetAssetValuePerShare,RealizedInvestmentGainsLosses,RelatedPartyTransactionExpensesFromTransactionsWithRelatedParty,RelatedPartyTransactionRate,SharesOutstanding,SponsorFees,StockholdersEquityNoteStockSplitConversionRatio1,StockholdersEquityPeriodIncreaseDecrease,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodSharesPeriodIncreaseDecrease,StockIssuedDuringPeriodValueNewIssues,UnrealizedGainLossOnInvestments
2019-12-31,2020-03-20,10-K,GrayscaleÂ® Bitcoin Trust (BTC),GBTC,CIK0001588489,USD,0.0,0.0,-861353899.0,1866217842.0,1866218000.0,269445300.0,12617869.0,,394024794.0,348925058.0,0.02,3.44,3.29,-0.15,-0.02,0.9419,-45099736.0,839093484.0,1866218000.0,261192.140223,261192.140223,1.0,1027124358.0,0.0,6.93,29604029.0,34730355.0,,269445300.0,45099736.0,,462775000.0,62886200.0,62886200.0,-462775000.0,364420765.0
2020-03-31,2020-05-08,10-Q,GrayscaleÂ® Bitcoin Trust (BTC),GBTC,CIK0001588489,USD,0.0,0.0,-1250883025.0,1972244030.0,1972244000.0,315828000.0,11213392.0,0.21,-271710000.0,-283503000.0,0.02,-0.65,-0.69,-0.04,-0.02,-0.3266,-11793000.0,1223309388.0,1972244030.0,304631.3105,,1.0,748934642.0,0.0,6.24,6480000.0,11793388.0,0.02,315828000.0,11793000.0,,389529000.0,46382700.0,46382700.0,389529000.0,-278190000.0
2020-06-30,2020-08-07,10-Q,GrayscaleÂ® Bitcoin Trust (BTC),GBTC,CIK0001588489,USD,0.0,0.0,-2008273447.0,3532364439.0,3532364000.0,402941400.0,12606247.0,,817533000.0,802730000.0,0.02,2.57,2.53,-0.04,-0.02,2.977,-14803000.0,1972997225.0,3532364439.0,386723.1918,,1.0,1559367214.0,0.0,8.77,7101000.0,14803403.0,,402941400.0,14803000.0,,757390000.0,87113400.0,87113400.0,757390000.0,810432000.0
2020-09-30,2020-11-06,10-Q,GrayscaleÂ® Bitcoin Trust (BTC),GBTC,CIK0001588489,USD,0.0,0.0,-2732165545.0,4816618672.0,4816619000.0,471022700.0,13242201.0,,582443000.0,560362000.0,0.02,1.51,1.46,-0.05,-0.02,0.8794,-22081000.0,2685503451.0,4816618672.0,449791.0246,,1.0,2131115221.0,0.0,10.23,10694000.0,22080009.0,,471022700.0,22081000.0,,723893000.0,68081300.0,68081300.0,723893000.0,571749000.0
2020-12-31,2021-03-05,10-K,GrayscaleÂ® Bitcoin Trust (BTC),GBTC,CIK0001588489,USD,0.0,0.0,-5608734000.0,17716478000.0,17716478000.0,638906600.0,14512320.0,0.21,21264502000.0,21126171000.0,0.02,21.03,20.8,-0.23,-0.02,3.0847,-138331000.0,5543305000.0,17716478000.0,607039.485152,607039.485152,1.0,12173173000.0,0.0,27.73,76395000.0,93504648.0,0.02,638906600.0,138331000.0,,4747380000.0,369461300.0,369461300.0,-4747380000.0,21188107000.0
2021-03-31,2021-05-07,10-Q,GrayscaleÂ® Bitcoin Trust (BTC),GBTC,CIK0001588489,USD,,0.0,-7513961000.0,38360399000.0,38360399000.0,692370100.0,12009724.0,0.21,18882994000.0,18738694000.0,0.02,27.88,27.67,-0.21,-0.02,,-144300000.0,7414166000.0,38360399000.0,654600.127683,,1.0,30946233000.0,0.0,55.4,109934000.0,144299795.0,0.02,692370100.0,144300000.0,,1905227000.0,53463500.0,53463500.0,1905227000.0,18773060000.0
2021-06-30,2021-08-06,10-Q,GrayscaleÂ® Bitcoin Trust (BTC),GBTC,CIK0001588489,USD,,0.0,-7513961000.0,22643855000.0,22643855000.0,692370100.0,16567432.0,,-15565070000.0,-15716544000.0,0.02,-22.48,-22.7,-0.22,-0.02,,-151474000.0,7377287000.0,22643855000.0,651344.129404,,1.0,15266568000.0,0.0,32.7,114595000.0,151473648.0,,692370100.0,151474000.0,,,,,,-15679665000.0
2021-09-30,2021-11-05,10-Q,GrayscaleÂ® Bitcoin Trust (BTC),GBTC,CIK0001588489,USD,,0.0,-7513961000.0,28209892000.0,28209892000.0,692370100.0,16531978.0,,5703333000.0,5566037000.0,0.02,8.24,8.04,-0.2,-0.02,,-137296000.0,7340191000.0,28209892000.0,648068.81398,,1.0,20869701000.0,0.0,40.74,100200000.0,137296546.0,,692370100.0,137296000.0,,,,,,5603133000.0
2021-12-31,2022-02-25,10-K,GrayscaleÂ® Bitcoin Trust (BTC),GBTC,CIK0001588489,USD,0.0,0.0,-7513961000.0,29576053000.0,29576053000.0,692370100.0,25327433.0,0.21,12118279000.0,11320509000.0,0.02,15.88,14.99,-0.89,-0.02,0.5406,-797770000.0,7303280000.0,29576053000.0,,644809.968638,1.0,22272773000.0,0.0,42.72,615607000.0,615420161.0,0.02,692370100.0,797770000.0,,1905227000.0,53463500.0,53463500.0,-1905227000.0,11502672000.0
