end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsPayableCurrent,AccountsReceivableNetCurrent,AccumulatedAmortizationOfOtherDeferredCosts,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,AdditionalPaidInCapital,AmortizationOfDebtDiscountPremium,AmortizationOfIntangibleAssets,Assets,AssetsCurrent,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,ConversionOfStockSharesConverted1,ConvertibleNotesPayableCurrent,ConvertiblePreferredStockConvertedToOtherSecurities,ConvertiblePreferredStockSharesIssued,CostOfRevenue,DebtConversionOriginalDebtAmount1,DebtDefaultLongtermDebtAmount,DebtDefaultShorttermDebtAmount,DebtInstrumentAnnualPrincipalPayment,DebtInstrumentCarryingAmount,DebtInstrumentConvertibleConversionPrice1,DebtInstrumentInterestRateStatedPercentage,DebtInstrumentUnamortizedDiscount,DeferredOtherTaxExpenseBenefit,DeferredTaxAssetsNet,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsValuationAllowance,Depreciation,DepreciationExpense,DerivativeLiabilitiesCurrent,DueFromRelatedPartiesCurrent,DueToRelatedPartiesCurrent,EarningsPerShareBasic,EarningsPerShareBasicAndDiluted,EarningsPerShareDiluted,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,ExtinguishmentOfDebtAmount,ExtraordinaryItemsGross,FairValueAdjustmentOfWarrants,FairValueNetDerivativeAssetLiabilityMeasuredOnRecurringBasisChangeInUnrealizedGainLoss,FairValueOptionChangesInFairValueGainLoss1,FiniteLivedIntangibleAssetsAccumulatedAmortization,FiniteLivedIntangibleAssetsGross,FiniteLivedIntangibleAssetsNet,ForeignCurrencyTransactionLossBeforeTax,GainLossOnDerivativeInstrumentsNetPretax,GainsLossesOnExtinguishmentOfDebt,GeneralAndAdministrativeExpense,GrossProfit,ImpairmentOfLongLivedAssetsHeldForUse,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,IncomeTaxExpenseBenefit,IncomeTaxesPaidNet,IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,IncomeTaxReconciliationStateAndLocalIncomeTaxes,IncomeTaxReconciliationTaxContingencies,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccountsPayableRelatedParties,IncreaseDecreaseInAccountsReceivable,IncreaseDecreaseInDueFromRelatedParties,IncreaseDecreaseInDueToRelatedParties,IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,IncreaseDecreaseInPrepaidExpense,IntangibleAssetsGrossExcludingGoodwill,IntangibleAssetsNetExcludingGoodwill,IntangibleAssetsNetIncludingGoodwill,InterestExpense,InterestExpenseShortTermBorrowings,InterestIncomeExpenseNet,InterestOnConvertibleDebtNetOfTax,InterestPaid,InterestPayableCurrent,InterestPayableCurrentAndNoncurrent,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LoansPayableCurrent,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,NetIncomeLoss,NotesAssumed1,NotesPayableCurrent,NotesPayableRelatedPartiesCurrentAndNoncurrent,OperatingExpenses,OperatingIncomeLoss,OperatingLossCarryforwards,OtherAssets,OtherCommitment,OtherIntangibleAssetsNet,OtherNoncashIncome,OtherNonoperatingIncomeExpense,PaymentsToAcquireIntangibleAssets,PaymentsToAcquirePropertyPlantAndEquipment,PaymentsToSuppliers,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValue,PrepaidExpenseCurrent,PrepaidExpenseCurrentAndNoncurrent,ProceedsFromConvertibleDebt,ProceedsFromIssuanceOfCommonStock,ProceedsFromIssuanceOfConvertiblePreferredStock,ProceedsFromIssuanceOfPreferredStockAndPreferenceStock,ProceedsFromIssuanceOfRedeemablePreferredStock,ProceedsFromNotesPayable,ProceedsFromRelatedPartyDebt,ProceedsFromRepaymentsOfDebt,ProceedsFromSaleOfOtherAssets1,PropertyPlantAndEquipmentGross,PropertyPlantAndEquipmentNet,ProvisionForDoubtfulAccounts,RepaymentsOfDebt,RepaymentsOfOtherDebt,RepaymentsOfShortTermDebt,RetainedEarningsAccumulatedDeficit,Revenues,SalesRevenueNet,SellingGeneralAndAdministrativeExpense,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedVolatilityRate,SharesIssued,StockConvertedFromOneClassToAnotherClassShares,StockholdersEquity,StockIssuedDuringPeriodSharesConversionOfConvertibleSecurities,StockIssuedDuringPeriodValueConversionOfConvertibleSecurities,StockIssuedDuringPeriodValueIssuedForCash,StockIssuedDuringPeriodValueIssuedForServices,WeightedAverageNumberOfDilutedSharesOutstanding,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesOutstandingBasic
2012-09-30,2012-11-14,10-Q,ASTIKA HOLDINGS INC.,ASKH,CIK0001511161,USD,4632.0,,296.0,-195.0,,11156.0,,115.0,14619.0,6889.0,6593.0,,0.001,140000000.0,8204000.0,8204000.0,8204.0,,,,,25.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,301.0,,-5376.0,,,,,,,,,,,,,,,,5305.0,,,-25.0,,,,,,14619.0,8665.0,,,,,,-5376.0,,4033.0,,5652.0,-5351.0,,,,5305.0,,,,,,0.001,10000000.0,,,,,,,,,,,,,,,,2425.0,,,,,-13406.0,326.0,,5537.0,,,,5954.0,,,,,,,8162571.0
2012-12-31,2013-03-26,10-K,ASTIKA HOLDINGS INC.,ASKH,CIK0001511161,USD,16525.0,,436.0,,513.0,112782.0,,267.0,85042.0,77566.0,77130.0,69097.0,0.001,140000000.0,11077750.0,11077750.0,11078.0,106100.0,,106100.0,,1345.0,,,,,,,,,,0.0,-53517.0,-53517.0,513.0,513.0,,,,,-0.01,,0.34,,,,,,-309.0,5500.0,5191.0,,,,,3662.0,,-53517.0,,,19402.0,-19402.0,,,16525.0,,-436.0,,,,,,,5191.0,83.0,,-83.0,,,,,,85042.0,18608.0,,108100.0,-2798.0,-36205.0,,-53517.0,,2083.0,,57096.0,-53434.0,-53517.0,,,,,,,2798.0,,0.001,10000000.0,0.0,0.0,,,,,5000.0,,106100.0,,,,,106100.0,2798.0,2285.0,,3000.0,,,-57426.0,5007.0,,56829.0,,,,66434.0,,,5000.0,360.0,,,8608724.0
2013-03-31,2013-05-14,10-Q,ASTIKA HOLDINGS INC.,ASKH,CIK0001511161,USD,5585.0,,697.0,,653.0,112782.0,,115.0,49127.0,41906.0,41209.0,-35921.0,0.001,140000000.0,11077750.0,11077750.0,11078.0,,,,,,,,,,,,,,,,,,140.0,140.0,,,,,0.0,,,,,,,,,5500.0,,,,,,677.0,,-25001.0,,,,,,,-10940.0,,261.0,,,,,,,5076.0,26.0,,-26.0,,,,,,49127.0,7694.0,,,,-35921.0,,-25001.0,,2109.0,,25652.0,-24975.0,,,,,,,,,,0.001,10000000.0,,,,,,,,,,,,,,,2798.0,2145.0,,,,,-82427.0,677.0,677.0,25537.0,,,,41433.0,,,,,,,11077750.0
2013-06-30,2013-08-14,10-Q,ASTIKA HOLDINGS INC.,ASKH,CIK0001511161,USD,8125.0,,394.0,,816.0,112782.0,,115.0,29773.0,22241.0,21847.0,,0.001,140000000.0,11077750.0,11077750.0,11078.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,5500.0,,,,,,374.0,,-20919.0,,,,,,,,,,,,,,,,4962.0,,,-25.0,,,,,,29773.0,9259.0,,,,,,-20919.0,,1134.0,,21268.0,-20894.0,,,,,,,,,,0.001,10000000.0,,,,,,,,,,,,,,,3386.0,2570.0,,,,,-103346.0,374.0,374.0,21153.0,,,,20514.0,,,,,,,11077750.0
2013-09-30,2013-11-14,10-Q,ASTIKA HOLDINGS INC.,ASKH,CIK0001511161,USD,8475.0,,303.0,,992.0,112782.0,,115.0,15909.0,8317.0,8014.0,,0.001,140000000.0,11077750.0,11077750.0,11078.0,,,,,,,,,4000.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,283.0,,-14229.0,,,,,,,,,,,,,,,,4847.0,,,-14.0,,,,,,15909.0,9623.0,,,,,,-14229.0,,1148.0,,14498.0,-14215.0,,,,,,,,,,0.001,10000000.0,0.0,0.0,,,,,,,,,,,,,,2745.0,,,,,-117574.0,283.0,283.0,14383.0,,,,6286.0,,,,,,,11077750.0
2013-12-31,2014-04-14,10-K,ASTIKA HOLDINGS INC.,ASKH,CIK0001511161,USD,5963.0,,20.0,,513.0,112782.0,,458.0,7311.0,20.0,,-77130.0,0.001,140000000.0,11077750.0,11077750.0,11078.0,,,,,,,,1162.0,,,,,,,,,,665.0,,,,,,-0.01,,,,,,,,-458.0,,4733.0,,,,,1335.0,,-66248.0,,,42049.0,-42049.0,,-42049.0,-10562.0,,416.0,,,,,5000.0,4733.0,4733.0,79.0,79.0,-79.0,,,,,7125.0,7311.0,7125.0,1162.0,-1000.0,-938.0,-75192.0,,-66248.0,,1162.0,,67504.0,-66169.0,123674.0,7291.0,,,,,,938.0,,0.001,10000000.0,0.0,0.0,,,,,,,,,,,,,,2558.0,,1000.0,,1000.0,-123674.0,1335.0,,67046.0,,,,186.0,,,,,,11077750.0,11077750.0
2014-03-31,2014-05-19,10-Q,ASTIKA HOLDINGS INC.,ASKH,CIK0001511161,USD,1863.0,,20.0,,628.0,112782.0,,114.0,7009.0,20.0,,,0.001,140000000.0,11077750.0,11077750.0,11078.0,,,,,,,,1177.0,,,,,,,,,,187.0,,,,,,0.0,,,,,,,,-882.0,,4618.0,,,,,,,-4149.0,,,,,,,-4138.0,7932.0,9182.0,,,,,,,4618.0,14.0,,-15.0,,,,,,7009.0,10972.0,,,,0.0,,5359.0,,1177.0,,-4134.0,-4134.0,,,,,,,,,,0.001,10000000.0,0.0,0.0,,,,,,,,,,,,,,2371.0,,,,,-127823.0,,,4019.0,,,,-3963.0,,,,,,11077750.0,11077750.0
2014-06-30,2014-08-15,10-Q,ASTIKA HOLDINGS INC.,ASKH,CIK0001511161,USD,3113.0,,20.0,,,112782.0,,115.0,6708.0,20.0,,,0.001,140000000.0,11077750.0,11077750.0,11078.0,,,,,,,,1192.0,,,,,,,,,,,,,,,,0.0,,,,,,,,-997.0,,4503.0,,,,,,,,,,,,,,,,,,,,,,,4503.0,15.0,,-15.0,,,,,,6708.0,16707.0,,,,,,-6036.0,,1192.0,12402.0,6021.0,-6021.0,,,,,,,,,,0.001,10000000.0,0.0,0.0,,,,,,,,,,,,,,2185.0,,,,,-133859.0,,,5906.0,,,,-9999.0,,,,,,11077750.0,11077750.0
2014-09-30,2014-11-19,10-Q,ASTIKA HOLDINGS INC.,ASKH,CIK0001511161,USD,4503.0,,20.0,,,112782.0,,115.0,6407.0,20.0,,,0.001,140000000.0,11077750.0,11077750.0,11078.0,,,,,,,,1207.0,,,,,,,,,,,,,,,,0.0,,,,,,,,-1111.0,,4389.0,,,,,,,,,,,,,,,,,,,,,,,4389.0,15.0,,-15.0,,,,,,6407.0,20479.0,,,,,,-4073.0,,1207.0,14769.0,4058.0,-4058.0,,,,,,,,,,0.001,10000000.0,0.0,0.0,,,,,,,,,,,,,,1998.0,,,,,-137932.0,,,3943.0,,,,-14072.0,,,,,,11077750.0,11077750.0
2014-12-31,2015-11-03,10-K,ASTIKA HOLDINGS INC.,ASKH,CIK0001511161,USD,18615.0,,,,,112782.0,,344.0,10031.0,10031.0,,,0.001,140000000.0,11077750.0,11077750.0,11078.0,,31500.0,,,,,,,,,,,,56156.0,,,,560.0,,,10031.0,21469.0,,0.0,,,,,,,,,,,,,,,,6387.0,,,,56156.0,,-56156.0,-56156.0,12652.0,,,,21469.0,,,,,,60.0,60.0,,,,60.0,,51337.0,10031.0,51337.0,1222.0,21469.0,,-21469.0,,-41492.0,,,,41432.0,-41432.0,165166.0,,,,,-60.0,,,,0.001,10000000.0,,,,,,31500.0,,,,,,21469.0,,,,,20.0,,,,-165166.0,,,34701.0,,,,-41306.0,,,,,,11077750.0,
