end,filed,form,Name,Ticker,CIK,Currency,AccruedLiabilitiesCurrent,AdditionalPaidInCapital,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,ContributionOfProperty,DeferredIncomeTaxAssetsNet,EarningsPerShareBasicAndDiluted,GeneralAndAdministrativeExpense,IncreaseDecreaseInAccruedLiabilities,Liabilities,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,OperatingExpenses,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValue,ProceedsFromContributedCapital,ProceedsFromContributionsFromParent,ProfitLoss,RetainedEarningsAccumulatedDeficit,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingIntrinsicValue,StockAndWarrantsIssuedDuringPeriodValuePreferredStockAndWarrants,StockholdersEquity,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,StockIssued1,StockIssuedDuringPeriodValueShareBasedCompensation,WeightedAverageNumberOfShareOutstandingBasicAndDiluted
2021-06-30,2021-08-23,10-Q,"Dr. FOODS, Inc.",DRFS,CIK0001857910,USD,1925.0,775731.0,,,0.0001,2400000000.0,2315276582.0,,231528.0,5250.0,211929.0,0.0,1003425.0,-1825.0,1925.0,5250.0,-5250.0,-1003425.0,1003425.0,0.0001,20000000.0,10000.0,,1.0,5250.0,5250.0,-1003425.0,-1009185.0,1000000.0,1000000.0,-1925.0,-1925.0,1000000.0,1000000.0,1628326387.0
2021-09-30,2021-11-19,10-Q,"Dr. FOODS, Inc.",DRFS,CIK0001857910,USD,3200.0,788648.0,0.0,,0.0001,2400000000.0,2315276582.0,2315276582.0,231528.0,,,0.0,14192.0,,3200.0,,,-14192.0,14192.0,0.0001,20000000.0,10000.0,10000.0,1.0,,12917.0,,-1023377.0,1000000.0,,-3200.0,-3200.0,,,2315276582.0
2021-12-31,2022-02-04,10-Q,"Dr. FOODS, Inc.",DRFS,CIK0001857910,USD,3200.0,805701.0,0.0,,0.0001,2400000000.0,2315276582.0,,231528.0,,218490.0,0.0,17053.0,,3200.0,,,-17053.0,17053.0,0.0001,20000000.0,10000.0,,1.0,,17053.0,,-1040430.0,0.0,,-3200.0,-3200.0,,,2315276582.0
