end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableCurrent,AccruedLiabilitiesCurrentAndNoncurrent,AdditionalPaidInCapital,AllocatedShareBasedCompensationExpense,Assets,BusinessAcquisitionPercentageOfVotingInterestsAcquired,Cash,CashEquivalentsAtCarryingValue,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,ComprehensiveIncomeNetOfTax,DueToOfficersOrStockholdersCurrentAndNoncurrent,EarningsPerShareBasicAndDiluted,GeneralAndAdministrativeExpense,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInDueToOfficersAndStockholders,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LoansPayable,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NotesPayableRelatedPartiesClassifiedCurrent,NotesPayableRelatedPartiesNoncurrent,OperatingExpenses,OperatingIncomeLoss,OtherAccruedLiabilitiesCurrentAndNoncurrent,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValue,ProceedsFromIssuanceOfPreferredStockAndPreferenceStock,ProceedsFromRelatedPartyDebt,ProfitLoss,RetainedEarningsAccumulatedDeficit,ShareBasedCompensation,StockholdersEquity,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,StockIssuedDuringPeriodValueNewIssues,WeightedAverageNumberOfShareOutstandingBasicAndDiluted
2020-01-31,2020-11-18,10-K,LVPAI GROUP LIMITED,LVPA,CIK0000831378,USD,,,13261548.0,,,,0.0,,0.001,330000000.0,300000000.0,300000000.0,300000.0,,,0.0,2675.0,-2675.0,,,,,,2675.0,265.0,2675.0,-2675.0,-2675.0,2675.0,2675.0,2675.0,-2675.0,,,,,,10000.0,,2675.0,,-13564223.0,,-2675.0,-2675.0,,300000000.0
2020-04-30,2020-11-18,10-Q,LVPAI GROUP LIMITED,LVPA,CIK0000831378,USD,185.0,,19251548.0,6000000.0,,,0.0,,0.001,300000000.0,300000000.0,300000000.0,300000.0,-6007790.0,,-0.02,6007790.0,-6007790.0,185.0,,,10465.0,,10465.0,7605.0,7605.0,-7605.0,-6007790.0,10280.0,,6007790.0,-6007790.0,,,,,,10000.0,6000000.0,7605.0,-6007790.0,-19572013.0,6000000.0,-10465.0,-10465.0,6000000.0,300000000.0
2020-07-31,2020-11-18,10-Q,LVPAI GROUP LIMITED,LVPA,CIK0000831378,USD,620.0,,19251548.0,,,,,,0.001,300000000.0,300000000.0,300000000.0,300000.0,-6725.0,,0.0,6725.0,-6725.0,,,,,,17190.0,13895.0,,,-6725.0,16570.0,16750.0,6725.0,-6725.0,,,,,,10000.0,,,-6725.0,-19578738.0,,-17190.0,17190.0,,300000000.0
2020-10-31,2020-11-18,10-Q,LVPAI GROUP LIMITED,LVPA,CIK0000831378,USD,620.0,,19251548.0,,,,,,0.001,300000000.0,300000000.0,300000000.0,300000.0,-6737.0,,0.0,6737.0,-6737.0,,,,,,23926.0,20631.0,,,-6737.0,23306.0,23306.0,6737.0,-6737.0,,,,,,10000.0,,,,-19585474.0,,-23927.0,,,300000000.0
2021-01-31,2021-03-12,10-K,LVPAI GROUP LIMITED,LVPA,CIK0000831378,USD,,,19316917.0,6000000.0,0.0,,0.0,0.0,0.001,300134005.0,300134005.0,300134005.0,300134.0,,,-0.02,6062828.0,-6062828.0,,,,,0.0,,62828.0,62828.0,-62828.0,-6062828.0,,,6062828.0,-6062828.0,,0.001,10000000.0,10000000.0,10000000.0,10000.0,6000000.0,62828.0,,-19627051.0,6000000.0,,,,300000000.0
2021-04-30,2021-06-14,10-Q,LVPAI GROUP LIMITED,LVPA,CIK0000831378,USD,,,19616949.0,,0.0,,,0.0,0.001,330000000.0,101567.0,101567.0,102.0,,,0.0,,,,,,,0.0,,,,,,,,,,,0.001,10000000.0,10000000.0,10000000.0,10000.0,,,,-19627051.0,,,,,
2021-07-31,2021-09-13,10-Q,LVPAI GROUP LIMITED,LVPA,CIK0000831378,USD,,7015.0,19616949.0,,,,,0.0,0.001,101567.0,101567.0,101567.0,102.0,-19112.0,12097.0,0.0,,-19112.0,,,,19112.0,,,,,,-19112.0,,,19112.0,-19112.0,7015.0,0.001,10000000.0,10000000.0,10000000.0,10000.0,,,,-19646163.0,,-19112.0,,,101003.0
2021-10-31,2021-12-15,10-Q,LVPAI GROUP LIMITED,LVPA,CIK0000831378,USD,,6965.0,19616949.0,,,,,0.0,0.001,101567.0,101567.0,101567.0,102.0,-5657.0,17804.0,-0.06,,-5657.0,,,,24769.0,,,,,,-5657.0,,,5657.0,-5657.0,6965.0,0.001,10000000.0,10000000.0,10000000.0,10000.0,,,,-19651820.0,,-24769.0,,,101003.0
