end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableCurrent,AccountsReceivableNetCurrent,AccruedLiabilitiesAndOtherLiabilities,AccruedLiabilitiesCurrent,AccruedLiabilitiesCurrentAndNoncurrent,AccruedProfessionalFeesCurrent,AccruedProfessionalFeesCurrentAndNoncurrent,AccumulatedOtherComprehensiveIncomeLossNetOfTax,AdditionalPaidInCapital,AllocatedShareBasedCompensationExpense,AmortizationOfDebtDiscountPremium,AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,Assets,AssetsCurrent,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect,CashEquivalentsAtCarryingValue,CashPeriodIncreaseDecrease,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,ComprehensiveIncomeNetOfTax,ConversionOfStockAmountIssued1,ConversionOfStockSharesIssued1,ConvertibleNotesPayable,ConvertibleNotesPayableCurrent,ConvertiblePreferredDividendsNetOfTax,CurrentIncomeTaxExpenseBenefit,DebtInstrumentConvertibleBeneficialConversionFeature,DebtInstrumentDecreaseForgiveness,DebtInstrumentIncreaseDecreaseOtherNet,DebtInstrumentInterestRateStatedPercentage,DeferredIncomeTaxExpenseBenefit,DeferredTaxAssetsCapitalLossCarryforwards,DeferredTaxAssetsGoodwillAndIntangibleAssets,DeferredTaxAssetsGross,DeferredTaxAssetsNet,DeferredTaxAssetsNetCurrent,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsUnrealizedLossesOnAvailableforSaleSecuritiesGross,DeferredTaxAssetsValuationAllowance,DerivativeGainLossOnDerivativeNet,DerivativeLiabilitiesCurrent,DerivativeLiabilitiesNoncurrent,DilutiveSecurities,DilutiveSecuritiesEffectOnBasicEarningsPerShareOther,Dividends,DividendsPayableCurrent,DividendsPayableCurrentAndNoncurrent,DividendsPreferredStock,DividendsPreferredStockCash,DividendsPreferredStockStock,DueFromRelatedPartiesCurrent,DueFromRelatedPartiesNoncurrent,DueToRelatedPartiesCurrentAndNoncurrent,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EffectiveIncomeTaxRateReconciliationChangeInDeferredTaxAssetsValuationAllowance,EffectiveIncomeTaxRateReconciliationChangeInEnactedTaxRate,EffectiveIncomeTaxRateReconciliationPriorYearIncomeTaxes,EffectiveIncomeTaxRateReconciliationStateAndLocalIncomeTaxes,EmployeeRelatedLiabilitiesCurrent,EmployeeRelatedLiabilitiesCurrentAndNoncurrent,ExtraordinaryItemGainOrLossNetOfTaxAttributableToNoncontrollingInterest,GainLossOnDispositionOfIntangibleAssets,GainLossOnInvestments,GainLossOnSaleOfOtherAssets,GainLossOnSalesOfLoansNet,GainsLossesOnExtinguishmentOfDebt,GeneralAndAdministrativeExpense,GoodwillAndIntangibleAssetImpairment,ImpairmentOfIntangibleAssetsExcludingGoodwill,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeLossFromContinuingOperationsPerBasicShare,IncomeLossFromContinuingOperationsPerDilutedShare,IncomeTaxExpenseBenefit,IncomeTaxesPaid,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccountsReceivableRelatedParties,IncreaseDecreaseInAccruedInterestReceivableNet,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInAccruedSalaries,IncreaseDecreaseInDerivativeLiabilities,IncreaseDecreaseInInterestPayableNet,IncreaseDecreaseInNotesPayableRelatedParties,IncreaseDecreaseInOtherAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,IntangibleAssetsCurrent,InterestExpense,InterestExpenseDebt,InterestExpenseRelatedParty,InterestIncomeExpenseNet,InterestPaidCapitalized,InterestPayableCurrent,IssuanceOfStockAndWarrantsForServicesOrClaims,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LoansPayable,LoansPayableCurrent,MarketableSecuritiesUnrealizedGainLoss,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NetIncomeLossAvailableToCommonStockholdersBasic,NotesPayable,NotesPayableCurrent,OperatingExpenses,OperatingIncomeLoss,OtherAccruedLiabilitiesCurrentAndNoncurrent,OtherComprehensiveIncomeLossNetOfTaxPortionAttributableToParent,OtherExpenses,OtherLoansPayable,OtherNotesPayable,OtherOperatingIncome,OtherThanTemporaryImpairmentLossesInvestmentsAvailableforsaleSecurities,PaymentsToAcquireIntangibleAssets,PaymentsToAcquireOtherProductiveAssets,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PrepaidExpenseAndOtherAssetsCurrent,ProceedsFromIssuanceOfLongTermDebt,ProceedsFromLoans,ProceedsFromNotesPayable,ProceedsFromPaymentsForLongTermLoansForRelatedParties,ProceedsFromRelatedPartyDebt,ProceedsFromRepaymentsOfNotesPayable,ProceedsFromRepaymentsOfRelatedPartyDebt,ProceedsFromSaleOfIntangibleAssets,ProceedsFromStockOptionsExercised,ProfitLoss,RepaymentOfNotesReceivableFromRelatedParties,RepaymentsOfConvertibleDebt,RepaymentsOfNotesPayable,RepaymentsOfRelatedPartyDebt,ResearchAndDevelopmentExpense,RetainedEarningsAccumulatedDeficit,ShareBasedCompensation,SharebasedCompensationArrangementBySharebasedPaymentAwardEquityInstrumentsOtherThanOptionsAggregateIntrinsicValueVested,StockholdersEquity,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,StockIssuedDuringPeriodValueConversionOfConvertibleSecurities,StockIssuedDuringPeriodValueIssuedForServices,StockIssuedDuringPeriodValueNewIssues,TreasuryStockAcquiredAverageCostPerShare,TreasuryStockShares,TreasuryStockValue,UnrealizedGainLossOnInvestments,WeightedAverageNumberDilutedSharesOutstandingAdjustment,WeightedAverageNumberOfDilutedSharesOutstanding,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesOutstandingBasic,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,DebtConversionConvertedInstrumentRate,IncomeLossFromContinuingOperationsPerBasicAndDilutedShare
2008-09-30,2009-01-06,10-K,"Regenicin, Inc.",RGIN,CIK0001412659,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-44500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5500.0,,,,,,,,,,,,,,,
2009-09-30,2010-01-07,10-K,"Regenicin, Inc.",RGIN,CIK0001412659,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-11000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-16500.0,,,,,,,,,,,,,,,
2010-06-30,2010-07-15,10-Q,"Regenicin, Inc.",RGIN,CIK0001412659,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,2000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2000.0,-2000.0,,,2000.0,-2000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73100000.0,,,,,,
2010-09-30,2011-01-13,10-K,"Regenicin, Inc.",RGIN,CIK0001412659,USD,221762.0,,,,138985.0,,,,3116841.0,,,,3038034.0,30534.0,4564.0,,,,,4564.0,0.001,200000000.0,86406257.0,,86407.0,,,,,,,,251214.0,20250.0,20250.0,,,,,,,,,,,,,,,,,,,,,,,,318789.0,-0.01,,,,,,,,,,,,,,679144.0,,,,,,,,221762.0,,,141627.0,,,,,,-25970.0,3007500.0,,-256106.0,,,,,,829536.0,3038034.0,829536.0,,,,3358681.0,-3007500.0,-346617.0,-935250.0,-935250.0,150000.0,,679144.0,-679144.0,,,-256106.0,,,,,,-3007500.0,0.001,4500000.0,0.0,25970.0,900000.0,,,7000.0,318789.0,,,,,-935250.0,,,,,,-994750.0,,,2208498.0,,2250.0,,,,,,,,,,,,,
2010-12-31,2011-02-14,10-Q,"Regenicin, Inc.",RGIN,CIK0001412659,USD,,,,,,,,,,,,,,,81476.0,,,,,76912.0,,,,,,,506000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.01,,,,,,,,,,,,,,656761.0,,,,,,,,20091.0,,,132386.0,,,,,,4087.0,,-1875.0,,,,,,,,,,,,,578984.0,,-502072.0,,-771136.0,,,769261.0,-769261.0,,,-1875.0,,,,,,,,,,,,,,,,,,,,-771136.0,,,,,,,112500.0,,,,,,,,,,,,,,,,,
2011-03-31,2011-05-23,10-Q,"Regenicin, Inc.",RGIN,CIK0001412659,USD,,,,,,,,,,,,,,,24723.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.02,,,,,,,,,,,,,,847094.0,,,,,,,,,,,,,,,,,,,,-2178.0,,,,,,,,,,,,,,,,,,,1590585.0,-1590585.0,,,-2178.0,,,,,,,,,,,,,,,,,,,,-1592763.0,,,,,,,743491.0,,,,,,,,,,,,,,,,,
2011-06-30,2011-08-15,10-Q,"Regenicin, Inc.",RGIN,CIK0001412659,USD,655208.0,,,,354077.0,,,,7565596.0,,,,3177576.0,170076.0,51088.0,,,,,,0.001,200000000.0,88236324.0,,88237.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1332444.0,-1332444.0,,,,2000.0,-0.03,,,,,,,,,,,,,,731206.0,,,,,,,,,,,,,,,,,,3007500.0,,-28822.0,,,,,,1021285.0,3177576.0,1021285.0,10000.0,,,,,,-803351.0,-803351.0,,,774529.0,-774529.0,,,-28822.0,,,,,,,0.001,4500000.0,0.0,118988.0,,,,,,,,,,,,,,,,-5494444.0,43323.0,,2156291.0,,,,,,4428360.0,4428.0,,83807964.0,,,,,,
2011-09-30,2012-01-13,10-K,"Regenicin, Inc.",RGIN,CIK0001412659,USD,739327.0,,,,658251.0,,95450.0,,6573794.0,,,,3085526.0,78026.0,4396.0,,,,,-168.0,0.001,200000000.0,88236324.0,8380796.0,88237.0,,506000.0,,,,,,,,,,,1446010.0,,1915870.0,,,,,-1915870.0,,,,,,26110.0,,107123.0,-1371110.0,-1371110.0,-1371110.0,,,,-0.06,-0.34,,,,-0.06,,286488.0,,,,,,,2272079.0,,,,,,,,517565.0,,,493156.0,,,,,,12583.0,3007500.0,,-6875.0,,,6875.0,,,1467821.0,3085526.0,1467821.0,10000.0,10000.0,,1774384.0,,-1774552.0,-4046493.0,-4046493.0,60243.0,60243.0,4039618.0,-4039618.0,,,-6875.0,,,,,,,0.001,4500000.0,0.0,73630.0,115000.0,145000.0,,,187211.0,,,,,-4046493.0,,,235000.0,,518902.0,-5041243.0,1248637.0,,1617705.0,,,,,4428.0,4428360.0,4428.0,,,,,,,,
2011-12-31,2012-03-05,10-Q,"Regenicin, Inc.",RGIN,CIK0001412659,USD,1219040.0,,,,840739.0,,,,6602683.0,,3074.0,,3077851.0,70351.0,16802.0,,,,,12406.0,0.001,200000000.0,88236324.0,,88237.0,,,,,,,,,,,,,,,,,,,,,,,,,,27361.0,,,,-27361.0,-27361.0,,,,-0.01,,,,,,,,,,,,,,389055.0,,,,,,,,479713.0,,,155127.0,,,,,,20081.0,3007500.0,-5469.0,-5469.0,,,1203.0,,,2246263.0,3077851.0,2246263.0,,10000.0,,168225.0,,-155819.0,,-815006.0,,33468.0,809537.0,-809537.0,,,-5469.0,,,,,,,0.001,4500000.0,0.0,53549.0,160000.0,,,,,,,,,-815006.0,,,,,420482.0,-5856249.0,,,831588.0,,,,,,,4428.0,,,,,,,,
2012-03-31,2012-05-21,10-Q,"Regenicin, Inc.",RGIN,CIK0001412659,USD,1468153.0,,,,962033.0,,,,6925486.0,,,,3077211.0,69711.0,36243.0,,,,,,0.001,200000000.0,88236324.0,83807964.0,88237.0,,,,186000.0,118563.0,,,,,,0.33,,,,,,,,,,,,,,,54187.0,,,,-26826.0,-26826.0,,,48000.0,-0.01,,,,,,,,,,,,,,371930.0,,,,,,,,,,,,,,,,,,3007500.0,,-234471.0,,,,,,2827214.0,3077211.0,2827214.0,,10000.0,,,,,,-1055778.0,,13387.0,821307.0,-821307.0,,,-234471.0,,,,,,,,,,33468.0,,,,,,,,,,-1055778.0,,,,,449377.0,-6912027.0,,,249997.0,,,,,,4428360.0,4428.0,,,,,,,,
