end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilities,AccountsPayableAndAccruedLiabilitiesCurrent,AccretionExpense,AccruedLiabilitiesCurrent,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,AdditionalPaidInCapital,AdditionalPaidInCapitalCommonStock,AdjustmentsToAdditionalPaidInCapitalConvertibleDebtWithConversionFeature,AmortizationOfDebtDiscountPremium,AmortizationOfFinancingCostsAndDiscounts,AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,Assets,AssetsCurrent,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,ConvertibleNotesPayable,CurrentIncomeTaxExpenseBenefit,DebtConversionConvertedInstrumentAmount1,DebtConversionConvertedInstrumentSharesIssued1,DebtConversionOriginalDebtAmount1,DebtInstrumentConvertibleBeneficialConversionFeature,DebtInstrumentConvertibleConversionPrice1,DebtInstrumentDecreaseForgiveness,DebtInstrumentFaceAmount,DebtInstrumentInterestRateEffectivePercentage,DebtInstrumentInterestRateStatedPercentage,DebtInstrumentUnamortizedDiscount,DebtInstrumentUnamortizedDiscountCurrent,DebtInstrumentUnamortizedDiscountPremiumNet,DeferredTaxAssetsNet,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsValuationAllowance,Depreciation,DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,DueFromRelatedPartiesCurrent,DueToAffiliateCurrent,DueToRelatedParties,DueToRelatedPartiesCurrent,DueToRelatedPartiesNoncurrent,EarningsPerShareBasic,EarningsPerShareBasicAndDiluted,EarningsPerShareDiluted,EffectiveIncomeTaxRateContinuingOperations,ExplorationCosts,ExplorationExpense,ExplorationExpenseMining,FinitelivedIntangibleAssetsAcquired1,ForeignCurrencyTransactionGainLossBeforeTax,GainLossOnSaleOfDebtInvestments,GainLossOnSaleOfProperties,GainLossOnSaleOfUnprovedProperty,GainsLossesOnExtinguishmentOfDebt,GainsLossesOnRecourseDebt,GainsLossesOnRestructuringOfDebt,GeneralAndAdministrativeExpense,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeTaxExpenseBenefit,IncomeTaxesPaid,IncomeTaxesPaidNet,IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,IncomeTaxReconciliationChangeInEnactedTaxRate,IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInDueToRelatedPartiesCurrent,IncreaseDecreaseInPrepaidExpense,InterestExpense,InterestExpenseDebt,InterestIncomeExpenseNet,InterestPaid,InterestPaidNet,InterestPayableCurrent,InterestPayableCurrentAndNoncurrent,InvestmentIncomeInterest,InvestmentIncomeNet,IssuanceOfStockAndWarrantsForServicesOrClaims,LegalFees,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LicenseCosts,LoansAssumed1,LongTermNotesPayable,ManagementFeeExpense,MarketableSecuritiesCurrent,MarketableSecuritiesGainLoss,MarketableSecuritiesRealizedGainLoss,MarketableSecuritiesUnrealizedGainLoss,MineralPropertiesNet,MinorityInterestOwnershipPercentageByParent,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,NetIncomeLoss,NoncashOrPartNoncashAcquisitionNetNonmonetaryAssetsAcquiredLiabilitiesAssumed1,NonoperatingIncomeExpense,NotesAssumed1,NotesPayableCurrent,NotesPayableRelatedPartiesClassifiedCurrent,NotesPayableRelatedPartiesCurrent,NotesPayableRelatedPartiesCurrentAndNoncurrent,NotesPayableRelatedPartiesNoncurrent,OperatingExpenses,OperatingIncomeLoss,OperatingLossCarryforwards,OtherComprehensiveIncomeLossBeforeTax,OtherComprehensiveIncomeLossBeforeTaxPeriodIncreaseDecrease,OtherNonoperatingIncomeExpense,OtherSellingGeneralAndAdministrativeExpense,PaidInKindInterest,PaymentsToAcquireMineralRights,PaymentsToAcquireMiningAssets,PaymentsToAcquireOilAndGasProperty,PaymentsToAcquirePropertyPlantAndEquipment,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValue,PrepaidExpenseCurrent,ProceedsFromCollectionOfLongtermLoansToRelatedParties,ProceedsFromIssuanceOfCommonStock,ProceedsFromNotesPayable,ProceedsFromRelatedPartyDebt,ProceedsFromRepaymentsOfNotesPayable,ProceedsFromSaleAndMaturityOfMarketableSecurities,ProceedsFromSaleOfOilAndGasPropertyAndEquipment,ProfessionalFees,ProfitLoss,PropertyPlantAndEquipmentGross,PropertyPlantAndEquipmentNet,ProvisionForDoubtfulAccounts,RepaymentOfNotesReceivableFromRelatedParties,RepaymentsOfRelatedPartyDebt,RetailLandSalesDepositMethodPropertyCarryingValue,RetainedEarningsAccumulatedDeficit,Revenues,SharesIssuedPricePerShare,SharesOutstanding,SponsorFees,StockholdersEquity,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,StockIssued1,StockIssuedDuringPeriodSharesAcquisitions,StockIssuedDuringPeriodSharesIssuedForServices,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodSharesPurchaseOfAssets,StockIssuedDuringPeriodValueAcquisitions,StockIssuedDuringPeriodValueConversionOfConvertibleSecuritiesNetOfAdjustments,StockIssuedDuringPeriodValueIssuedForServices,StockIssuedDuringPeriodValueNewIssues,StockIssuedDuringPeriodValuePurchaseOfAssets,UnsecuredDebt,ValuationAllowanceDeferredTaxAssetChangeInAmount,WeightedAverageNumberDilutedSharesOutstandingAdjustment,WeightedAverageNumberOfDilutedSharesOutstanding,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesIssuedBasic,WeightedAverageNumberOfSharesOutstandingBasic
2008-12-31,2009-03-31,10-K,U.S. LITHIUM CORP.,LITH,CIK0001396054,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-20447.0,,,,,,,,,,,,,,,,,,,,
2009-12-31,2010-03-31,10-K,U.S. LITHIUM CORP.,LITH,CIK0001396054,USD,,,,,,,,,,,,,,,3499.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-71035.0,,,,,,,,,,,,,,,,,,,,
2010-06-30,2010-08-16,10-Q,U.S. LITHIUM CORP.,LITH,CIK0001396054,USD,,,,,,,,,,,,,,,1156.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,7862.0,,0.0,,,,,,,,-31061.0,,,,,,,,,,,,,,,,,-1667.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29394.0,,,,-29394.0,,11532.0,,,,,,,,,,,,,,,,,,,10000.0,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,40698273.0,
2010-09-30,2010-11-15,10-Q,U.S. LITHIUM CORP.,LITH,CIK0001396054,USD,,,,,,,,,,,,,,,401.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,-2311.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3507.0,-3507.0,,,,,3507.0,,,,,,,,,,,,,,,,,,,0.0,-5818.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,
2010-12-31,2011-03-29,10-K,U.S. LITHIUM CORP.,LITH,CIK0001396054,USD,,19234.0,,,,57993.0,,,,,,0.0,,0.0,0.0,-3499.0,0.001,100000000.0,40698273.0,40698273.0,40698.0,,,,,,,,,,,,,,,,,,,-233135.0,,,5000.0,5000.0,,,0.0,,,,,10101.0,,0.0,,,,,,,25811.0,,,,0.0,,,,15063.0,,,-6956.0,,,0.0,,,,,,,,134444.0,0.0,134444.0,,,,,,,,,,,44847.0,,-3000.0,,-45346.0,,-65868.0,,,,,109978.0,109978.0,,,58912.0,-58912.0,,,,,,,,-3000.0,,,0.001,100000000.0,,,0.0,0.0,,0.0,44847.0,0.0,,,,23000.0,-65868.0,,,,,0.0,,,0.0,,-134444.0,,-134444.0,,,,,,,,,,,,,,,,,,
2011-03-31,2011-05-20,10-Q,U.S. LITHIUM CORP.,LITH,CIK0001396054,USD,,,,,,,,,,,,,,,1380.0,1380.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,0.0,,,,,,,272.0,,,,0.0,,,,4577.0,0.0,,-2269.0,,,0.0,,,,,,,,,,,,,,,,,,,,,8928.0,,0.0,,-7548.0,,-12991.0,,,,,,,,,10722.0,-10722.0,,,,,,,,0.0,,,,,,,,,,0.0,11928.0,0.0,,,,10450.0,-12991.0,,,,,-3000.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,
2011-06-30,2011-08-22,10-Q,U.S. LITHIUM CORP.,LITH,CIK0001396054,USD,,,,,,109021.0,,,,,,30879.0,,,30879.0,,0.001,100000000.0,41412559.0,41412559.0,41412.0,,,,,,,,,,,,,,,,,,,-269677.0,,,3950.0,,,,0.0,,,,,1576.0,,0.0,,,,,,,7201.0,-23368.0,,,,,,,,,,-2591.0,,,,,,,-2591.0,,,,,30879.0,150123.0,,,,,,,,,,,,,,,,,,,,,,,121906.0,,,20777.0,-20777.0,,,-20777.0,,7201.0,,,,,,0.001,10000000.0,,,0.0,,,,,,,,,10000.0,-23368.0,,,,,,,,0.0,,,2000.0,-119244.0,,,,,,,,,,,,,,,,,41020094.0,
2011-09-30,2011-11-17,10-Q,U.S. LITHIUM CORP.,LITH,CIK0001396054,USD,,29657.0,,,,110029.0,,,,,,6763.0,,5763.0,5763.0,,0.001,100000000.0,41412559.0,41412559.0,41412.0,,,,,,,,,,,,,,,,,,,-300191.0,,,,3950.0,,,0.0,,,,,0.0,,0.0,,,,,,,2609.0,,,,,,,,,,,-2742.0,,,,,,,,,,,,6763.0,155513.0,,,,,,,,,,,,,,,,,-30513.0,,,,,121906.0,,,,27771.0,-27771.0,,,,,2609.0,,,,,,0.001,10000000.0,,,0.0,1000.0,,,,,,,,11500.0,-30513.0,,,,,,,,0.0,,,,-148750.0,,,,,,,,,,,,,,,,,,
2011-12-31,2012-04-12,10-K,U.S. LITHIUM CORP.,LITH,CIK0001396054,USD,35736.0,35736.0,,11784.0,,111037.0,,,,,,1398.0,,1398.0,1398.0,1398.0,0.001,100000000.0,41412559.0,41412559.0,41412.0,,,,,,,,,,,,,,,,,,,-318643.0,9950.0,35131.0,9950.0,9950.0,,,0.0,,,,,1576.0,,0.0,,,,,,,10292.0,,,,0.0,,,,16270.0,0.0,,-10528.0,,,0.0,0.0,8029.0,,,,,,167592.0,1398.0,,,,,,,,,,,,66878.0,,0.0,,-65480.0,,-85508.0,,,,0.0,121906.0,,86775.0,,74980.0,-74980.0,,,,,,,,0.0,,,0.001,10000000.0,0.0,0.0,0.0,,,50000.0,11928.0,9950.0,0.0,,,41450.0,-85508.0,,,,,-5000.0,,,0.0,,-166194.0,,-166194.0,,,,,,,,,,,,,,,,,,
2012-03-31,2012-05-11,10-Q,U.S. LITHIUM CORP.,LITH,CIK0001396054,USD,,37512.0,,,,112035.0,,,,,,20.0,,20.0,20.0,-1378.0,0.001,100000000.0,41412559.0,41412559.0,41412.0,,,,,,,,,,,,,,,,,,,-340815.0,,,,15950.0,,,0.0,,,,,0.0,,0.0,,,,,,,1400.0,,,,0.0,,,,1776.0,6000.0,,-2772.0,,,0.0,0.0,,,,,,,187388.0,20.0,,,,,,,,,,,,12020.0,,0.0,,-13398.0,,-22172.0,,,,,133926.0,,,,19400.0,-19400.0,,,,,,,,0.0,,,0.001,100000000.0,0.0,0.0,0.0,,,0.0,0.0,0.0,12020.0,,,12000.0,-22172.0,,,,,0.0,,,0.0,,,,-187368.0,,,,,,,,,,,,,,,,,,
