end,filed,form,Name,Ticker,CIK,Currency,AccruedLiabilitiesAndOtherLiabilities,Assets,Cash,CashAndCashEquivalentsAtCarryingValue,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect,CashEquivalentsAtCarryingValue,CashFDICInsuredAmount,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,CostOfGoodsAndServicesSold,CostOfRevenue,CreditRiskDerivativeAssetsAtFairValue,Depreciation,DepreciationAndAmortization,EquityMethodInvestmentOwnershipPercentage,FederalDepositInsuranceCorporationPremiumExpense,GainLossOnInvestments,GrossProfit,IncreaseDecreaseInOperatingAssets,IncreaseDecreaseInOtherAccruedLiabilities,IncreaseDecreaseInOtherCurrentAssets,IncreaseDecreaseInOtherOperatingLiabilities,IncreaseDecreaseInPrepaidExpense,IncreaseDecreaseInReceivables,InvestmentsFairValueDisclosure,LiabilitiesAndStockholdersEquity,LimitedPartnersCapitalAccountUnitsOutstanding,ManagementFeeExpense,ManagementFeePayable,MarketableSecuritiesCurrent,MembersCapital,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NetIncomeLossPerOutstandingGeneralPartnershipUnitNetOfTax,OperatingExpenses,ParticipatingMortgageLoansMortgageObligationsAmount,PartnersCapital,PartnersCapitalAccountContributions,PaymentsToAcquireBuildings,PreferredStockValue,PreferredUnitsOutstanding,ProceedsFromConstructionLoansPayable,ProceedsFromIssuanceOfFirstMortgageBond,ProceedsFromSaleOfPropertyHeldForSale,ProfessionalFees,ProfitLoss,PropertyPlantAndEquipmentOtherNet,Revenues,UnrealizedGainLossOnInvestments,WeightedAverageGeneralPartnershipUnitsOutstanding,ConvertibleDebt,GeneralAndAdministrativeExpense,IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,InterestExpense,InterestPaidNet,PaymentsToAcquireProductiveAssets,PrepaidExpenseAndOtherAssetsCurrent
2020-12-31,2021-08-03,10-K,UC ASSET LP,UCASU,CIK0001723517,USD,57938.0,8980467.0,,1419710.0,,1419710.0,,5635306.0,5635306.0,8622529.0,,,782754.0,,,0.8691,,,,,,,,,,7493777.0,8980467.0,5635306.0,,,7493777.0,8077540.0,,,,,,,,8922529.0,,,300000.0,166667.0,,,,,,6005.0,,,,,,,,,,60975.0
2021-03-31,2021-09-10,10-Q,UC ASSET LP,UCASU,CIK0001723517,USD,58226.0,8810330.0,91822.0,1338328.0,-81382.0,1338128.0,712403.0,5635306.0,5635306.0,8452104.0,,,788408.0,22086.0,22086.0,0.8798,250000.0,-70209.0,90861.0,-170425.0,289.0,5750.0,-170425.0,-9902.0,48200.0,7436461.0,8810330.0,5635306.0,45288.0,45288.0,7436061.0,8077540.0,0.0,10500.0,-91882.0,-170425.0,-0.03,161070.0,,8752104.0,,,300000.0,166667.0,,,,93696.0,170425.0,36141.0,90861.0,-100216.0,5635303.0,,,,,,,
2021-06-30,2021-09-10,10-Q,UC ASSET LP,UCASU,CIK0001723517,USD,71461.0,9136564.0,170440.0,2721469.0,,2721469.0,2174279.0,5635306.0,5635306.0,8365103.0,1930455.0,1930455.0,899603.0,22321.0,,,,-80904.0,42635.0,-87001.0,,,,,,,9136564.0,5635306.0,45287.0,90575.0,6394330.0,8077540.0,,,,-87001.0,-0.02,123539.0,400000.0,8665103.0,,,300000.0,,,,,55931.0,,20765.0,1973090.0,-6097.0,5635303.0,,,,,,,
2021-09-30,2021-11-23,10-Q,UC ASSET LP,UCASU,CIK0001723517,USD,144696.0,8641838.0,348853.0,826112.0,,,298595.0,5635306.0,5635306.0,7797142.0,149297.0,149297.0,898290.0,28270.0,,0.9683,,-312558.0,-90531.0,-567961.0,,,,,,7795012.0,8641838.0,5635306.0,45288.0,135863.0,7795012.0,8077540.0,,,,-567961.0,-0.1,222027.0,400000.0,8097142.0,,,300000.0,,,,,,,3333.0,58766.0,-255403.0,5635303.0,1200000.0,144469.0,,4000.0,,,17381.0
