end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableCurrent,AdditionalPaidInCapital,Assets,AssetsCurrent,CashAndCashEquivalentsAtCarryingValue,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,ContractualObligation,CostsAndExpensesRelatedParty,DebtInstrumentInterestRateStatedPercentage,EarningsPerShareBasicAndDiluted,GeneralAndAdministrativeExpense,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeTaxExpenseBenefit,IncomeTaxesPaidNet,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInInterestPayableNet,InterestExpenseOther,InterestPaid,InterestPaidNet,InterestPayableCurrent,InterestPayableCurrentAndNoncurrent,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LineOfCreditFacilityInterestRateDuringPeriod,LineOfCreditFacilityMaximumBorrowingCapacity,LinesOfCreditCurrent,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NonoperatingIncomeExpense,NotesPayableRelatedPartiesClassifiedCurrent,NotesPayableRelatedPartiesCurrentAndNoncurrent,OperatingExpenses,OperatingIncomeLoss,PaymentsToAcquirePropertyPlantAndEquipment,ProceedsFromIssuanceOfPrivatePlacement,ProceedsFromRelatedPartyDebt,ProfitLoss,PropertyPlantAndEquipmentNet,RepaymentsOfOtherDebt,RetainedEarningsAccumulatedDeficit,ShareBasedCompensation,StockholdersEquity,StockIssuedDuringPeriodValueNewIssues,StockIssuedDuringPeriodValueShareBasedCompensation,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,AccountsPayableRelatedPartiesCurrent,IncreaseDecreaseInAccountsPayableRelatedParties,IncreaseDecreaseInOtherAccountsPayable,ProfessionalFees,StockIssuedDuringPeriodValueIssuedForServices
2021-02-28,2021-04-15,10-Q,"BITMINE IMMERSION TECHNOLOGIES, INC.",BMNR,CIK0001829311,USD,,209000.0,2871.0,2871.0,2871.0,,0.0001,500000000.0,480202774.0,480202774.0,48020.0,0.0,500.0,0.24,0.0,5349.0,-10368.0,0.0,,,,4519.0,,,9843.0,9843.0,84290.0,2871.0,84290.0,,,,,,,-10368.0,-4519.0,74447.0,74447.0,5849.0,-5849.0,,,,-10368.0,,,-338439.0,,-81419.0,,,480202774.0,,,,,
2021-05-31,2021-07-30,10-Q,"BITMINE IMMERSION TECHNOLOGIES, INC.",BMNR,CIK0001829311,USD,,257890.0,3466.0,3466.0,3466.0,,0.0001,500000000.0,2803400.0,2803400.0,280.0,0.0,0.0,0.24,-0.01,13555.0,-19941.0,0.0,,,,6386.0,,,16230.0,16230.0,103677.0,3466.0,103677.0,,,,,,,-19941.0,-6386.0,87447.0,87447.0,13555.0,-13555.0,,,,-19941.0,,,-358381.0,,-100210.0,1150.0,,2803400.0,,,,,
2021-08-31,2021-12-09,10-K,"BITMINE IMMERSION TECHNOLOGIES, INC.",BMNR,CIK0001829311,USD,3680.0,817842.0,646033.0,218737.0,218737.0,216807.0,0.0001,500000000.0,40433399.0,40433399.0,4043.0,0.0,68000.0,,-0.02,63815.0,,,0.0,3680.0,2948.0,22424.0,19475.0,0.0,4505.0,4505.0,285481.0,646033.0,285481.0,0.15,2500000.0,277296.0,720464.0,-427296.0,-76361.0,-154239.0,-22424.0,277296.0,,131815.0,-131815.0,427296.0,493615.0,226849.0,-154239.0,427296.0,87447.0,-461334.0,71250.0,360551.0,493615.0,3750.0,9758184.0,0.0,,,,
2021-11-30,2022-01-11,10-Q,"BITMINE IMMERSION TECHNOLOGIES, INC.",BMNR,CIK0001829311,USD,28705.0,1367822.0,2046515.0,142071.0,142071.0,-76666.0,0.0001,500000000.0,40633399.0,40633399.0,4063.0,,12000.0,,-0.02,28538.0,,,0.0,,44713.0,44713.0,,0.0,49218.0,49218.0,1844719.0,2046515.0,1844719.0,0.15,2500000.0,,1470000.0,-1477148.0,-69518.0,-708756.0,-44713.0,1747296.0,,664043.0,-664043.0,1477148.0,,1470000.0,,1904444.0,,-1170090.0,550000.0,201796.0,,,40600432.0,19500.0,19500.0,25025.0,623505.0,550000.0
