end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesCurrent,AccruedLiabilitiesCurrent,AcquisitionCosts,AdditionalPaidInCapital,AdvertisingExpense,AmortizationOfFinancingCosts,AssetImpairmentCharges,Assets,AssetsCurrent,BankOverdrafts,BusinessCombinationAcquisitionRelatedCosts,CarryingCostsPropertyAndExplorationRights,Cash,CashAndCashEquivalentsAtCarryingValue,CashEquivalentsAtCarryingValue,CashPeriodIncreaseDecrease,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesSubscribedButUnissued,CommonStockValue,ConvertibleDebtCurrent,ConvertibleLongTermNotesPayable,DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,EarningsPerShareDiluted,EffectOfExchangeRateOnCashAndCashEquivalents,FeesAndCommissionsDepositorAccounts,FinancingInterestExpense,FiniteLivedIntangibleAssetsNet,ForeignCurrencyTransactionGainLossBeforeTax,GeneralAndAdministrativeExpense,IncomeLossFromContinuingOperations,IncomeLossFromContinuingOperationsPerBasicAndDilutedShare,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccountsPayableRelatedParties,IncreaseDecreaseInPrepaidExpense,IndefiniteLivedIntangibleAssets,IndefiniteLivedIntangibleAssetsExcludingGoodwill,IndefiniteLivedIntangibleAssetsPeriodIncreaseDecrease,InterestAndOtherIncome,InterestExpense,InterestExpenseRelatedParty,InterestIncomeOperating,InterestPayableCurrent,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NoncashOrPartNoncashAcquisitionDebtAssumed1,NoninterestExpenseDistributionAndServicingFees,NotesPayableRelatedPartiesClassifiedCurrent,OperatingExpenses,OperatingIncomeLoss,OtherAssets,OtherIncome,PaymentsToAcquireMiningAssets,PrepaidExpenseCurrent,ProceedsFromConvertibleDebt,ProceedsFromIssuanceOrSaleOfEquity,ProceedsFromLoans,ProceedsFromNotesPayable,ProceedsFromRelatedPartyDebt,ProceedsFromRepaymentsOfRelatedPartyDebt,ProfessionalFees,ProfitLoss,RepaymentOfNotesReceivableFromRelatedParties,RepaymentsOfNotesPayable,ResearchAndDevelopmentExpense,SaleOfStockPricePerShare,ShareBasedCompensation,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingPeriodIncreaseDecrease,SharesOutstanding,StockGrantedDuringPeriodValueSharebasedCompensation,StockholdersEquity,StockIssuedDuringPeriodValueNewIssues,WeightedAverageNumberOfShareOutstandingBasicAndDiluted
2009-02-28,2009-06-15,10-K,BIOFLAMEX CORP,CNNA,CIK0001368620,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-46687.0,,,,,,,,,,,,,,,,,,,,,,,,,,-963.0,,
2010-02-28,2010-05-20,10-K,BIOFLAMEX CORP,CNNA,CIK0001368620,USD,,,,,,,,,,,,,96.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-12441.0,,,,,,,,,,,,,,,,,,,,,,,,,,-13404.0,,
2010-08-31,2010-10-13,10-Q,BIOFLAMEX CORP,CNNA,CIK0001368620,USD,,,500.0,,,,,,,,6500.0,,4.0,,,,,,,,,,,,,,24.0,,,,6524.0,-11524.0,0.0,,,,,,,,,,,,,,,,,,-11524.0,,,,11524.0,-11524.0,,,,,,,,,,,4500.0,,,,,,,,,,,,
2010-11-30,2011-01-03,10-Q,BIOFLAMEX CORP,CNNA,CIK0001368620,USD,,,500.0,,,,,,,,,,,,,,,,,,,,,,,,18.0,,,,843.0,,0.0,,,,,,,,,,,,,,,,,,,,825.0,,15593.0,-15593.0,,,,,,,,,,,14750.0,,,,,,,,,,,,
2011-02-28,2011-05-18,10-K,BIOFLAMEX CORP,CNNA,CIK0001368620,USD,30583.0,,500.0,1457453.0,,,,1201059.0,10059.0,,,,59.0,59.0,,-37.0,0.001,200000000.0,92466667.0,,9247.0,60500.0,60500.0,-356754.0,,,,,,,11992.0,-267550.0,0.0,27513.0,,-10000.0,1191000.0,,,,,,,,68840.0,1201059.0,91083.0,50000.0,,-50037.0,-267550.0,,,,267550.0,-267550.0,1191000.0,,,10000.0,60500.0,,,,7500.0,,37683.0,-267550.0,,-18000.0,,,,200000.0,,200000.0,1109976.0,1191000.0,
2011-05-31,2011-07-18,10-Q,BIOFLAMEX CORP,CNNA,CIK0001368620,USD,,,,,,1953.0,,,,,,,7746.0,,,7687.0,,,,,,,,,,,,,,,5193.0,-83584.0,0.0,39318.0,,,,,,,,,-1953.0,,,,,50000.0,,-42313.0,,,,,81631.0,-83584.0,,-1953.0,,,,50000.0,,,,,29188.0,-81631.0,,,,,,,,,,1191000.0,
2011-08-31,2011-10-12,10-Q,BIOFLAMEX CORP,CNNA,CIK0001368620,USD,126276.0,368.0,,1666245.0,,,,1201096.0,10096.0,,,,96.0,96.0,,,0.001,200000000.0,92466667.0,,9247.0,54605.0,60500.0,-655780.0,,-42.0,154.0,,,-42.0,6007.0,-215441.0,0.0,,,,1191000.0,,,,-1075.0,,2.0,,70373.0,1201096.0,181249.0,,,,-17076.0,,,,214324.0,-215441.0,,-1117.0,,10000.0,,,,,,,7088.0,-214324.0,,,,,,,,,1019847.0,,93975885.0
2011-11-30,2012-01-13,10-Q,BIOFLAMEX CORP,CNNA,CIK0001368620,USD,190362.0,3494.0,,1666245.0,,,,1201276.0,10276.0,,,,276.0,276.0,,,0.001,200000000.0,92466667.0,,9247.0,55705.0,,-1404171.0,,,49.0,,,178.0,6901.0,,-0.01,,,,1191000.0,,,,-1958.0,,2.0,5374.0,,1201276.0,253696.0,,,,,,,4.0,897367.0,-899248.0,1191000.0,-1881.0,,10000.0,,,,,,,6904.0,,,,,,30000.0,,,,947580.0,,
2012-02-29,2012-06-13,10-K,BIOFLAMEX CORP,CNNA,CIK0001368620,USD,202170.0,12385.0,,3057195.0,0.0,5251.0,,1191191.0,191.0,,,,191.0,191.0,0.0,132.0,0.001,400000000.0,193166667.0,,9317.0,67826.0,,-2007178.0,6835000.0,,,,1191000.0,337.0,26715.0,-1650424.0,-0.02,172533.0,,10000.0,1191000.0,1191000.0,,2.0,-5346.0,-258.0,,258.0,,1191191.0,286768.0,65034.0,,-64902.0,-1650424.0,,,4034.0,1645159.0,-1650424.0,1191000.0,-5265.0,,,11000.0,50000.0,,,4034.0,,69180.0,-1645159.0,,,0.0,,0.0,1385000.0,-264581.0,1385000.0,904423.0,,
2012-05-31,2012-08-02,10-Q,BIOFLAMEX CORP,CNNA,CIK0001368620,USD,33487.0,,,3401912.0,,1144.0,,1209147.0,18147.0,,,,10834.0,10834.0,,10643.0,0.0001,400000000.0,150550121.0,,15056.0,158970.0,,-2371420.0,,,,,,582.0,26239.0,-364242.0,0.0,-169457.0,,-7313.0,,1191000.0,,,,,-3191.0,421.0,,1209147.0,215211.0,242524.0,,-231881.0,,,,4034.0,209598.0,-364242.0,1191000.0,-154644.0,,7313.0,242524.0,,,8883.0,,,1843.0,-209598.0,,-8883.0,,,,150133.0,,150133.0,993936.0,,
