end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsPayableCurrent,AccountsPayableOtherCurrent,AccountsReceivableNetCurrent,AccruedLiabilitiesCurrent,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,AdditionalPaidInCapital,AdditionalPaidInCapitalCommonStock,AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,AssetImpairmentCharges,Assets,AssetsCurrent,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,CostOfGoodsSold,CurrentFederalTaxExpenseBenefit,CurrentStateAndLocalTaxExpenseBenefit,DebtInstrumentDecreaseForgiveness,DeferredFederalIncomeTaxExpenseBenefit,DeferredStateAndLocalIncomeTaxExpenseBenefit,DeferredTaxAssetsGross,DeferredTaxAssetsGrossCurrent,DeferredTaxAssetsNet,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsValuationAllowance,DeferredTaxLiabilities,Depreciation,DueFromRelatedPartiesCurrent,DueToRelatedPartiesCurrent,EarningsPerShareBasic,EarningsPerShareBasicAndDiluted,EarningsPerShareDiluted,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EffectiveIncomeTaxRateReconciliationStateAndLocalIncomeTaxes,EquityMethodInvestmentOwnershipPercentage,GeneralAndAdministrativeExpense,GrossProfit,ImpairmentOfLongLivedAssetsHeldForUse,IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,IncomeTaxExpenseBenefit,IncomeTaxesPaid,IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,IncomeTaxReconciliationNondeductibleExpense,IncomeTaxReconciliationStateAndLocalIncomeTaxes,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccountsPayableRelatedParties,IncreaseDecreaseInAccountsReceivable,IncreaseDecreaseInDueFromRelatedPartiesCurrent,IncreaseDecreaseInDueToRelatedPartiesCurrent,InterestExpense,InterestPaid,IssuanceOfStockAndWarrantsForServicesOrClaims,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LoansPayableCurrent,MachineryAndEquipmentGross,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,NetIncomeLoss,OperatingExpenses,OperatingIncomeLoss,OperatingLossCarryforwards,OtherCostAndExpenseOperating,OtherDepreciationAndAmortization,OtherNoncashIncomeExpense,PaymentsToAcquireProductiveAssets,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValue,ProceedsFromContributedCapital,ProceedsFromIssuanceOfCommonStock,ProceedsFromRelatedPartyDebt,ProceedsFromRepaymentsOfOtherLongTermDebt,ProceedsFromRepaymentsOfRelatedPartyDebt,ProceedsFromSecuredNotesPayable,ProceedsFromUnsecuredNotesPayable,ProfessionalFees,ProfitLoss,PropertyPlantAndEquipmentGross,PropertyPlantAndEquipmentNet,RepaymentsOfNotesPayable,RestructuringCostsAndAssetImpairmentCharges,RetainedEarningsAccumulatedDeficit,Revenues,SaleOfStockNumberOfSharesIssuedInTransaction,SaleOfStockPercentageOfOwnershipAfterTransaction,SaleOfStockPricePerShare,ShareBasedCompensation,SharesIssuedPricePerShare,StockholdersEquity,StockIssued1,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodSharesPurchaseOfAssets,StockIssuedDuringPeriodValueIssuedForServices,StockIssuedDuringPeriodValueNewIssues,StockIssuedDuringPeriodValuePurchaseOfAssets,StockIssuedDuringPeriodValueShareBasedCompensationGross,ValuationAllowanceDeferredTaxAssetChangeInAmount,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesOutstandingBasic
2015-04-30,2015-06-15,10-Q,"TRENDMAKER, INC. LIMITED",TMIN,CIK0001613685,USD,27507.0,,,,,224.0,,147206.0,,,18199.0,17527.0,17527.0,,0.0001,100000000.0,6437500.0,6437500.0,644.0,,,,,,,,,,,,,,,100.0,0.0,-0.01,,,,,22733.0,,,,-38833.0,-38833.0,0.0,,,,,,,,,,,,,,27607.0,18199.0,,0.0,896.0,,,,,,-38833.0,38833.0,-38833.0,,16100.0,,,,0.0001,10000000.0,0.0,0.0,0.0,,,,,,,,16100.0,,896.0,672.0,,,-157258.0,,,,,,,-9408.0,,,,,,,,,6437500.0,12875000.0
2015-07-31,2015-11-13,10-K,"TRENDMAKER, INC. LIMITED",TMIN,CIK0001613685,USD,40650.0,40650.0,,0.0,,270.0,,153762.0,13600.0,,9117.0,8491.0,8491.0,-99835.0,0.0001,100000000.0,12875000.0,12875000.0,1288.0,,0.0,0.0,,0.0,0.0,62568.0,0.0,0.0,62568.0,62568.0,0.0,180.0,,100.0,,-0.01,,0.34,0.069,,95912.0,,,,,-141456.0,0.0,0.0,49288.0,-44776.0,5248.0,-9760.0,28970.0,,,,,,0.0,0.0,40750.0,9117.0,40750.0,100.0,896.0,,-1129.0,0.0,,-98706.0,-141456.0,141456.0,-141456.0,162297.0,,180.0,,0.0,0.0001,10000000.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,45544.0,,896.0,626.0,1129.0,,-186683.0,,,,,13600.0,,-31634.0,,,,9600.0,,,,49288.0,12875000.0,
2015-10-31,2015-12-16,10-Q,"TRENDMAKER, INC. LIMITED",TMIN,CIK0001613685,USD,61381.0,,,25.0,,315.0,,169596.0,5200.0,,5052.0,4471.0,4446.0,-4045.0,,100000000.0,6537500.0,6537500.0,654.0,0.0,,,,,,,,,,,,45.0,,100.0,,-0.01,-0.01,,,,33825.0,35.0,,,-39996.0,-39996.0,0.0,,,,,,20731.0,,25.0,25.0,,,,,61481.0,5052.0,,,896.0,10000.0,10000.0,,-14045.0,-14045.0,-39996.0,40031.0,,,,,,,0.0001,10000000.0,0.0,0.0,0.0,,10000.0,,,,,,6206.0,,896.0,581.0,0.0,,-226679.0,35.0,,,,5200.0,,-56429.0,,,,5200.0,10000.0,,,,6485326.0,
2016-01-31,2016-04-01,10-Q,"TRENDMAKER, INC. LIMITED",TMIN,CIK0001613685,USD,97711.0,,,0.0,,360.0,,174796.0,,,1460.0,924.0,924.0,,0.0001,100000000.0,6537500.0,6537500.0,654.0,0.0,,,,,,,,,,,,,,100.0,,-0.01,-0.01,,,,27634.0,43.0,,,-45122.0,-45122.0,0.0,,,,,,,,,,,75.0,,,97811.0,1460.0,,,896.0,,,,,,-45122.0,45090.0,-45090.0,,,,,,0.0001,10000000.0,0.0,0.0,0.0,,,,,,,,17456.0,,896.0,536.0,,,-271801.0,43.0,,,0.1,,,-96351.0,,,,,,,,,6537500.0,
2016-04-30,2016-11-09,10-Q,"TRENDMAKER, INC. LIMITED",TMIN,CIK0001613685,USD,,21535.0,,,,,,269149.0,,,5.0,,5.0,,,,,,1308.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,14756.0,22.0,,,-25185.0,,,,,,,,,,,,,,,,,5.0,26535.0,5000.0,,,,,,,-25185.0,25207.0,-25207.0,,10451.0,,,,,,,,,,,,,,,,10451.0,,,,,,-296987.0,22.0,,,,,,-26530.0,,,,,,,,,13075000.0,13075000.0
2016-07-31,2018-03-15,10-K,"TRENDMAKER, INC. LIMITED",TMIN,CIK0001613685,USD,14246.0,11002.0,,,3244.0,,269152.0,269132.0,20400.0,,0.0,,,-8491.0,0.0001,100000000.0,12875000.0,12875000.0,1288.0,,,,100.0,,,111708.0,,,111708.0,113607.0,,90.0,,39905.0,,-0.01,,,,,91355.0,111.0,536.0,-137907.0,-137907.0,-137907.0,,,49159.0,-43653.0,4010.0,-9516.0,-26405.0,94890.0,,,39805.0,300.0,,,54151.0,0.0,54151.0,,,104990.0,144795.0,,-113481.0,-153822.0,-137907.0,137718.0,-137607.0,289771.0,,356.0,,,0.0001,10000000.0,0.0,0.0,,94890.0,10000.0,39905.0,,,,,46363.0,,,,,,-324591.0,111.0,,,,10400.0,,-54151.0,,,,,10000.0,,,49159.0,12875000.0,
2016-10-31,2019-05-08,10-Q,"TRENDMAKER, INC. LIMITED",TMIN,CIK0001613685,USD,16625.0,,,,2095.0,,647947.0,,,,287425.0,287425.0,,,0.0001,100000000.0,13326000.0,13326000.0,1333.0,,,,,,,,,,,,,,287425.0,97797.0,,-0.01,-0.01,,,,128408.0,43200.0,,,-151686.0,,,,,,,,2379.0,,,287425.0,97797.0,,,,114422.0,287425.0,114422.0,,,378840.0,,,-378840.0,,-151686.0,,,,,,,,0.0001,10000000.0,,,,,378840.0,,,,,,66478.0,,,,,,-476277.0,,,,,,0.84,173003.0,,451000.0,,,378840.0,,,,13025675.0,
2017-01-31,2019-05-08,10-Q,"TRENDMAKER, INC. LIMITED",TMIN,CIK0001613685,USD,8868.0,,,,2095.0,,770573.0,,,,395155.0,395155.0,,,0.0001,100000000.0,13472000.0,13472000.0,1347.0,,,,,,,,,,,,,,395155.0,167495.0,,-0.01,-0.01,,,,74607.0,15750.0,,,-76851.0,,,,,,,,,,,,,,,,176363.0,395155.0,176363.0,,,,,,,,-76851.0,,,,,,,,0.0001,10000000.0,,,,,,,,,,,17994.0,,,,,,-553128.0,,,,,,0.84,218792.0,,,,,,,,,13413088.0,
2017-04-30,2019-05-08,10-Q,"TRENDMAKER, INC. LIMITED",TMIN,CIK0001613685,USD,11278.0,,,,2095.0,,825166.0,,,,441955.0,441955.0,,,0.0001,100000000.0,13537000.0,13537000.0,1354.0,,,,,,,,,,,,,,441955.0,199517.0,,0.0,,,,,29097.0,5850.0,,,-42232.0,,,,,,,,,,,,,,,,210795.0,441955.0,210795.0,,,,,,,,-42232.0,,,,,,,,0.0001,10000000.0,,,,,,,,,,,18985.0,,,,,,-595360.0,,,,,,0.84,231160.0,,,,,,,,,13515090.0,
2017-07-31,2019-05-08,10-K,"TRENDMAKER, INC. LIMITED",TMIN,CIK0001613685,USD,16698.0,11698.0,,,5000.0,,825166.0,,,,438686.0,438686.0,,,0.0001,100000000.0,13537000.0,13537000.0,1354.0,,,,,,,,,,,212912.0,,,438686.0,203700.0,,-0.02,,,,,235812.0,,,-283641.0,-283641.0,,,,,,,,2453.0,,,438686.0,203700.0,,,,220398.0,438686.0,220398.0,,,556080.0,,,-556080.0,,-283641.0,,,608232.0,,,,,0.0001,10000000.0,,,,,556080.0,,,,,,112629.0,,,,,,-608232.0,,,,,,0.84,218288.0,,662000.0,,,556080.0,,,,13371543.0,
