end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableCurrent,AccountsReceivableNet,AccountsReceivableNetCurrent,AdditionalPaidInCapital,AllowanceForLoanAndLeaseLossRecoveryOfBadDebts,Assets,AssetsCurrent,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,DeferredFederalIncomeTaxExpenseBenefit,DeferredIncomeTaxAssetsNet,DeferredTaxAssetsNet,DeferredTaxAssetsOperatingLossCarryforwards,DueToRelatedPartiesCurrent,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateContinuingOperations,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EffectiveIncomeTaxRateReconciliationStateAndLocalIncomeTaxes,GeneralAndAdministrativeExpense,IncomeTaxExpenseBenefit,IncomeTaxesPaidNet,IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,IncomeTaxReconciliationOtherAdjustments,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsReceivable,IncreaseDecreaseInPrepaidExpense,InterestPaidNet,Liabilities,LiabilitiesAndStockholdersEquity,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,OperatingExpenses,OperatingIncomeLoss,PrepaidExpenseCurrent,ProceedsFromIssuanceOfCommonStock,ProceedsFromRelatedPartyDebt,ProfessionalFees,ProfitLoss,ProvisionForDoubtfulAccounts,RetainedEarningsAccumulatedDeficit,Revenues,SaleOfStockNumberOfSharesIssuedInTransaction,SaleOfStockPricePerShare,StockholdersEquity,StockIssuedDuringPeriodValueNewIssues,WeightedAverageNumberOfShareOutstandingBasicAndDiluted
2018-09-30,2018-11-14,10-Q,AXELEREX CORP.,BSEC,CIK0001724001,USD,,,,,,2344.0,2344.0,2344.0,-5254.0,0.001,75000000.0,5000000.0,5000000.0,5000.0,,,,13752.0,11096.0,0.0,0.21,0.21,0.0,985.0,,,-2888.0,2888.0,-200.0,330.0,,,11096.0,2344.0,,-5254.0,-5595.0,5635.0,-5595.0,,,,4650.0,-5595.0,211.0,-13752.0,40.0,,,-8752.0,,5000000.0
2018-12-31,2019-02-08,10-Q,AXELEREX CORP.,BSEC,CIK0001724001,USD,,,,12150.0,,14456.0,14456.0,14316.0,,0.001,75000000.0,6350000.0,6350000.0,6350.0,,,,17308.0,13264.0,0.0,,,,516.0,,,,,,,,,13264.0,14456.0,,,-3556.0,3616.0,-3556.0,140.0,13500.0,,3100.0,-3556.0,,-17308.0,60.0,1350000.0,0.01,1192.0,13500.0,5298043.0
2019-03-31,2019-05-13,10-Q,AXELEREX CORP.,BSEC,CIK0001724001,USD,298.0,,,19080.0,,18331.0,18331.0,18233.0,,0.001,75000000.0,7120000.0,7120000.0,7120.0,,,,21431.0,13264.0,0.0,,,,545.0,,,,,,,,,13562.0,18331.0,,,-4123.0,4123.0,-4123.0,98.0,,,3578.0,-4123.0,,-21431.0,,,,4769.0,7700.0,6979222.0
2019-06-30,2019-09-12,10-K,AXELEREX CORP.,BSEC,CIK0001724001,USD,99.0,,,19080.0,,15162.0,15162.0,15106.0,7508.0,0.001,75000000.0,7120000.0,7120000.0,7120.0,,,0.0,-24401.0,13264.0,0.0,,-0.21,0.0,2189.0,0.0,0.0,-5124.0,5124.0,-101.0,330.0,-56.0,0.0,13363.0,15162.0,23368.0,-15860.0,-16244.0,16344.0,-16244.0,56.0,21200.0,2168.0,14155.0,-16244.0,211.0,-24401.0,100.0,,,1799.0,21200.0,6091699.0
2019-09-30,2019-10-25,10-Q,AXELEREX CORP.,BSEC,CIK0001724001,USD,,,,19080.0,0.0,7594.0,7594.0,7580.0,-7526.0,0.001,75000000.0,7120000.0,7120000.0,7120.0,,,,-31870.0,13264.0,0.0,0.21,0.21,0.0,731.0,0.0,0.0,-6693.0,6693.0,-99.0,0.0,42.0,0.0,13264.0,7594.0,0.0,-7526.0,-7469.0,7469.0,-7469.0,14.0,0.0,0.0,6738.0,-7469.0,,-31870.0,0.0,,,-5670.0,,7120000.0
2019-12-31,2020-01-29,10-Q,AXELEREX CORP.,BSEC,CIK0001724001,USD,,,,19080.0,,4666.0,4666.0,4516.0,,0.001,75000000.0,7120000.0,7120000.0,7120.0,,,,-34966.0,13432.0,0.0,,,,1084.0,0.0,,,,,,,,13432.0,4666.0,,,-3096.0,3096.0,-3096.0,150.0,,,2012.0,-3096.0,,-34966.0,0.0,,,-8766.0,,7120000.0
2020-03-31,2020-04-30,10-Q,AXELEREX CORP.,BSEC,CIK0001724001,USD,99.0,,,19080.0,,4969.0,4969.0,4860.0,,0.001,75000000.0,7120000.0,7120000.0,7120.0,,,,-39762.0,18432.0,0.0,,,,521.0,,,,,,,,,18531.0,4969.0,,,-4796.0,4796.0,-4796.0,109.0,,,4275.0,-4796.0,,-39762.0,,,,-13562.0,,7120000.0
2020-06-30,2020-07-30,10-K,AXELEREX CORP.,BSEC,CIK0001724001,USD,191.0,0.0,,19080.0,,4003.0,4003.0,3937.0,-11169.0,0.001,75000000.0,7120000.0,7120000.0,7120.0,,,0.0,-53819.0,31431.0,0.0,,0.21,0.0,1170.0,0.0,,-11302.0,11302.0,92.0,0.0,-10.0,,31622.0,4003.0,18167.0,-29336.0,-29418.0,29418.0,-29418.0,66.0,0.0,18167.0,28248.0,-29418.0,0.0,-53819.0,0.0,,,-27619.0,,7120000.0
2020-09-30,2020-10-28,10-Q,AXELEREX CORP.,BSEC,CIK0001724001,USD,99.0,0.0,,19080.0,0.0,5593.0,5593.0,5568.0,1631.0,0.001,75000000.0,7120000.0,7120000.0,7120.0,58637.0,0.0,12314.0,-58637.0,37931.0,0.0,0.21,0.21,0.0,732.0,0.0,0.0,-12314.0,12314.0,-92.0,0.0,41.0,0.0,38030.0,5593.0,6500.0,-4869.0,-4818.0,4818.0,-4818.0,25.0,0.0,6500.0,4086.0,,,-58637.0,0.0,,,-32437.0,0.0,7120000.0
2020-12-31,2021-01-22,10-Q,AXELEREX CORP.,BSEC,CIK0001724001,USD,99.0,0.0,,19080.0,,5345.0,5345.0,5345.0,,0.001,75000000.0,7120000.0,7120000.0,7120.0,,0.0,16893.0,-70386.0,49432.0,0.0,,,,93.0,0.0,,,,,,,,49531.0,5345.0,,,-11749.0,11749.0,-11749.0,0.0,,,11656.0,,,-70386.0,0.0,,,-44186.0,,7120000.0
