end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableCurrent,AccountsPayableTradeCurrent,AccountsPayableTradeCurrentAndNoncurrent,AccountsReceivableNet,AccountsReceivableNetCurrent,AccruedLiabilities,AccruedLiabilitiesCurrent,AccruedLiabilitiesForCommissionsExpenseAndTaxes,AccruedSalariesCurrent,AccruedSalariesCurrentAndNoncurrent,AccumulatedOtherComprehensiveIncomeLossNetOfTax,AdditionalPaidInCapital,AdjustmentsToAdditionalPaidInCapitalOther,AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,AllocatedShareBasedCompensationExpense,AllowanceForDoubtfulOtherReceivablesCurrent,AmortizationOfDebtDiscountPremium,Assets,AssetsCurrent,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsIncludingDisposalGroupAndDiscontinuedOperations,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,CashEquivalentsAtCarryingValue,CashPeriodIncreaseDecrease,ClassOfWarrantOrRightNumberOfSecuritiesCalledByWarrantsOrRights,CommonStockParOrStatedValuePerShare,CommonStockShareSubscribedButUnissuedSubscriptionsReceivable,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,ComprehensiveIncomeNetOfTax,ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,ConvertibleNotesPayableCurrent,CostsAndExpenses,DebtConversionConvertedInstrumentAmount1,DebtConversionConvertedInstrumentSharesIssued1,DebtorReorganizationItemsGainLossOnSettlementOfOtherClaimsNet1,DeferredTaxAssetsGross,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsValuationAllowance,DueFromRelatedParties,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateContinuingOperations,EffectOfExchangeRateOnCashAndCashEquivalents,FairValueAdjustmentOfWarrants,ForeignCurrencyTransactionGainLossBeforeTax,GainLossRelatedToLitigationSettlement,GainsLossesOnExtinguishmentOfDebt,GeneralAndAdministrativeExpense,GuaranteedBenefitLiabilityGrossPeriodIncreaseDecrease,IncomeLossFromContinuingOperations,IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeLossFromContinuingOperationsBeforeIncomeTaxesForeign,IncomeLossFromContinuingOperationsBeforeInterestExpenseInterestIncomeIncomeTaxesExtraordinaryItemsNoncontrollingInterestsNet,IncomeLossFromContinuingOperationsPerBasicShare,IncomeTaxesPaid,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccountsPayableTrade,IncreaseDecreaseInAccountsReceivable,IncreaseDecreaseInAccruedLiabilitiesAndOtherOperatingLiabilities,IncreaseDecreaseInAccruedSalaries,IncreaseDecreaseInOtherAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInOtherNoncurrentAssets,IncreaseDecreaseInOtherOperatingAssets,IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,IncreaseDecreaseInPrepaidExpense,InterestExpense,InterestExpenseDebt,InterestExpenseOther,InterestIncomeExpenseNet,IssuanceOfStockAndWarrantsForServicesOrClaims,LegalFees,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LoansPayableCurrent,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NetIncomeLossAvailableToCommonStockholdersBasic,NonoperatingIncomeExpense,NotesPayableRelatedPartiesClassifiedCurrent,OperatingCostsAndExpenses,OperatingExpenses,OperatingIncomeLoss,OperatingLossCarryforwards,OtherAssetsNoncurrent,OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax,OtherComprehensiveIncomeLossNetOfTax,OtherExpenses,OtherNonoperatingIncome,OtherNonoperatingIncomeExpense,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValue,PrepaidExpense,PrepaidExpenseAndOtherAssets,PrepaidExpenseAndOtherAssetsCurrent,PrepaidExpenseCurrent,PrepaidExpenseCurrentAndNoncurrent,ProceedsFromIssuanceInitialPublicOffering,ProceedsFromIssuanceOfCommonStock,ProceedsFromIssuanceOfDebt,ProceedsFromLoans,ProceedsFromNotesPayable,ProceedsFromRelatedPartyDebt,ProceedsFromUnsecuredNotesPayable,ResearchAndDevelopmentExpense,RetainedEarningsAccumulatedDeficit,Revenues,SellingGeneralAndAdministrativeExpense,ShareBasedCompensation,ShareBasedCompensationArrangementByShareBasedPaymentAwardNonOptionEquityInstrumentsOutstandingNumber,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriodGross,ShareBasedCompensationSharesAuthorizedUnderStockOptionPlansExercisePriceRangeNumberOfOutstandingOptions,SharePrice,SharesIssuedPricePerShare,StockGrantedDuringPeriodValueSharebasedCompensation,StockholdersEquity,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodValueConversionOfConvertibleSecurities,StockIssuedDuringPeriodValueIssuedForServices,StockIssuedDuringPeriodValueNewIssues,StockIssuedDuringPeriodValueShareBasedCompensation,StockOptionPlanExpense,UnrecognizedTaxBenefits,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesIssuedBasic,WeightedAverageNumberOfSharesOutstandingBasic
2012-12-31,2013-04-12,10-K,E-QURE CORP.,EQUR,CIK0001563536,USD,,,,,,31383.0,,,,,,2224460.0,,,,,12610.0,3809.0,3809.0,2900.0,2900.0,,,,,,,,,,,,76995.0,,,85096.0,-91985.0,,,,,,,,0.0,,,,,,,66850.0,,-66850.0,-91985.0,,,-91985.0,0.0,0.0,,,,,,,,,,,-909.0,-12525.0,,,,,,,3809.0,116476.0,,56126.0,-53226.0,-91985.0,,,,,,,,,,,-25135.0,,,,,,,0.0,909.0,,,,,,,,,,,,,,0.0,66850.0,,,,,,,,,,,,,,,,,,76227531.0
2013-03-31,2013-05-09,10-Q,E-QURE CORP.,EQUR,CIK0001563536,USD,,,,,,,,,,,,2124460.0,,,,,9763.0,2696.0,2696.0,2687.0,2687.0,,,,,,,,,,,,76995.0,,,,-30319.0,,,,,,,,,,,,,,,,,-16329.0,-30319.0,,,-30319.0,0.0,0.0,,,,,,,,,,,900.0,-4227.0,,,,,,,2696.0,127685.0,,15000.0,-15213.0,-30319.0,,,,,,,,,,,-13990.0,,,,,,,0.0,9.0,,,,,,,,,,,,,,0.0,16329.0,,,,,,,,,,,,,,,,,,
2013-06-30,2013-07-31,10-Q,E-QURE CORP.,EQUR,CIK0001563536,USD,,,,,,,,,,,,2174603.0,,,,,-15088.0,9462.0,9462.0,9453.0,,,,,,,,,,,,,76995.0,,,,-45886.0,,,,,,,,-0.06,,,,,,,26234.0,,-26234.0,-45886.0,,,-45886.0,,0.0,,,,,,,,,,,,-4564.0,,,,,,,,148194.0,,,,-45886.0,,,,,,,,,,,-19652.0,,,,,,,0.0,9.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,769948.0,
2013-09-30,2013-11-14,10-Q,E-QURE CORP.,EQUR,CIK0001563536,USD,,,,,,41341.0,,,,,,2280103.0,,,,,0.0,977.0,977.0,,968.0,,,,,,,,,,,,76995.0,,,126545.0,-33677.0,,,,,,,,-0.04,,,,,,,12610.0,,-12610.0,-33677.0,,,-33677.0,,0.0,,,,,,,,,,,,-21067.0,,,,,,,977.0,167886.0,,,,-33677.0,,,,,,,,,,,-21067.0,,,,,,,0.0,9.0,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,769948.0,76994799.0
2013-12-31,2014-03-26,10-K,E-QURE CORP.,EQUR,CIK0001563536,USD,,,0.0,,,,,,,,,3541052.0,,,,,,76535.0,76535.0,76535.0,,73635.0,,,,,,,0.0,,,,2845.0,,,,-1168585.0,,,,,,,,-1.41,,,,,,,1090882.0,,-1090882.0,-1168585.0,,-1168585.0,,,0.0,,,,,,,,,,,909.0,-77703.0,,,,,,115348.0,76535.0,115348.0,,148920.0,-75285.0,-1168585.0,,,,,,,,,,,-77703.0,,,,,,,0.0,0.0,,,,,,,,,,,,0.0,-3582710.0,0.0,,,,,,,,,-38813.0,,,,,,,,829925.0,,82992472.0
2014-03-31,2014-05-08,10-Q,E-QURE CORP.,EQUR,CIK0001563536,USD,,,,,,,,,,,,3259349.0,,,,,-29552.0,52781.0,52781.0,52781.0,,-23754.0,,,,,,,,,,,284548.0,,,,-59029.0,,,,,,,,-0.02,,,,,,,23754.0,,-23754.0,-59029.0,,,,,0.0,,,,,,,,,,,0.0,-5723.0,,,,,,,52781.0,150623.0,,0.0,-23754.0,-59029.0,,,,,23754.0,,,,,,-35275.0,,,,,,,0.0,,,,,,,,,,,,,0.0,,0.0,23754.0,,,,,,,,,,,,,,,,2845480.0,,
2014-06-30,2014-08-19,10-Q,E-QURE CORP.,EQUR,CIK0001563536,USD,,,5730.0,,,,,,,,,3541305.0,,,,,-61514.0,2114012.0,2114012.0,2114012.0,,,,,,,,,,,,,2592.0,,,,-23816143.0,,,,,,,,-8.51,,,,,,,39499.0,,-39499.0,-23816143.0,,,,,-13939.0,,,,,,,,,,,,-5787.0,,,,,,,2114012.0,24733.0,,,,-23830082.0,,,,,,,,,,,-23776644.0,,,,,,,0.0,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,2089279.0,,,,,,,,2801160.0,2801160.0,
2014-09-30,2014-11-19,10-Q,E-QURE CORP.,EQUR,CIK0001563536,USD,,,,,,,,,,,,30060749.0,,,,,0.0,1493381.0,1493381.0,1493381.0,,,,,,,,,,,,,21553.0,,,,-616103.0,,,,,,,,-0.06,,,,,,,180303.0,,-616103.0,-616103.0,,,,,0.0,,,,,,,,,,,,0.0,,,,,,19003.0,1493381.0,19003.0,,,,-616103.0,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,435800.0,,0.0,,,,,,,,,1474378.0,,,,,,,,9840831.0,9840831.0,
2014-12-31,2015-04-15,10-K,E-QURE CORP.,EQUR,CIK0001563536,USD,,5064.0,,,,,5064.0,,,,,30312082.0,,,,,,1376836.0,1376836.0,1376836.0,,1300301.0,,,,1300301.0,,,-270000.0,,,,220.0,,,,-25073881.0,,,,,,,,-2.41,,,,,,,350812.0,,-1162085.0,-25073881.0,,-25073881.0,,,-13939.0,,,,,,,,,,,,-11510.0,,,,,,5064.0,1376836.0,5064.0,,2225000.0,-924699.0,-25087820.0,,,,,,,,,,,-23911796.0,,,,,,,0.0,,,,,,,,,,,,,561150.0,-28670530.0,0.0,,,,,,,,,1371722.0,,,,,,,,10408138.0,,
2015-03-31,2015-05-15,10-Q,E-QURE CORP.,EQUR,CIK0001563536,USD,,1564.0,,,,,,,,,,30290289.0,,,,,0.0,1234056.0,1234056.0,1234056.0,,-142780.0,,,,-142780.0,,,-200000.0,,,,22013.0,,,,-209280.0,,,,,,,,-0.01,,,,,,,136039.0,,-209280.0,-209280.0,,,,,0.0,,,,,,,,,,,,0.0,,,,,,1564.0,1234056.0,1564.0,,70000.0,-212780.0,-209280.0,,,,,209280.0,,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,73241.0,-28879810.0,0.0,,,,,,,,,1232492.0,,,,,,,,22012562.0,22012562.0,
