end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableCurrent,AdditionalPaidInCapital,Assets,AssetsCurrent,AssetsNoncurrent,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashEquivalentsAtCarryingValue,CashFDICInsuredAmount,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,DeferredTaxAssetsNet,DeferredTaxAssetsNetCurrent,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsValuationAllowance,DepreciationAndAmortization,DueToRelatedPartiesCurrent,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,GeneralAndAdministrativeExpense,IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,IncomeTaxExpenseBenefit,IncomeTaxesPaid,IncomeTaxesPaidNet,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInPrepaidExpense,InterestPaidNet,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,OperatingIncomeLoss,OperatingLossCarryforwards,OtherAssetsNoncurrent,PaymentsToAcquireAssetsInvestingActivities,PaymentsToAcquirePropertyPlantAndEquipment,PrepaidExpenseCurrent,ProceedsFromIssuanceOfCommonStock,ProceedsFromRelatedPartyDebt,ProceedsFromSaleOfPropertyPlantAndEquipment,ProfitLoss,PropertyPlantAndEquipmentOther,RetainedEarningsAccumulatedDeficit,Revenues,StockholdersEquity,StockIssuedDuringPeriodValueNewIssues,WeightedAverageNumberOfShareOutstandingBasicAndDiluted
2020-07-31,2020-09-08,10-Q,"Starguide Group, Inc.",STRG,CIK0001803096,USD,,,1867.0,1067.0,,1002.0,,,1002.0,,0.001,75000000.0,2000000.0,2000000.0,2000.0,,,,,,7667.0,0.0,,617.0,-617.0,-617.0,0.0,0.0,,,,,,7667.0,1867.0,7667.0,,,,-617.0,-617.0,,800.0,,,65.0,,,,,800.0,-7800.0,0.0,-5800.0,,2000000.0
2020-10-31,2020-12-11,10-Q,"Starguide Group, Inc.",STRG,CIK0001803096,USD,,6235.0,7071.0,6338.0,,,6273.0,,6273.0,250000.0,0.001,75000000.0,2215000.0,2215000.0,2215.0,,,,,,7667.0,0.0,,1246.0,-1246.0,-1246.0,,0.0,,,,,,7667.0,7071.0,7667.0,,,,-1246.0,-1246.0,,733.0,,,65.0,,,,,733.0,-9046.0,0.0,-596.0,6450.0,2094836.0
2021-01-31,2021-04-21,10-K,"Starguide Group, Inc.",STRG,CIK0001803096,USD,0.0,21750.0,21528.0,20862.0,666.0,,20797.0,19669.0,20797.0,250000.0,0.001,75000000.0,2750000.0,2750000.0,2750.0,1655.0,0.0,7879.0,-1655.0,134.0,7667.0,0.0,0.21,7879.0,,-7879.0,,0.0,,0.0,,64.0,0.0,7667.0,21528.0,7667.0,28150.0,-800.0,-7681.0,-7879.0,-7879.0,-10639.0,,,,65.0,22500.0,5650.0,-800.0,,666.0,-10639.0,0.0,13861.0,22500.0,2144934.0
2021-04-30,2021-06-02,10-Q,"Starguide Group, Inc.",STRG,CIK0001803096,USD,,25172.0,19951.0,19352.0,599.0,,,-1445.0,19352.0,250000.0,0.001,75000000.0,2868000.0,2868000.0,2868.0,,,,,67.0,7667.0,0.0,,5117.0,,-5117.0,,,,0.0,,65.0,0.0,7667.0,19951.0,7667.0,3540.0,,-4985.0,-5117.0,-5117.0,,,,,0.0,3540.0,0.0,,,599.0,-15756.0,0.0,12284.0,,2852258.0
2021-07-31,2021-08-26,10-Q,"Starguide Group, Inc.",STRG,CIK0001803096,USD,500.0,25172.0,8339.0,7807.0,532.0,,,,7807.0,250000.0,0.001,75000000.0,2868000.0,2868000.0,2868.0,,,,,,7667.0,0.0,,12113.0,,-12113.0,0.0,,,,,,,8167.0,8339.0,8167.0,,,,-12113.0,-12113.0,,,,,0.0,,,,,532.0,-27868.0,0.0,172.0,,2868000.0
2021-10-31,2021-11-22,10-Q,"Starguide Group, Inc.",STRG,CIK0001803096,USD,100.0,25172.0,2674.0,2209.0,465.0,,,,2209.0,250000.0,0.001,75000000.0,2868000.0,2868000.0,2868.0,,,,,,7667.0,0.0,,5265.0,,-5265.0,,0.0,,,,,,7767.0,2674.0,7767.0,,,,-5265.0,-5265.0,,,,,0.0,,,,,465.0,-33133.0,0.0,-5093.0,,2868000.0
