end,filed,form,Name,Ticker,CIK,Currency,AccretionOfDiscount,AssetManagementCosts,Assets,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashEquivalentsAtCarryingValue,DepreciationAmortizationAndAccretionNet,DerivativeAssets,DerivativeGainLossOnDerivativeNet,DerivativeInstrumentsGainLossRecognizedInIncomeNet,DerivativeInstrumentsGainRecognizedInIncome,DueToRelatedPartiesCurrentAndNoncurrent,FinancialInstrumentsOwnedUSGovernmentAndAgencyObligationsAtFairValue,FloorBrokerage,GainLossOnInvestments,GainLossOnSaleOfDerivatives,GainLossOnSaleOfInvestments,GainLossOnSaleOfSecuritiesNet,GeneralPartnersCapitalAccount,GeneralPartnersCapitalAccountUnitsIssued,GeneralPartnersCapitalAccountUnitsOutstanding,IncreaseDecreaseInAccruedLiabilities,InterestIncomeOperating,InvestmentIncomeNet,InvestmentOwnedUnrecognizedUnrealizedAppreciation,InvestmentOwnedUnrecognizedUnrealizedAppreciationDepreciationNet,InvestmentOwnedUnrecognizedUnrealizedDepreciation,Liabilities,LiabilitiesAndStockholdersEquity,LimitedPartnersCapitalAccount,LimitedPartnersCapitalAccountUnitsIssued,LimitedPartnersCapitalAccountUnitsOutstanding,MarketableSecuritiesRealizedGainLoss,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,NetIncomeLoss,OperatingExpenses,OtherInvestmentsAndSecuritiesAtCost,PartnersCapital,PartnersCapitalAccountContributions,PartnersCapitalAccountRedemptions,PartnersCapitalAccountSaleOfUnits,PartnersCapitalAccountUnitsContributed,PayablesToBrokerDealersAndClearingOrganizations,PaymentsForPurchaseOfSecuritiesOperatingActivities,ProceedsFromContributedCapital,ProceedsFromIssuanceOfCommonLimitedPartnersUnits,ProceedsFromSaleOfSecuritiesOperatingActivities,RealizedInvestmentGainsLosses,UnrealizedGainLossOnDerivatives,UnrealizedGainLossOnInvestments,UnrealizedGainLossOnSecurities
2008-12-31,2009-03-27,10-K,WISDOMTREE CONTINUOUS COMMODITY INDEX FUND,GCC,CIK0001379606,USD,,,,,13331630.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17539824.0,,,,,,,,,,,,,
2009-12-31,2010-03-15,10-K,WISDOMTREE CONTINUOUS COMMODITY INDEX FUND,GCC,CIK0001379606,USD,-119648.0,1018526.0,,,97250587.0,83918957.0,,,,,,12851212.0,,,287584.0,27112878.0,,,397.0,,,,177929.0,126329.0,-1179781.0,,,,,,,,,,,185961417.0,,-102042460.0,25933097.0,1306110.0,,229434338.0,260518098.0,-74556681.0,,,,604867964.0,,260518098.0,489996097.0,,14260521.0,14261269.0,748.0
2010-06-30,2010-08-09,10-Q,WISDOMTREE CONTINUOUS COMMODITY INDEX FUND,GCC,CIK0001379606,USD,,512153.0,,,42498212.0,,,,,,,,,,144609.0,,-6797890.0,,,,,,,69812.0,-586950.0,,,,,,,,,-6798293.0,,,,,-1761914.0,656762.0,,,,,,,,,,,,,,-3137.0,
2010-09-30,2010-11-08,10-Q,WISDOMTREE CONTINUOUS COMMODITY INDEX FUND,GCC,CIK0001379606,USD,,595747.0,,,16153688.0,,,,,,,,,,168211.0,,13402076.0,,,,,,,78508.0,-685450.0,,,,,,,,,13402076.0,,,,,33525107.0,763958.0,,,,,,,,,,,,,,8196.0,
2010-12-31,2011-03-14,10-K,WISDOMTREE CONTINUOUS COMMODITY INDEX FUND,GCC,CIK0001379606,USD,-301808.0,2523863.0,535067061.0,,6487519.0,-90763068.0,,,528579542.0,,43285484.0,43285484.0,352427.0,469939860.0,712620.0,89562608.0,,,-403.0,1644.0,50.0,50.0,515001.0,301808.0,-2934675.0,,58639682.0,,704006.0,535067061.0,534361411.0,16250000.0,16250000.0,,,218300784.0,,-309063852.0,86627933.0,3236483.0,469919567.0,534363055.0,262051675.0,-43750891.0,,,351579.0,1159625357.0,,262051675.0,809997503.0,,46259451.0,46277527.0,18076.0
2011-03-31,2011-05-10,10-Q,WISDOMTREE CONTINUOUS COMMODITY INDEX FUND,GCC,CIK0001379606,USD,-187623.0,1356513.0,,,90993781.0,84506262.0,,,-35001799.0,,,58715519.0,,,383015.0,44819207.0,,,,,,,421991.0,187623.0,-1551905.0,,,,,,,,,,,240719184.0,,-156212922.0,43267302.0,1739528.0,,,,,,,,674811466.0,,247842094.0,470000000.0,,-13902413.0,-13896312.0,6101.0
2011-06-30,2011-08-08,10-Q,WISDOMTREE CONTINUOUS COMMODITY INDEX FUND,GCC,CIK0001379606,USD,,1681823.0,735230841.0,,454426266.0,,,,,,,38183502.0,522961.0,309998930.0,474867.0,-35767596.0,38183502.0,,,1679.0,50.0,50.0,,119476.0,-2037214.0,,,,1363129.0,735230841.0,733866033.0,21850000.0,21850000.0,38183502.0,,,,,-37804810.0,2156690.0,309992010.0,733867712.0,,,,,840168.0,,,,,,-73931624.0,-73951098.0,-19474.0
2011-09-30,2011-11-08,10-Q,WISDOMTREE CONTINUOUS COMMODITY INDEX FUND,GCC,CIK0001379606,USD,,1541729.0,629072379.0,,107709323.0,,,,,,,-25287264.0,496429.0,589979710.0,377372.0,-64715733.0,-25287264.0,,,1523.0,50.0,,,8112.0,-1910989.0,,,,10680324.0,629072379.0,618390532.0,20300000.0,20300000.0,-25287264.0,,,,,-66626722.0,1919101.0,589978960.0,618392055.0,,,,,1045586.0,,,,,,-39422299.0,-39428469.0,-6170.0
2011-12-31,2012-02-28,10-K,WISDOMTREE CONTINUOUS COMMODITY INDEX FUND,GCC,CIK0001379606,USD,-335677.0,5895201.0,584077695.0,,619079494.0,612591975.0,,,-35001799.0,36755383.0,36755383.0,36755383.0,438205.0,9999990.0,1300472.0,-66905929.0,,,451.0,1498.0,50.0,,717847.0,335677.0,-6859996.0,,-45001789.0,,2919679.0,584077695.0,581156518.0,19400000.0,19400000.0,,,122058712.0,,490533263.0,-73765925.0,7195673.0,9999989.0,581158016.0,383075174.0,262514288.0,,,983648.0,1594743929.0,,383075174.0,2054999635.0,,-103641471.0,-103661763.0,-20292.0
2012-03-31,2012-05-08,10-Q,WISDOMTREE CONTINUOUS COMMODITY INDEX FUND,GCC,CIK0001379606,USD,-30714.0,1328067.0,646248702.0,,110195659.0,-508883835.0,,,536053043.0,,,-19491624.0,473738.0,554990840.0,70914.0,6579006.0,,,,1517.0,50.0,,-41912.0,30714.0,-1368267.0,,-18937797.0,,1379941.0,646248702.0,644867244.0,21250000.0,21250000.0,,,58500006.0,,-567383841.0,5210739.0,1398981.0,554984201.0,644868761.0,80222138.0,-21722132.0,,,906203.0,554953498.0,,80222138.0,10000000.0,,26063992.0,26070630.0,6638.0
