end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesCurrent,AdditionalPaidInCapital,Assets,Cash,CashAcquiredFromAcquisition,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,CostOfRevenue,DeferredTaxAssetsLiabilitiesNet,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxLiabilities,DiscontinuedOperationAmountOfAdjustmentToPriorPeriodGainLossOnDisposalBeforeIncomeTax,DueToAffiliateCurrentAndNoncurrent,DueToRelatedPartiesCurrent,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateReconciliationChangeInDeferredTaxAssetsValuationAllowance,EquityMethodInvestmentOwnershipPercentage,GrossProfit,IncomeLossFromContinuingOperations,IncomeTaxesPaidNet,IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInPrepaidExpense,InterestPaidNet,Liabilities,LiabilitiesAndStockholdersEquity,LoansAndLeasesReceivableRelatedPartiesAdditions,MinorityInterestOwnershipPercentageByParent,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,OperatingIncomeLoss,OtherLiabilities,PreferredStockNoParValue,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PrepaidExpenseCurrent,PrepaidExpenseCurrentAndNoncurrent,ProceedsFromIssuanceOfCommonStock,ProceedsFromRelatedPartyDebt,ProfitLoss,RetainedEarningsAccumulatedDeficit,Revenues,SellingGeneralAndAdministrativeExpense,StockholdersEquity,StockIssuedDuringPeriodValueAcquisitions,ValuationAllowanceDeferredTaxAssetChangeInAmount,WeightedAverageNumberOfDilutedSharesOutstanding,WeightedAverageNumberOfShareOutstandingBasicAndDiluted
2020-06-30,2020-08-05,10-Q,STARK FOCUS GROUP INC.,SKFG,CIK0001794942,USD,11764.0,43026.0,5358.0,5358.0,,5358.0,,,,,,1022.0,10298.0,,,,,,5837.0,0.0,,,2369.0,,,,,,,17601.0,5358.0,,,,,,,-18023.0,-18023.0,17601.0,0.0001,100000000.0,10220830.0,10220830.0,,0.0,,,,-56291.0,12667.0,20392.0,-12243.0,,,10220830.0,10220830.0
2020-09-30,2020-11-13,10-Q,STARK FOCUS GROUP INC.,SKFG,CIK0001794942,USD,7440.0,43026.0,13875.0,13875.0,,13875.0,,,,,,1022.0,19824.0,,,,3526.0,,25667.0,0.0,,,5576.0,,,,,,,33107.0,13875.0,,,,,,,-6989.0,-10515.0,33107.0,0.0001,100000000.0,10220830.0,10220830.0,,0.0,,,,-63280.0,25400.0,10515.0,-19232.0,,,10220830.0,10220830.0
2020-12-31,2021-04-12,10-K,STARK FOCUS GROUP INC.,SKFG,CIK0001794942,USD,15822.0,43026.0,3100.0,3100.0,0.0,3100.0,-27220.0,0.0001,100000000.0,10220830.0,10220830.0,1022.0,35402.0,18457.0,-87892.0,0.0,,52047.0,43082.0,-0.01,0.21,,8886.0,-91852.0,0.0,0.0,14028.0,7522.0,0.0,58904.0,3100.0,,,43082.0,,0.0,-70302.0,-91852.0,-91852.0,58904.0,,,,,0.0,0.0,0.0,43082.0,-91852.0,-99852.0,44288.0,100737.0,-55804.0,,-18457.0,10220830.0,
2021-03-31,2021-05-17,10-Q,STARK FOCUS GROUP INC.,SKFG,CIK0001794942,USD,19587.0,43026.0,2893.0,2893.0,,2893.0,-207.0,0.0001,100000000.0,10220830.0,10220830.0,1022.0,5233.0,,,,,,54250.0,0.0,,,1127.0,,0.0,,3765.0,0.0,0.0,73837.0,2893.0,,,11168.0,,,-11375.0,-15140.0,-15140.0,73837.0,,,,,0.0,,0.0,11168.0,,-114992.0,6360.0,16267.0,-70944.0,,,,10220830.0
2021-06-30,2021-08-18,10-Q,STARK FOCUS GROUP INC.,SKFG,CIK0001794942,USD,11820.0,43026.0,3552.0,3552.0,,3552.0,,0.0001,100000000.0,10220830.0,10220830.0,1022.0,10828.0,,,,,,83803.0,0.0,,,2443.0,,,,,,,95623.0,3552.0,,,,,,,-18684.0,-18684.0,95623.0,,,,,0.0,,,,,-136119.0,13271.0,21127.0,-92071.0,,,,10220830.0
2021-09-30,2021-11-09,10-Q,STARK FOCUS GROUP INC.,SKFG,CIK0001794942,USD,4765.0,155537.0,15917.0,15917.0,,15917.0,,0.0001,100000000.0,10220830.0,10220830.0,1022.0,,,,,-911.0,,0.0,0.0,,,,,,,,,,4765.0,15917.0,,,,,,,-10146.0,-11047.0,4765.0,,,,,0.0,,,,,-145407.0,,11047.0,11152.0,,,,10220830.0
