end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsPayableRelatedPartiesCurrent,AccountsReceivableNet,AccountsReceivableNetCurrent,AccumulatedOtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentNetOfTax,AdditionalPaidInCapital,AdditionalPaidInCapitalCommonStock,AdjustmentsToAdditionalPaidInCapitalConvertibleDebtWithConversionFeature,AdjustmentsToAdditionalPaidInCapitalOther,AllowanceForDoubtfulAccountsReceivableRecoveries,AmortizationOfDebtDiscountPremium,Assets,AssetsCurrent,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,CashEquivalentsAtCarryingValue,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockSharesSubscriptions,CommonStockValue,ComprehensiveIncomeNetOfTax,ConvertibleDebtCurrent,ConvertibleNotesPayable,DebtInstrumentInterestRateStatedPercentage,DebtInstrumentUnamortizedDiscount,DeferredCosts,DeferredCostsCurrent,DeferredRevenueCurrent,DeferredTaxAssetsGross,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsValuationAllowance,DepositAssets,DepositLiabilityCurrent,Depreciation,DerivativeGainLossOnDerivativeNet,DerivativeGainOnDerivative,DerivativeLiabilities,DerivativeLiabilitiesCurrent,DerivativeLossOnDerivative,DueFromAffiliateCurrent,DueToAffiliateCurrent,DueToOfficersOrStockholdersCurrent,DueToRelatedPartiesCurrent,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EffectOfExchangeRateOnCash,GainLossOnDerivativeInstrumentsNetPretax,GrossProfit,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,IncomeTaxExpenseBenefit,IncomeTaxesPaidNet,IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,IncomeTaxReconciliationNondeductibleExpense,IncomeTaxReconciliationOtherAdjustments,IncomeTaxReconciliationStateAndLocalIncomeTaxes,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccountsReceivable,IncreaseDecreaseInDerivativeLiabilities,IncreaseDecreaseInDueToAffiliatesCurrent,IncreaseDecreaseInDueToOfficersAndStockholders,IncreaseDecreaseInInventories,IncreaseDecreaseInOtherCurrentAssets,IncreaseDecreaseInOtherCurrentLiabilities,IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,IncreaseDecreaseInPrepaidExpense,InterestExpense,InterestIncomeExpenseNet,InterestPaidNet,InventoryFinishedGoodsAndWorkInProcess,InventoryNet,InventoryRawMaterials,IssuanceOfStockAndWarrantsForServicesOrClaims,LaborAndRelatedExpense,LeaseAndRentalExpense,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,MarketingAndAdvertisingExpense,MarketingExpense,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NonoperatingIncomeExpense,OperatingExpenses,OperatingIncomeLoss,OperatingLeaseExpense,OperatingLeaseLiability,OperatingLeaseLiabilityCurrent,OperatingLeaseLiabilityNoncurrent,OperatingLeasePayments,OperatingLeaseRightOfUseAsset,OperatingLeasesFutureMinimumPaymentsDue,OperatingLeasesFutureMinimumPaymentsDueCurrent,OperatingLeasesFutureMinimumPaymentsDueInThreeYears,OperatingLeasesFutureMinimumPaymentsDueInTwoYears,OperatingLeaseWeightedAverageDiscountRatePercent,OperatingLossCarryforwards,OtherComprehensiveIncomeLossNetOfTax,OtherGeneralAndAdministrativeExpense,OtherNoncashIncomeExpense,OtherNonoperatingIncomeExpense,OtherPrepaidExpenseCurrent,PaymentsForRoyalties,PaymentsToAcquireOilAndGasPropertyAndEquipment,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValue,PrepaidExpenseAndOtherAssetsCurrent,PrepaidExpenseCurrent,ProceedsFromConvertibleDebt,ProceedsFromIssuanceOfCommonStock,ProceedsFromIssuanceOfDebt,ProceedsFromIssuanceOrSaleOfEquity,ProceedsFromOtherEquity,ProceedsFromRelatedPartyDebt,ProfessionalFees,ProfitLoss,PropertyPlantAndEquipmentGross,PropertyPlantAndEquipmentNet,RepaymentsOfConvertibleDebt,RepaymentsOfRelatedPartyDebt,RetainedEarningsAccumulatedDeficit,SecurityDeposit,ShareBasedCompensation,ShareBasedCompensationArrangementByShareBasedPaymentAwardNonOptionEquityInstrumentsForfeituresAndExpirations,ShareBasedCompensationArrangementByShareBasedPaymentAwardNumberOfSharesAuthorized,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingNumber,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingWeightedAverageExercisePrice,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsVestedAndExpectedToVestExercisableNumber,SharesIssued,SharesOutstanding,StockholdersEquity,StockIssued1,StockIssuedDuringPeriodValueIssuedForServices,StockIssuedDuringPeriodValueNewIssues,StockIssuedDuringPeriodValueOther,StockOptionPlanExpense,SubordinatedBorrowingInterestRate,TravelAndEntertainmentExpense,ValuationAllowanceDeferredTaxAssetChangeInAmount,ValueAddedTaxReceivable,WeightedAverageNumberOfShareOutstandingBasicAndDiluted
2018-12-31,2019-04-01,10-K,Energy and Water Development Corp.,EAWD,CIK0001563298,USD,861222.0,,,,,7187862.0,,,,39148.0,,0.0,,,,,,,,0.001,1000000000.0,87913933.0,87913933.0,,87914.0,,586825.0,,0.02,0.0,,,,1870854.0,1870854.0,1870854.0,,,,,,,,,,298313.0,,1994168.0,-0.01,0.21,,,,-801445.0,,,-868224.0,,1071247.0,-34805.0,562593.0,,,,300000.0,,,,,,,71744.0,,,,,,322950.0,3600.0,,0.0,3740528.0,,,20000.0,,-20000.0,-801445.0,71744.0,873189.0,-873189.0,,,,,,,,,,,,,,22689.0,42000.0,,,,,0.001,500000000.0,0.0,0.0,,,,20000.0,,,,,,225126.0,,,,,,-11016304.0,,,,,2200000.0,0.1,2200000.0,,87913933.0,-3583702.0,,,,,,,2424.0,-868224.0,,87849554.0
2019-03-31,2019-05-09,10-Q,Energy and Water Development Corp.,EAWD,CIK0001563298,USD,890266.0,,,,,7219662.0,,,,,,2325.0,2325.0,,,,,,,0.001,1000000000.0,88113933.0,88113933.0,,88114.0,,684825.0,,0.02,,,,,,,,,,,,,,,,,280427.0,,2069255.0,0.0,,,,,-213920.0,,,,,,,11158.0,,,,75087.0,,,,,2325.0,,-4896.0,,,,,,80738.0,900.0,,2325.0,3924773.0,,,130000.0,,-130000.0,-213920.0,-4896.0,209024.0,-209024.0,,,,,,,,,,,,,,3201.0,,,,,,0.001,500000000.0,0.0,0.0,,,2325.0,98000.0,32000.0,,,,,47185.0,,,,,,-11230224.0,,,,5000000.0,2200000.0,0.1,2200000.0,,,-3922448.0,,,32000.0,,,,2900.0,,,87998377.0
2019-06-30,2019-08-19,10-Q,Energy and Water Development Corp.,EAWD,CIK0001563298,USD,992309.0,,,,,7812008.0,,98000.0,,,,1875.0,1875.0,,,,,,,0.001,1000000000.0,92792483.0,92792483.0,,92792.0,,139449.0,141000.0,0.02,57551.0,,,,,,,,,,,,,,,,290202.0,,2133055.0,0.0,,,,,-227716.0,,,,,,,,,,,,,,,,,,-45697.0,,,,,,80737.0,,,1875.0,3555015.0,716.0,,,,,-227716.0,-45697.0,182019.0,-182019.0,,,,,,,,,,,,,,2785.0,,,,,,0.001,500000000.0,0.0,0.0,,,1875.0,,,,,,,18315.0,,,,,,-11457940.0,,,,5000000.0,2200000.0,0.1,2200000.0,,,-3553140.0,,,11200.0,487824.0,,,5182.0,,,91667762.0
2019-09-30,2019-11-19,10-Q,Energy and Water Development Corp.,EAWD,CIK0001563298,USD,1161516.0,,,,,7350518.0,,,,,,1875.0,1875.0,,,,,,,0.001,1000000000.0,93182483.0,93182483.0,,93182.0,,119746.0,,,,,,,,,,,,,199149.0,,,470151.0,,,303742.0,,2202655.0,0.0,,,199149.0,,-241695.0,,,,,,,,,,,,,,,,,,-79697.0,,,,,,80738.0,,,1875.0,4257810.0,,,,,,-241695.0,119452.0,361147.0,-361147.0,,,,,,,,,,,,,,9613.0,,,,,,0.001,500000000.0,0.0,0.0,,,1875.0,,,,,,,195796.0,,,,,,-11699635.0,,,,5000000.0,2200000.0,0.1,2200000.0,,93182483.0,-4255935.0,,39200.0,,,,,,,,92994440.0
2019-12-31,2020-04-14,10-K,Energy and Water Development Corp.,EAWD,CIK0001563298,USD,957670.0,,,,,7491197.0,,98000.0,54159.0,,136082.0,30375.0,30375.0,,0.0,,,,,0.001,1000000000.0,93462483.0,93462483.0,,93462.0,,243923.0,,,,,,,2022693.0,2022693.0,2022693.0,,303742.0,,-73809.0,255505.0,,413795.0,73809.0,,4959.0,2276770.0,2276770.0,-0.01,0.21,,255505.0,,-905665.0,,,151839.0,,,-26030.0,253274.0,,,-293355.0,282602.0,,30375.0,323742.0,,30375.0,,-195217.0,,,,,126000.0,300000.0,2736.0,,30375.0,4210859.0,,,373200.0,,-373200.0,-905665.0,60288.0,965953.0,-965953.0,,,,,,,,,,,,7900000.0,,18266.0,,,,,,0.001,500000000.0,0.0,0.0,,30375.0,30375.0,330000.0,43200.0,,,,330000.0,339605.0,,,,,,-11765143.0,,,,5000000.0,2200000.0,0.1,2200000.0,,93462483.0,-4360260.0,40.0,126000.0,43200.0,546824.0,,,8082.0,151839.0,,91264815.0
2020-03-31,2020-06-29,10-Q,Energy and Water Development Corp.,EAWD,CIK0001563298,USD,1194886.0,,,,,9733534.0,,,,,98036.0,126265.0,126265.0,,,,,,,0.001,1000000000.0,96244984.0,96244984.0,,96245.0,-11299.0,394036.0,,,,,,,,,,,303742.0,,,322948.0,,237489.0,,,,,108770.0,0.0,,,322948.0,,-11299.0,,,,,,,60060.0,,,-4959.0,70000.0,,,,95890.0,95890.0,103707.0,-103707.0,,,,,,80738.0,0.0,,126265.0,2248923.0,,,207000.0,,-207000.0,-11299.0,219241.0,230540.0,-230540.0,,,,,,,,,,,,,,7285.0,,,,,,0.001,500000000.0,3780976.0,3780976.0,3781.0,,126265.0,207000.0,,,,,207000.0,67484.0,,,,,,-11956218.0,,,,,2200000.0,0.1,,,,-2122658.0,,2238000.0,,38500.0,0.0,,33.0,,,95546644.0
2020-06-30,2020-08-17,10-Q,Energy and Water Development Corp.,EAWD,CIK0001563298,USD,1081098.0,116683.0,,,,10605882.0,,,,,,119824.0,119824.0,,,,,,,0.001,1000000000.0,104611461.0,104611461.0,,104611.0,-882669.0,199742.0,,,,,,,,,,,303742.0,,-104219.0,,,466085.0,,108317.0,,183770.0,,-0.01,,,,,-882669.0,,,,,,,,,,,,,,,,,231557.0,-231557.0,,,,,,81150.0,0.0,,119824.0,2244437.0,,,,,,-882669.0,-335776.0,546893.0,-546893.0,0.0,,,,0.0,,,,,,,,,260154.0,,,,,,0.001,500000000.0,3780976.0,3780976.0,3781.0,,119824.0,,,,,,,130589.0,-882669.0,,,,,-12838887.0,,,,,2200000.0,0.1,,,,-2124613.0,,,69000.0,,,,,,,99388507.0
2020-09-30,2020-11-17,10-Q,Energy and Water Development Corp.,EAWD,CIK0001563298,USD,1139893.0,148005.0,,,,11231738.0,,,,,,157654.0,157654.0,9270.0,9270.0,,,,,0.001,1000000000.0,108714615.0,108714615.0,,108714.0,-480619.0,83453.0,,,,,,,,,,,303742.0,,694096.0,,,344186.0,,101245.0,,261653.0,,0.0,,,,,-469617.0,11002.0,,,,,,,,,,,,,,,,921706.0,-921706.0,,,,,,75000.0,0.0,,157654.0,2132927.0,,0.0,,,,-480619.0,-227610.0,242007.0,-242007.0,0.0,,,,0.0,,,,,,,,0.0,7709.0,,,,,,0.001,500000000.0,3780976.0,3780976.0,3781.0,,148384.0,,,,,,,81150.0,-480619.0,,,,,-13319506.0,,,,,2200000.0,0.1,,,,-1975273.0,,,217000.0,,,,0.0,,,107287560.0
2020-12-31,2021-09-30,10-K,Energy and Water Development Corp.,EAWD,CIK0001563298,USD,902226.0,,52761.0,52761.0,0.0,16153038.0,,,-23940.0,,1683712.0,428992.0,428992.0,12047.0,12047.0,12047.0,,,12047.0,0.001,1000000000.0,123316886.0,123316886.0,1504000.0,123316.0,,149241.0,,,,350000.0,350000.0,550000.0,2274526.0,2274526.0,2274526.0,,303742.0,,,,310461.0,310641.0,,,,,84676.0,-0.07,0.21,,1257473.0,,-7592784.0,,,251800.0,1612600.0,,-267400.0,-64383.0,52761.0,,-4959.0,,,333809.0,236258.0,,,,-1690513.0,,,0.0,,1970900.0,6000000.0,,1996784.0,428992.0,1996784.0,,,881440.0,,-869393.0,-7592784.0,-433040.0,7159744.0,-7159744.0,,,0.0,0.0,,0.0,,,,,,9100000.0,,299223.0,,,14184.0,,,0.001,500000000.0,9780976.0,9780976.0,9781.0,14184.0,,,478940.0,468500.0,,,402500.0,535488.0,,,,66000.0,,-19357927.0,,4200000.0,,5000000.0,2200000.0,0.1,,,,-1567792.0,,1970900.0,478940.0,571000.0,,,33.0,251800.0,,103498314.0
2021-03-31,2021-10-25,10-Q,Energy and Water Development Corp.,EAWD,CIK0001563298,USD,777461.0,,,52761.0,-2501.0,18087109.0,10040000.0,,,,405196.0,595150.0,595150.0,105256.0,105256.0,,,93209.0,105256.0,0.001,1000000000.0,135057615.0,135057615.0,20000.0,135057.0,-436553.0,32156.0,,,,,350000.0,550000.0,,,,,,,,,663223.0,663223.0,,,,,114843.0,0.0,,-2501.0,310348.0,200000.0,-434052.0,,,,,,,-121325.0,,,,,,,,72949.0,,438918.0,,28864.0,,,,165000.0,75000.0,2034.0,,595150.0,2137683.0,,165188.0,434021.0,,-338311.0,-434052.0,-128570.0,305482.0,-305482.0,,,,,,,,,,,,,-2501.0,8292.0,,,,,,0.001,500000000.0,9780976.0,9780976.0,9781.0,87133.0,,,160021.0,,,,369500.0,57002.0,,,,,,-19791979.0,,,2200000.0,5000000.0,,,,,,-1542533.0,,165000.0,160021.0,66000.0,0.0,,,,,129783492.0
