end,filed,form,Name,Ticker,CIK,Currency,AccountsAndOtherReceivablesNetCurrent,AccountsPayableCurrent,AccountsPayableRelatedPartiesCurrent,AccountsReceivableNet,AccountsReceivableNetCurrent,AccountsReceivableRelatedParties,AccruedLiabilitiesCurrent,AccruedProfessionalFeesCurrent,AccumulatedOtherComprehensiveIncomeLossNetOfTax,AdditionalPaidInCapital,AmortizationOfIntangibleAssets,Assets,AssetsCurrent,AssetsNoncurrent,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CommonStockParOrStatedValuePerShare,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,ComprehensiveIncomeNetOfTax,CostOfRevenue,CustomerDepositsCurrent,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsValuationAllowance,DepositAssets,DepreciationAndAmortization,DueToRelatedPartiesCurrent,DueToRelatedPartiesNoncurrent,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateContinuingOperations,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EffectiveIncomeTaxRateReconciliationTaxCredits,EffectOfExchangeRateOnCashAndCashEquivalents,FiniteLivedIntangibleAssetsAccumulatedAmortization,FiniteLivedIntangibleAssetsAmortizationExpenseNextTwelveMonths,FiniteLivedIntangibleAssetsAmortizationExpenseRemainderOfFiscalYear,FiniteLivedIntangibleAssetsAmortizationExpenseRollingYearFour,FiniteLivedIntangibleAssetsAmortizationExpenseYearFour,FiniteLivedIntangibleAssetsAmortizationExpenseYearThree,FiniteLivedIntangibleAssetsAmortizationExpenseYearTwo,FiniteLivedIntangibleAssetsGross,FiniteLivedIntangibleAssetsNet,GainOnSaleOfInvestments,GeneralAndAdministrativeExpense,GrossProfit,HealthCareOrganizationRevenueNetOfPatientServiceRevenueProvisions,IncomeLossAttributableToNoncontrollingInterest,IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,IncomeTaxExpenseBenefit,IncomeTaxesPaid,IncomeTaxesPaidNet,IncomeTaxReceivable,IncreaseDecreaseInAccountsAndOtherReceivables,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsReceivableRelatedParties,IncreaseDecreaseInAccruedIncomeTaxesPayable,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInDueToOfficersAndStockholdersCurrent,IncreaseDecreaseInDueToRelatedParties,IncreaseDecreaseInIntangibleAssetsCurrent,IncreaseDecreaseInOtherAccountsPayable,IncreaseDecreaseInOtherOperatingLiabilities,IncreaseDecreaseInOtherReceivables,IncreaseDecreaseInPrepaidExpense,IncreaseDecreaseInReceivables,IndefinitelivedIntangibleAssetsAcquired,InterestPaid,InterestPaidNet,InterestPayableCurrent,LeaseAndRentalExpense,LesseeOperatingLeaseLiabilityPaymentsDue,LesseeOperatingLeaseLiabilityPaymentsDueYearFive,LesseeOperatingLeaseLiabilityPaymentsDueYearFour,LesseeOperatingLeaseLiabilityPaymentsDueYearThree,LesseeOperatingLeaseLiabilityPaymentsDueYearTwo,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LoansPayableCurrent,ManagementFeePayable,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NetIncomeLossAvailableToCommonStockholdersBasic,NetIncomeLossIncludingPortionAttributableToNonredeemableNoncontrollingInterest,NotesAndLoansReceivableNetNoncurrent,NotesPayableRelatedPartiesClassifiedCurrent,NotesReceivableNet,NotesReceivableRelatedParties,NotesReceivableRelatedPartiesCurrent,NotesReceivableRelatedPartiesCurrent,OperatingExpenses,OperatingIncomeLoss,OperatingLeaseCost,OperatingLeaseExpense,OperatingLeaseLiability,OperatingLeaseLiabilityCurrent,OperatingLeaseLiabilityNoncurrent,OperatingLeaseRightOfUseAsset,OtherAccruedLiabilitiesCurrent,OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationAdjustmentBeforeTaxPortionAttributableToParent,OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationAdjustmentNetOfTaxPortionAttributableToParent,OtherComprehensiveIncomeLossNetOfTaxPortionAttributableToParent,OtherLiabilitiesCurrent,OtherLoansPayableCurrent,OtherOperatingIncome,OtherReceivables,OtherReceivablesNetCurrent,PaymentsToAcquireMachineryAndEquipment,PrepaidExpenseAndOtherAssetsCurrent,PrepaidExpenseCurrent,PrepaidExpenseNoncurrent,PrepaidRent,ProceedsFromCollectionOfLoansReceivable,ProceedsFromIssuanceOfCommonStock,ProceedsFromRelatedPartyDebt,ProceedsFromRepaymentsOfRelatedPartyDebt,ProfitLoss,PropertyPlantAndEquipmentGross,PropertyPlantAndEquipmentNet,PropertyPlantAndEquipmentOther,PropertyPlantAndEquipmentOtherAccumulatedDepreciation,PropertyPlantAndEquipmentOtherNet,RegulatedOperatingRevenueOther,RepaymentsOfRelatedPartyDebt,RetainedEarningsAccumulatedDeficit,Revenues,SecurityDeposit,SharesIssued,SharesIssuedPricePerShare,SharesOutstanding,StockholdersEquity,StockIssued1,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodValueNewIssues,StockIssuedDuringPeriodValueOther,TaxesPayableCurrent,ValueAddedTaxReceivable,WeightedAverageNumberOfShareOutstandingBasicAndDiluted
2019-09-30,2019-11-14,10-Q,WETRADE GROUP INC,WETG,CIK0001784970,USD,,,144500.0,,,,110000.0,,,222020.0,,221511.0,,,,221511.0,,0.0,100074000.0,100074000.0,,-110921.0,,,,,,,,,0.0,,,,,,,,,,,,,,,110921.0,,,,-110921.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,254501.0,221511.0,254501.0,,,,,,-110921.0,,,,,,,,,,-110921.0,,,,,,,,0.0,0.0,,,,0.0,,,,,,,,,,,,-110921.0,,,,,,,,-255010.0,0.0,,,,,-32990.0,,,222020.0,,,,300073998.0
2019-12-31,2020-03-06,10-K,WETRADE GROUP INC,WETG,CIK0001784970,USD,0.0,0.0,1754515.0,0.0,0.0,0.0,-32000.0,20000.0,0.0,222020.0,,6591128.0,6591128.0,,,6591128.0,,0.0,300222000.0,300222000.0,0.0,,,,87700.0,-87700.0,0.0,,1754515.0,,0.0,,,,,,,,,,,,,0.0,,417407.0,,,,-417407.0,,,,0.0,,,,,,,254515.0,,,,,,,,,,,,,,,,,1786515.0,6591128.0,1786515.0,1500000.0,,,,,-417407.0,,,,254515.0,0.0,,,,417407.0,,,,,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,,,0.0,0.0,,,,1500000.0,1754515.0,,,,,,,,,-417407.0,,0.0,,,,4804613.0,,,,,0.0,0.0,300222000.0
2020-03-31,2020-06-29,10-Q,WETRADE GROUP INC,WETG,CIK0001784970,USD,,,,,,,20210.0,,-57060.0,5222020.0,952.0,5261817.0,,,,5192095.0,-1399033.0,0.0,101740666.0,101740666.0,0.0,-56599.0,0.0,,,,,,416515.0,,0.0,,,,-57060.0,-952.0,44767.0,56191.0,,10497.0,21919.0,33343.0,57143.0,56191.0,,25070.0,21070.0,21070.0,,-461.0,0.0,0.0,0.0,,0.0,0.0,,0.0,-11790.0,,-1338000.0,-56191.0,,0.0,0.0,-13531.0,0.0,-56191.0,0.0,0.0,,,,,,,,436725.0,5261817.0,436725.0,140000.0,,78000.0,,-1419973.0,-461.0,,-461.0,,276515.0,,,,,,-25070.0,,,,,,,,-57060.0,,3539.0,,,,,,,,13531.0,,,,78000.0,,,,,,,,,3539.0,,-417868.0,21070.0,,,,,4825092.0,,,0.0,78000.0,,,301888665.0
2020-06-30,2020-08-14,10-Q,WETRADE GROUP INC,WETG,CIK0001784970,USD,,,,,,,174628.0,,-60619.0,5222020.0,,6126288.0,,,,5550026.0,,0.0,101740666.0,101740666.0,0.0,566694.0,0.0,,,,,,416500.0,,0.0,,,,,-2464.0,41911.0,53335.0,,7639.0,19063.0,30487.0,57143.0,54679.0,,272608.0,855293.0,,570253.0,582806.0,12553.0,,,,,,,,,,,,,,,,,,,,,,,,,,,738061.0,6126288.0,738061.0,140000.0,,,,,570253.0,,,,276500.0,,,,,272608.0,582685.0,,,,,,,5731.0,-3559.0,-3559.0,121.0,,,,20688.0,,,,44772.0,11650.0,,,,,,570253.0,,,,,,,,148826.0,855293.0,,,3.0,,5388227.0,0.0,,0.0,,,,302721999.0
2020-09-30,2020-12-02,10-Q,WETRADE GROUP INC,WETG,CIK0001784970,USD,3715.0,,,1030920.0,1030920.0,480018.0,220412.0,,183673.0,6057520.0,,11211481.0,,,,6787535.0,,0.0,305451498.0,305451498.0,0.0,985184.0,427647.0,,,,21800.0,,416500.0,,0.0,,,,,-3266.0,46662.0,52434.0,,29346.0,35118.0,40890.0,78157.0,77196.0,,407067.0,1584451.0,,,1216323.0,475431.0,,,489421.0,,,,,,,,,,,,,,,,,,,504640.0,704602.0,736072.0,693183.0,653079.0,4080569.0,11211481.0,1498687.0,140000.0,,,,,740893.0,740892.0,,,276500.0,,,,,-407067.0,1177384.0,,,2886855.0,304973.0,2581882.0,2832007.0,556802.0,244292.0,,38939.0,,,38939.0,276400.0,3715.0,,,197097.0,10327.0,,,,,,740892.0,,,,,,,,889719.0,2012098.0,254600.0,,,,7130912.0,,,757500.0,,556802.0,63666.0,308704888.0
2020-12-31,2021-03-31,10-K,WETRADE GROUP INC,WETG,CIK0001784970,USD,5771.0,8176.0,,,2609520.0,,263355.0,,578735.0,6057520.0,11696.0,13542707.0,10415582.0,3127125.0,,4640603.0,-1950525.0,0.0,305451498.0,305451498.0,0.0,3253772.0,615595.0,,,,2453.0,12557.0,416500.0,416500.0,0.01,0.06,0.25,0.5,569280.0,-11696.0,36772.0,49029.0,,,12257.0,24515.0,57143.0,49029.0,,1901336.0,5655969.0,,,3837593.0,1162556.0,1162556.0,,,-258282.0,,,,,,0.0,-58480.0,828695.0,2902151.0,,-41141.0,,,0.0,,33645.0,,709227.0,513088.0,777890.0,733273.0,690685.0,4648822.0,13542707.0,2177224.0,140000.0,0.0,-3682142.0,,1162337.0,2675037.0,,,3097981.0,276500.0,3097981.0,3097981.0,30000000.0,,,3754633.0,217821.0,,3041463.0,569865.0,2471598.0,2813186.0,,578735.0,,,3097981.0,90632.0,82960.0,5771.0,,,3318.0,61707.0,,264910.0,-2957622.0,835500.0,-1560020.0,,,,0.0,0.0,,34290.0,,,2257630.0,6271564.0,10725.0,305451498.0,,305451498.0,8893885.0,,305451498.0,835500.0,,828695.0,,304166073.0
2021-03-31,2021-05-28,10-Q,WETRADE GROUP INC,WETG,CIK0001784970,USD,51193.0,669469.0,,,2880285.0,,238634.0,,526802.0,6057520.0,3084.0,14368208.0,11434642.0,2933566.0,2672940.0,2672940.0,-1967663.0,0.0,,,0.0,600151.0,146308.0,,,,6358.0,,452500.0,,0.0,0.06,0.25,0.5,1666.0,-3266.0,6206.0,,12381.0,,12412.0,12412.0,57143.0,45782.0,,1889190.0,2634615.0,,,828940.0,176856.0,553195.0,,,-615.0,668159.0,,-578814.0,254206.0,,36000.0,,,-135835.0,-1444683.0,-1272083.0,-284056.0,0.0,0.0,,57026.0,,716792.0,292026.0,786913.0,742474.0,699190.0,4874172.0,14368208.0,2565803.0,140000.0,36000.0,0.0,,-1969329.0,652084.0,,652084.0,,276500.0,4516275.0,,30000000.0,,,745425.0,172289.0,,2893522.0,585153.0,2308369.0,2668764.0,,-51933.0,,83515.0,,344547.0,,51193.0,,,0.0,1313949.0,,219020.0,,,,,,,,,,34153.0,,,2909714.0,2780923.0,10682.0,305451498.0,,305451498.0,9494036.0,,305451498.0,,,275501.0,,305451498.0
2021-06-30,2021-08-16,10-Q,WETRADE GROUP INC,WETG,CIK0001784970,USD,12898.0,184891.0,,,4151236.0,,223815.0,,698900.0,6057520.0,,15725732.0,12903623.0,2822109.0,3210464.0,3210464.0,,0.0,,,0.0,2014128.0,190459.0,,,,12898.0,,560500.0,,0.01,,,,,-6206.0,,,,,,,57143.0,43411.0,,1767457.0,3692434.0,,,2040061.0,198031.0,,,,,,,,,,,,,,,,,,,,76652.0,,365866.0,519190.0,787140.0,741993.0,698898.0,4217568.0,15725732.0,2030207.0,140000.0,144000.0,,,,1842030.0,,,,276500.0,3665808.0,3665808.0,,4650000.0,1767457.0,1924977.0,,,2799898.0,612537.0,2187361.0,2574212.0,,172098.0,,115084.0,3665808.0,176254.0,,12898.0,,,0.0,1863217.0,,34058.0,,,,,1842030.0,,170428.0,170428.0,,,,,4751744.0,3882893.0,,305451498.0,,305451498.0,11508164.0,,,,,272210.0,,305451498.0
2021-09-30,2021-11-22,10-Q,WETRADE GROUP INC,WETG,CIK0001784970,USD,39242.0,226850.0,,,6680260.0,,172086.0,,708728.0,6057520.0,,17654144.0,14768849.0,2885295.0,1395025.0,1395025.0,,0.0,,,0.0,1420099.0,2105116.0,268226.0,,,39242.0,,668501.0,668500.0,0.01,,,,,-7807.0,3101.0,,12381.0,,12412.0,12412.0,57143.0,41841.0,,1039081.0,2493559.0,,,1541380.0,104109.0,,,,,,,,,,,,,,,,,,,,124072.0,,687891.0,0.0,742160.0,775308.0,730133.0,4725881.0,17654144.0,2638401.0,140000.0,252001.0,,,,1410271.0,1410271.0,,,276500.0,3713228.0,3713228.0,,30000000.0,-1039081.0,1454478.0,,,2656541.0,569060.0,2087480.0,2436890.0,,9828.0,,59902.0,3713228.0,851195.0,,39242.0,,,0.0,2941094.0,,268225.0,,,,,1410271.0,150915.0,138339.0,,12557.0,,,,6162015.0,4598675.0,,305451498.0,,305451498.0,12928263.0,,,,,150709.0,,305451498.0
