end,filed,form,Name,Ticker,CIK,Currency,AdditionalPaidInCapital,AdditionalPaidInCapitalCommonStock,AdjustmentForAmortization,AdjustmentsToAdditionalPaidInCapitalOther,Assets,AssetsCurrent,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,CostOfRevenue,CurrentIncomeTaxExpenseBenefit,DeferredIncomeTaxesAndTaxCredits,DeferredRevenueAndCreditsNoncurrent,DeferredTaxAssetsGross,DeferredTaxAssetsValuationAllowance,DueToRelatedPartiesCurrentAndNoncurrent,DueToRelatedPartiesNoncurrent,EarningsPerShareBasicAndDiluted,FiniteLivedIntangibleAssetsNet,GeneralAndAdministrativeExpense,GrossProfit,IncomeTaxExpenseBenefit,IncomeTaxesPaidNet,IncreaseDecreaseInDeferredRevenue,InterestPaidNet,Liabilities,LiabilitiesAndStockholdersEquity,LongTermNotesPayable,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,OperatingExpenses,OperatingIncomeLoss,OperatingLossCarryforwards,OtherCostAndExpenseOperating,OtherLiabilities,OtherNonrecurringIncomeExpense,PaymentsToAcquireOtherProductiveAssets,PaymentsToAcquirePropertyPlantAndEquipment,ProceedsFromContributionsFromAffiliates,ProceedsFromIssuanceOfCommonStock,ProceedsFromRelatedPartyDebt,ProfitLoss,PropertyPlantAndEquipmentGross,RepaymentOfNotesReceivableFromRelatedParties,RetainedEarningsAccumulatedDeficit,Revenues,SalesRevenueGoodsNet,SalesRevenueServicesNet,SharesIssued,StockholdersEquity,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,StockIssuedDuringPeriodSharesOther,WeightedAverageNumberOfDilutedSharesOutstanding,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesOutstandingBasic,LiabilitiesCurrent,OtherLiabilitiesCurrent
2016-05-31,2016-08-03,10-Q,GABBIT CORP.,GBTT,CIK0001657564,USD,,,167.0,,8880.0,,,7047.0,-2446.0,,,75000000.0,9000000.0,9000000.0,9000.0,0.0,,,,,,,942.0,0.0,,,5000.0,,,-2500.0,,942.0,8880.0,,0.0,0.0,-2446.0,-113.0,5113.0,-113.0,,,,5113.0,,,,,,-113.0,1833.0,,-1062.0,5000.0,,5000.0,,,7938.0,,,,9000000.0,,
2016-08-31,2016-09-28,10-Q,GABBIT CORP.,GBTT,CIK0001657564,USD,,1620.0,,,9209.0,,,7543.0,,,,75000000.0,9180000.0,9180000.0,9180.0,0.0,0.0,,,,,,942.0,0.0,,1417.0,0.0,,,,,942.0,9209.0,,,,,-1417.0,1417.0,-1417.0,,0.0,,1471.0,,,,,,,1666.0,,-2533.0,0.0,,,,,8267.0,,9041304.0,,9041304.0,,
2016-11-30,2016-12-28,10-Q,GABBIT CORP.,GBTT,CIK0001657564,USD,,22410.0,,,30895.0,,,28496.0,,,,75000000.0,11490000.0,11490000.0,11490.0,0.0,,,,,,,942.0,0.0,,,0.0,,,,,942.0,30895.0,,,,,-1414.0,1414.0,-1414.0,,,,1414.0,,,,,,,2399.0,,-3947.0,0.0,,,,,29953.0,,,,10864945.0,,
2017-02-28,2017-04-17,10-K,GABBIT CORP.,GBTT,CIK0001657564,USD,,22410.0,743.0,22410.0,34621.0,32464.0,,32464.0,22971.0,,0.0,75000000.0,11490000.0,11490000.0,11490.0,0.0,,,,,,,1692.0,0.0,2157.0,,11000.0,,,-2500.0,,1692.0,34621.0,1692.0,25650.0,-900.0,-1779.0,-22.0,11022.0,-22.0,,,,11022.0,,-900.0,750.0,24900.0,,-22.0,2157.0,,-971.0,11000.0,,11000.0,11490000.0,32929.0,32929.0,2490000.0,,,10089342.0,,
2017-05-31,2017-07-17,10-Q,GABBIT CORP.,GBTT,CIK0001657564,USD,,22410.0,242.0,,41965.0,,,37550.0,5086.0,,,75000000.0,11490000.0,11490000.0,11490.0,0.0,,,,,,,3842.0,0.0,,,8500.0,,,,,3842.0,41965.0,,2150.0,-2500.0,5436.0,5194.0,3306.0,5194.0,,,,3306.0,,-2500.0,2150.0,,,5194.0,4415.0,,4223.0,8500.0,,8500.0,,,38123.0,,,,11490000.0,,
2017-08-31,2017-10-23,10-Q,GABBIT CORP.,GBTT,CIK0001657564,USD,,22410.0,,,3965.0,0.0,,0.0,,,0.0,75000000.0,11490000.0,11490000.0,11490.0,,0.0,,,,,,,0.0,3965.0,38000.0,,,,,,3842.0,3965.0,3842.0,,,,-38000.0,38000.0,-38000.0,,0.0,,,,,,,,,,,-33777.0,0.0,,,,,123.0,,11490000.0,,,,
2021-08-31,2021-10-14,10-Q,GABBIT CORP.,GBTT,CIK0001657564,USD,22410.0,,,,0.0,,0.0,,,,0.001,75000000.0,11490000.0,11490000.0,11490.0,,,,,12000.0,12000.0,17194.0,,0.0,,9428.0,,0.0,,,,21933.0,0.0,,,,,-9428.0,,-9428.0,56000.0,,4739.0,,,,,,,,,,-55833.0,,,,,-21933.0,,,,11490000.0,,,
2021-11-30,2022-01-14,10-Q,GABBIT CORP.,GBTT,CIK0001657564,USD,22410.0,,,,0.0,,0.0,,,,0.001,75000000.0,11490000.0,11490000.0,11490.0,,,,,13000.0,,21738.0,,0.0,,4544.0,,0.0,,,,26477.0,0.0,,,,,-4544.0,,-4544.0,60000.0,,4739.0,,,,,,,,,,-60377.0,,,,,-26477.0,,,,11490000.0,,26477.0,4739.0
