end,filed,form,Name,Ticker,CIK,Currency,AccountsReceivableRelatedParties,AccruedInvestmentIncomeReceivable,AccruedProfessionalFeesCurrentAndNoncurrent,AssetManagementCosts,Assets,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsFairValueDisclosure,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect,CommissionsPayableToBrokerDealersAndClearingOrganizations,CommitmentsAndContingencies,CommodityContractAssetCurrent,DebtInstrumentCollateralAmount,DebtInstrumentInterestRateStatedPercentage,DerivativeGainLossOnDerivativeNet,DerivativeInstrumentsGainLossRecognizedInIncomeNet,DividendIncomeOperating,DividendsReceivable,DueFromOfficersOrStockholders,DueToCorrespondentBrokers,DueToOfficersOrStockholdersCurrentAndNoncurrent,FloorBrokerageExchangeAndClearanceFees,GainLossOnInvestments,GainLossOnSaleOfInvestments,GeneralPartnersCapitalAccount,IncreaseDecreaseDueFromOfficersAndStockholders,IncreaseDecreaseInAccountsAndOtherReceivables,IncreaseDecreaseInAccountsReceivableRelatedParties,IncreaseDecreaseInAccruedInterestReceivableNet,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInDividendsReceivable,IncreaseDecreaseInDueToOfficersAndStockholders,IncreaseDecreaseInFinancialInstrumentsUsedInOperatingActivities,IncreaseDecreaseInInterestPayableNet,IncreaseDecreaseInOtherOperatingAssets,IncreaseDecreaseInOtherOperatingLiabilities,IncreaseDecreaseInPayablesToBrokerDealers,IncreaseDecreaseInPrepaidInsurance,IncreaseDecreaseInTradingLiabilities,InterestIncomeOperating,InterestReceivable,InvestmentCompanyRegistrationExpense,InvestmentOwnedBalanceContracts,InvestmentOwnedUnderlyingFaceAmountAtMarketValue,Liabilities,LiabilitiesAndStockholdersEquity,LimitedPartnersCapitalAccount,LimitedPartnersCapitalAccountUnitsAuthorized,LimitedPartnersCapitalAccountUnitsIssued,LimitedPartnersCapitalAccountUnitsOutstanding,LitigationSettlementInterest,LossContingencyDamagesAwardedValue,LossContingencyDamagesPaidValue,ManagementFeeExpense,ManagementFeePayable,MoneyMarketFundsAtCarryingValue,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,NetIncomeLoss,NetIncomeLossNetOfTaxPerOutstandingLimitedPartnershipUnitDiluted,NetIncomeLossPerOutstandingLimitedPartnershipUnit,NetIncomeLossPerOutstandingLimitedPartnershipUnit,NetIncomeLossPerOutstandingLimitedPartnershipUnit,NetIncomeLossPerOutstandingLimitedPartnershipUnit,NetIncomeLossPerOutstandingLimitedPartnershipUnitBasicNetOfTax,NetIncomeLossPerOutstandingLimitedPartnershipUnitDiluted,NetIncomeLossPerOutstandingLimitedPartnershipUnitDiluted,NetIncomeLossPerOutstandingLimitedPartnershipUnitDiluted,NetIncomeLossPerOutstandingLimitedPartnershipUnitDiluted,NoninterestExpenseDirectorsFees,OperatingExpenses,OtherAssets,OtherExpenses,OtherIncome,OtherLiabilities,OtherReceivables,PartnersCapital,PartnersCapitalAccountContributions,PartnersCapitalAccountRedemptions,PartnersCapitalAccountUnitsContributed,PartnersCapitalAccountUnitsRedeemed,PrepaidInsurance,ProceedsFromPartnershipContribution,ProfessionalFees,ProfitLoss,RestrictedCashAndCashEquivalentsAtCarryingValue,Revenues,ShortTermInvestments,TradingLiabilities,TradingSecuritiesRealizedGainLoss,UnrealizedGainLossOnCommodityContracts,UnrealizedGainLossOnDerivatives,UnrealizedGainLossOnDerivativesAndCommodityContracts,UnrealizedGainLossOnInvestments,UnrecognizedTaxBenefitsIncomeTaxPenaltiesAndInterestExpense,WeightedAverageLimitedPartnershipUnitsOutstanding,DueFromRelatedPartiesCurrent,IncreaseDecreaseInDueFromRelatedPartiesCurrent
2010-06-30,2010-08-16,10-Q,"United States Brent Oil Fund, LP",BNO,CIK0001472494,USD,,,,6164.0,,,9362580.0,,,,,,,,,,,,287.0,,,,,1422.0,,107120.0,,,,,,,,,,,,,,,,81.0,,,,,,,,,,,,,,,,,,,,,194975.0,,,,0.97,,,,,0.97,,,8493.0,,45.0,,,,,,,,,,,11300.0,,,203468.0,,,,,,,95980.0,,200000.0,,
2010-09-30,2010-11-15,10-Q,"United States Brent Oil Fund, LP",BNO,CIK0001472494,USD,,,,19621.0,,,9159750.0,,,,,,,,,,,,1610.0,,,,,2259.0,,487060.0,,,,,,,,,,,,,,,,89.0,,,,,,,,,,,,,,,,,,,,,863528.0,,,,4.32,,,,,4.32,,,25971.0,,52155.0,,,,,,,,,,,,,,889499.0,,,,,,,400740.0,,200000.0,,
2010-12-31,2011-03-30,10-K,"United States Brent Oil Fund, LP",BNO,CIK0001472494,USD,,,,47800.0,12746355.0,3169218.0,9140476.0,,9139476.0,,,416.0,,,,,,2352020.0,3220.0,286.0,113715.0,,7803.0,5718.0,,2352020.0,,113715.0,,,,122904.0,286.0,,3169218.0,,0.0,201.0,416.0,,,259.0,,,,,131324.0,12746355.0,12615031.0,,,200000.0,,,,,,,9999000.0,,-859524.0,,2615031.0,,,,13.08,13.08,,,,13.08,13.08,,,,421.0,0.0,201.0,,12615031.0,10000000.0,1000.0,200000.0,,,10000000.0,122904.0,2615031.0,3169218.0,2678159.0,,,,,322660.0,322660.0,322660.0,,200000.0,,
2011-03-31,2011-05-16,10-Q,"United States Brent Oil Fund, LP",BNO,CIK0001472494,USD,,,,45461.0,,,64038331.0,,54897855.0,,,,,,,,,,1092.0,,,,,6352.0,,3914980.0,,-70119.0,,,,,394.0,,1459978.0,,1510.0,201.0,1350.0,,,434.0,,,,,,,,,,,,,,,,,52473343.0,,2424512.0,,5026076.0,,,,14.82,14.82,,,,14.93,,,,,525.0,7000.0,,,,,,,,,59009256.0,52688.0,5026076.0,,,,,,,,1164000.0,1164000.0,,336667.0,,
2011-06-30,2011-08-15,10-Q,"United States Brent Oil Fund, LP",BNO,CIK0001472494,USD,,,,87790.0,52681123.0,7254148.0,64038331.0,,,,,1246.0,,,,,,,1003.0,218.0,75906.0,,26340.0,7088.0,,2052560.0,,,,,,,,,,,,,,,,463.0,,,,,131088.0,52681123.0,52550035.0,,,700000.0,,,,,,,,,,,-155498.0,,-2.83,,-2.83,-2.83,,-0.26,,-0.26,,,113754.0,1102.0,1318.0,5000.0,906.0,,52550035.0,,,,,,,49868.0,-155498.0,,-41744.0,,40.0,,,,,-2100770.0,,601099.0,,
2011-09-30,2011-11-14,10-Q,"United States Brent Oil Fund, LP",BNO,CIK0001472494,USD,,,,79384.0,35040234.0,4133312.0,31415527.0,,,,,886.0,,,,,,,565.0,124.0,104431.0,,22950.0,7456.0,,-2093020.0,,,,,,,,,,,,,,,,1116.0,,,,,28114912.0,35040234.0,6925322.0,,,100000.0,,,,,,,,,,,-2191982.0,,,-5.82,-5.82,-5.82,,,-3.92,-3.92,,,103703.0,1390.0,1422.0,3500.0,147527.0,,6925322.0,,,,,,,43966.0,-2191982.0,,-2088279.0,,27943549.0,,,,,-440.0,,558696.0,,
2011-12-31,2012-03-28,10-K,"United States Brent Oil Fund, LP",BNO,CIK0001472494,USD,,,,318548.0,37451013.0,,29961706.0,,20821230.0,,,916.0,0.0,,,,8052950.0,8052950.0,3457.0,340.0,104431.0,,33910.0,31871.0,,8052950.0,0.0,-9284.0,,,,23618.0,54.0,,5131599.0,,278.0,1076.0,500.0,,,4586.0,11.0,,,,182625.0,37451013.0,37268388.0,,,500000.0,,,,,,17006337.0,18209007.0,,2612223.0,,10210104.0,5.74,,,11.46,16.75,5.73,,,11.48,11.48,,,278.0,4953.0,20050.0,1277.0,,37268388.0,205178034.0,186969027.0,5600000.0,5000000.0,,205178034.0,146522.0,10210104.0,8300817.0,6841813.0,19346002.0,0.0,,,-1239230.0,-1239230.0,-1239230.0,,1122740.0,,
2012-03-31,2012-05-15,10-Q,"United States Brent Oil Fund, LP",BNO,CIK0001472494,USD,,,,105515.0,60536341.0,,50632273.0,,20670567.0,,,1211.0,,,,,,6361470.0,1263.0,600.0,8066.0,,45792.0,9947.0,,6361470.0,,-96365.0,,,,,260.0,,1351996.0,,4658.0,196.0,295.0,,,2249.0,23.0,,461.0,,4438109.0,60536341.0,56098232.0,,,650000.0,,,,,,,15805285.0,,4865282.0,,7385136.0,,,,11.76,11.76,5.88,,,10.86,,,146662.0,4936.0,2144.0,4550.0,1473.0,,56098232.0,49776251.0,38331543.0,600000.0,450000.0,,49776251.0,29056.0,7385136.0,9652813.0,,,4360577.0,,,1154200.0,1154200.0,1154200.0,,680220.0,,
2012-06-30,2012-08-14,10-Q,"United States Brent Oil Fund, LP",BNO,CIK0001472494,USD,,,,91372.0,45175876.0,,38679556.0,39349534.0,,,,1206.0,,,,,,,3150.0,960.0,18848.0,,27268.0,7194.0,,-9854010.0,0.0,,,,,,,,,,,,,,,746.0,0.0,,,,87885.0,45175876.0,45087991.0,,,650000.0,,,,,,37010125.0,,,,,-10774433.0,-16.95,-16.93,,,-16.93,-8.47,-16.95,,,,,130211.0,3342.0,2588.0,1400.0,1298.0,,45087991.0,,,,,,,29057.0,-10774433.0,7041830.0,,39349534.0,,,,,,-806290.0,,635714.0,,
2012-09-30,2012-11-14,10-Q,"United States Brent Oil Fund, LP",BNO,CIK0001472494,USD,,,,105227.0,61029647.0,,54887568.0,40352635.0,,,,1421.0,,,,,,,2479.0,876.0,29017.0,,38016.0,8739.0,,7512240.0,0.0,,,,,,,,,,,,,,,1300.0,28.0,,506.0,,4189965.0,61029647.0,56839682.0,,,700000.0,,,,,,38012693.0,,,,,7512848.0,5.28,,11.83,,11.83,5.92,,10.55,,,,147750.0,2434.0,2714.0,2100.0,1398.0,,56839682.0,,,,,,,31070.0,7512848.0,6546074.0,,40352635.0,4059947.0,,,,,132310.0,,1423914.0,,
