end,filed,form,Name,Ticker,CIK,Currency,AccountsReceivableRelatedParties,AccruedInvestmentIncomeReceivable,AccruedProfessionalFeesCurrentAndNoncurrent,AssetManagementCosts,Assets,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsFairValueDisclosure,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect,CommissionsPayableToBrokerDealersAndClearingOrganizations,CommitmentsAndContingencies,CommodityContractAssetCurrent,DebtInstrumentCollateralAmount,DebtInstrumentInterestRateStatedPercentage,DerivativeGainLossOnDerivativeNet,DerivativeInstrumentsGainLossRecognizedInIncomeNet,DividendIncomeOperating,DividendsReceivable,DueFromOfficersOrStockholders,DueToCorrespondentBrokers,DueToOfficersOrStockholdersCurrentAndNoncurrent,FloorBrokerageExchangeAndClearanceFees,GainLossOnInvestments,GainLossOnSaleOfInvestments,GeneralPartnersCapitalAccount,IncreaseDecreaseDueFromOfficersAndStockholders,IncreaseDecreaseInAccountsAndOtherReceivables,IncreaseDecreaseInAccountsReceivableRelatedParties,IncreaseDecreaseInAccruedInterestReceivableNet,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInDividendsReceivable,IncreaseDecreaseInDueToOfficersAndStockholders,IncreaseDecreaseInFinancialInstrumentsUsedInOperatingActivities,IncreaseDecreaseInInterestPayableNet,IncreaseDecreaseInOtherOperatingAssets,IncreaseDecreaseInOtherOperatingLiabilities,IncreaseDecreaseInPayablesToBrokerDealers,IncreaseDecreaseInPrepaidInsurance,IncreaseDecreaseInTradingLiabilities,InterestIncomeOperating,InterestReceivable,InvestmentCompanyRegistrationExpense,InvestmentOwnedBalanceContracts,InvestmentOwnedUnderlyingFaceAmountAtMarketValue,Liabilities,LiabilitiesAndStockholdersEquity,LimitedPartnersCapitalAccount,LimitedPartnersCapitalAccountUnitsAuthorized,LimitedPartnersCapitalAccountUnitsIssued,LimitedPartnersCapitalAccountUnitsOutstanding,LitigationSettlementInterest,LossContingencyDamagesAwardedValue,LossContingencyDamagesPaidValue,ManagementFeeExpense,ManagementFeePayable,MoneyMarketFundsAtCarryingValue,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,NetIncomeLoss,NetIncomeLossNetOfTaxPerOutstandingLimitedPartnershipUnitDiluted,NetIncomeLossPerOutstandingLimitedPartnershipUnit,NetIncomeLossPerOutstandingLimitedPartnershipUnit,NetIncomeLossPerOutstandingLimitedPartnershipUnit,NetIncomeLossPerOutstandingLimitedPartnershipUnit,NetIncomeLossPerOutstandingLimitedPartnershipUnitBasicNetOfTax,NetIncomeLossPerOutstandingLimitedPartnershipUnitDiluted,NetIncomeLossPerOutstandingLimitedPartnershipUnitDiluted,NetIncomeLossPerOutstandingLimitedPartnershipUnitDiluted,NetIncomeLossPerOutstandingLimitedPartnershipUnitDiluted,NoninterestExpenseDirectorsFees,OperatingExpenses,OtherAssets,OtherExpenses,OtherIncome,OtherLiabilities,OtherReceivables,PartnersCapital,PartnersCapitalAccountContributions,PartnersCapitalAccountRedemptions,PartnersCapitalAccountUnitsContributed,PartnersCapitalAccountUnitsRedeemed,PrepaidInsurance,ProceedsFromPartnershipContribution,ProfessionalFees,ProfitLoss,RestrictedCashAndCashEquivalentsAtCarryingValue,Revenues,ShortTermInvestments,TradingLiabilities,TradingSecuritiesRealizedGainLoss,UnrealizedGainLossOnCommodityContracts,UnrealizedGainLossOnDerivatives,UnrealizedGainLossOnDerivativesAndCommodityContracts,UnrealizedGainLossOnInvestments,UnrecognizedTaxBenefitsIncomeTaxPenaltiesAndInterestExpense,WeightedAverageLimitedPartnershipUnitsOutstanding,DueFromRelatedPartiesCurrent,IncreaseDecreaseInDueFromRelatedPartiesCurrent
2012-12-31,2013-03-26,10-K,"United States Brent Oil Fund, LP",BNO,CIK0001472494,USD,,,,391039.0,45228563.0,,39506019.0,,9544313.0,,,1221.0,0.0,,,,3239910.0,3239910.0,10149.0,1036.0,47248.0,,28273.0,33506.0,0.0,3239910.0,0.0,-57183.0,0.0,,,,696.0,-717.0,-3366714.0,,549.0,-168.0,305.0,,,5345.0,0.0,,,,155942.0,45228563.0,45072621.0,,,1100000.0,,,,,,38015790.0,3394909.0,,6149404.0,,4695097.0,3.37,,,,8.16,4.09,,,,6.74,9844.0,694833.0,827.0,9844.0,10500.0,1109.0,,45072621.0,89087948.0,85693039.0,2200000.0,2100000.0,,89087948.0,125339.0,4695097.0,4934103.0,4921804.0,40715676.0,0.0,3239910.0,,1655900.0,1655900.0,1655900.0,,1307650.0,,
2013-03-31,2013-05-15,10-Q,"United States Brent Oil Fund, LP",BNO,CIK0001472494,USD,,,,80291.0,45851490.0,,42673401.0,,3167382.0,,,1071.0,,,,,1440840.0,1440840.0,2259.0,722.0,14868.0,,27700.0,8402.0,,1440840.0,0.0,-32380.0,,,,,-314.0,,-1852336.0,,2845.0,18.0,-150.0,,,995.0,,,,,60780.0,45851490.0,45790710.0,,,550000.0,,,,,,26015790.0,38356.0,,3129026.0,,679733.0,0.66,,,1.31,,0.66,,,1.32,,,121859.0,3672.0,2284.0,4900.0,1127.0,,45790710.0,38093572.0,38055216.0,450000.0,450000.0,,38093572.0,30882.0,679733.0,3081767.0,786724.0,27715581.0,,,,-662270.0,-662270.0,-662270.0,,1032222.0,,
2013-06-30,2013-08-09,10-Q,"United States Brent Oil Fund, LP",BNO,CIK0001472494,USD,,,,82571.0,38974971.0,,35888564.0,,,,,1231.0,,,,,,,1747.0,583.0,29519.0,,26135.0,7888.0,,-2997830.0,0.0,,,,,,,,,,,,,,,1511.0,,,,,90694.0,38974971.0,38884277.0,,,500000.0,,,,,,26015790.0,,,,,-2987792.0,-2.72,,,,,-2.75,,,,,,123951.0,2683.0,2370.0,1050.0,1324.0,,38884277.0,,,,,,,31122.0,,2861532.0,-2878492.0,28215266.0,,,,,,115030.0,,1100000.0,,
2013-09-30,2013-11-14,10-Q,"United States Brent Oil Fund, LP",BNO,CIK0001472494,USD,,,,79538.0,40405024.0,,38001862.0,,,,,981.0,,,,,,,1550.0,501.0,50477.0,,25659.0,6739.0,,5369970.0,0.0,,,,,,,,,,,,,,,1207.0,,,,,4375992.0,40405024.0,36029032.0,,,850000.0,,,,,,26015790.0,,,,,3439908.0,3.44,,,,,3.51,,,,,,125487.0,1684.0,2356.0,3150.0,1240.0,,36029032.0,,,,,,,36854.0,,3989850.0,3544437.0,28215603.0,4249254.0,,,,,-1831440.0,,998913.0,,
2013-12-31,2014-03-26,10-K,"United States Brent Oil Fund, LP",BNO,CIK0001472494,USD,,0.0,140442.0,299440.0,28638579.0,,25257312.0,,-14248707.0,,,821.0,,28670.0,,,3338310.0,,6856.0,584.0,80653.0,,18110.0,29674.0,0.0,3338310.0,0.0,33405.0,350.0,,,,-452.0,-73.0,-1663093.0,,208.0,-215.0,-400.0,,,5073.0,,,,12010110.0,2350236.0,28638579.0,26288343.0,,,600000.0,,,,,209.0,8010771.0,-18854188.0,,4605481.0,,3389279.0,2.35,,,,,4.25,,,,,9012.0,585839.0,1035.0,9012.0,18900.0,894.0,350.0,26288343.0,118483039.0,139527881.0,2800000.0,3300000.0,,118483039.0,140442.0,2260564.0,3271010.0,3864289.0,12010110.0,2190654.0,0.0,,-710660.0,-710660.0,-710660.0,,963425.0,,
2014-03-31,2014-05-15,10-Q,"United States Brent Oil Fund, LP",BNO,CIK0001472494,USD,,,,49695.0,28049264.0,,22093484.0,,-3163828.0,,,711.0,,,,,-98080.0,,37.0,163.0,30741.0,,17029.0,4109.0,,-98080.0,0.0,-49912.0,0.0,2671.0,,,-421.0,-209.0,2897576.0,,2855.0,-25.0,-110.0,,,1751.0,,,,,2212340.0,28049264.0,25836924.0,,,600000.0,,,,,,8010772.0,-53932.0,,-3109896.0,,-435090.0,-0.69,,,,,-0.75,,,,,1935.0,96419.0,3890.0,1935.0,3150.0,869.0,,25836924.0,10745769.0,10762098.0,250000.0,250000.0,,10745769.0,40680.0,-435090.0,6168586.0,-369412.0,11010647.0,2153051.0,,,-276270.0,-276270.0,-276270.0,,626667.0,,
2014-06-30,2014-08-14,10-Q,"United States Brent Oil Fund, LP",BNO,CIK0001472494,USD,,,81812.0,74335.0,54540491.0,,33210571.0,,,,,1286.0,,,,,,,462.0,157.0,57705.0,,30476.0,6641.0,,90420.0,0.0,,,,,,,,,,,,,,,2240.0,,,,,114957.0,54540491.0,54425534.0,,,1200000.0,,,,,,8010772.0,,,,,1945692.0,2.16,,,,,2.29,,,,,2486.0,124594.0,2587.0,2486.0,3500.0,1383.0,,54425534.0,,,,,,,41132.0,,19570371.0,2043322.0,26008078.0,0.0,,,,,1946700.0,,900000.0,,
2014-09-30,2014-11-14,10-Q,"United States Brent Oil Fund, LP",BNO,CIK0001472494,USD,,,65464.0,94208.0,39703811.0,,39372955.0,,,,,1286.0,,,,,,,468.0,158.0,40784.0,,28210.0,7785.0,,-4173460.0,0.0,,,,,,,,,,,,,,,3856.0,,,,,1982534.0,39703811.0,37721277.0,,,1000000.0,,,,,,8010771.0,,,,,-8979714.0,-7.52,,,,,-7.63,,,,,2624.0,144367.0,1624.0,2624.0,2100.0,1508.0,,37721277.0,,,,,,,39750.0,,3294820.0,-8872666.0,33007719.0,1886066.0,0.0,,,,-4705630.0,,1194022.0,,
2014-12-31,2015-03-26,10-K,"United States Brent Oil Fund, LP",BNO,CIK0001472494,USD,0.0,2250175.0,115836.0,286806.0,41559428.0,,36408502.0,,11151190.0,,,1686.0,,-6347090.0,,,-19750710.0,,1252.0,26.0,94364.0,,22178.0,27058.0,17.0,-19750710.0,0.0,13711.0,350.0,,,,-558.0,129.0,5881741.0,,,,865.0,,,10869.0,,,,24995470.0,140038.0,41559428.0,41419390.0,50000000.0,450000.0,1850000.0,,,,,338.0,0.0,37142087.0,37142087.0,-25990897.0,-25990897.0,-45434626.0,-26.86,,,,,-36.75,,,,,9150.0,637002.0,,,15050.0,,700.0,41419390.0,77749293.0,36166377.0,2250000.0,1000000.0,,75499118.0,178177.0,-26451869.0,9152751.0,-44999808.0,24995470.0,0.0,17.0,,-6375760.0,-6375760.0,-6375760.0,,984795.0,,
2015-03-31,2015-05-13,10-Q,"United States Brent Oil Fund, LP",BNO,CIK0001472494,USD,1502.0,3071272.0,67723.0,153435.0,108655711.0,,98111818.0,,61703316.0,,,4546.0,,,,,1725380.0,,522.0,340.0,27725.0,,65119.0,25577.0,,1725380.0,0.0,-66639.0,-700.0,1502.0,,,314.0,-338.0,8826163.0,,,,2860.0,,,8117.0,,,,60987238.0,137388.0,108655711.0,108518323.0,,,5300000.0,,,,,0.0,10000000.0,68907247.0,,-7203931.0,,-2629411.0,-0.67,,,,,-1.91,,,,,2547.0,212837.0,,,10500.0,,0.0,108518323.0,71769789.0,-2041445.0,3550000.0,100000.0,,70948692.0,31278.0,-2629411.0,17978914.0,-2444251.0,60987238.0,,,,-4188770.0,-4188770.0,-4188770.0,,3921111.0,,
2015-06-30,2015-08-12,10-Q,"United States Brent Oil Fund, LP",BNO,CIK0001472494,USD,270.0,0.0,59086.0,215855.0,105357561.0,,94051374.0,,,,,4546.0,,,,,,,997.0,329.0,58489.0,,64901.0,30188.0,,3540292.0,0.0,,,,,,,,,,,,,,,14933.0,,,,79986888.0,128533.0,105357561.0,105229028.0,,,4650000.0,,,,,0.0,10000000.0,,,,,11960974.0,2.38,,,,,2.15,,,,,3029.0,288100.0,,,3500.0,,350.0,105229028.0,,,,,,,39028.0,,13124021.0,12218310.0,79986888.0,,,,,,8658588.0,,5032967.0,,
2015-09-30,2015-11-13,10-Q,"United States Brent Oil Fund, LP",BNO,CIK0001472494,USD,,0.0,88319.0,168387.0,82938045.0,,72282716.0,,,,,5746.0,,,,,,,312.0,34.0,91374.0,,54513.0,28015.0,,-26619172.0,0.0,,,,,,,,,,,,,,,16385.0,,,,58979611.0,148729.0,82938045.0,82789316.0,,,5000000.0,,,,,151.0,1000000.0,,,,,-29290275.0,-5.92,,,,,-6.07,,,,,2657.0,237707.0,,,4200.0,,350.0,82789316.0,,,,,,,38648.0,,14928031.0,-29085453.0,58979611.0,,10.0,,,,-2487188.0,,4947283.0,,
2015-12-31,2016-03-11,10-K,"United States Brent Oil Fund, LP",BNO,CIK0001472494,USD,0.0,1238809.0,113211.0,690367.0,82661003.0,,67996295.0,,31587793.0,,,5746.0,,,,0.0001,-41811240.0,,1936.0,39.0,135365.0,0.0,49275.0,114922.0,,-41811240.0,0.0,41001.0,0.0,,0.0,,13.0,323.0,11579384.0,,,,4060.0,,,63675.0,,,,,168893.0,82661003.0,82492110.0,,,6750000.0,,,,,661.0,3000000.0,85729246.0,85729246.0,-54141453.0,-54141453.0,-67331608.0,-9.02,,,,,-14.51,,,,,10575.0,225114.0,,,24150.0,,700.0,82492110.0,123526846.0,38808966.0,6800000.0,1900000.0,,124538212.0,147894.0,-43645160.0,20732135.0,-23505325.0,64945289.0,,10.0,,-1095250.0,-1095250.0,-1095250.0,,4836438.0,,
2016-03-31,2016-05-04,10-Q,"United States Brent Oil Fund, LP",BNO,CIK0001472494,USD,2570.0,0.0,43783.0,178102.0,110306014.0,,95117071.0,,27120776.0,,,7176.0,,,,,4200809.0,,3755.0,2553.0,59413.0,,71842.0,53272.0,,4200809.0,0.0,-75952.0,0.0,2570.0,,,2514.0,-661.0,-512198.0,,,,1430.0,,,53038.0,,,,,122801.0,110306014.0,110183213.0,,,8950000.0,,,,,0.0,12000000.0,22533938.0,22533938.0,4586838.0,4586838.0,6395974.0,0.75,,,,,0.09,,,,,2448.0,272050.0,,,4550.0,,700.0,110183213.0,25058476.0,3763347.0,2500000.0,300000.0,,26297285.0,38228.0,6395974.0,20219937.0,6608262.0,76924173.0,,,,2346110.0,2346110.0,2346110.0,,8493956.0,,
2016-06-30,2016-08-05,10-Q,"United States Brent Oil Fund, LP",BNO,CIK0001472494,USD,887.0,0.0,15042.0,231921.0,115990036.0,,94600633.0,,,,,7176.0,,,,,,,13565.0,4419.0,95967.0,,77686.0,41196.0,,18909681.0,0.0,,,,,,,,,,,,,,,83874.0,,,,,99904.0,115990036.0,115890132.0,,,7800000.0,,,,,0.0,20000000.0,,,,,22920383.0,2.62,,,,,2.55,,,,,3265.0,314611.0,,,3500.0,,700.0,115890132.0,,,,,,,38229.0,,22195840.0,23198440.0,87919970.0,,,,,,4187820.0,,8739011.0,,
2016-09-30,2016-11-07,10-Q,"United States Brent Oil Fund, LP",BNO,CIK0001472494,USD,,0.0,57343.0,209072.0,123348080.0,,104753346.0,,,,,7176.0,,,,,,,17861.0,6428.0,138993.0,5800122.0,68088.0,36202.0,,-10888200.0,0.0,,,,,,,,,,,,,,,77019.0,,,,,5932848.0,123348080.0,117415232.0,,,8050000.0,,,,,119.0,37000000.0,,,,,-1682830.0,-0.21,,,,,-0.27,,,,,2923.0,295596.0,,,1400.0,,700.0,117415232.0,,,,,,,47399.0,,9995363.0,-1430260.0,97939316.0,,0.0,,,,9361660.0,,7966848.0,,
2016-12-31,2017-03-10,10-K,"United States Brent Oil Fund, LP",BNO,CIK0001472494,USD,0.0,0.0,107421.0,832667.0,113998580.0,,103167056.0,,22736447.0,111464877.0,,7176.0,,,8297821.0,,27857540.0,,66811.0,10378.0,189745.0,0.0,74409.0,165409.0,,27857540.0,0.0,54380.0,0.0,,0.0,,10339.0,523.0,-12434314.0,,,,1430.0,,,290408.0,0.0,,,,975508.0,113998580.0,113023072.0,,,7200000.0,,,,832667.0,1184.0,35000000.0,-4450039.0,-4450039.0,27186486.0,39620800.0,46376729.0,4.49,,,,,4.59,,,,,11565.0,307039.0,,,14350.0,,700.0,113023072.0,39802240.0,46276406.0,3600000.0,3150000.0,,41041049.0,179655.0,,8297821.0,9627887.0,96899767.0,,0.0,,9775220.0,9775220.0,9775220.0,,8243989.0,,
2017-03-31,2017-05-05,10-Q,"United States Brent Oil Fund, LP",BNO,CIK0001472494,USD,3196.0,,140475.0,198710.0,105088426.0,,92769457.0,,-10702024.0,,,5316.0,,,,,-10110040.0,,40228.0,12413.0,310004.0,1936460.0,64722.0,29924.0,,-10110040.0,0.0,120259.0,,3196.0,0.0,,2035.0,-1184.0,-304425.0,,,,-1860.0,,,101135.0,,,,,2146973.0,105088426.0,102941453.0,,,7100000.0,,,,,0.0,27000000.0,-2327238.0,-2327238.0,-8374786.0,-8070361.0,-8539699.0,-1.19,,,,,-1.2,,,,,3019.0,358711.0,,,1050.0,,700.0,102941453.0,764363.0,2306283.0,50000.0,150000.0,,764363.0,127058.0,,7993396.0,-8301247.0,95889751.0,,,,1666380.0,1666380.0,1666380.0,,7165000.0,,
2017-06-30,2017-08-07,10-Q,"United States Brent Oil Fund, LP",BNO,CIK0001472494,USD,1960.0,,76667.0,186713.0,115545967.0,,97601807.0,,,,,5316.0,,,,,,,38427.0,12273.0,183478.0,,59442.0,37844.0,,-10510330.0,0.0,,,,,,,,,,,,,,,138715.0,,,,,141425.0,115545967.0,115404542.0,,,8900000.0,,,,186713.0,0.0,20000000.0,,,,,-8856003.0,-1.21,,,,,-1.53,,,,,3231.0,287274.0,,,3500.0,,0.0,115404542.0,,,,,,,59486.0,,12049449.0,-8631948.0,87823388.0,,,,,,1697740.0,,7294505.0,,
