end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableFairValueDisclosure,AssetsFairValueDisclosure,CashAndCashEquivalentsAtCarryingValue,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,EarningsPerShareBasic,FairValueNetAssetLiability,FairValueOfAssetsAcquired,GainLossOnInvestments,GainLossOnSaleOfTrustAssetsToPayExpenses,IncreaseDecreaseInAccountsPayableRelatedParties,InvestmentInPhysicalCommoditiesFairValueDisclosure,InvestmentOwnedAtCost,InvestmentOwnedAtFairValue,InvestmentOwnedPercentOfNetAssets,LiabilitiesFairValueDisclosure,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NonInvestmentAssetsLessNonInvestmentLiabilitiesPercentOfNetAssets,OperatingExpenses,OperatingIncomeLoss,OtherSignificantNoncashTransactionValueOfConsiderationGiven1,PaymentsForFees,ProceedsFromSaleOfTrustAssetsToPayExpenses,RealizedInvestmentGainsLosses,SponsorFees,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodSharesPeriodIncreaseDecrease,TemporaryEquityIssuePeriodIncreaseOrDecrease,TemporaryEquityParOrStatedValuePerShare,TemporaryEquityRedemptionPricePerShare,TemporaryEquitySharesIssued,TemporaryEquitySharesOutstanding,TemporaryEquityStockIssuedDuringPeriodValueNewIssues,UnrealizedGainLossOnInvestments
2021-06-30,2021-08-06,10-Q,iShares Gold Trust Micro,IAUM,CIK0001759124,USD,513.0,8815750.0,0.0,0.0,-1.02,8815237.0,0.0,-509750.0,0.0,513.0,8815750.0,9325500.0,8815750.0,1.0001,513.0,0.0,-510263.0,0.0001,513.0,-513.0,0.0,0.0,0.0,0.0,552.0,0.0,0.0,9325500.0,0.0,17.63,500000.0,500000.0,0.0,-509750.0
2021-09-30,2021-11-03,10-Q,iShares Gold Trust Micro,IAUM,CIK0001759124,USD,34807.0,607260237.0,0.0,0.0,-0.61,607225430.0,617106346.0,-18602631.0,422.0,34807.0,607260237.0,626373040.0,607260237.0,1.0001,34807.0,0.0,-18696153.0,0.0001,93522.0,-93522.0,,59228.0,59228.0,422.0,200617.0,34350000.0,34350000.0,617106346.0,0.0,17.42,34850000.0,34850000.0,617106346.0,-18603053.0
2021-12-31,2022-03-01,10-K,iShares Gold Trust Micro,IAUM,CIK0001759124,USD,49995.0,872434117.0,0.0,,,872384122.0,,,,,872434117.0,858638067.0,872434117.0,1.0001,49995.0,,,0.0001,,,,,,,,,,,0.0,18.19,47950000.0,47950000.0,,
