end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesCurrentAndNoncurrent,AccretionAmortizationOfDiscountsAndPremiumsInvestments,AdditionalPaidInCapital,AdjustmentsRelatedToTaxWithholdingForShareBasedCompensation,AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,AdjustmentsToAdditionalPaidInCapitalStockIssuedIssuanceCosts,Assets,AvailableForSaleSecuritiesGrossUnrealizedLoss,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CommonStockCapitalSharesReservedForFutureIssuance,CommonStockDividendsPerShareDeclared,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockSharesSubscriptions,CommonStockValue,CostOfServices,CustodyFees,DebtSecuritiesAvailableForSaleAllowanceForCreditLoss,DebtSecuritiesAvailableForSalePurchasedWithCreditDeteriorationAllowanceForCreditLossAtAcquisitionDate,DebtWeightedAverageInterestRate,DeferredOfferingCosts,DerivativeAssetFairValueGrossLiability,DerivativeAssetFairValueOffsetAgainstCollateralNetOfNotSubjectToMasterNettingArrangementPolicyElection,DerivativeAssetNotOffsetPolicyElectionDeduction,DerivativeAssets,DerivativeCollateralObligationToReturnCash,DerivativeCollateralRightToReclaimCash,DerivativeFairValueOfDerivativeAsset,DerivativeFairValueOfDerivativeAssetAmountOffsetAgainstCollateral,DerivativeFairValueOfDerivativeLiability,DerivativeFairValueOfDerivativeLiabilityAmountOffsetAgainstCollateral,DerivativeFairValueOfDerivativeNet,DerivativeLiabilities,DerivativeLiabilityFairValueOffsetAgainstCollateralNetOfNotSubjectToMasterNettingArrangementPolicyElection,DerivativeLiabilityNotOffsetPolicyElectionDeduction,Dividends,DividendsPayableCurrentAndNoncurrent,EarningsPerShareBasic,FinancialInstrumentsOwnedMortgagesMortgageBackedAndAssetBackedSecuritiesAtFairValue,FinancialInstrumentsOwnedOtherAtFairValue,FinancialInstrumentsSoldNotYetPurchasedUSGovernmentAndAgencyObligations,GainLossOnSalesOfMortgageBackedSecuritiesMBS,GeneralInsuranceExpense,IncreaseDecreaseInAccruedInterestReceivableNet,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInOtherOperatingAssets,InterestIncomeExpenseNet,InterestIncomeOperating,InterestPaid,InterestPaidNet,InterestPayableCurrentAndNoncurrent,InterestReceivable,InvestmentOwnedAtCost,InvestmentSoldNotYetPurchasedSaleProceeds,Liabilities,LiabilitiesAndStockholdersEquity,ManagementFeeExpense,ManagementFeePayable,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NoninterestIncomeOtherOperatingIncome,OperatingExpenses,OtherAssets,OtherExpenses,OtherIncome,OtherThanTemporaryImpairmentLossDebtSecuritiesPortionRecognizedInEarnings,PayablesToBrokerDealersAndClearingOrganizations,PaymentsForDerivativeInstrumentInvestingActivities,PaymentsForRepurchaseOfCommonStock,PaymentsForSecuritiesPurchasedUnderAgreementsToResell,PaymentsOfDividends,PaymentsOfStockIssuanceCosts,PaymentsToAcquireInvestments,PledgedFinancialInstrumentsNotSeparatelyReportedSecuritiesForRepurchaseAgreements,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValue,ProceedsFromDerivativeInstrumentInvestingActivities,ProceedsFromIssuanceOfCommonStock,ProceedsFromIssuanceOrSaleOfEquity,ProceedsFromSaleOfOtherInvestments,ProceedsFromSecuritiesPurchasedUnderAgreementsToResell,ProfessionalFees,RealizedInvestmentGainsLosses,RetainedEarningsAccumulatedDeficit,SalariesAndWages,SecuritiesHeldAsCollateralAtFairValue,SecuritiesPurchasedUnderAgreementsToResell,SecuritiesPurchasedUnderAgreementsToResellCollateralObligationToReturnCash,SecuritiesPurchasedUnderAgreementsToResellGross,SecuritiesPurchasedUnderAgreementsToResellLiability,SecuritiesPurchasedUnderAgreementsToResellNotOffsetPolicyElectionDeduction,SecuritiesPurchasedUnderAgreementsToResellOffsetAgainstCollateralNetOfNotSubjectToMasterNettingArrangementPolicyElection,SecuritiesSoldUnderAgreementsToRepurchase,SecuritiesSoldUnderAgreementsToRepurchaseAsset,SecuritiesSoldUnderAgreementsToRepurchaseCollateralRightToReclaimCash,SecuritiesSoldUnderAgreementsToRepurchaseFairValueOfCollateral,SecuritiesSoldUnderAgreementsToRepurchaseGross,SecuritiesSoldUnderAgreementsToRepurchaseOffsetAgainstCollateralNetOfNotSubjectToMasterNettingArrangementPolicyElection,SecuritiesSoldUnderAgreementsToResellNotOffsetPolicyElectionDeduction,ShareBasedCompensation,SharesPaidForTaxWithholdingForShareBasedCompensation,StockDividendsShares,StockholdersEquity,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodSharesRestrictedStockAwardGross,StockIssuedDuringPeriodValueNewIssues,StockIssuedDuringPeriodValueRestrictedStockAwardGross,StockIssuedDuringPeriodValueStockDividend,StockRepurchasedAndRetiredDuringPeriodShares,StockRepurchasedAndRetiredDuringPeriodValue,StockRepurchaseProgramAuthorizedAmount,StockRepurchaseProgramAuthorizedAmount1,StockRepurchaseProgramNumberOfSharesAuthorizedToBeRepurchased,UnrealizedGainLossOnDerivatives,UnrealizedGainLossOnSecurities,WeightedAverageNumberOfSharesOutstandingBasic
2013-03-31,2013-06-11,10-Q,Ellington Residential Mortgage REIT,EARN,CIK0001560672,USD,728000.0,139000.0,32674000.0,,,,32940000.0,,20098000.0,1937000.0,,0.0,0.01,500000000.0,1633378.0,1633378.0,,16000.0,13000.0,26000.0,,,,439000.0,,,,,,,,,,,,,,,,,0.69,12360000.0,,,888000.0,,-4000.0,-299000.0,0.0,283000.0,283000.0,0.0,,,43000.0,12099000.0,0.0,847000.0,32940000.0,,119000.0,-128000.0,2418000.0,-353000.0,1129000.0,,197000.0,,46000.0,1043000.0,,,0.0,,0.0,0.0,128000.0,3331000.0,,0.01,100000000.0,0.0,0.0,0.0,0.0,,,5309000.0,0.0,32000.0,,-597000.0,,,,,,,,,,,,,,,,0.0,,,32093000.0,,,,,,,,,,,0.0,155000.0,1633378.0
2013-06-30,2013-08-14,10-Q,Ellington Residential Mortgage REIT,EARN,CIK0001560672,USD,1360000.0,-858000.0,181061000.0,,,,1496967000.0,,52345000.0,,,0.14,0.01,500000000.0,9133378.0,9133378.0,,91000.0,,421000.0,,,0.0037,,,,,31266000.0,,,,,,,28286000.0,2980000.0,,,1279000.0,1279000.0,-1.55,1351479000.0,,,-3006000.0,,,,,3785000.0,4310000.0,,,353000.0,3943000.0,,,1327394000.0,1496967000.0,,703000.0,,,,-9704000.0,,1361000.0,367000.0,421000.0,-12128000.0,,77136000.0,,,,,,,1181779000.0,0.01,100000000.0,0.0,0.0,0.0,,,,,,237000.0,,-11579000.0,,,,,,,,,1215696000.0,,,,,,,,,,169573000.0,,,,,,,,,,,28286000.0,-45784000.0,6248763.0
2013-09-30,2013-11-13,10-Q,Ellington Residential Mortgage REIT,EARN,CIK0001560672,USD,730000.0,-1782000.0,181104000.0,,,,1613718000.0,,44331000.0,,,0.5,0.01,500000000.0,9139842.0,9139842.0,,91000.0,,513000.0,,,0.0038,,,,,23181000.0,,,,,,,16114000.0,7067000.0,,,4569000.0,4569000.0,0.74,1472791000.0,,,-24173000.0,,,,,9975000.0,11223000.0,,,597000.0,4370000.0,,,1441886000.0,1613718000.0,,644000.0,,,,6785000.0,,1357000.0,261000.0,513000.0,-1833000.0,,113173000.0,,,,,,,1400000000.0,0.01,100000000.0,0.0,0.0,0.0,,,,,,200000.0,,-9363000.0,,1700000.0,,,,,,,1292946000.0,,,,,,,,,,171832000.0,,,,,,0.0,,,,,-12172000.0,30239000.0,9133940.0
2013-12-31,2014-03-21,10-K,Ellington Residential Mortgage REIT,EARN,CIK0001560672,USD,996000.0,-3911000.0,181147000.0,,46000.0,1498000.0,1511090000.0,,50112000.0,31951000.0,,1.64,0.01,500000000.0,9139842.0,9139842.0,,91000.0,,,,,0.0038,,,,,34963000.0,,,,1042000.0,,-1042000.0,33894000.0,1069000.0,,,14988000.0,4570000.0,-0.3,1326036000.0,,0.0,-37456000.0,,-4727000.0,281000.0,-174000.0,35577000.0,39916000.0,2292000.0,,764000.0,4766000.0,,2043000.0,1343910000.0,1511090000.0,2066000.0,600000.0,1453000000.0,-1446559000.0,25510000.0,-2038000.0,,5737000.0,174000.0,1891000.0,-31878000.0,,2776000.0,23967000.0,0.0,4098000.0,5849000.0,1498000.0,2889912000.0,1400000000.0,0.01,100000000.0,0.0,0.0,0.0,31276000.0,150000000.0,,1388043000.0,4098000.0,779000.0,,-14058000.0,401000.0,500000.0,0.0,,,,,,1310347000.0,,,,,,,46000.0,,,167180000.0,7500000.0,6464.0,150000000.0,0.0,,0.0,,,,,33894000.0,-26146000.0,6566656.0
2014-03-31,2014-05-13,10-Q,Ellington Residential Mortgage REIT,EARN,CIK0001560672,USD,874000.0,-1367000.0,181188000.0,,41000.0,,1533098000.0,,51106000.0,994000.0,,0.55,0.01,500000000.0,9139842.0,9139842.0,,91000.0,,,,,0.0035,,,,,18117000.0,,,,942000.0,,-942000.0,16097000.0,2020000.0,,,5027000.0,5027000.0,0.3,1327629000.0,,,-3025000.0,,-756000.0,51000.0,-78000.0,10804000.0,11959000.0,1335000.0,,584000.0,5522000.0,,10015000.0,1368143000.0,1533098000.0,592000.0,592000.0,-33479000.0,28028000.0,6445000.0,2761000.0,,1394000.0,112000.0,498000.0,-6649000.0,,65812000.0,9698000.0,,20088000.0,4570000.0,32000.0,524541000.0,1300000000.0,0.01,100000000.0,0.0,0.0,0.0,6288000.0,,,536934000.0,20088000.0,139000.0,,-16324000.0,165000.0,,,,,,,,1281470000.0,,,,,,,41000.0,,,164955000.0,,,,,,,,,,,-17796000.0,17581000.0,9139842.0
2014-06-30,2014-08-12,10-Q,Ellington Residential Mortgage REIT,EARN,CIK0001560672,USD,930000.0,-1819000.0,181203000.0,,,,1524309000.0,,49908000.0,,,0.55,0.01,500000000.0,9139842.0,9139842.0,,91000.0,,,,,0.0033,,,,,10115000.0,,,,1652000.0,,-1652000.0,3308000.0,6807000.0,,,5027000.0,5027000.0,1.21,1344444000.0,,,382000.0,,,,,10505000.0,11575000.0,,,605000.0,5769000.0,,,1353316000.0,1524309000.0,567000.0,567000.0,,,,11050000.0,1862000.0,1317000.0,468000.0,439000.0,1862000.0,,46467000.0,,,,,,,1300000000.0,0.01,100000000.0,0.0,0.0,0.0,,,,,,137000.0,,-10301000.0,174000.0,,,,,,,,1285593000.0,,,,,,,,,,170993000.0,,,,,,,,,,,-12789000.0,25424000.0,9139842.0
2014-09-30,2014-11-12,10-Q,Ellington Residential Mortgage REIT,EARN,CIK0001560672,USD,754000.0,,181252000.0,,,,1482192000.0,,51063000.0,,,0.55,0.01,500000000.0,9149274.0,9149274.0,,91000.0,,,,,0.0033,,,,,8439000.0,,,,628000.0,,-628000.0,5589000.0,2850000.0,,,5032000.0,5032000.0,0.39,1368092000.0,,2483000.0,2030000.0,,,,,10363000.0,11484000.0,,,591000.0,5601000.0,,,1312649000.0,1482192000.0,574000.0,574000.0,,,,3533000.0,,1294000.0,497000.0,440000.0,-5536000.0,,63143000.0,,,,,,,1300000000.0,0.01,100000000.0,0.0,0.0,0.0,,,,,,123000.0,,-11800000.0,157000.0,,2484000.0,,,,,,1233333000.0,,,,,,,,,,169543000.0,,,,,,,,,,,2280000.0,-5455000.0,9141892.0
2014-12-31,2015-03-12,10-K,Ellington Residential Mortgage REIT,EARN,CIK0001560672,USD,890000.0,-7174000.0,181282000.0,,135000.0,,1521074000.0,,45237000.0,-4875000.0,,2.75,0.01,500000000.0,9149274.0,9149274.0,,91000.0,,,,,0.0035,,,,,3072000.0,,,,2722000.0,,2722000.0,-5628000.0,8700000.0,,,25150000.0,5032000.0,1.6400000000000001,1393303000.0,,13959000.0,2457000.0,,-27000.0,66000.0,-134000.0,52954000.0,58630000.0,4589000.0,,687000.0,4793000.0,,211937000.0,1357709000.0,1521074000.0,2837000.0,551000.0,-7105000.0,-19030000.0,21260000.0,14992000.0,,7499000.0,317000.0,2229000.0,-30463000.0,,4227000.0,41024000.0,0.0,1094706000.0,19656000.0,182000.0,2019101000.0,1400000000.0,0.01,100000000.0,0.0,0.0,0.0,9145000.0,0.0,,1934237000.0,1080719000.0,1573000.0,2457000.0,-18008000.0,860000.0,,13987000.0,,,,,,1323080000.0,,,,,,,135000.0,,,163365000.0,0.0,9432.0,,0.0,,0.0,,,,,-39522000.0,48550000.0,9142736.0
2015-03-31,2015-05-08,10-Q,Ellington Residential Mortgage REIT,EARN,CIK0001560672,USD,908000.0,-2477000.0,181312000.0,,30000.0,,1576702000.0,,53340000.0,8103000.0,,0.55,0.01,500000000.0,9149274.0,9149274.0,,91000.0,,,,,0.0036,,,,,1479000.0,,,,799000.0,,-799000.0,-12722000.0,14201000.0,,,5032000.0,5032000.0,0.4,1388460000.0,,62848000.0,6722000.0,,342000.0,18000.0,-293000.0,9022000.0,10280000.0,1094000.0,,851000.0,4451000.0,,214417000.0,1414662000.0,1576702000.0,610000.0,610000.0,-117002000.0,123885000.0,1220000.0,3677000.0,,1416000.0,610000.0,470000.0,-3929000.0,,117493000.0,13200000.0,0.0,2092173000.0,5032000.0,0.0,482987000.0,1300000000.0,0.01,100000000.0,0.0,0.0,0.0,4457000.0,,,584903000.0,2043187000.0,143000.0,6722000.0,-19363000.0,193000.0,,62973000.0,,,,,,1211110000.0,,,,,,,30000.0,,,162040000.0,,,,,,0.0,,,,,-7094000.0,5186000.0,9149274.0
2015-06-30,2015-08-05,10-Q,Ellington Residential Mortgage REIT,EARN,CIK0001560672,USD,709000.0,,181342000.0,,,,1518449000.0,,43978000.0,,,0.55,0.01,500000000.0,9149274.0,9149274.0,,91000.0,,,,,0.0041,,,,,4541000.0,,,,3227000.0,,3227000.0,534000.0,4007000.0,,,5000000.0,5032000.0,0.02,1334823000.0,,51184000.0,1442000.0,,,,,8321000.0,9841000.0,,,1211000.0,4522000.0,,,1361221000.0,1518449000.0,592000.0,592000.0,,,,190000.0,-6866000.0,1265000.0,536000.0,365000.0,,,32504000.0,,,,,,,1300000000.0,0.01,100000000.0,0.0,0.0,0.0,,,,,,135000.0,1442000.0,-24205000.0,173000.0,,58859000.0,,,,,,1264479000.0,,,,,,,,,,157228000.0,,,,,,0.0,,,,,13256000.0,-17722000.0,9149274.0
