end,filed,form,Name,Ticker,CIK,Currency,AccruedIncomeTaxes,AdditionalPaidInCapitalCommonStock,AllocatedShareBasedCompensationExpense,AlternativeInvestmentsFairValueDisclosure,AssetManagementFees,Assets,AssetsNet,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,CurrentIncomeTaxExpenseBenefit,DeferredIncomeTaxLiabilities,DefinedBenefitPensionPlanCurrentAndNoncurrentLiabilities,DefinedBenefitPlanAssetsForPlanBenefitsCurrentAndNoncurrent,DefinedBenefitPlanAssumptionsUsedCalculatingBenefitObligationDiscountRate,DefinedBenefitPlanAssumptionsUsedCalculatingBenefitObligationRateOfCompensationIncrease,DefinedBenefitPlanAssumptionsUsedCalculatingNetPeriodicBenefitCostDiscountRate,DefinedBenefitPlanAssumptionsUsedCalculatingNetPeriodicBenefitCostExpectedLongTermReturnOnAssets,DefinedBenefitPlanAssumptionsUsedCalculatingNetPeriodicBenefitCostRateOfCompensationIncrease,DefinedBenefitPlanContributionsByPlanParticipants,DefinedBenefitPlanFairValueOfPlanAssets,DefinedBenefitPlanWeightedAverageAssetAllocations,DepreciationAmortizationAndAccretionNet,DividendIncomeOperating,DividendsCommonStockCash,DueFromAffiliates,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EmployeeStockOwnershipPlanESOPCashContributionsToESOP,FairValueAssetsMeasuredOnRecurringBasisChangeInUnrealizedGainLossIncludedInTradingRevenue,FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisAssetGainLossIncludedInEarnings1,FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisAssetGainLossIncludedInOtherComprehensiveIncomeLoss,FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisAssetPurchases,FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisAssetSales,FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisAssetSettlements,FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisAssetTransfersOutOfLevel3,FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisAssetValue,GainLossOnInvestments,GainLossOnSaleOfInvestments,GrossProfit,IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest,IncomeTaxExpenseBenefit,IncomeTaxesPaid,IncreaseDecreaseDueFromAffiliates,IncreaseDecreaseInDeferredIncomeTaxes,IncreaseDecreaseInInterestAndDividendsReceivable,IncreaseDecreaseInOtherOperatingAssets,IncreaseDecreaseInOtherOperatingLiabilities,IncreaseDecreaseInPensionPlanObligations,InterestIncomeOperating,InvestmentOwnedAtCost,InvestmentOwnedAtFairValue,InvestmentOwnedUnrecognizedUnrealizedAppreciation,InvestmentOwnedUnrecognizedUnrealizedAppreciationDepreciationNet,InvestmentsFairValueDisclosure,InvestmentsInAndAdvancesToAffiliatesAtFairValue,InvestmentsInAndAdvancesToAffiliatesAtFairValueGrossAdditions,InvestmentsInAndAdvancesToAffiliatesAtFairValueGrossReductions,InvestmentsInAndAdvancesToAffiliatesDividendOrInterestCreditedToIncome,LeaseAndRentalExpense,Liabilities,LiabilitiesAndStockholdersEquity,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInOperatingActivities,NetInvestmentIncome,OperatingExpenses,OperatingLeasesFutureMinimumPaymentsDueInTwoYears,OperatingLeasesFutureMinimumPaymentsRemainderOfFiscalYear,OtherAssets,OtherExpenses,OtherLiabilities,OtherReceivables,PaymentsForProceedsFromInvestments,PaymentsForPurchaseOfSecuritiesOperatingActivities,PaymentsForRepurchaseOfCommonStock,PaymentsOfDividends,PaymentsToAcquireInvestments,PensionExpense,ProceedsFromEquityMethodInvestmentDividendsOrDistributionsReturnOfCapital,ProceedsFromRepaymentsOfDebt,ProceedsFromSaleMaturityAndCollectionsOfInvestments,ProceedsFromStockOptionsExercised,ProfessionalFees,RetainedEarningsUnappropriated,Revenues,SalariesAndWages,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisableNumber,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisableWeightedAverageExercisePrice,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingIntrinsicValue,ShareBasedCompensationSharesAuthorizedUnderStockOptionPlansExercisePriceRangeLowerRangeLimit,ShareBasedCompensationSharesAuthorizedUnderStockOptionPlansExercisePriceRangeUpperRangeLimit,SharebasedCompensationArrangementBySharebasedPaymentAwardOptionsExercisableIntrinsicValue1,SharesOutstanding,StockholdersEquity,StockIssued1,StockIssuedDuringPeriodValueIssuedForCash,StockIssuedDuringPeriodValueShareBasedCompensation,StockIssuedDuringPeriodValueStockOptionsExercised,StockOptionPlanExpense,TaxBasisOfInvestmentsUnrealizedAppreciationDepreciationNet,TransferOfOtherRealEstate,TreasuryStockShares,TreasuryStockValue,UndistributedNetRealizedGainOrLossOnSaleOfProperties
2009-03-31,2009-05-29,10-K,CAPITAL SOUTHWEST CORP,CSWC,CIK0000017313,USD,,,,,,,415263000.0,14722000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3741000.0,,,,,,,,,,,
2009-12-31,2010-02-04,10-Q,CAPITAL SOUTHWEST CORP,CSWC,CIK0000017313,USD,,,,,,,486926000.0,4094000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-03-31,2010-05-28,10-K,CAPITAL SOUTHWEST CORP,CSWC,CIK0000017313,USD,,,675000.0,,1275000.0,,-539233000.0,4094000.0,-10628000.0,,,,,,115000.0,,,,,,,,,,,,33000.0,3789000.0,,,,,,,,,,,,,71450000.0,826000.0,,2206000.0,815000.0,0.0,617000.0,-130000.0,514000.0,26000.0,819000.0,440000.0,1045000.0,,,,,,,,,,,,486926000.0,-3808000.0,-6820000.0,2091000.0,3903000.0,,,,882000.0,,,5191000.0,17234000.0,,,,-369000.0,,3000000.0,5191000.0,0.0,551000.0,,6109000.0,2164000.0,54325.0,115.57,,,,,3741000.0,,,,,,675000.0,,0.0,,,
2010-06-30,2010-08-05,10-Q,CAPITAL SOUTHWEST CORP,CSWC,CIK0000017313,USD,,,223000.0,,277000.0,,495887000.0,77996000.0,73902000.0,,,,,,,,,,,,,,,,,,6000.0,2389000.0,,,,,,,,,,,,,8273000.0,74015000.0,974000.0,1992000.0,30000.0,0.0,217000.0,32000.0,675000.0,0.0,-50000.0,,301000.0,,,,,,,,,,,,,-1497000.0,75399000.0,1962000.0,,,,,208000.0,,,78525000.0,-2395000.0,0.0,,,-92000.0,,0.0,74821000.0,0.0,237000.0,,2967000.0,398000.0,,,,,,,,,,,,,-223000.0,,,,,
2010-09-30,2010-11-04,10-Q,CAPITAL SOUTHWEST CORP,CSWC,CIK0000017313,USD,,,244000.0,,142000.0,,520154000.0,77058000.0,-938000.0,,,,,,,,,,,,,,,,,,6000.0,572000.0,,,,,,,,,,,,,23890000.0,530000.0,,100000.0,19000.0,0.0,-359000.0,-19000.0,-74000.0,-9000.0,-753000.0,,450000.0,,,,,,,,,,,,,51000.0,-989000.0,81000.0,1064000.0,,,,233000.0,,,530000.0,1639000.0,,,,-53000.0,,134000.0,530000.0,51000.0,176000.0,,1164000.0,464000.0,,,,,,,,,,,,,244000.0,,0.0,,,
2010-12-31,2011-02-07,10-Q,CAPITAL SOUTHWEST CORP,CSWC,CIK0000017313,USD,,,245000.0,,135000.0,,513863000.0,73548000.0,-3510000.0,,,,,,26000.0,,,,,,,,,,,,7000.0,1899000.0,,,,,,,,,,,,,-6960000.0,-28797000.0,,1253000.0,24578000.0,0.0,18000.0,-26000.0,1434000.0,-6000.0,85000.0,,328000.0,,,,70325930.0,,,,,,,,,-803000.0,-2707000.0,1227000.0,1109000.0,,,,207000.0,,,-4219000.0,2832000.0,,,,-73000.0,,4273000.0,-4219000.0,694000.0,204000.0,,2362000.0,526000.0,,,,,,,,,,,,,245000.0,70221589.0,0.0,,,
2011-03-31,2011-06-10,10-K,CAPITAL SOUTHWEST CORP,CSWC,CIK0000017313,USD,,-173905000.0,957000.0,143.68,771738.0,543214000.0,-628706000.0,45499000.0,41405000.0,1.0,5000000.0,4337916.0,,-4338000.0,126000.0,2150000.0,1257000.0,7398000.0,0.06,0.05,0.06,0.065,0.05,,,,27000.0,5432271.0,,340000.0,,147212.0,,,,,,,,462500000.0,51884000.0,38885000.0,,1930000.0,24578000.0,0.0,-525000.0,-102000.0,-490000.0,18000.0,-496000.0,-89000.0,1364138.0,98354000.0,489273000.0,390918000.0,,,,,,,103703.0,3981000.0,539233000.0,-26826000.0,68231000.0,1804000.0,5638000.0,,,182000.0,1064000.0,574000.0,,77750000.0,10520000.0,,0.0,,-291000.0,0.0,4519000.0,71133000.0,745000.0,819000.0,-872000.0,7568000.0,3089000.0,,,,,,,3753000.0,,,,745200.0,,957000.0,,6617000.0,584878.0,-23937000.0,6863000.0
2011-06-30,2011-08-05,10-Q,CAPITAL SOUTHWEST CORP,CSWC,CIK0000017313,USD,,-174150000.0,245000.0,140.56,171000.0,531569000.0,527522000.0,34675000.0,-10823000.0,1.0,5000000.0,4337916.0,,-4338000.0,17000.0,2175000.0,1276000.0,7490000.0,,,,,,,,,5000.0,572000.0,,0.0,,,4558159.0,,,,,,,,-10469000.0,-5911000.0,1165000.0,31000.0,17000.0,0.0,-340000.0,-25000.0,229000.0,-1000.0,22000.0,,453000.0,102115000.0,488475000.0,386360000.0,,,,,,,,4048000.0,,-1501000.0,-9322000.0,14000.0,1165000.0,,,177000.0,216000.0,597000.0,,39000.0,9822000.0,0.0,0.0,5950000.0,-73000.0,,111000.0,39000.0,0.0,305000.0,616000000.0,1196000.0,472000.0,61825.0,113.04,,,,,,,,,,0.0,245000.0,,,584878.0,-23937000.0,12774000.0
2011-09-30,2011-10-28,10-Q,CAPITAL SOUTHWEST CORP,CSWC,CIK0000017313,USD,,174506000.0,259000.0,,152000.0,506250000.0,-502175000.0,53323000.0,18648000.0,1.0,5000000.0,4339416.0,,4339000.0,29000.0,2204000.0,1298000.0,7588000.0,,,,,,,,,5000.0,621000.0,,285000.0,,,,,,,,,,,-25726000.0,18500000.0,,52000.0,29000.0,0.0,433000.0,-29000.0,207000.0,-4000.0,125000.0,,484000.0,101643000.0,443928000.0,342284000.0,,,,,,,,4075000.0,,98000.0,18550000.0,23000.0,1205000.0,,,167000.0,278000.0,573000.0,,18500000.0,1678000.0,,0.0,-150000.0,-77000.0,0.0,2000000.0,18500000.0,98000.0,234000.0,-593000.0,1257000.0,511000.0,75840.0,116.75,,,,,,,,98550.0,,,259000.0,,0.0,584878.0,23937000.0,5576000.0
2011-12-31,2012-02-08,10-Q,CAPITAL SOUTHWEST CORP,CSWC,CIK0000017313,USD,1249000.0,-177975000.0,253000.0,,163000.0,557117000.0,-551750000.0,63216000.0,9893000.0,1.0,5000000.0,4339416.0,,-4339000.0,27000.0,2231000.0,1318000.0,7684000.0,,,,,,,,,6000.0,4955000.0,,290000.0,,,,,,,,,,,46438000.0,-2360000.0,,4412000.0,1249000.0,0.0,5000.0,-27000.0,5031000.0,0.0,-5000.0,,506000.0,88693000.0,479775000.0,391083000.0,4465088.0,,,,,,,5367000.0,,-1502000.0,11395000.0,4385000.0,1212000.0,,,161000.0,244000.0,569000.0,,13417000.0,1577000.0,,,-14528000.0,-75000.0,,0.0,13417000.0,0.0,202000.0,-2290000.0,5624000.0,588000.0,,,,,,,,,,,,,253000.0,3568376.0,0.0,584878.0,-23937000.0,0.0
