end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsPayableCurrent,AccountsPayableRelatedPartiesCurrent,AccruedLiabilitiesCurrent,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,AccumulatedOtherComprehensiveIncomeLossNetOfTax,AdditionalPaidInCapital,AdditionalPaidInCapitalCommonStock,AssetImpairmentCharges,Assets,AssetsCurrent,AssetsNoncurrent,AssetsOfDisposalGroupIncludingDiscontinuedOperation,AssetsOfDisposalGroupIncludingDiscontinuedOperationCurrent,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,CashPeriodIncreaseDecrease,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,CommonStockValueOutstanding,ComprehensiveIncomeNetOfTax,DebtConversionConvertedInstrumentAmount1,DebtInstrumentFaceAmount,DebtInstrumentInterestRateStatedPercentage,DeferredTaxAssetsGrossCurrent,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsValuationAllowance,DepositsAssetsNoncurrent,Depreciation,DepreciationAndAmortization,DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,DisposalGroupIncludingDiscontinuedOperationAccountsPayable,DisposalGroupIncludingDiscontinuedOperationAssetsNoncurrent,DisposalGroupIncludingDiscontinuedOperationGeneralAndAdministrativeExpense,DisposalGroupIncludingDiscontinuedOperationIntangibleAssets,DisposalGroupIncludingDiscontinuedOperationPrepaidAndOtherAssets,DisposalGroupIncludingDiscontinuedOperationPropertyPlantAndEquipment,DueToRelatedPartiesCurrent,DueToRelatedPartiesNoncurrent,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EffectiveIncomeTaxRateReconciliationChangeInDeferredTaxAssetsValuationAllowance,EffectOfExchangeRateOnCashAndCashEquivalents,FiniteLivedIntangibleAssetsAccumulatedAmortization,FiniteLivedIntangibleAssetsNet,GainsLossesOnExtinguishmentOfDebt,GeneralAndAdministrativeExpense,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,IncomeLossFromContinuingOperationsPerBasicAndDilutedShare,IncomeLossFromDiscontinuedOperationsNetOfTax,IncomeLossFromDiscontinuedOperationsNetOfTaxAttributableToReportingEntity,IncomeLossFromDiscontinuedOperationsNetOfTaxPerBasicAndDilutedShare,IncomeTaxExpenseBenefit,IncomeTaxesPaidNet,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccountsPayableRelatedParties,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInDepositOtherAssets,IncreaseDecreaseInDeposits,IncreaseDecreaseInDueToRelatedParties,IncreaseDecreaseInDueToRelatedPartiesCurrent,IncreaseDecreaseInNotesPayableRelatedParties,IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,IncreaseDecreaseInPrepaidExpense,IncreaseDecreaseInPrepaidExpensesOther,InterestExpense,InterestExpenseDebt,InterestExpenseOther,InterestPaidNet,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LiabilitiesOfDisposalGroupIncludingDiscontinuedOperation,LiabilitiesOfDisposalGroupIncludingDiscontinuedOperationCurrent,LoansPayableCurrent,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NonoperatingIncomeExpense,NotesPayable,NotesPayableCurrent,NotesReduction,OperatingExpenses,OperatingIncomeLoss,OperatingLossCarryforwards,OperatingLossCarryforwardsValuationAllowance,OtherAdditionalCapital,OtherComprehensiveIncomeLossNetOfTaxPortionAttributableToParent,OtherNonoperatingIncomeExpense,PaymentsToAcquireProjects,PaymentsToAcquirePropertyPlantAndEquipment,PrepaidExpenseCurrent,ProceedsFromContributionsFromAffiliates,ProceedsFromIssuanceOfCommonStock,ProceedsFromIssuanceOrSaleOfEquity,ProceedsFromNotesPayable,ProceedsFromRelatedPartyDebt,ProfessionalAndContractServicesExpense,ProfessionalFees,ProfitLoss,PropertyPlantAndEquipmentNet,ResearchAndDevelopmentExpense,RetainedEarningsAccumulatedDeficit,Revenues,StockholdersEquity,StockholdersEquityNoteSubscriptionsReceivable,StockIssued1,StockIssuedDuringPeriodSharesIssuedForServices,StockIssuedDuringPeriodValueNewIssues,StockIssuedDuringPeriodValueOther,StockRepurchasedDuringPeriodShares,ValuationAllowanceDeferredTaxAssetChangeInAmount,WeightedAverageNumberOfDilutedSharesOutstanding,WeightedAverageNumberOfShareOutstandingBasicAndDiluted
2013-06-30,2013-08-14,10-Q,"UNEEQO, INC.",UNEQ,CIK0001572317,USD,,,,,,,45000.0,,,39014.0,,,,,22014.0,22014.0,,,,0.001,75000000.0,11000000.0,,,11000.0,,,,,5946.0,,5946.0,,,,16986.0,,,,,,,,,,,,,,,,-1560.0,,,,,,,,,,,,,,,,,,,,,,,,,,39014.0,,,,,,,,,,,,,,1560.0,16986.0,,,,,,,,,,,,,,,,,,16986.0,,39014.0,,,,,,,,110000000.0,
2013-09-30,2013-11-15,10-Q,"UNEEQO, INC.",UNEQ,CIK0001572317,USD,,,,,,,45000.0,,,29844.0,,,,,12844.0,,,,,0.001,75000000.0,11000000.0,,,11000.0,,,,,9155.0,,9155.0,,,,26156.0,,,,,,,,,,,,,,,,9170.0,,,,,,,,,,,,,,,,,,,,,,,,,,29844.0,,,,,,,,,,,,,,-9170.0,26156.0,,,,,,,,,,,,,,,,,,26156.0,,29844.0,,,,,,,,11000000.0,
2013-12-31,2014-04-15,10-K,"UNEEQO, INC.",UNEQ,CIK0001572317,USD,,,,,,,,,,17265.0,,,,,265.0,265.0,,,-33698.0,0.001,150000000.0,110000000.0,,,56000.0,,,,,,,,,,,38735.0,,,,,,,,,,,1.0,,,,,33698.0,,,,,,,,,,,,,,,,,,,,,,,,,,17265.0,,,,,,,-33698.0,-33698.0,,,,,,-33698.0,18950.0,,,,,,,,,,,,,,,,,,,,17265.0,,,,,,,,110000000.0,
2014-03-31,2014-05-19,10-Q,"UNEEQO, INC.",UNEQ,CIK0001572317,USD,,,,,,,,,17000.0,250.0,,,,,250.0,250.0,,,-15.0,0.001,150000000.0,110000000.0,,,56000.0,,,,,13175.0,,13175.0,,,,55750.0,,,,,,,,,,,,,,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,250.0,,,,,,,-15.0,-17015.0,,,,,,-17015.0,38750.0,,,,,,,,,,,,,,,,,,,,250.0,,,,,,,,110000000.0,
2014-06-30,2014-08-13,10-Q,"UNEEQO, INC.",UNEQ,CIK0001572317,USD,,1000.0,,,0.0,,-1400.0,,,44510.0,21976.0,22534.0,24726.0,2192.0,19784.0,19784.0,19784.0,,,0.0001,150000000.0,15000000.0,15000000.0,1500.0,56000.0,,,,,19490.0,5672.0,19490.0,3900.0,,,57325.0,1000.0,22534.0,15073.0,14208.0,2192.0,4426.0,58483.0,,0.0,,,,0.0,14208.0,,-1575.0,-15073.0,,0.0,-15073.0,-15073.0,0.0,,,1000.0,,,,,,,,,-6092.0,,,,,,,1560.0,44510.0,59483.0,14483.0,14483.0,,39849.0,,-20065.0,-15073.0,,,,,,1575.0,57325.0,5672.0,,,,,,2192.0,45000.0,,,,,,,,4426.0,,-15073.0,,-14973.0,,,,,,,-5672.0,110000000.0,15000000.0
2014-09-30,2014-11-19,10-Q,"UNEEQO, INC.",UNEQ,CIK0001572317,USD,,,,,,,,,,,,,,,,30801.0,11017.0,,,,,,,,,,,,,,,,,1023.0,,,,,63572.0,,,,,,0.0,,,,,,,8403.0,-71975.0,-8403.0,0.0,-63572.0,-63572.0,0.0,,,,-1000.0,,,,,,,,-2192.0,,,,,,,,,,,,,82605.0,-1828.0,-69760.0,-71975.0,,,,,8403.0,,,,,,,,1828.0,,,80000.0,,,2605.0,,,,,,,,,,11000.0,,,,,,,125489130.0
2014-12-31,2015-02-24,10-Q,"UNEEQO, INC.",UNEQ,CIK0001572317,USD,,,,,,,,,,,,,,,,1190.0,,,,,,,,,,,,,,,,,,,,,,,97421.0,,,,,,0.0,,,,,,,29013.0,-126434.0,-29013.0,0.0,-97421.0,-97421.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,-126434.0,,,,,29013.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112750000.0
2015-03-31,2015-05-20,10-Q,"UNEEQO, INC.",UNEQ,CIK0001572317,USD,,29016.0,,24280.0,938.0,,262325.0,,,19534.0,2142.0,17392.0,,,2142.0,2142.0,,,,0.0,150000000.0,127750000.0,127750000.0,12775.0,,,,,,,,,,,,,,,12728.0,,,,3486.0,18634.0,0.0,,,,2130.0,12078.0,,31138.0,-43866.0,-31138.0,0.0,-12728.0,-12728.0,0.0,,,,,,,,,,,,,,,,,,,,19534.0,71782.0,,,,,,,-43866.0,,,15000.0,,31138.0,-43866.0,,,-70000.0,,,,,,,,,,,,,-43866.0,5314.0,,-257348.0,,-52248.0,,,,,,,,,112750000.0
2015-06-30,2015-10-13,10-K,"UNEEQO, INC.",UNEQ,CIK0001572317,USD,17400.0,17400.0,27780.0,,,,247776.0,247776.0,,3390.0,3390.0,,,,,0.0,-19784.0,,,0.0,150000000.0,112750000.0,112750000.0,11275.0,,,,,,,105001.0,,,3069.0,3069.0,,,,145721.0,,,,,,0.0,,,,,,,86740.0,-263961.0,-118240.0,0.0,-145721.0,-145721.0,0.0,,,16400.0,16400.0,27780.0,,,,,,,-2702.0,,2702.0,,,,,,3390.0,60180.0,,,,196054.0,-1828.0,-214010.0,-263961.0,,,15000.0,,118240.0,-118240.0,264000.0,105001.0,-36807.0,,,,1828.0,3390.0,,193193.0,,15000.0,9997.0,,,-263961.0,,,-279034.0,,-56790.0,,11000.0,,,,15000000.0,-99329.0,,101215753.0
2015-09-30,2015-11-12,10-Q,"UNEEQO, INC.",UNEQ,CIK0001572317,USD,26276.0,,33280.0,,,,,247776.0,,228.0,228.0,,,,,228.0,228.0,228.0,,0.0001,150000000.0,112750000.0,112750000.0,11275.0,,-32538.0,,15000.0,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,17000.0,-32538.0,-32538.0,0.0,,,0.0,0.0,0.0,,8876.0,5500.0,,,,,0.0,,-3390.0,-3390.0,,95.0,95.0,95.0,0.0,,228.0,89556.0,,,,15000.0,0.0,-14772.0,-32538.0,-95.0,,30000.0,0.0,32443.0,-32443.0,,,,0.0,,,,,,,,15000.0,,15443.0,17000.0,,,,-311572.0,,-89328.0,,,,,,,,,112750000.0
