end,filed,form,Name,Ticker,CIK,Currency,AccretionAmortizationOfDiscountsAndPremiumsInvestments,AccumulatedOtherComprehensiveIncomeLossNetOfTax,AdditionalPaidInCapital,AdjustmentsToAdditionalPaidInCapitalShareBasedCompensationStockOptionsRequisiteServicePeriodRecognition,AmortizationOfIntangibleAssets,Assets,AvailableForSaleSecurities,BankOwnedLifeInsurance,BankOwnedLifeInsuranceIncome,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashAndDueFromBanks,CommonStockDividendsPerShareDeclared,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockValue,ComprehensiveIncomeNetOfTax,ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,Deposits,DepositsMoneyMarketDeposits,DepositsSavingsDeposits,DepreciationAmortizationAndAccretionNet,DepreciationDepletionAndAmortization,DividendsCommonStockCash,EarningsPerShareBasic,EarningsPerShareDiluted,FeesAndCommissionsDepositorAccounts,FeesAndCommissionsFiduciaryAndTrustActivities,GainLossOnSaleOfInvestments,GainLossOnSaleOfLoansAndLeases,Goodwill,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,IncomeTaxExpenseBenefit,IncomeTaxesPaidNet,IncreaseDecreaseInDeposits,IncreaseDecreaseInFederalFundsPurchased,InformationTechnologyAndDataProcessing,IntangibleAssetsNetExcludingGoodwill,InterestAndDividendIncomeOperating,InterestAndFeeIncomeLoansAndLeases,InterestBearingDepositLiabilities,InterestBearingDepositsInBanks,InterestBearingDomesticDepositDemand,InterestExpense,InterestExpenseBorrowings,InterestExpenseDemandDepositAccounts,InterestExpenseDeposits,InterestExpenseMoneyMarketDeposits,InterestExpenseSavingsDeposits,InterestExpenseTimeDeposits,InterestIncomeDepositsWithFinancialInstitutions,InterestIncomeExpenseAfterProvisionForLoanLoss,InterestIncomeExpenseNet,InterestIncomeFederalFundsSold,InterestIncomeSecuritiesTaxable,InterestIncomeSecuritiesTaxExempt,InterestPaid,LaborAndRelatedExpense,Liabilities,LiabilitiesAndStockholdersEquity,LoansAndLeasesReceivableAllowance,LoansAndLeasesReceivableNetReportedAmount,LoansReceivableHeldForSaleNet,MarketableSecuritiesGainLoss,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NoninterestBearingDepositLiabilities,NoninterestBearingDomesticDepositDemand,NoninterestExpense,NoninterestIncome,NoninterestIncomeOther,OccupancyNet,OtherAssetImpairmentCharges,OtherBorrowings,OtherComprehensiveIncomeAvailableForSaleSecuritiesAdjustmentNetOfTaxPeriodIncreaseDecrease,OtherComprehensiveIncomeLossAvailableForSaleSecuritiesAdjustmentNetOfTax,OtherComprehensiveIncomeLossNetOfTax,OtherComprehensiveIncomeMinimumPensionLiabilityNetAdjustmentNetOfTax,OtherComprehensiveIncomeReclassificationOfDefinedBenefitPlansNetGainLossRecognizedInNetPeriodicBenefitCostNetOfTax,OtherLiabilities,OtherNoninterestExpense,OtherRealEstateAndForeclosedAssets,PaymentsForOriginationOfMortgageLoansHeldForSale,PaymentsForProceedsFromLoansAndLeases,PaymentsForProceedsFromProductiveAssets,PaymentsOfDividendsCommonStock,PaymentsToAcquireAvailableForSaleSecurities,PaymentsToAcquireRestrictedCertificatesOfDeposit,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,ProceedsFromMaturitiesPrepaymentsAndCallsOfAvailableForSaleSecurities,ProceedsFromPaymentsForInInterestBearingDepositsInBanks,ProceedsFromSaleOfAvailableForSaleSecurities,ProceedsFromSaleOfMortgageLoansHeldForSale,ProceedsFromSaleOfOtherRealEstate,ProfessionalFees,PropertyPlantAndEquipmentNet,ProvisionForLoanAndLeaseLosses,ProvisionForLoanLossesExpensed,RepaymentsOfShortTermDebt,RetainedEarningsAccumulatedDeficit,ServicingFeesNet,StockholdersEquity,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,StockOptionPlanExpense,SuppliesExpense,TimeDeposits100000OrMore,TimeDeposits100000OrMoreDomestic,TimeDepositsAtCarryingValue,TimeDepositsLessThan100000,TransferOfOtherRealEstate,TreasuryStockShares,TreasuryStockValue,UnrealizedGainLossOnDerivatives,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesOutstandingBasic
2009-12-31,2010-03-25,10-K,FIRST OTTAWA BANCSHARES INC,FOTB,CIK0001099668,USD,,,,,,,,,,17921000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25978000.0,,,,,,,,,,,,
2010-06-30,2010-08-11,10-Q,FIRST OTTAWA BANCSHARES INC,FOTB,CIK0001099668,USD,,,,,36000.0,,,,,,,,0.54,,,,,,,,,,,,,0.21,0.21,182000.0,135000.0,,,,95000.0,-43000.0,,,,127000.0,,2787000.0,2185000.0,,,,579000.0,16000.0,45000.0,,14000.0,13000.0,491000.0,236000.0,1938000.0,2208000.0,9000.0,174000.0,183000.0,,1166000.0,,,,,,52000.0,,,,138000.0,,,2448000.0,605000.0,171000.0,304000.0,,,,,,,,,366000.0,,,,,,,,,,,,,,,,151000.0,,,270000.0,,,65000.0,,26052000.0,,,,,,,,,,,,
2010-09-30,2010-11-12,10-Q,FIRST OTTAWA BANCSHARES INC,FOTB,CIK0001099668,USD,,,,,37000.0,,,,,58587000.0,,,0.54,,,,,,,,,,,,,0.62,0.61,181000.0,135000.0,,,,533000.0,136000.0,,,,121000.0,,2836000.0,2217000.0,,,,558000.0,16000.0,50000.0,,11000.0,12000.0,469000.0,280000.0,2008000.0,2278000.0,20000.0,163000.0,156000.0,,1188000.0,,,,,,263000.0,,,,397000.0,,,2370000.0,895000.0,142000.0,400000.0,,,,,,,,,198000.0,,,,,,,,,,,,,,,,123000.0,,,270000.0,,,174000.0,,26532000.0,,,,,,,,,,,,
2010-12-31,2011-03-30,10-K,FIRST OTTAWA BANCSHARES INC,FOTB,CIK0001099668,USD,401000.0,-477000.0,4736000.0,133000.0,146000.0,285795000.0,50749000.0,3679000.0,144000.0,17087000.0,-834000.0,2044000.0,0.8,1.0,1000000.0,753734.0,754000.0,,-2628000.0,258595000.0,19147000.0,26559000.0,,636000.0,-516000.0,-3.25,-3.25,972000.0,570000.0,-342000.0,-694000.0,2446000.0,-3928000.0,-1826000.0,305000.0,7366000.0,,556000.0,361000.0,11210000.0,8689000.0,,15043000.0,101890000.0,2262000.0,70000.0,,2192000.0,,,,1059000.0,3208000.0,8948000.0,68000.0,708000.0,686000.0,2357000.0,4505000.0,262828000.0,285795000.0,3363000.0,137417000.0,895000.0,342000.0,4617000.0,-8064000.0,2613000.0,-2102000.0,,36206000.0,9932000.0,2796000.0,265000.0,1306000.0,961000.0,2000000.0,-601000.0,,,75000.0,,2233000.0,909000.0,3005000.0,-28793000.0,-537000.0,769000.0,749000.0,43788000.0,34535000.0,1.0,20000.0,0.0,33325000.0,20706000.0,15117000.0,28638000.0,1343000.0,494000.0,7771000.0,5740000.0,5740000.0,2000000.0,24253000.0,503000.0,22967000.0,22967000.0,133000.0,126000.0,,31523000.0,54837000.0,43270000.0,3610000.0,107746.0,6299000.0,3000.0,,645988.0
2011-03-31,2011-05-13,10-Q,FIRST OTTAWA BANCSHARES INC,FOTB,CIK0001099668,USD,131000.0,,,28000.0,37000.0,,,,,10118000.0,-6969000.0,,,,,,,,,,,,141000.0,,,0.2,0.2,144000.0,135000.0,10000.0,-63000.0,,84000.0,-47000.0,,-9650000.0,,132000.0,,2662000.0,2064000.0,,,,437000.0,5000.0,26000.0,,6000.0,7000.0,393000.0,258000.0,1925000.0,2225000.0,9000.0,218000.0,113000.0,,1164000.0,,,,,,-10000.0,-11818000.0,3247000.0,1602000.0,131000.0,,,2343000.0,502000.0,182000.0,311000.0,146000.0,,,-131000.0,-131000.0,,,,243000.0,,2751000.0,-985000.0,14000.0,168000.0,5300000.0,,,,,1527000.0,5169000.0,422000.0,3389000.0,458000.0,112000.0,,300000.0,300000.0,2000000.0,,51000.0,,22995000.0,28000.0,,,,,,,,,,645988.0,
2011-06-30,2011-08-12,10-Q,FIRST OTTAWA BANCSHARES INC,FOTB,CIK0001099668,USD,,-291000.0,4789000.0,,36000.0,277842000.0,52427000.0,3780000.0,,12054000.0,,12054000.0,0.0,1.0,1000000.0,753734.0,754000.0,,,252089000.0,19764000.0,30841000.0,,,,0.25,0.25,163000.0,135000.0,,,2446000.0,159000.0,,,,,140000.0,288000.0,2697000.0,2109000.0,,47587000.0,92668000.0,411000.0,,24000.0,,6000.0,9000.0,372000.0,245000.0,2186000.0,2286000.0,7000.0,227000.0,109000.0,,1196000.0,254346000.0,277842000.0,3434000.0,140301000.0,696000.0,2000.0,,,,159000.0,,36346000.0,2549000.0,522000.0,156000.0,300000.0,,,,,,,,2257000.0,213000.0,3233000.0,,,,,,,1.0,20000.0,0.0,,,,,,154000.0,7586000.0,,100000.0,,24543000.0,66000.0,23496000.0,23496000.0,,,,31978000.0,,40492000.0,,,6299000.0,,,
2011-09-30,2011-11-14,10-Q,FIRST OTTAWA BANCSHARES INC,FOTB,CIK0001099668,USD,,145000.0,4815000.0,,37000.0,285575000.0,40458000.0,3826000.0,,32033000.0,,32033000.0,0.0,1.0,1000000.0,753734.0,754000.0,,,258783000.0,22691000.0,32290000.0,,,,1.09,1.09,171000.0,192000.0,,,2446000.0,1078000.0,371000.0,,,,116000.0,251000.0,2659000.0,2081000.0,,54022000.0,97914000.0,386000.0,,19000.0,,5000.0,9000.0,353000.0,240000.0,2513000.0,2273000.0,16000.0,203000.0,119000.0,,1213000.0,260910000.0,285575000.0,2928000.0,134075000.0,513000.0,280000.0,,,,707000.0,,37691000.0,2356000.0,921000.0,202000.0,324000.0,,,,,,,,2127000.0,232000.0,3166000.0,,,,,,,1.0,20000.0,0.0,,,,,,151000.0,7520000.0,,-240000.0,,25250000.0,76000.0,24665000.0,24665000.0,,,,27950000.0,,40247000.0,,107746.0,6299000.0,,,
2011-12-31,2012-03-26,10-K,FIRST OTTAWA BANCSHARES INC,FOTB,CIK0001099668,USD,480000.0,-53000.0,4844000.0,108000.0,146000.0,270657000.0,42187000.0,3857000.0,152000.0,21345000.0,4258000.0,17436000.0,,1.0,1000000.0,753734.0,754000.0,,1174000.0,242256000.0,24538000.0,32562000.0,,570000.0,,1.16,1.16,916000.0,639000.0,-296000.0,-247000.0,2446000.0,801000.0,51000.0,-716000.0,-16339000.0,-1800000.0,497000.0,215000.0,10522000.0,8259000.0,81581000.0,3909000.0,,1588000.0,5000.0,,1583000.0,,,,972000.0,8189000.0,8934000.0,50000.0,782000.0,459000.0,1675000.0,4795000.0,246408000.0,270657000.0,2781000.0,126774000.0,145000.0,296000.0,-16707000.0,15622000.0,5343000.0,750000.0,36894000.0,,9918000.0,2530000.0,280000.0,1239000.0,883000.0,1800000.0,458000.0,,,-34000.0,,2352000.0,788000.0,4878000.0,-17229000.0,-6015000.0,81000.0,168000.0,26945000.0,24370000.0,1.0,20000.0,0.0,24196000.0,23859000.0,11821000.0,18226000.0,1127000.0,556000.0,7428000.0,745000.0,745000.0,2000000.0,25003000.0,247000.0,24249000.0,24249000.0,108000.0,166000.0,28037000.0,,55348000.0,38644000.0,4040000.0,107746.0,6299000.0,,,645988.0
2012-03-31,2012-05-14,10-Q,FIRST OTTAWA BANCSHARES INC,FOTB,CIK0001099668,USD,118000.0,-89000.0,4868000.0,24000.0,37000.0,270041000.0,56964000.0,3888000.0,,11419000.0,-9926000.0,,,1.0,1000000.0,753734.0,754000.0,72000.0,,243424000.0,26285000.0,34908000.0,141000.0,,,0.17,0.17,157000.0,135000.0,,-90000.0,2446000.0,90000.0,-18000.0,,1168000.0,,127000.0,178000.0,2386000.0,1883000.0,78549000.0,,,339000.0,,8000.0,,3000.0,9000.0,319000.0,226000.0,1957000.0,2047000.0,4000.0,185000.0,88000.0,,1190000.0,245696000.0,270041000.0,2852000.0,122414000.0,102000.0,,-632000.0,-10245000.0,951000.0,108000.0,38766000.0,,2395000.0,528000.0,146000.0,298000.0,152000.0,,,-98000.0,-36000.0,,62000.0,2272000.0,217000.0,4726000.0,5928000.0,-4270000.0,8000.0,,17123000.0,3042000.0,1.0,20000.0,0.0,2079000.0,3579000.0,,6061000.0,,145000.0,7332000.0,90000.0,90000.0,1800000.0,25111000.0,90000.0,24345000.0,24345000.0,24000.0,,26451000.0,,54811000.0,38465000.0,,107746.0,6299000.0,,645988.0,
