end,filed,form,Name,Ticker,CIK,Currency,AdditionalPaidInCapital,Assets,AssetsCurrent,AssetsHeldInTrust,BusinessAcquisitionCostOfAcquiredEntityTransactionCosts,Cash,CashAndCashEquivalentsAtCarryingValue,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,CashEquivalentsAtCarryingValue,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,DebtInstrumentFeeAmount,DebtInstrumentRedemptionPricePercentageOfPrincipalAmountRedeemed,EarningsPerShareBasicAndDiluted,EquityMethodInvestmentOwnershipPercentage,FederalDepositInsuranceCorporationPremiumExpense,IncrementalCommonSharesAttributableToEquityUnitPurchaseAgreements,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,NetCashProvidedByUsedInFinancingActivities,NetIncomeLoss,NotesPayableRelatedPartiesClassifiedCurrent,OperatingCostsAndExpenses,OperatingIncomeLoss,OtherAccruedLiabilitiesCurrent,OtherDeferredCostsNet,OtherExpenses,OtherIntangibleAssetsNet,OtherOwnershipInterestsOfferingCosts,OtherShortTermBorrowings,PaymentsOfStockIssuanceCosts,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,ProceedsFromIssuanceInitialPublicOffering,ProceedsFromOtherEquity,ProceedsFromRelatedPartyDebt,ProfitLoss,RetainedEarningsAccumulatedDeficit,SaleOfStockPricePerShare,SharesIssued,SharesIssuedPricePerShare,StockholdersEquity,StockIssuedDuringPeriodValueNewIssues,UnsecuredDebt,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,AssetsHeldInTrustCurrent,AssetsHeldInTrustNoncurrent,CashAndCashEquivalentsPeriodIncreaseDecrease,CommonStocksIncludingAdditionalPaidInCapitalNetOfDiscount,DeferredCompensationLiabilityClassifiedNoncurrent,DueFromOtherRelatedPartiesCurrent,DueFromRelatedPartiesCurrent,IncreaseDecreaseInDueFromRelatedParties,IncreaseDecreaseInOtherAccruedLiabilities,IncreaseDecreaseInPrepaidExpense,InvestmentIncomeInterest,Liabilities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLossAttributableToRedeemableNoncontrollingInterest,NonoperatingIncomeExpense,PaymentsToAcquireLeasesHeldForInvestment,PrepaidExpenseCurrent,PrepaidExpenseNoncurrent,ProceedsFromIssuanceOfCommonStock,ProceedsFromIssuanceOfPrivatePlacement,ProceedsFromRepaymentsOfOtherDebt,RelatedPartyTransactionSellingGeneralAndAdministrativeExpensesFromTransactionsWithRelatedParty,RepaymentsOfRelatedPartyDebt,SharePrice,StockIssued1,StockIssuedDuringPeriodSharesIssuedForServices,StockIssuedDuringPeriodSharesOther,StockIssuedDuringPeriodSharesRestrictedStockAwardNetOfForfeitures,StockIssuedDuringPeriodValueIssuedForServices,StockIssuedDuringPeriodValueOther,StockIssuedDuringPeriodValueStockOptionsExercised,StockRedeemedOrCalledDuringPeriodValue,TangibleCapitalToTangibleAssets,TemporaryEquityAccretionToRedemptionValue,TemporaryEquityAccretionToRedemptionValueAdjustment,TemporaryEquityCarryingAmountAttributableToParent
2021-06-30,2021-09-09,10-Q,WILLIAMS ROWLAND ACQUISITION CORP.,WRAC,CIK0001855168,USD,24425.0,174329.0,174329.0,234600000.0,13237672.0,1929090.0,29106.0,29106.0,29106.0,0.0001,100000000.0,5750000.0,5750000.0,575.0,125000.0,1.0,0.0,1.15,250000.0,3000000.0,174329.0,150000.0,29106.0,-51.0,125000.0,51.0,-51.0,25000.0,8050000.0,100000.0,5000001.0,587672.0,29106.0,120894.0,0.0001,1000000.0,4000000.0,25000.0,125000.0,-51.0,-671.0,,0.0001,9.2,24329.0,,600000.0,5000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-30,2021-11-15,10-Q,WILLIAMS ROWLAND ACQUISITION CORP.,WRAC,CIK0001855168,USD,,235881959.0,958991.0,,13237672.0,,488491.0,,488491.0,0.0001,100000000.0,5750000.0,5750000.0,575.0,125000.0,,-0.01,1.15,,,235881959.0,220003.0,,,25000.0,288210.0,-288210.0,195003.0,8050000.0,,5000001.0,587672.0,488491.0,,0.0001,1000000.0,,,,-274701.0,-6988619.0,,0.0001,9.2,-6988044.0,,600000.0,22671875.0,,234613509.0,,8050000.0,8050000.0,25000.0,100000.0,,,,13509.0,8270003.0,,,-53352.0,13509.0,,370500.0,309459.0,,,,,,,,1200000.0,9900000.0,,1200000.0,9900000.0,-4600000.0,-13237672.0,5000001.0,,-221349.0,234600000.0
