end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableCurrent,AccruedLiabilitiesCurrent,Assets,Cash,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect,CashPeriodIncreaseDecrease,CommonStockNoParValue,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,CurrentIncomeTaxExpenseBenefit,DeferredIncomeTaxExpenseBenefit,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsValuationAllowance,DepositsAssetsCurrent,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateContinuingOperations,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EffectiveIncomeTaxRateReconciliationChangeInDeferredTaxAssetsValuationAllowance,GeneralAndAdministrativeExpense,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,IncomeTaxExpenseBenefit,IncomeTaxesPaid,IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,IncomeTaxReconciliationChangeInEnactedTaxRate,IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInDeposits,InterestPaid,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,NetIncomeLoss,OperatingLossCarryforwards,ProceedsFromIssuanceOfCommonStock,RetainedEarningsAccumulatedDeficit,Revenues,SalesRevenueNet,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriodGross,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingNumber,ShareBasedCompensationArrangementByShareBasedPaymentAwardSharesPurchasedForAward,StockholdersEquity,StockholdersEquityNoteStockSplitConversionRatio1,StockIssuedDuringPeriodValueNewIssues,TemporaryEquityStockIssuedDuringPeriodValueNewIssues,ValuationAllowanceDeferredTaxAssetChangeInAmount,WeightedAverageNumberOfDilutedSharesOutstanding,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesOutstandingBasic,EarningsPerShareBasic,EarningsPerShareDiluted
2009-12-31,2010-03-26,10-K,SANDSTON CORP,SDON,CIK0000892832,USD,,,,20356.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21565.0,,,,,,,,,
2010-06-30,2010-08-13,10-Q,SANDSTON CORP,SDON,CIK0000892832,USD,,,,7598.0,,,,,,,,,,,,,,,,,,5448.0,,-5448.0,,,,,,,,,,,,,,-5448.0,,,,,,,,,,,,,,,,,,
2010-09-30,2010-11-05,10-Q,SANDSTON CORP,SDON,CIK0000892832,USD,,,,4068.0,,,,,,,,,,,,,,,,,,3981.0,,-3981.0,,,,,,,,,,,,,,-3981.0,,,,,,,,,,,,,,,,,,
2010-12-31,2011-03-25,10-K,SANDSTON CORP,SDON,CIK0000892832,USD,4471.0,,17274.0,15474.0,,,-4882.0,0.0,30000000.0,11296981.0,11296981.0,33814784.0,,,,,1800.0,,,,,23762.0,,-23762.0,,,,,,3880.0,,,,17274.0,4471.0,-19882.0,,-23762.0,,15000.0,-33801981.0,,,,,,12803.0,,15000.0,,,,,,,
2011-03-31,2011-05-10,10-Q,SANDSTON CORP,SDON,CIK0000892832,USD,,,,13476.0,,,-1998.0,,,,,,,,,,,0.0,,,,10350.0,,-10350.0,,,,,,2352.0,6000.0,,,,,-1998.0,,-10350.0,,,,,,,,,,,,,,,,,,
2011-06-30,2011-08-10,10-Q,SANDSTON CORP,SDON,CIK0000892832,USD,3780.0,,3907.0,2107.0,,,,0.0,30000000.0,11296981.0,11296981.0,33814784.0,,,,,1800.0,0.0,,,,2326.0,,-2326.0,0.0,,,,,,,,,3907.0,,,,-2326.0,,,-33814657.0,,0.0,,,,127.0,,,,,,11296981.0,,,
2011-09-30,2011-11-14,10-Q,SANDSTON CORP,SDON,CIK0000892832,USD,8059.0,1200.0,3907.0,2107.0,,,,0.0,30000000.0,11296981.0,11296981.0,33814784.0,,,,,1800.0,0.0,,,,5479.0,,-5479.0,0.0,,,,,,,,,3907.0,9259.0,,,-5479.0,,,-33820136.0,,0.0,,,,-5352.0,,,,,,11296981.0,,,
2011-12-31,2012-03-29,10-K,SANDSTON CORP,SDON,CIK0000892832,USD,8094.0,1200.0,13247.0,11447.0,,,-4027.0,,30000000.0,11671981.0,11671981.0,33829784.0,0.0,0.0,,87000.0,1800.0,,0.0,-0.34,0.34,23850.0,,-23850.0,0.0,0.0,,,,3623.0,1200.0,0.0,0.0,13247.0,9294.0,-19027.0,,-23850.0,,15000.0,-33825831.0,,0.0,,,,3953.0,,15000.0,,,11346296.0,11346296.0,,,
2012-03-31,2012-05-14,10-Q,SANDSTON CORP,SDON,CIK0000892832,USD,8596.0,7700.0,11641.0,9841.0,,,-1606.0,,30000000.0,11671981.0,11671981.0,33829784.0,,,,,1800.0,0.0,,,,8608.0,,-8608.0,0.0,0.0,,,,502.0,6500.0,,0.0,11641.0,16296.0,-1606.0,,-8608.0,,,-33834439.0,,0.0,,,,-4655.0,,,,,,11671981.0,,,
2012-06-30,2012-08-13,10-Q,SANDSTON CORP,SDON,CIK0000892832,USD,16758.0,1200.0,9904.0,8104.0,,,,,30000000.0,11671981.0,11671981.0,33829784.0,,,,,1800.0,0.0,,,,3399.0,,-3399.0,0.0,,,,,,,,,9904.0,17958.0,,,-3399.0,,,-33837838.0,,0.0,,,,-8054.0,,,,,,11671981.0,,,
2012-09-30,2012-11-13,10-Q,SANDSTON CORP,SDON,CIK0000892832,USD,6212.0,0.0,12588.0,10788.0,,,,,30000000.0,13171981.0,13171981.0,33844784.0,,,,,1800.0,0.0,,,,571.0,,-571.0,0.0,,,,,,,,,12588.0,6212.0,,,-571.0,,,-33838408.0,,0.0,,,,6376.0,,,,,,11786111.0,,,
2012-12-31,2013-03-27,10-K,SANDSTON CORP,SDON,CIK0000892832,USD,5479.0,0.0,8116.0,8116.0,,,-3331.0,0.0,30000000.0,13171981.0,13171981.0,33844784.0,0.0,0.0,93000.0,92000.0,0.0,,0.0,-0.34,0.34,16316.0,,-16316.0,0.0,0.0,,,,-2615.0,-1200.0,1800.0,0.0,8116.0,5479.0,-18331.0,-18331.0,-16316.0,272000.0,15000.0,-33842147.0,,0.0,,250000.0,,2637.0,,15000.0,,5000.0,12077719.0,12077719.0,,,
2013-03-31,2013-05-14,10-Q,SANDSTON CORP,SDON,CIK0000892832,USD,12935.0,6500.0,7709.0,7709.0,,,-407.0,,30000000.0,13171981.0,13171981.0,33844784.0,,,,,,0.0,,,,14363.0,,-14363.0,0.0,0.0,,,,7456.0,6500.0,,0.0,7709.0,19435.0,-407.0,-407.0,-14363.0,,0.0,-33856510.0,,0.0,,,,-11726.0,,,,,,13171981.0,,,
2013-06-30,2013-08-13,10-Q,SANDSTON CORP,SDON,CIK0000892832,USD,18799.0,,5675.0,5675.0,,,,,30000000.0,13171981.0,13171981.0,33844784.0,,,,,,0.0,,,,1398.0,,-1398.0,0.0,,,,,,,,,5675.0,18799.0,,,-1398.0,,,-33857908.0,,0.0,,,,-13124.0,,,,,,13171981.0,,,
