end,filed,form,Name,Ticker,CIK,Currency,AccountsAndOtherReceivablesNetCurrent,AccountsPayableAndOtherAccruedLiabilitiesCurrent,AccountsPayableCurrent,AccountsReceivableNetCurrent,AccruedLiabilitiesCurrentAndNoncurrent,AccruedProfessionalFeesCurrent,AccumulatedOtherComprehensiveIncomeLossNetOfTax,AdditionalPaidInCapital,Assets,AssetsCurrent,AssetsNoncurrent,Cash,CashAndCashEquivalentsAtCarryingValue,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsIncludingDisposalGroupAndDiscontinuedOperations,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,ComprehensiveIncomeNetOfTax,ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,CostOfRevenue,DueFromRelatedPartiesCurrent,DueToOfficersOrStockholdersCurrent,DueToOfficersOrStockholdersCurrentAndNoncurrent,DueToRelatedPartiesCurrent,EarningsPerShareBasicAndDiluted,EffectOfExchangeRateOnCashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsIncludingDisposalGroupAndDiscontinuedOperations,EquityMethodInvestmentOwnershipPercentage,GeneralAndAdministrativeExpense,GrossProfit,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableTrade,IncreaseDecreaseInAccountsReceivable,IncreaseDecreaseInDepositOtherAssets,IncreaseDecreaseInDueToOfficersAndStockholdersCurrent,IncreaseDecreaseInDueToRelatedParties,IncreaseDecreaseInDueToRelatedPartiesCurrent,IncreaseDecreaseInOtherAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInOtherReceivables,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,OtherAccountsPayableAndAccruedLiabilities,OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax,OtherComprehensiveIncomeLossNetOfTax,OtherIncome,OtherNonoperatingIncome,OtherNonoperatingIncomeExpense,PaymentsToAcquireInvestments,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,ProceedsFromIssuanceInitialPublicOffering,ProceedsFromIssuanceOfCommonStock,ProfitLoss,RelatedPartyTransactionExpensesFromTransactionsWithRelatedParty,RetainedEarningsAccumulatedDeficit,RevenueFromContractWithCustomerExcludingAssessedTax,SellingAndMarketingExpense,SharesIssuedPricePerShare,StateAndLocalIncomeTaxExpenseBenefitContinuingOperations,StockholdersEquity,StockIssuedDuringPeriodValueNewIssues,StockIssuedDuringPeriodValueOther,WeightedAverageNumberOfShareOutstandingBasicAndDiluted
2019-06-30,2019-08-12,10-Q,SEATECH VENTURES CORP.,SEAV,CIK0001763660,USD,,12500.0,,7707.0,,12500.0,-122.0,316792.0,213088.0,213088.0,,,205381.0,205381.0,,0.0001,600000000.0,92176667.0,92176667.0,9218.0,,,,,4831.0,4831.0,94220.0,,,,,,,,,,,,,,,,111551.0,213088.0,111551.0,,,,,,,,,,,,0.0001,200000000.0,,,,,,,-224351.0,,,,,-101537.0,,,
2019-09-30,2019-11-12,10-Q,SEATECH VENTURES CORP.,SEAV,CIK0001763660,USD,,12500.0,,5000.0,,12500.0,-122.0,316792.0,96717.0,96717.0,,,91717.0,91717.0,,0.0001,600000000.0,92176667.0,92176667.0,9218.0,,,,,4831.0,4831.0,4500.0,,,,,,,,,,,,,,,,21831.0,96717.0,21831.0,,,,,,,,,,,,0.0001,200000000.0,,,,,,,-251002.0,,,,,74886.0,,,
2019-12-31,2020-03-30,10-K,SEATECH VENTURES CORP.,SEAV,CIK0001763660,USD,,304656.0,,,,13356.0,-122.0,316792.0,340824.0,339809.0,1015.0,,339809.0,339810.0,78897.0,0.0001,600000000.0,92176667.0,92176667.0,9218.0,,-219544.0,18720.0,,1631.0,1631.0,,0.0,,,190242.0,9787.0,-219544.0,,,-8000.0,,-3200.0,,-3200.0,3356.0,,306287.0,340824.0,306287.0,291300.0,-1015.0,-211388.0,-219544.0,304656.0,,,1838.0,1838.0,,1015.0,0.0001,200000000.0,0.0,0.0,291300.0,,,177100.0,-291351.0,28507.0,40927.0,,-166154.0,34537.0,,,92176667.0
2020-03-31,2020-06-19,10-Q,SEATECH VENTURES CORP.,SEAV,CIK0001763660,USD,,361985.0,,,8479.0,10306.0,-122.0,316792.0,360218.0,359203.0,,,359203.0,359203.0,19394.0,0.0001,600000000.0,92176667.0,92176667.0,9218.0,,-37935.0,,,1631.0,1631.0,,0.0,,,29724.0,,-37935.0,,,,,,,,57329.0,,363616.0,360218.0,363616.0,,,19394.0,-37935.0,361985.0,,,24.0,24.0,,,0.0001,200000000.0,,,,,-37935.0,,-329286.0,,8235.0,,-3174.0,-3398.0,,,92176667.0
2020-06-30,2020-08-14,10-Q,SEATECH VENTURES CORP.,SEAV,CIK0001763660,USD,,3529.0,,,1279.0,2250.0,-122.0,659958.0,311605.0,310590.0,,,310590.0,310590.0,,0.0001,600000000.0,92519867.0,92519867.0,9252.0,-33357.0,,,,1631.0,1631.0,,,,,31483.0,,-33357.0,,,,,,,,,,5160.0,311605.0,5160.0,,,,-33357.0,3529.0,,,,1423.0,,,0.0001,200000000.0,,,,,,,-362643.0,,3297.0,,,306445.0,,,92286038.0
2020-09-30,2020-11-13,10-Q,SEATECH VENTURES CORP.,SEAV,CIK0001763660,USD,,8569.0,,1181.0,1309.0,2080.0,-122.0,659958.0,309146.0,308131.0,,,306950.0,306950.0,,0.0001,600000000.0,92519867.0,92519867.0,9252.0,-7499.0,,50000.0,,1631.0,1631.0,,,,,12636.0,5381.0,-7499.0,,,,,,,,,,10200.0,309146.0,10200.0,,,,-7499.0,8569.0,,,,,2244.0,,0.0001,200000000.0,,,,,,,-370142.0,55381.0,2488.0,,,298946.0,,,92286038.0
2020-12-31,2021-03-30,10-K,SEATECH VENTURES CORP.,SEAV,CIK0001763660,USD,1237.0,,159800.0,170800.0,1309.0,10180.0,-122.0,659958.0,454351.0,453336.0,1015.0,,281299.0,281299.0,-58510.0,0.0001,600000000.0,92519867.0,92519867.0,9252.0,,-107186.0,233400.0,,1631.0,1631.0,,0.0,,,122314.0,17200.0,-107186.0,159800.0,,170800.0,1237.0,,,,-282287.0,,183800.0,454351.0,183800.0,343200.0,,-401710.0,-107186.0,22369.0,,,,3977.0,,,0.0001,200000000.0,0.0,0.0,343200.0,,,471410.0,-398537.0,250600.0,6049.0,,-49344.0,270551.0,343200.0,,92403592.0
2021-03-31,2021-05-17,10-Q,SEATECH VENTURES CORP.,SEAV,CIK0001763660,USD,900.0,,,,4067.0,14230.0,-122.0,659958.0,273235.0,270720.0,2515.0,,269820.0,269820.0,-11479.0,0.0001,600000000.0,92519867.0,92519867.0,9252.0,,-28124.0,2400.0,,1631.0,1631.0,,0.0,,,27943.0,,-28124.0,-159800.0,,-170800.0,,,,,6808.0,-337.0,30808.0,273235.0,30808.0,,-1500.0,-9979.0,-28124.0,29177.0,,,,25.0,,1500.0,0.0001,200000000.0,,,,,-28124.0,,-426661.0,2400.0,206.0,,-7599.0,242427.0,,,92519867.0
2021-06-30,2021-08-13,10-Q,SEATECH VENTURES CORP.,SEAV,CIK0001763660,USD,563.0,,,,1309.0,2960.0,-122.0,659958.0,219276.0,215911.0,,215911.0,215348.0,215348.0,,0.0001,600000000.0,92519867.0,92519867.0,9252.0,-38052.0,,107600.0,,1631.0,1631.0,,,,,51389.0,12400.0,-38052.0,,,,,,,,,,14900.0,219276.0,14900.0,,,,-38052.0,13269.0,,,,1016.0,,,0.0001,200000000.0,0.0,0.0,,,,,-464713.0,120000.0,79.0,,,204375.0,,,92519867.0
2021-09-30,2021-11-12,10-Q,SEATECH VENTURES CORP.,SEAV,CIK0001763660,USD,1080.0,,163400.0,208400.0,512.0,3880.0,-122.0,659958.0,401532.0,396267.0,,183694.0,183694.0,183694.0,,,,,92519867.0,9252.0,18986.0,,177700.0,3093.0,,,,,,,37522.0,58140.0,18985.0,,,,,,,,,,178172.0,401532.0,178172.0,,,,18986.0,14772.0,,,,,-40.0,,0.0001,200000000.0,0.0,0.0,,,,,-445728.0,235840.0,1593.0,,,223360.0,,,92519867.0
