end,filed,form,Name,Ticker,CIK,Currency,AccountsReceivableNetCurrent,AccruedLiabilitiesCurrent,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipmentPeriodIncreaseDecrease,AccumulatedOtherComprehensiveIncomeLossNetOfTax,AdditionalPaidInCapital,AmortizationAndDepreciationOfDecontaminatingAndDecommissioningAssets,Assets,AssetsCurrent,CapitalizedComputerSoftwareAccumulatedAmortization,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,Depreciation,DueFromRelatedParties,DueToRelatedPartiesCurrent,EarningsPerShareBasic,EarningsPerShareBasicAndDiluted,EffectOfExchangeRateOnCashAndCashEquivalents,FinancingInterestExpense,FiniteLivedIntangibleAssetsNet,ForeignCurrencyTransactionGainLossBeforeTax,GainLossOnDispositionOfAssets,GeneralAndAdministrativeExpense,GoodwillForeignCurrencyTranslationGainLoss,IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeTaxExpenseBenefit,IncreaseDecreaseInAccountsAndNotesReceivable,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccountsPayableRelatedParties,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInAccruedTaxesPayable,IncreaseDecreaseInContractReceivablesNet,IncreaseDecreaseInInterestAndDividendsReceivable,IncreaseDecreaseInInterestPayableNet,IncreaseDecreaseInNotesPayableRelatedParties,IncreaseDecreaseInPrepaidExpense,InvestmentsInAndAdvancesToAffiliatesAtFairValuePeriodIncreaseDecrease,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LoansAndLeasesReceivableRelatedPartiesProceeds,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,OperatingCostsAndExpenses,OperatingExpenses,OtherAssetsNoncurrent,OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationGainLossArisingDuringPeriodNetOfTax,OtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentTax,OtherComprehensiveIncomeLossNetOfTax,OtherIncome,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PrepaidExpenseAndOtherAssets,PrepaidExpenseCurrent,ProceedsFromContributedCapital,ProceedsFromPartnershipContribution,ProceedsFromRepaymentsOfRelatedPartyDebt,ProceedsFromSaleOfProductiveAssets,ProfitLoss,ReceivablesNetCurrent,RetainedEarningsAccumulatedDeficit,Revenues,ShareBasedCompensation,StockholdersEquity,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,StockIssuedDuringPeriodSharesOther,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesOutstandingBasic
2017-06-30,2017-08-14,10-Q,"AIS HOLDINGS GROUP, INC.",AIDG,CIK0001702015,USD,,850.0,,,2998.0,,,,,,,,0.0001,500000000.0,20000000.0,20000000.0,2000.0,,,,0.0,,,,,,,325.0,,-325.0,,,,,-2575.0,,,,,,,,,,,850.0,,,,,,-325.0,,325.0,,,,,,0.0001,20000000.0,0.0,0.0,,,2900.0,2900.0,,,-325.0,,-5848.0,,,-850.0,,,,20000000.0
2017-09-30,2017-10-13,10-Q,"AIS HOLDINGS GROUP, INC.",AIDG,CIK0001702015,USD,,,,,4248.0,,,,,1000.0,1000.0,,0.0001,500000000.0,20000000.0,20000000.0,2000.0,,,1000.0,0.0,,,,,,,400.0,,,,,,,,,,,,,,,,,1000.0,1000.0,,,,,,-400.0,,400.0,,,,,,0.0001,20000000.0,0.0,0.0,,,,,,,-400.0,,-6248.0,,,,,,,20000000.0
2017-12-31,2018-02-08,10-Q,"AIS HOLDINGS GROUP, INC.",AIDG,CIK0001702015,USD,,,,47.0,4248.0,,,5841.0,449.0,5841.0,5841.0,,0.0001,500000000.0,20000000.0,20000000.0,2000.0,,,32394.0,0.0,,,,21329.0,47.0,,5271.0,,,,,,,,,,,,,,,,,27170.0,32394.0,,,,,,-5271.0,,5271.0,21329.0,,,,,0.0001,20000000.0,0.0,0.0,,,,,,,-5224.0,,-11519.0,,,-5224.0,,,,20000000.0
2018-03-31,2018-07-03,10-K,"AIS HOLDINGS GROUP, INC.",AIDG,CIK0001702015,USD,,1107.0,,-91.0,6111.0,,,11864.0,,11864.0,11864.0,11864.0,0.0001,500000000.0,20000000.0,20000000.0,2000.0,2546.0,,51575.0,0.0,,91.0,1863.0,17962.0,-91.0,-3091.0,25520.0,,-24292.0,,1061.0,,-2318.0,-2318.0,,,,,,51575.0,,,,29826.0,52682.0,,51575.0,,-20508.0,-19112.0,-25353.0,,25520.0,17962.0,,-91.0,,,0.0001,20000000.0,0.0,0.0,,,4150.0,4150.0,,20092.0,-25444.0,,-30876.0,,,-22856.0,,,,20000000.0
2018-06-30,2018-08-14,10-Q,"AIS HOLDINGS GROUP, INC.",AIDG,CIK0001702015,USD,,6435.0,,920.0,6439.0,,,26657.0,,18657.0,18657.0,6793.0,0.0001,500000000.0,20000000.0,20000000.0,2000.0,1527.0,,61684.0,0.0,,1011.0,328.0,15741.0,1011.0,,27876.0,,-4204.0,,,-8000.0,4020.0,4020.0,,,,,,12111.0,,,,42398.0,68119.0,,12111.0,,,-6329.0,-4204.0,,27876.0,15741.0,,,,,0.0001,20000000.0,0.0,0.0,,,,,,,-3193.0,8000.0,-35080.0,24000.0,,-25721.0,,,,20000000.0
2018-09-30,2018-11-13,10-Q,"AIS HOLDINGS GROUP, INC.",AIDG,CIK0001702015,USD,,2242.0,,1942.0,9488.0,,,41324.0,,33307.0,33307.0,6793.0,0.0001,500000000.0,20000000.0,20000000.0,2000.0,1527.0,,122779.0,0.0,,1011.0,3049.0,13857.0,1022.0,,69214.0,,,,,-8000.0,4020.0,,,,,,,,,,,55181.0,125021.0,,12111.0,,,-6329.0,-48190.0,,69214.0,13857.0,,,,,0.0001,20000000.0,0.0,0.0,,,,,,,-47168.0,8017.0,-83270.0,24073.0,,-69840.0,,,,20000000.0
2018-12-31,2019-02-13,10-Q,"AIS HOLDINGS GROUP, INC.",AIDG,CIK0001702015,USD,,,,-399.0,11554.0,,,22671.0,,14625.0,14625.0,,0.0001,500000000.0,20000000.0,20000000.0,2000.0,,,99285.0,0.0,,,1721.0,12857.0,-2341.0,,16065.0,,,,,,,,,,,,,,,,,35528.0,99285.0,,,,,,6358.0,,16065.0,12857.0,,,,,0.0001,20000000.0,0.0,0.0,,,,,,,4017.0,8046.0,-76912.0,24144.0,,-63757.0,,,,20000000.0
2019-03-31,2019-06-11,10-K,"AIS HOLDINGS GROUP, INC.",AIDG,CIK0001702015,USD,,3490.0,,843.0,13987.0,,,44775.0,,36732.0,36732.0,24868.0,0.0001,500000000.0,20000000.0,20000000.0,2000.0,6757.0,,111248.0,0.0,,934.0,7876.0,11205.0,934.0,,132573.0,,-44107.0,,605.0,-8043.0,2383.0,,,,,,,,,,114738.0,55980.0,114738.0,,59673.0,,,-35739.0,-44712.0,,132573.0,11205.0,,,,,0.0001,20000000.0,0.0,0.0,,,,,,,-43778.0,8043.0,-75588.0,96342.0,,-58758.0,,,,20000000.0
2019-06-30,2019-08-02,10-Q,"AIS HOLDINGS GROUP, INC.",AIDG,CIK0001702015,USD,,3754.0,,1046.0,16725.0,,,47824.0,,39780.0,39780.0,3048.0,0.0001,500000000.0,20000000.0,20000000.0,2000.0,1516.0,,130048.0,0.0,,203.0,2738.0,9967.0,203.0,,41590.0,,,,,-1.0,843.0,,,,,,,,,,,57791.0,133802.0,,17945.0,,,-15100.0,-20196.0,,41590.0,9967.0,,,,,0.0001,20000000.0,0.0,0.0,,,,,,,-19993.0,8044.0,-95784.0,24132.0,,-76011.0,,,,20000000.0
2019-09-30,2019-11-08,10-Q,"AIS HOLDINGS GROUP, INC.",AIDG,CIK0001702015,USD,,3747.0,,-1095.0,20193.0,,,45015.0,,36972.0,36972.0,3048.0,0.0001,500000000.0,20000000.0,20000000.0,2000.0,1516.0,,146901.0,0.0,,203.0,3467.0,8407.0,-2141.0,,43205.0,,,,,-1.0,843.0,,,,,,,,,,150648.0,53422.0,150648.0,,17945.0,,,-15100.0,-22540.0,,43205.0,8407.0,,,,,0.0001,20000000.0,0.0,0.0,,,,,,,-24681.0,8043.0,-118324.0,24132.0,,-97226.0,,,,20000000.0
