end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableOtherCurrent,AccruedLiabilitiesCurrent,AccruedProfessionalFeesCurrent,AccumulatedOtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentNetOfTax,Assets,AssetsCurrent,Cash,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,CommonStockDividendsPerShareCashPaid,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,ComprehensiveIncomeNetOfTax,DeferredFederalIncomeTaxExpenseBenefit,DistributionMadeToLimitedPartnerCashDistributionsPaid,DueFromBanks,DueToRelatedPartiesCurrent,EarningsPerShareBasicAndDiluted,EffectOfExchangeRateOnCash,EffectOfExchangeRateOnCashAndCashEquivalents,EffectOfExchangeRateOnCashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,ForeignCurrencyTransactionGainLossUnrealized,IncomeTaxExpenseBenefit,IncreaseDecreaseInAccruedInterestReceivableNet,IncreaseDecreaseInAccruedInvestmentIncomeReceivable,IncreaseDecreaseInDueToRelatedPartiesCurrent,IncreaseDecreaseInInterestPayableNet,IncreaseDecreaseInOtherAccruedLiabilities,InterestBearingDepositsInBanks,InterestBearingDepositsInBanks,InterestExpense,InterestPaid,InterestPaidNet,InterestPayableCurrent,InvestmentIncomeInterest,InvestmentInterestRate,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,NetIncomeLoss,OperatingExpenses,OtherAccruedLiabilitiesCurrent,OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationAdjustmentBeforeTaxPortionAttributableToParent,OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax,PaymentsForOperatingActivities,PaymentsForOperatingActivities,PaymentsForRepurchaseOfEquity,PaymentsForRepurchaseOfRedeemablePreferredStock,PaymentsForRepurchaseOfRedeemablePreferredStock,ProceedsFromIssuanceOfRedeemablePreferredStock,ProceedsFromIssuanceOfRedeemablePreferredStock,ProceedsFromOperatingActivities,ReclassificationsOfTemporaryToPermanentEquity,RedeemableNoncontrollingInterestEquityCarryingAmount,RetainedEarningsAccumulatedDeficit,Revenues,SponsorFees,StockIssuedDuringPeriodSharesIssuedForCash,StockIssuedDuringPeriodValueIssuedForCash,StockRedeemedOrCalledDuringPeriodShares,StockRedeemedOrCalledDuringPeriodValue,TemporaryEquityCarryingAmount,TemporaryEquityCarryingAmountAttributableToParent,TemporaryEquityForeignCurrencyTranslationAdjustments,TemporaryEquityIssuePeriodIncreaseOrDecrease,TemporaryEquityParOrStatedValuePerShare,TemporaryEquityRedemptionValue,TemporaryEquitySharesAuthorized,TemporaryEquitySharesIssued,TemporaryEquitySharesOutstanding,TemporaryEquityStockIssuedDuringPeriodValueNewIssues,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageRateForeignDeposit
2008-10-31,2008-12-30,10-K,Invesco CurrencyShares Swiss Franc Trust,FXF,CIK0001353615,USD,,,,,,,,,467002827.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-10-31,2010-01-14,10-K,Invesco CurrencyShares Swiss Franc Trust,FXF,CIK0001353615,USD,,,,,,,,,369716518.0,-97286309.0,,,0.11,,,3800000.0,369593706.0,-1398164.0,,,,,-0.34,,52137122.0,,17863.0,,,-779989.0,,,122812.0,,,,,,,76947.0,,,,,-148666622.0,,-756809.0,,-1383744.0,1460691.0,,-14420.0,,,1536798.0,179603725.0,,,,,,,,,76947.0,1460691.0,,,,,,,,,,,,,,,,
2010-07-31,2010-09-09,10-Q,Invesco CurrencyShares Swiss Franc Trust,FXF,CIK0001353615,USD,,,,,,,,,332375930.0,,,,,,,,,-326731.0,,,,,-0.09,,,,,,,,,,,,,,,,,,,,,,,,,,-309920.0,309920.0,,-16811.0,,,,,,,,,,,,,,309920.0,,,,,,,,,,,,,,,,
2010-10-31,2011-01-14,10-K,Invesco CurrencyShares Swiss Franc Trust,FXF,CIK0001353615,USD,,,,,,353230869.0,,,353230869.0,-16485649.0,,,,,,3500000.0,353104641.0,-1344109.0,,,,,-0.38,,13295922.0,,1807.0,,,,,,126228.0,347402559.0,353230869.0,,,,,,,,353230869.0,126228.0,-28451444.0,,-1330127.0,,-1331736.0,1331736.0,126228.0,-12373.0,,,1330127.0,137209734.0,,,,,,,,,,1331736.0,1150000.0,108758290.0,1450000.0,137209734.0,353104641.0,,,,,,17500000.0,3500000.0,3500000.0,,3506986.0,
2011-01-31,2011-03-11,10-Q,Invesco CurrencyShares Swiss Franc Trust,FXF,CIK0001353615,USD,,,,,,,,,406266836.0,53035967.0,,,,,,,,-377638.0,,,,,-0.1,,17607410.0,,5995.0,,,,,,135512.0,,,,,,,,,,,,35791299.0,,-362742.0,,-366031.0,366031.0,,-11607.0,,,362742.0,20462294.0,,,,,,,,,,366031.0,,,,,,,,,,,,,,,3550543.0,
2011-04-30,2011-06-09,10-Q,Invesco CurrencyShares Swiss Franc Trust,FXF,CIK0001353615,USD,,,,,,,,,650141911.0,,,,,,,,,-502947.0,,,,,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,-473772.0,473772.0,,-29175.0,,,,,,,,,,,,,,473772.0,,,,,,,,,,,,,,,4551124.0,
2011-07-31,2011-09-09,10-Q,Invesco CurrencyShares Swiss Franc Trust,FXF,CIK0001353615,USD,,,,,,1198952843.0,,,1136198471.0,,,,,,,,,-886826.0,,,,,-0.12,,,,,,,,,,,,1136198471.0,,,,,,,,1198952843.0,344332.0,,,,,-826921.0,826921.0,344332.0,-59905.0,,,,,,,,,,,,,,826921.0,,,,,1198608511.0,,,,,,22500000.0,9550000.0,9550000.0,,7057609.0,
2011-10-31,2012-01-13,10-K,Invesco CurrencyShares Swiss Franc Trust,FXF,CIK0001353615,USD,,,,,,567642010.0,,,567642010.0,214411141.0,,,,,,4550000.0,516375375.0,-3394779.0,,,,,-0.5700000000000001,,50481172.0,,29702.0,,,,,,196543.0,449830826.0,516571918.0,,,,,,,,567642010.0,51266635.0,166331646.0,,-2401677.0,,-3336664.0,3336664.0,196543.0,-58115.0,-79401.0,,2401677.0,700817673.0,,700817673.0,,867149319.0,,,,,,3336664.0,7850000.0,867149319.0,6800000.0,750445049.0,516375375.0,516375375.0,,,,51070092.0,29500000.0,4550000.0,4550000.0,,12575845.0,
2012-01-31,2012-03-12,10-Q,Invesco CurrencyShares Swiss Franc Trust,FXF,CIK0001353615,USD,,,,,,402740746.0,,,402740746.0,-164901264.0,,,,,,3150000.0,332968198.0,-464410.0,,,,,-0.11,,-31181828.0,,-10745.0,,,,,,145929.0,,402740746.0,,,,,,,,402740746.0,145929.0,-133218806.0,,-500630.0,,-460761.0,460761.0,145929.0,-3649.0,-3649.0,,500630.0,143875317.0,,,,,,,,,,460761.0,,,,,402594817.0,,,,,,29500000.0,3750000.0,3750000.0,,4281552.0,
2012-04-30,2012-06-11,10-Q,Invesco CurrencyShares Swiss Franc Trust,FXF,CIK0001353615,USD,,,,,,391323416.0,,,391323416.0,,,,,,,,,-402919.0,,,,,-0.11,,,,,,,,,,,,391323416.0,,,,,,,,391323416.0,10995392.0,,,,,-400568.0,400568.0,128758.0,-2351.0,-2351.0,,,,,,,,,,,,,400568.0,,,,,,380328024.0,,,,10866634.0,29500000.0,3500000.0,3500000.0,,3762778.0,
