end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableOtherCurrentAndNoncurrent,AccountsReceivableRelatedParties,AccruedFeesAndOtherRevenueReceivable,AccruedProfessionalFeesCurrentAndNoncurrent,AssetManagementCosts,Assets,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,CommissionsPayableToBrokerDealersAndClearingOrganizations,CustodyFees,DebtInstrumentCollateralAmount,DebtSecuritiesTradingRealizedGainLoss,Deposits,DepositsMoneyMarketDeposits,DividendIncomeOperating,DividendsReceivable,DueFromRelatedParties,DueToCorrespondentBrokers,DueToOfficersOrStockholdersCurrentAndNoncurrent,DueToRelatedPartiesCurrentAndNoncurrent,FloorBrokerageExchangeAndClearanceFees,GainLossOnSaleOfInvestments,GeneralPartnersCapitalAccount,IncreaseDecreaseDueFromOfficersAndStockholders,IncreaseDecreaseInAccountsAndOtherReceivables,IncreaseDecreaseInAccountsReceivableRelatedParties,IncreaseDecreaseInAccruedInterestReceivableNet,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInDividendsReceivable,IncreaseDecreaseInDueFromOfficersAndStockholdersCurrent,IncreaseDecreaseInDueToOfficersAndStockholders,IncreaseDecreaseInFinancialInstrumentsUsedInOperatingActivities,IncreaseDecreaseInInsuranceLiabilities,IncreaseDecreaseInOtherAccountsPayable,IncreaseDecreaseInOtherOperatingAssets,IncreaseDecreaseInOtherOperatingLiabilities,IncreaseDecreaseInPayablesToBrokerDealers,IncreaseDecreaseInPrepaidExpense,IncreaseDecreaseInPrepaidInsurance,IncreaseDecreaseInTradingLiabilities,InterestIncomeOperating,InterestReceivable,InvestmentCompanyRegistrationExpense,InvestmentOwnedUnderlyingFaceAmountAtMarketValue,InvestmentsFairValueDisclosure,LegalFees,Liabilities,LiabilitiesAndStockholdersEquity,LicenseCosts,LimitedPartnersCapitalAccount,LimitedPartnersCapitalAccountUnitsOutstanding,LitigationSettlementInterest,LossContingencyDamagesAwardedValue,LossContingencyDamagesPaidValue,ManagementFeeExpense,ManagementFeePayable,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,NetIncomeLoss,NetIncomeLossNetOfTaxPerOutstandingLimitedPartnershipUnitDiluted,NetIncomeLossPerOutstandingLimitedPartnershipUnit,NetIncomeLossPerOutstandingLimitedPartnershipUnitBasicNetOfTax,NetIncomeLossPerOutstandingLimitedPartnershipUnitDiluted,NoninterestExpenseDirectorsFees,NoninterestExpenseTransferAgentAndCustodianFees,OperatingExpenses,OtherAssets,OtherExpenses,OtherGeneralExpense,OtherIncome,OtherLiabilities,OtherPayablesToBrokerDealersAndClearingOrganizations,OtherReceivables,PartnersCapital,PartnersCapitalAccountContributions,PartnersCapitalAccountRedemptions,PartnersCapitalAccountUnitsContributed,PartnersCapitalAccountUnitsRedeemed,PrepaidInsurance,ProceedsFromPartnershipContribution,ProfessionalFees,RestrictedCashAndCashEquivalents,RestrictedCashAndCashEquivalentsAtCarryingValue,Revenues,TradingLiabilities,TradingSecuritiesRealizedGainLoss,UnrealizedGainLossOnDerivativesAndCommodityContracts,UnrealizedGainLossOnInvestments,WeightedAverageLimitedPartnershipUnitsOutstanding,DebtInstrumentInterestRateStatedPercentage
2008-12-31,2009-03-31,10-K,"United States 12Â Month Oil Fund, LP",USL,CIK0001405528,USD,,,,,,,,4012323.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6247578.0,,,,,,,,,,,,,,,,
2009-12-31,2010-03-16,10-K,"United States 12Â Month Oil Fund, LP",USL,CIK0001405528,USD,,,,,864557.0,,,141666539.0,137654216.0,,,,,,,,,,178949.0,,,,,,49573.0,49183430.0,,-97019.0,,,,,3876.0,,,-1584261.0,,,145723.0,,9882.0,,,,16665.0,,,,,107883.0,,,33993.0,,,,,,,,87890615.0,,49763601.0,,71385116.0,,9.13,,17.59,,,,,4770.0,,32000.0,,,,165523309.0,200837381.0,112946766.0,7000000.0,3100000.0,,200837381.0,524564.0,,,72967764.0,,,23556720.0,23556720.0,4058356.0,
2010-06-30,2010-08-09,10-Q,"United States 12Â Month Oil Fund, LP",USL,CIK0001405528,USD,,,,,232031.0,,,137463257.0,,,,,,,,,,,15373.0,,,,,,-1051.0,3647430.0,,,,,,,,,,,,,,,,,,,1147.0,,,,,,,,,,,,,,,,,,,,-16247750.0,,-4.31,,-4.14,,,,,34042.0,,2000.0,,,,,,,,,,,78418.0,,,-15904310.0,,,,-19570260.0,3921978.0,
2010-09-30,2010-11-09,10-Q,"United States 12Â Month Oil Fund, LP",USL,CIK0001405528,USD,,,,,228990.0,,,129597828.0,,,,,,,,,,,23287.0,,,,,,3981.0,-291690.0,,,,,,,,,,,,,,,,,,,386.0,,,,,,,,,,,,,,,,,,,,7583431.0,,1.79,,1.86,,,,,32561.0,,2000.0,,,,,,,,,,,,,,7848963.0,,,,8114980.0,4070652.0,
2010-12-31,2011-03-14,10-K,"United States 12Â Month Oil Fund, LP",USL,CIK0001405528,USD,,,,,931307.0,180723364.0,7540117.0,152952590.0,11286051.0,,,,6282.0,,,,,,65040.0,3904.0,4221132.0,,81666.0,,13314.0,17158730.0,,,,,,,-2315.0,,1168.0,4131166.0,,,-6662.0,,-4250.0,,,,3469.0,,,,,9540.0,520102.0,180723364.0,37079.0,180203262.0,4200000.0,,,,,,-545104.0,,11831155.0,,11003925.0,,2.54,,2.77,30284.0,,1299784.0,139061.0,5193.0,260000.0,12000.0,432154.0,,,180203262.0,39262000.0,35585972.0,1000000.0,900000.0,,35040868.0,273067.0,,,12303709.0,,,-4935530.0,-4935530.0,3975616.0,
2011-03-31,2011-05-10,10-Q,"United States 12Â Month Oil Fund, LP",USL,CIK0001405528,USD,,,,,326319.0,,,252256534.0,99303944.0,,,,,,,,,,12329.0,,,,,,12023.0,8133470.0,,,,,,,590.0,,,-11876572.0,,,,4829.0,1980.0,,,,996.0,,,,,,,,,,,,,,,,79777895.0,,19526049.0,,30392880.0,,5.59,,6.18,,,462485.0,,23059.0,,16000.0,,,,,,,,,,98271913.0,101084.0,,,30855365.0,,,22692570.0,22692570.0,4917778.0,
2011-06-30,2011-08-09,10-Q,"United States 12Â Month Oil Fund, LP",USL,CIK0001405528,USD,,,,,367540.0,215092373.0,25916482.0,187671322.0,,,,,7262.0,,,,,,5705.0,1465.0,,,108485.0,,5219.0,13159190.0,,,,,,,,,,,,,,,,,,,585.0,,,,,,536098.0,215092373.0,,214556275.0,4900000.0,,,,,,,,,,-24518840.0,,-4.71,,-4.68,,,498550.0,137744.0,26101.0,,8000.0,20539.0,,,214556275.0,,,,,,,99690.0,,,-24020290.0,149.0,,,-37193770.0,5241758.0,
2011-09-30,2011-11-09,10-Q,"United States 12Â Month Oil Fund, LP",USL,CIK0001405528,USD,,,,,307421.0,173700478.0,50260814.0,159401865.0,,,,,7422.0,,,,,,3442.0,827.0,,,95289.0,,5819.0,-3150010.0,,,,,,,,,,,,,,,,,,,3445.0,,,,,,513442.0,173700478.0,,173187036.0,4900000.0,,,,,,,,,,-40659815.0,,-8.45,,-8.2,,,358512.0,132592.0,23423.0,,2800.0,410731.0,,,173187036.0,,,,,,,21849.0,,,-40601303.0,,,,-37460980.0,4995652.0,
2011-12-31,2012-03-08,10-K,"United States 12Â Month Oil Fund, LP",USL,CIK0001405528,USD,,,,,1275573.0,170004451.0,42136549.0,123736412.0,-29216178.0,,,,6022.0,,,,58744673.0,107128288.0,26400.0,1916.0,,,88691.0,,27427.0,16224040.0,,,,,14.0,,-1988.0,,1294.0,34596432.0,,,-11621.0,153.0,-260.0,,,33.0,7926.0,14.0,,,,9472.0,514571.0,170004451.0,49913.0,169489880.0,3900000.0,,,,,,-9278752.0,,-19937426.0,,40658779.0,0.57,8.67,0.55,0.57,17340.0,,1955901.0,127440.0,13049.0,200000.0,30300.0,153.0,,,169489880.0,109084059.0,122583943.0,2500000.0,2800000.0,,113305191.0,244950.0,42136549.0,,4424226.0,33.0,,-11864440.0,-11864440.0,4893699.0,
2012-03-31,2012-05-10,10-Q,"United States 12Â Month Oil Fund, LP",USL,CIK0001405528,USD,,,,,255887.0,172180266.0,,136449005.0,12712593.0,,,,6022.0,,,,,,6102.0,2352.0,,,89360.0,,4890.0,2158700.0,,,,,35.0,,436.0,,,-17845169.0,,,6200.0,6955.0,,,,-33.0,2232.0,49.0,,,,,398576.0,172180266.0,6397.0,171781690.0,3750000.0,,,,,,-6864378.0,,19576971.0,,9156188.0,,2.35,2.35,2.43,,,315716.0,133640.0,14438.0,,3150.0,19659.0,,,171781690.0,18020754.0,24885132.0,400000.0,550000.0,,18020754.0,38135.0,24291380.0,,9471904.0,,,7301720.0,7301720.0,3760440.0,
