end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsPayableCurrent,AccountsPayableTrade,AccountsPayableTradeCurrent,AccountsPayableTradeCurrentAndNoncurrent,AccountsReceivableNetCurrent,AccruedLiabilitiesCurrent,AdditionalPaidInCapital,AdditionalPaidInCapitalCommonStock,AdjustmentsToAdditionalPaidInCapitalShareBasedCompensationStockOptionsRequisiteServicePeriodRecognition,AdvancesToAffiliate,AmortizationOfFinancingCosts,AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,Assets,AssetsCurrent,CapitalizedComputerSoftwareAmortization1,CapitalizedComputerSoftwareImpairments1,CapitalizedContractCostAccumulatedAmortization,CapitalizedSoftwareDevelopmentCostsForSoftwareSoldToCustomers,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsIncludingDisposalGroupAndDiscontinuedOperations,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,CashPeriodIncreaseDecrease,CommonStockParOrStatedValuePerShare,CommonStockShareSubscribedButUnissuedSubscriptionsReceivable,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,ConvertibleLongTermNotesPayable,ConvertibleNotesPayable,ConvertibleNotesPayableCurrent,CostOfRevenue,CostsAndExpenses,DebtConversionConvertedInstrumentAmount1,DebtDefaultLongtermDebtAmount,DebtInstrumentDecreaseForgiveness,DebtInstrumentInterestRateDuringPeriod,DebtInstrumentUnamortizedDiscount,DebtInstrumentUnamortizedDiscountPremiumAndDebtIssuanceCostsNet,DepositLiabilitiesAccruedInterest,DepreciationDepletionAndAmortization,DueToRelatedPartiesCurrent,EarningsPerShareBasicAndDiluted,EmployeeServiceShareBasedCompensationNonvestedAwardsTotalCompensationCostNotYetRecognizedStockOptions,ExtinguishmentOfDebtGainLossNetOfTax,FiniteLivedIntangibleAssetsAccumulatedAmortization,FiniteLivedIntangibleAssetsGross,FiniteLivedIntangibleAssetsNet,GainsLossesOnExtinguishmentOfDebt,GeneralAndAdministrativeExpense,GrossProfit,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccountsReceivable,IncreaseDecreaseInInterestPayableNet,IncreaseDecreaseInInventories,IncreaseDecreaseInOtherAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInPrepaidExpense,IncreaseDecreaseInPrepaidExpensesOther,InterestExpense,InterestPayableCurrent,InventoryNet,IssuanceOfStockAndWarrantsForServicesOrClaims,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LiabilitiesNoncurrent,LitigationReserveCurrent,LoansPayable,LongTermDebt,LongTermNotesPayable,MarketingExpense,NetCashProvidedByUsedInContinuingOperations,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NetIncomeLossAvailableToCommonStockholdersBasic,NotesPayableRelatedPartiesClassifiedCurrent,OperatingExpenses,OperatingIncomeLoss,OperatingLossCarryforwards,OtherAccountsPayableAndAccruedLiabilities,OtherAccruedLiabilitiesCurrent,OtherLaborRelatedExpenses,OtherLiabilitiesCurrent,OtherNoncashIncomeExpense,OtherPrepaidExpenseCurrent,PaymentsForSoftware,PaymentsOfDebtIssuanceCosts,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValue,PrepaidExpenseCurrent,ProceedsFromConvertibleDebt,ProceedsFromIssuanceOfCommonStock,ProceedsFromIssuanceOfDebt,ProceedsFromRelatedPartyDebt,ProceedsFromRepaymentsOfRelatedPartyDebt,RelatedPartyTransactionDueFromToRelatedPartyCurrent,RepaymentsOfNotesPayable,ResearchAndDevelopmentExpense,RetainedEarningsAccumulatedDeficit,RevenueFromContractWithCustomerExcludingAssessedTax,Revenues,SellingAndMarketingExpense,ShareBasedCompensation,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedDividendRate,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedVolatilityRate,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsRiskFreeInterestRate,ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsGrantsInPeriodWeightedAverageExercisePrice,SharebasedCompensationArrangementBySharebasedPaymentAwardOptionsNonvestedNumberOfShares,ShortTermBorrowings,StockholdersEquity,StockholdersEquityOther,StockIssued1,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodValueConversionOfConvertibleSecurities,StockIssuedDuringPeriodValueConversionOfUnits,StockIssuedDuringPeriodValueDividendReinvestmentPlan,StockIssuedDuringPeriodValueIssuedForServices,StockIssuedDuringPeriodValueOther,StockIssuedDuringPeriodValuePurchaseOfAssets,StockRepurchasedDuringPeriodValue,WeightedAverageNumberOfShareOutstandingBasicAndDiluted
2010-06-30,2010-08-10,10-Q,USA EQUITIES CORP.,USAQ,CIK0000856984,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11780.0,,,,,,,,,,,,,,,,,9500.0,,,,,,,,,,2280.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
2010-09-30,2010-11-12,10-Q,USA EQUITIES CORP.,USAQ,CIK0000856984,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11780.0,,,,,,,,,,,,,,,,,9500.0,,,,,,,,,,2280.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
2010-12-31,2011-04-13,10-K,USA EQUITIES CORP.,USAQ,CIK0000856984,USD,,,7568.0,7568.0,,,,46191.0,46191.0,,,,,0.0,0.0,,,,,0.0,,,,,,,,,,,109.0,,,76000.0,,62792.0,,,,,,,,,,,,,,,,,53672.0,,,,,,,,,,9120.0,,,,156185.0,,233201.0,,,,,,,,,0.0,,-62792.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,-279501.0,,0.0,,,,,,,,,,,,,,,,,,,,
2011-03-31,2011-05-23,10-Q,USA EQUITIES CORP.,USAQ,CIK0000856984,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25382.0,,,,,,,,,,,,,,,,,23102.0,,,,,,,,,,2280.0,,,,,,,,,,,,,,,0.0,,,-25382.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
2011-06-30,2011-08-24,10-Q,USA EQUITIES CORP.,USAQ,CIK0000856984,USD,,,6568.0,,,,,46191.0,,,,,,,0.0,,,,,0.0,,,,,,,,,,,109.0,,,,,18074.0,,,,,,,,,,,,,,,,,15794.0,,,,,,,,,,2280.0,,,,199641.0,,123641.0,,,,,,,,,,,,-18074.0,,,,,,,,,,,,,,,,,,,,,,,,,,,-245941.0,,0.0,,,,,,,,,,,,,,,,,,,,
2011-09-30,2011-11-14,10-Q,USA EQUITIES CORP.,USAQ,CIK0000856984,USD,,,,,,,,46191.0,,,,,,0.0,0.0,,,,,,,,,,,,,,,,109.0,,,,,16780.0,,,,,,,,,,,,,,,,,14500.0,,,,,,,,,,2280.0,,,,216421.0,,140421.0,,,,,,,,,,,-16780.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,-262721.0,,0.0,,,,,,,,,,,,,,,,,,,,1088740.0
2011-12-31,2012-04-12,10-K,USA EQUITIES CORP.,USAQ,CIK0000856984,USD,,,7568.0,,,,,46191.0,,,,,,0.0,0.0,,,,,0.0,,,,,0.0,,,,,,109.0,,,,,77016.0,,,,,,,,,,,,,,,,,67896.0,,13016.0,,,,,,,,9120.0,,,,233201.0,,233201.0,,,,,,,,3000.0,0.0,-3000.0,-77016.0,-77016.0,,,,,,,61000.0,,0.0,,,,,,,,,,,,,3000.0,,,,,-279501.0,,0.0,,,,,,,,,,,,,,,,,,,,
2012-03-31,2012-05-21,10-Q,USA EQUITIES CORP.,USAQ,CIK0000856984,USD,,,10068.0,,,,,46191.0,,,,,,0.0,0.0,,,,,0.0,,,,,,,,,,,109.0,,,,,18780.0,,,,,,,,,,,,,,,,,16500.0,,,,,,,,,,2280.0,,,,,,251981.0,,,,,,,,,0.0,,-18780.0,-18780.0,,,,,,,,,,,,,,,,,,,,,,,,,,,-298281.0,,0.0,,,,,,,,,,,,,,,,,,,,
2012-06-30,2012-09-27,10-Q,USA EQUITIES CORP.,USAQ,CIK0000856984,USD,,,,10568.0,,,,,46191.0,,,,,0.0,0.0,,,,,0.0,,,,,,,,,,,109.0,,,76000.0,,16780.0,,,,,,,,,,,,,,,,,14500.0,,,,,,,,,,2280.0,,,,,,268761.0,,,,,,,,,,,-16780.0,-16780.0,,,,,,,,,,,,,,,,,,,,,,,,,,,-315061.0,,0.0,,,,,,,,,,,,,,,,,,,,
2012-09-30,2014-01-31,10-Q,USA EQUITIES CORP.,USAQ,CIK0000856984,USD,,,8818.0,,,,,46191.0,,,,,,0.0,0.0,,,,,0.0,,,,,,,,,,,109.0,,,,,17030.0,,,,,,,,,,,,,,,,,14750.0,,,,,,,,,,2280.0,,,,,,285791.0,,,,,,,,,,,-17030.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,-332091.0,,0.0,,,,,,,,,,,,,,,,,,,,1088740.0
2012-12-31,2014-02-26,10-K,USA EQUITIES CORP.,USAQ,CIK0000856984,USD,,,9568.0,,,,,46191.0,,,,,,0.0,0.0,,,,,0.0,,,,,0.0,,,,,,109.0,,,,,69620.0,,,,,,,,,,,,,,,,,60500.0,,11120.0,,,,,,,,9120.0,,,,302821.0,,302821.0,,,,,,,,2500.0,0.0,-2500.0,-69620.0,-69620.0,,,,,,,56000.0,,0.0,,,,,,,,,,,,,2500.0,,,,,-349121.0,,0.0,,,,,,,,,,,,,,,,,,,,
