end,filed,form,Name,Ticker,CIK,Currency,AdditionalPaidInCapital,Assets,AssetsCurrent,AssetsHeldInTrustNoncurrent,Cash,CashAndCashEquivalentsAtCarryingValue,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,CashEquivalentsAtCarryingValue,CashFDICInsuredAmount,CommonStockSharesIssued,CommonStockSharesOutstanding,DeferredCostsCurrent,DeferredOfferingCosts,DueToRelatedPartiesNoncurrent,EarningsPerShareBasic,EarningsPerShareBasicAndDiluted,IncomeTaxExpenseBenefit,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInDueToRelatedPartiesCurrent,IncreaseDecreaseInPrepaidExpense,Liabilities,LiabilitiesAndStockholdersEquity,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NotesPayableRelatedPartiesClassifiedCurrent,OperatingCostsAndExpenses,PaymentsOfStockIssuanceCosts,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PrepaidExpenseAndOtherAssetsCurrent,ProceedsFromIssuanceInitialPublicOffering,ProceedsFromIssuanceOfWarrants,ProfitLoss,RepaymentsOfRelatedPartyDebt,RetainedEarningsAccumulatedDeficit,StockholdersEquity,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodValueNewIssues,UnrecognizedTaxBenefits,UnrecognizedTaxBenefitsIncomeTaxPenaltiesAndInterestAccrued,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesOutstandingBasic,DueToRelatedPartiesCurrent,InvestmentIncomeInterest,LiabilitiesCurrent,NonoperatingIncomeExpense,OperatingIncomeLoss,PrepaidExpenseNoncurrent,TemporaryEquityAccretionToRedemptionValueAdjustment,TemporaryEquityCarryingAmountAttributableToParent,TemporaryEquitySharesOutstanding
2021-03-31,2021-08-16,10-Q,Gobi Acquisition Corp.,GOBI,CIK0001854593,USD,24281.0,,115323.0,,,0.0,0.0,0.0,250000.0,,8625000.0,8625000.0,115323.0,,,0.0,,0.0,,,,97448.0,115323.0,,,0.0,-7125.0,25750.0,7125.0,,0.0001,3000000.0,0.0,0.0,,,,-7125.0,,-7125.0,17875.0,,25000.0,0.0,0.0,,6250000.0,,,,,,,,,
2021-06-30,2021-08-16,10-Q,Gobi Acquisition Corp.,GOBI,CIK0001854593,USD,3024326.0,3379075.0,2379025.0,1000050.0,1767326.0,1767326.0,1767326.0,1767326.0,0.0,250000.0,,,,589425.0,1000.0,,0.0,,5845.0,1000.0,22274.0,367995.0,3379075.0,2796725.0,-1000050.0,-29349.0,-6795.0,,6795.0,40069.0,0.0001,3000000.0,0.0,0.0,22274.0,,3000000.0,-13920.0,163205.0,-13920.0,3011080.0,750000.0,,0.0,0.0,6228972.0,,,,,,,,,,
2021-09-30,2021-11-22,10-Q,Gobi Acquisition Corp.,GOBI,CIK0001854593,USD,,257506975.0,1289553.0,255429243.0,222905.0,222905.0,222905.0,,0.0,250000.0,,,,,,,,,,,,2981520.0,257506975.0,,,,-361908.0,,365778.0,,0.0001,3000000.0,0.0,0.0,1066648.0,,,,,-904458.0,-903788.0,,,0.0,0.0,,,31332.0,3870.0,1041632.0,3870.0,-365778.0,788179.0,-3661470.0,255429243.0,28750000.0
