end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableRelatedPartiesCurrent,AccountsReceivableNetNoncurrent,Assets,AssetsNet,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CommonStockNoParValue,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,EarningsPerShareBasic,FairValueOfAssetsAcquired,GainLossOnSaleOfTrustAssetsToPayExpenses,GrossProfit,IncreaseDecreaseInAccountsPayableRelatedParties,IncreaseDecreaseInOtherAccountsPayable,IncreaseDecreaseInReceivables,InvestmentInPhysicalCommodities,InvestmentInPhysicalCommoditiesFairValueDisclosure,InvestmentOwnedAtCost,InvestmentOwnedAtFairValue,InvestmentOwnedBalanceOtherMeasure,InvestmentOwnedPercentOfNetAssets,InvestmentRelatedLiabilities,Liabilities,LiabilitiesAndStockholdersEquity,LiabilityForUncertainTaxPositionsNoncurrent,NetAssetValuePerShare,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NewAccountingPronouncementOrChangeInAccountingPrincipleEffectOfAdoptionQuantification,NewAccountingPronouncementOrChangeInAccountingPrincipleEffectOfChangeOnNetIncome,NonInvestmentAssetsLessNonInvestmentLiabilities,NonInvestmentAssetsLessNonInvestmentLiabilitiesPercentOfNetAssets,OperatingExpenses,OtherCostAndExpenseOperating,PaymentsForOperatingActivities,PaymentsForRepurchaseOfCommonStock,ProceedsFromCustomers,ProceedsFromIssuanceOfCommonStock,RealizedInvestmentGainsLosses,ReceivablesNetCurrent,RetainedEarningsAccumulatedDeficit,SharesOutstanding,SponsorFees,StockholdersEquity,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodValueNewIssues,StockRedeemedOrCalledDuringPeriodShares,StockRedeemedOrCalledDuringPeriodValue,StockRepurchasedDuringPeriodShares,StockRepurchasedDuringPeriodValue,WeightedAverageNumberOfSharesOutstandingBasic
2010-03-31,2010-05-17,10-Q,Aberdeen Standard Palladium ETF Trust,PALL,CIK0001459862,USD,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-06-30,2010-08-13,10-Q,Aberdeen Standard Palladium ETF Trust,PALL,CIK0001459862,USD,,,,,0.0,0.0,,,,,-1.96,142403548.0,,37317.0,59651.0,11118058.0,0.0,,,,,,,,,,,,0.0,-14153484.0,,,,,533291.0,,0.0,-21455975.0,0.0,142403548.0,,,,,533291.0,,,,,,,,7226923.0
2010-09-30,2010-11-12,10-Q,Aberdeen Standard Palladium ETF Trust,PALL,CIK0001459862,USD,,,,,0.0,0.0,,,,,2.35,11111712.0,,6150.0,12797.0,-11118058.0,25403620.0,,,,,,,,,,,,0.0,17778154.0,,,,,564314.0,,0.0,-43306155.0,0.0,36516298.0,,,,,564314.0,,,,,,,,7567935.0
2010-12-31,2011-03-28,10-K,Aberdeen Standard Palladium ETF Trust,PALL,CIK0001459862,USD,437490.0,,620790556.0,,0.0,0.0,0.0,11250000.0,11250000.0,884638000.0,1.8,686119618.0,,191000.0,438000.0,,23591000.0,,,,,,,,437490.0,620790556.0,,,0.0,12664000.0,,,,,2351000.0,,0.0,102027000.0,0.0,709716000.0,,23590861.0,-264285000.0,,2350928.0,,13050000.0,709716000.0,,,1800000.0,102027000.0,7032877.0
2011-03-31,2011-05-13,10-Q,Aberdeen Standard Palladium ETF Trust,PALL,CIK0001459862,USD,,,,,0.0,0.0,,,,,3.23,121742593.0,,394666.0,-13829.0,,23590861.0,,,,,,,,,,,,0.0,36748563.0,,,,,1330201.0,,0.0,-152777106.0,0.0,98151729.0,,,,,1330201.0,,,,,,,,11372222.0
2011-06-30,2011-08-10,10-Q,Aberdeen Standard Palladium ETF Trust,PALL,CIK0001459862,USD,375605.0,,594105059.0,,0.0,0.0,0.0,10100000.0,10100000.0,761809687.0,1.47,53618658.0,,273023.0,-48056.0,0.0,0.0,,,,,,,,375605.0,594105059.0,,,0.0,15163894.0,,,,,1164494.0,,0.0,-77529350.0,0.0,53618658.0,,0.0,-168080233.0,,1164494.0,,,,,,,,10341758.0
2011-09-30,2011-11-09,10-Q,Aberdeen Standard Palladium ETF Trust,PALL,CIK0001459862,USD,265163.0,,466866592.0,,0.0,0.0,,7750000.0,7750000.0,470925019.0,3.26,15395978.0,,263682.0,-110441.0,9114828.0,0.0,,,,,,,,9379991.0,466866592.0,,,0.0,30814492.0,,,,,1037809.0,,0.0,182453324.0,0.0,15395978.0,,0.0,-13438418.0,,1037809.0,,,,,,,,9453804.0
2011-12-31,2012-02-29,10-K,Aberdeen Standard Palladium ETF Trust,PALL,CIK0001459862,USD,194805.0,,351083000.0,,0.0,0.0,,5950000.0,5950000.0,373935000.0,8.87,190757226.0,,1001000.0,-243000.0,,-23591000.0,351083000.0,,,,588255.6,,,195000.0,351083000.0,,,0.0,83631000.0,,,,,4203000.0,,0.0,520262000.0,0.0,167166000.0,,0.0,-23047000.0,,4203724.0,,2100000.0,167166000.0,,,7400000.0,520262000.0,9432740.0
2012-03-31,2012-05-10,10-Q,Aberdeen Standard Palladium ETF Trust,PALL,CIK0001459862,USD,252061.0,,486935645.0,,0.0,0.0,,7950000.0,7950000.0,510647463.0,-0.09,136426865.0,,57000.0,57000.0,,0.0,,,,,,,,252061.0,486935645.0,,,0.0,-632000.0,,,,,689000.0,,0.0,0.0,0.0,136427000.0,,,-23963879.0,,689202.0,,,,,,,,6986813.0
2012-06-30,2012-08-09,10-Q,Aberdeen Standard Palladium ETF Trust,PALL,CIK0001459862,USD,235824.0,,478569021.0,,0.0,0.0,,8200000.0,8200000.0,466944128.0,-4.68,,,35000.0,-16000.0,11389000.0,0.0,,,,,,,,11624893.0,478569021.0,,,0.0,-38733000.0,,,,,766000.0,,0.0,17382000.0,0.0,36375000.0,,,0.0,,766109.0,,,,,,,,8284615.0
