end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableCurrent,AccruedLiabilitiesCurrent,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,AdditionalPaidInCapitalCommonStock,AdjustmentsToAdditionalPaidInCapitalOther,AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,Assets,AssetsCurrent,CashAndCashEquivalentsAtCarryingValue,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,DeferredTaxAssetsGross,DeferredTaxAssetsNet,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsPropertyPlantAndEquipment,DeferredTaxAssetsTaxCreditCarryforwardsAlternativeMinimumTax,DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsAccruedLiabilities,DeferredTaxAssetsValuationAllowance,DefinedBenefitPlanBenefitsPaid,DefinedContributionPlanEmployerDiscretionaryContributionAmount,DepreciationDepletionAndAmortization,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,GeneralAndAdministrativeExpense,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeTaxExpenseBenefit,IncomeTaxesPaidNet,IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,IncomeTaxReconciliationDeductions,IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,IncomeTaxReconciliationNondeductibleExpense,IncomeTaxReconciliationOtherAdjustments,IncomeTaxReconciliationStateAndLocalIncomeTaxes,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInDepositOtherAssets,IncreaseDecreaseInPrepaidExpense,InterestPaidNet,IssuanceOfStockAndWarrantsForServicesOrClaims,LeaseAndRentalExpense,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,NetCashProvidedByUsedInContinuingOperations,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,NetIncomeLossAvailableToCommonStockholdersBasic,OperatingExpenses,OperatingIncomeLoss,OperatingLeaseCost,OperatingLeaseExpense,OperatingLeasesFutureMinimumPaymentsDue,OperatingLeasesFutureMinimumPaymentsDueCurrent,OperatingLeasesFutureMinimumPaymentsDueInFourYears,OperatingLeasesFutureMinimumPaymentsDueInThreeYears,OperatingLeasesFutureMinimumPaymentsDueInTwoYears,OperatingLeasesRentExpenseNet,OperatingLossCarryforwards,OtherNoncashIncomeTaxExpense,OtherNonoperatingIncome,PrepaidExpenseCurrent,ProceedsFromContributedCapital,PropertyPlantAndEquipmentGross,PropertyPlantAndEquipmentNet,ResearchAndDevelopmentExpense,RetainageDeposit,RetainedEarningsAccumulatedDeficit,Revenues,StockholdersEquity,UnrecognizedTaxBenefits,WeightedAverageNumberOfDilutedSharesOutstanding,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesOutstandingBasic,EarningsPerShareBasic,EarningsPerShareDiluted
2010-02-28,2010-06-01,10-K,BURZYNSKI RESEARCH INSTITUTE INC,BZYR,CIK0000724445,USD,,,,,,,,,18122.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-48478.0,,,,,,
2010-08-31,2010-10-15,10-Q,BURZYNSKI RESEARCH INSTITUTE INC,BZYR,CIK0000724445,USD,,,,,,,,,16456.0,,,,,,,,,,,,,,,,,189.0,-0.01,,82022.0,-1204550.0,,,,,,,,,,,,,,,,,,,,,,,,-1204550.0,1204550.0,,,,,,,,,,,,,,,,,1122339.0,,,,,,131388444.0,,131388444.0,,
2010-11-30,2011-01-14,10-Q,BURZYNSKI RESEARCH INSTITUTE INC,BZYR,CIK0000724445,USD,,,,,,,,,17103.0,,,,,,,,,,,,,,,,,180.0,-0.01,,37220.0,-1209673.0,,,,,,,,,,,,,,,,,,,,,,,,-1209673.0,1209673.0,,,,,,,,,,,,,,,,,1172273.0,,,,,,131448444.0,,131448444.0,,
2011-02-28,2011-05-31,10-K,BURZYNSKI RESEARCH INSTITUTE INC,BZYR,CIK0000724445,USD,39223.0,33628.0,18295.0,94260707.0,,,21596.0,17476.0,17476.0,,,0.001,200000000.0,131448444.0,131448444.0,131449.0,,,,,,,,,,736.0,-0.04,,250434.0,-5031242.0,,0.0,,,,,,,-2548.0,3943.0,,,,,,72851.0,21596.0,72851.0,-646.0,,505110.0,,-505756.0,-5031242.0,5031242.0,-5031242.0,,,,,,,,,,,,,505110.0,,4120.0,4780072.0,,-94443411.0,,-51255.0,,131443156.0,,131443156.0,,
2011-05-31,2011-07-15,10-Q,BURZYNSKI RESEARCH INSTITUTE INC,BZYR,CIK0000724445,USD,,,,,,,,,16026.0,,,,,,,,,,,,,,,,,177.0,-0.01,,66076.0,-1500907.0,,,,,,,,,-12965.0,32000.0,,,,,,,,,-1450.0,,106390.0,,-107840.0,-1500907.0,1500907.0,,,,,,,,,,,,,,106390.0,,,1434654.0,,,,,,131448444.0,,131448444.0,,
2011-08-31,2011-10-17,10-Q,BURZYNSKI RESEARCH INSTITUTE INC,BZYR,CIK0000724445,USD,3217.0,33332.0,18649.0,97587576.0,,600000.0,26241.0,22475.0,22475.0,,,0.001,200000000.0,131448444.0,131448444.0,131449.0,,,,,,,,,,177.0,-0.01,,44096.0,-1785015.0,0.0,,20999.0,606905.0,-606905.0,-20999.0,,,,,,,,,,36549.0,26241.0,,,,,,,-1785015.0,1785015.0,,,,,,,,,,,,,,,,3766.0,1740742.0,,-97729333.0,,-10308.0,,131448444.0,131448444.0,131448444.0,,
2011-11-30,2012-01-17,10-Q,BURZYNSKI RESEARCH INSTITUTE INC,BZYR,CIK0000724445,USD,3585.0,43993.0,18826.0,99410009.0,,600000.0,19723.0,16134.0,16134.0,,,0.001,200000000.0,131448444.0,131448444.0,131449.0,,,,,,,,,,177.0,-0.01,,75451.0,-1839980.0,0.0,,-6018.0,-625594.0,-625594.0,6018.0,,,,,,,,,,47578.0,19723.0,,,,,,,-1839980.0,1839980.0,,,,,,,,,,,,,,,,3589.0,1764352.0,,-99569313.0,,-27855.0,,131448444.0,131448444.0,131448444.0,,
2012-02-29,2012-05-29,10-K,BURZYNSKI RESEARCH INSTITUTE INC,BZYR,CIK0000724445,USD,12265.0,49699.0,18996.0,101428376.0,,600000.0,20716.0,17297.0,17297.0,,,0.001,200000000.0,131448444.0,131448444.0,131449.0,208610.0,,159410.0,-641.0,42603.0,7238.0,208610.0,,483.0,701.0,-0.05,,231442.0,-7157662.0,0.0,0.0,-165068.0,-2433605.0,-2433605.0,,165068.0,,-26958.0,16071.0,,,,,263922.0,61964.0,20716.0,61964.0,-179.0,,503885.0,,-504064.0,-7157662.0,7157662.0,-7157662.0,,,,,,,,164894.0,,,0.0,,503885.0,22415.0,3419.0,6925519.0,,-101601073.0,,-41248.0,0.0,131443156.0,131448444.0,131448444.0,,
2012-05-31,2012-07-16,10-Q,BURZYNSKI RESEARCH INSTITUTE INC,BZYR,CIK0000724445,USD,55348.0,80554.0,19167.0,103031946.0,,600000.0,18197.0,14949.0,14949.0,,,0.001,200000000.0,131448444.0,131448444.0,131449.0,,,,,,,,,,171.0,-0.01,,141516.0,-1680027.0,0.0,,25982.0,-571209.0,-571209.0,-25982.0,,0.0,43083.0,30855.0,,,,,,135902.0,18197.0,,-2348.0,,136558.0,,-138906.0,-1680027.0,1680127.0,,,,,,,,,,,,100.0,,136558.0,,3248.0,1538440.0,,-103281100.0,,-117705.0,,131448444.0,131448444.0,131448444.0,,
2012-08-31,2012-10-15,10-Q,BURZYNSKI RESEARCH INSTITUTE INC,BZYR,CIK0000724445,USD,10578.0,34949.0,19338.0,104915502.0,,1600000.0,17204.0,14127.0,14127.0,,,0.001,200000000.0,131448444.0,131448444.0,131449.0,,0.0,,,,,258581.0,,,171.0,-0.01,,297113.0,-1794174.0,0.0,,-75953.0,-610019.0,-610019.0,75953.0,,,,,,,,,,45527.0,17204.0,,,,,,,-1794174.0,1794174.0,,,,,,,,,,615789.0,,,,,,3077.0,1496890.0,,-105075274.0,,-28323.0,,,131448444.0,,,
