end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsPayableCurrent,AccountsPayableRelatedPartiesCurrent,AccountsReceivableNoncurrentAccruedInterestWriteoff,AdditionalPaidInCapital,AdjustmentsToAdditionalPaidInCapitalIncreaseInCarryingAmountOfRedeemablePreferredStock,AdjustmentsToAdditionalPaidInCapitalStockIssuedOwnshareLendingArrangementIssuanceCosts,AdjustmentsToAdditionalPaidInCapitalStockSplit,AllocatedShareBasedCompensationExpense,AmortizationOfDebtDiscountPremium,AmortizationOfFinancingCosts,AmortizationOfFinancingCostsAndDiscounts,AssetImpairmentCharges,Assets,AssetsCurrent,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashEquivalentsAtCarryingValue,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,CommonStockValueOutstanding,ConvertibleNotesPayable,CostOfRevenue,CostsAndExpenses,DebtConversionConvertedInstrumentAmount1,DebtConversionConvertedInstrumentSharesIssued1,DebtInstrumentCarryingAmount,DebtInstrumentUnamortizedDiscountPremiumNet,DeferredFinanceCostsCurrentNet,DeferredFinanceCostsNet,DeferredTaxAssetsGross,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsTaxDeferredExpense,DeferredTaxAssetsValuationAllowance,Depreciation,DerivativeGainLossOnDerivativeNet,DerivativeLiabilitiesCurrent,DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,EarningsPerShareBasicAndDiluted,ExplorationExpense,ExplorationExpenseMining,ExtinguishmentOfDebtGainLossNetOfTax,FairValueNetDerivativeAssetLiabilityMeasuredOnRecurringBasisChangeInUnrealizedGainLoss,GainsLossesOnExtinguishmentOfDebt,GeneralAndAdministrativeExpense,GrossProfit,IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeTaxExpenseBenefit,IncomeTaxesPaidNet,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccountsPayableRelatedParties,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInInterestPayableNet,IncreaseDecreaseInPrepaidExpense,InterestExpense,InterestExpenseShortTermBorrowings,InterestPaid,InterestPayableCurrent,InterestPayableCurrentAndNoncurrent,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NoncashOrPartNoncashAcquisitionFixedAssetsAcquired1,NonoperatingIncomeExpense,NotesAndLoansReceivableNetCurrent,NotesPayableCurrent,NotesReduction,OperatingExpenses,OperatingIncomeLoss,OperatingLossCarryforwards,OtherAmortizationOfDeferredCharges,OtherNonoperatingIncomeExpense,OtherSignificantNoncashTransactionValueOfConsiderationReceived1,PaymentsOfFinancingCosts,PaymentsToAcquireLoansReceivable,PaymentsToAcquireMineralRights,PaymentsToAcquirePropertyPlantAndEquipment,PreferredStockSharesOutstanding,PreferredStockValue,PrepaidExpenseAndOtherAssets,PrepaidExpenseCurrent,ProceedsFromConvertibleDebt,ProceedsFromIssuanceOfCommonStock,ProceedsFromRelatedPartyDebt,ProceedsFromSaleOfLoansReceivable,ProceedsFromShortTermDebt,ProfessionalFees,ProfitLoss,RetainedEarningsAccumulatedDeficit,Revenues,SaleOfStockPricePerShare,ShareBasedCompensation,SharesIssued,ShortTermBorrowings,StockholdersEquity,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,StockIssued1,StockIssuedDuringPeriodSharesPurchaseOfAssets,StockIssuedDuringPeriodValueAcquisitions,StockIssuedDuringPeriodValueIssuedForServices,StockIssuedDuringPeriodValueNewIssues,StockIssuedDuringPeriodValueOther,StockIssuedDuringPeriodValuePurchaseOfAssets,SubsidiaryOrEquityMethodInvesteeCumulativePercentageOwnershipAfterAllTransactions,TreasuryStockSharesAcquired,ValuationAllowanceAmount,WeightedAverageNumberOfDilutedSharesOutstanding
2008-08-31,2008-12-10,10-K,NEW AMERICA ENERGY CORP.,NECA,CIK0001373853,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9000.0,,,,,,,,9000.0,,,,,,,,,,,,,,,,,,,,,,,,,-34985.0,,,,,,,,,,,,
2009-08-31,2009-11-30,10-K,NEW AMERICA ENERGY CORP.,NECA,CIK0001373853,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10000.0,,,,,,,,10000.0,,,,,,,,,,,,,,,,,,,,,,,,,-44985.0,,,,,,,,,,,,
2010-08-31,2010-12-02,10-K,NEW AMERICA ENERGY CORP.,NECA,CIK0001373853,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10842.0,,,,,,,,10842.0,,,,,,,,,,,,,,,,,,,,,,,,,-55827.0,,,,,,,,,,,,
2010-11-30,2011-01-13,10-Q,NEW AMERICA ENERGY CORP.,NECA,CIK0001373853,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,2787.0,,,,,,,,,,,,,,,0.0,,,,,,287.0,,,,,,,2787.0,,,,,,,,,,,,,,,,-2787.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53750000.0
2011-02-28,2011-04-19,10-Q,NEW AMERICA ENERGY CORP.,NECA,CIK0001373853,USD,,,,,,,,,,,,,360000.0,,,,35248.0,,,,,,,,,,,390515.0,,,,,,,,,,,,,,,-0.01,,,,,,1167.0,,,,,,,,,,,,,,,,,,,,,,,-390515.0,,,,,,,,,,,,,,,,,,,,,,,,,21848.0,,,,,,,,,,,,,,,,,,,,50492222.0
2011-05-31,2011-07-14,10-Q,NEW AMERICA ENERGY CORP.,NECA,CIK0001373853,USD,,,,,,,,,,,,,75000.0,,,,14741.0,,,,,,,,,,,93421.0,,,,,,,,,,,,,,,0.0,,,,,,983.0,,,,,,,,,,,,,,,,,,,,,,,-93421.0,,,,,,,-93421.0,,,,,,,,,,,,,,,,,,9938.0,,,0.0,,,,,,,,,,,,,,,,,50150000.0
2011-08-31,2011-12-14,10-K,NEW AMERICA ENERGY CORP.,NECA,CIK0001373853,USD,11209.0,11209.0,1000.0,,747827.0,,,0.0,,,,,610000.0,19992.0,,,19992.0,19992.0,19992.0,0.001,75000000.0,51000000.0,,,51000.0,,,692217.0,,,,,,,235353.0,,,,,,,791044.0,-0.01,3466.0,,,,54985.0,13893.0,,-692217.0,,,,,12209.0,,,,,,,,0.0,,12209.0,19992.0,,225000.0,-135000.0,-70008.0,-692217.0,,,,,,,-692217.0,692217.0,,,,,,135000.0,,,,,,,225000.0,,,,39858.0,,,,,,,,7783.0,,,,475000.0,,,,,,,-235353.0,51316027.0
2011-11-30,2011-12-27,10-Q,NEW AMERICA ENERGY CORP.,NECA,CIK0001373853,USD,23694.0,,1000.0,,822577.0,,,,,,,,75000.0,549.0,,,549.0,-19443.0,,0.001,75000000.0,51250000.0,,,51250.0,,,106928.0,,,,,,,,,,,,,,897972.0,0.0,,,,,,12456.0,,,,,,,12485.0,,,,,,,,,,24694.0,549.0,,,,-19443.0,-106928.0,,,,,,,-106928.0,,,,,,,,,,,,,,,,,,11972.0,,,,,,,,-24145.0,,,,75000.0,,,,,,,,51093407.0
2012-02-29,2012-04-16,10-Q,NEW AMERICA ENERGY CORP.,NECA,CIK0001373853,USD,,4125.0,3500.0,,1050715.0,,,,,,,,,42263.0,,,42263.0,,,0.001,75000000.0,51912133.0,,,51912.0,,,170017.0,,,,,,,,,,,,,,1067989.0,0.0,,104823.0,,,,20150.0,,,,,,,,,,,,,,,,,7625.0,42263.0,,,,,-170017.0,,,,,,,-170017.0,,,,,,,,,,,,,,,,,,36044.0,,,,,,,,34638.0,,,,,,,,,,,,51655252.0
2012-05-31,2012-07-16,10-Q,NEW AMERICA ENERGY CORP.,NECA,CIK0001373853,USD,,5662.0,,,1053985.0,,,,,,,,,170237.0,,,170237.0,,,0.001,75000000.0,51942133.0,,,51942.0,,,52663.0,,,,,,,,,,,,,,1141352.0,0.0,,,,,,22010.0,,,,,,,,,,,,,20700.0,,,,205662.0,170237.0,,,,,-73363.0,,,,,,,-52663.0,,,,,,,,,,,,,,,,,,18653.0,,,0.0,,,,200000.0,-35425.0,,,,,,,,,,,,51923872.0
