end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesCurrentAndNoncurrent,AccountsPayableRelatedPartiesCurrentAndNoncurrent,AccountsPayableTradeCurrentAndNoncurrent,AccrualForTaxesOtherThanIncomeTaxesCurrentAndNoncurrent,AccruedIncomeTaxes,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,AccumulatedOtherComprehensiveIncomeLossNetOfTax,AdditionalPaidInCapital,AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,AdjustmentsToAdditionalPaidInCapitalStockIssuedIssuanceCosts,AdvertisingRevenueCost,AllocatedShareBasedCompensationExpense,AllowanceForLoanAndLeaseLossesForeignCurrencyTranslation,AllowanceForLoanAndLeaseLossesWriteOffs,AllowanceForLoanAndLeaseLossRecoveryOfBadDebts,AmortizationOfDebtDiscountPremium,AmortizationOfFinancingCosts,AmortizationOfIntangibleAssets,AociTaxAttributableToParent,Assets,AssetsOfDisposalGroupIncludingDiscontinuedOperation,BasicEarningsPerShareProForma,BusinessAcquisitionPurchasePriceAllocationGoodwillExpectedTaxDeductibleAmount,CapitalExpendituresIncurredButNotYetPaid,CapitalizedComputerSoftwareAccumulatedAmortization,CapitalizedComputerSoftwareAmortization1,CapitalizedComputerSoftwareGross,CapitalizedComputerSoftwareNet,CapitalLeasedAssetsGross,CapitalLeaseObligations,CapitalLeasesBalanceSheetAssetsByMajorClassNet,CapitalLeasesFutureMinimumPaymentsDue,CapitalLeasesFutureMinimumPaymentsExecutoryCosts,CapitalLeasesFutureMinimumPaymentsNetMinimumPayments1,CapitalLeasesLesseeBalanceSheetAssetsByMajorClassAccumulatedDeprecation,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,CashProvidedByUsedInFinancingActivitiesDiscontinuedOperations,CashProvidedByUsedInInvestingActivitiesDiscontinuedOperations,CashProvidedByUsedInOperatingActivitiesDiscontinuedOperations,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,ComprehensiveIncomeNetOfTax,ContractWithCustomerLiability,ConvertiblePreferredStockSharesIssuedUponConversion,CostOfGoodsAndServicesSold,CostOfRevenue,CumulativeEffectOfNewAccountingPrincipleInPeriodOfAdoption,CurrentFederalStateAndLocalTaxExpenseBenefit,CurrentFederalTaxExpenseBenefit,CurrentForeignTaxExpenseBenefit,CurrentStateAndLocalTaxExpenseBenefit,DebtInstrumentCarryingAmount,DebtInstrumentUnamortizedDiscountPremiumAndDebtIssuanceCostsNet,DebtInstrumentUnamortizedDiscountPremiumNet,DeferredFederalIncomeTaxExpenseBenefit,DeferredFinanceCostsNet,DeferredIncomeTaxAssetsNet,DeferredIncomeTaxExpenseBenefit,DeferredIncomeTaxesAndTaxCredits,DeferredRentCredit,DeferredRevenueAndCredits,DeferredStateAndLocalIncomeTaxExpenseBenefit,DeferredTaxAssetsGross,DeferredTaxAssetsLiabilitiesNet,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsOperatingLossCarryforwardsDomestic,DeferredTaxAssetsOperatingLossCarryforwardsForeign,DeferredTaxAssetsOther,DeferredTaxAssetsTaxCreditCarryforwardsResearch,DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsShareBasedCompensationCost,DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsAccruedLiabilities,DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsProvisionForLoanLosses,DeferredTaxAssetsUnrealizedCurrencyLosses,DeferredTaxAssetsValuationAllowance,DeferredTaxLiabilitiesGoodwillAndIntangibleAssetsIntangibleAssets,DeferredTaxLiabilitiesPrepaidExpenses,DeferredTaxLiabilitiesPropertyPlantAndEquipment,Depreciation,DepreciationAndAmortization,DerivativeAssetNotionalAmount,DerivativeAssets,DerivativeGainLossOnDerivativeNet,DerivativeLiabilities,DilutedEarningsPerShareProForma,DueToRelatedPartiesCurrentAndNoncurrent,EarningsPerShareBasic,EarningsPerShareDiluted,EffectiveIncomeTaxRateContinuingOperations,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EffectOfExchangeRateOnCashAndCashEquivalents,EffectOfExchangeRateOnCashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,EmployeeRelatedLiabilitiesCurrentAndNoncurrent,EmployeeServiceShareBasedCompensationNonvestedAwardsTotalCompensationCostNotYetRecognizedShareBasedAwardsOtherThanOptions,EmployeeServiceShareBasedCompensationNonvestedAwardsTotalCompensationCostNotYetRecognizedStockOptions,FeesAndCommissionsCreditCards,FinanceLeaseLiabilityPaymentsDueNextTwelveMonths,FinanceLeaseLiabilityPaymentsDueYearFive,FinanceLeaseLiabilityPaymentsDueYearFour,FinanceLeaseLiabilityPaymentsDueYearThree,FinanceLeaseLiabilityPaymentsDueYearTwo,FinancingReceivableAllowanceForCreditLosses,FinancingReceivableAllowanceForCreditLossesRecovery,FinancingReceivableAllowanceForCreditLossesWriteOffs,FinancingReceivableAllowanceForCreditLossForeignCurrencyTranslation,FinancingReceivableBeforeAllowanceForCreditLossAndFee,FinancingReceivableModificationsPostModificationRecordedInvestment2,FinancingReceivableModificationsPreModificationRecordedInvestment2,FinancingReceivableModificationsSubsequentDefaultRecordedInvestment1,FinancingReceivableRecordedInvestmentCurrent,FinancingReceivableRecordedInvestmentNonaccrualStatus,FinancingReceivableRecordedInvestmentPastDue,FinancingReceivablesImpairedTroubledDebtRestructuringWriteDown,FinancingReceivableUnamortizedPurchasePremiumDiscount,FiniteLivedIntangibleAssetsAccumulatedAmortization,FiniteLivedIntangibleAssetsAmortizationExpenseNextTwelveMonths,FiniteLivedIntangibleAssetsAmortizationExpenseYearFive,FiniteLivedIntangibleAssetsAmortizationExpenseYearFour,FiniteLivedIntangibleAssetsAmortizationExpenseYearThree,FiniteLivedIntangibleAssetsAmortizationExpenseYearTwo,ForeignCurrencyTransactionGainLossBeforeTax,ForeignCurrencyTransactionGainLossUnrealized,Goodwill,GoodwillImpairmentLoss,GoodwillPeriodIncreaseDecrease,GrossProfit,ImpairedFinancingReceivableAverageRecordedInvestment,ImpairedFinancingReceivableInterestIncomeAccrualMethod,ImpairedFinancingReceivableRecordedInvestment,ImpairedFinancingReceivableRelatedAllowance,ImpairedFinancingReceivableWithNoRelatedAllowanceRecordedInvestment,ImpairmentOfIntangibleAssetsExcludingGoodwill,ImpairmentOfIntangibleAssetsFinitelived,ImpairmentOfIntangibleAssetsIndefinitelivedExcludingGoodwill,IncomeLossFromContinuingOperations,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeLossFromContinuingOperationsPerBasicShare,IncomeLossFromContinuingOperationsPerDilutedShare,IncomeLossFromDiscontinuedOperationsNetOfTaxAttributableToReportingEntity,IncomeLossFromDiscontinuedOperationsNetOfTaxPerBasicShare,IncomeLossFromDiscontinuedOperationsNetOfTaxPerDilutedShare,IncomeTaxCreditsAndAdjustments,IncomeTaxExaminationPenaltiesAndInterestExpense,IncomeTaxExpenseBenefit,IncomeTaxesPaidNet,IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,IncomeTaxReconciliationChangeInEnactedTaxRate,IncomeTaxReconciliationForeignIncomeTaxRateDifferential,IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,IncomeTaxReconciliationNondeductibleExpense,IncomeTaxReconciliationOtherReconcilingItems,IncomeTaxReconciliationStateAndLocalIncomeTaxes,IncomeTaxReconciliationTaxContingencies,IncomeTaxReconciliationTaxCreditsResearch,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccruedIncomeTaxesPayable,IncreaseDecreaseInAccruedInterestReceivableNet,IncreaseDecreaseInAccruedTaxesPayable,IncreaseDecreaseInContractWithCustomerLiability,IncreaseDecreaseInDeferredIncomeTaxes,IncreaseDecreaseInDeferredRevenue,IncreaseDecreaseInDepositOtherAssets,IncreaseDecreaseInDerivativeLiabilities,IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,IncreaseDecreaseInPropertyAndOtherTaxesPayable,IncreaseDecreaseInRestrictedCash,IncrementalCommonSharesAttributableToConversionOfDebtSecurities,IncrementalCommonSharesAttributableToConversionOfPreferredStock,IncrementalCommonSharesAttributableToShareBasedPaymentArrangements,IntangibleAssetsGrossExcludingGoodwill,IntangibleAssetsNetExcludingGoodwill,InterestExpense,InterestExpenseRelatedParty,InterestOnConvertibleDebtNetOfTax,InterestPaid,InterestPaidNet,InterestPayableCurrentAndNoncurrent,InterestReceivable,LaborAndRelatedExpense,LeaseAndRentalExpense,LeaseCost,LesseeOperatingLeaseLiabilityPaymentsDue,LesseeOperatingLeaseLiabilityPaymentsDueAfterYearFive,LesseeOperatingLeaseLiabilityPaymentsDueNextTwelveMonths,LesseeOperatingLeaseLiabilityPaymentsDueYearFive,LesseeOperatingLeaseLiabilityPaymentsDueYearFour,LesseeOperatingLeaseLiabilityPaymentsDueYearThree,LesseeOperatingLeaseLiabilityPaymentsDueYearTwo,LesseeOperatingLeaseLiabilityPaymentsRemainderOfFiscalYear,LesseeOperatingLeaseLiabilityUndiscountedExcessAmount,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesOfDisposalGroupIncludingDiscontinuedOperation,LitigationReserve,LoansAndLeasesReceivableAllowance,LoansAndLeasesReceivableBeforeFeesGross,LoansAndLeasesReceivableImpairedCommitmentToLend,LoansAndLeasesReceivableNetReportedAmount,LongTermDebt,LongTermDebtMaturitiesRepaymentsOfPrincipalAfterYearFive,LongTermDebtMaturitiesRepaymentsOfPrincipalInNextTwelveMonths,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearFive,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearFour,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearThree,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearTwo,LongTermDebtMaturitiesRepaymentsOfPrincipalRemainderOfFiscalYear,LossContingencyAccrualAtCarryingValue,LossContingencyAccrualPayments,LossContingencyAccrualProvision,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,NetIncomeLoss,NetIncomeLossAttributableToParentDiluted,NoncurrentAssets,NonoperatingIncomeExpense,NotesReceivableNet,NumberOfCountriesInWhichEntityOperates,NumberOfReportableSegments,NumberOfReportingUnits,OperatingExpenses,OperatingIncomeLoss,OperatingLeaseCost,OperatingLeaseExpense,OperatingLeaseImpairmentLoss,OperatingLeaseLiability,OperatingLeasePayments,OperatingLeaseRightOfUseAsset,OperatingLeaseRightOfUseAssetAmortizationExpense,OperatingLeasesFutureMinimumPaymentsDue,OperatingLeasesFutureMinimumPaymentsDueCurrent,OperatingLeasesFutureMinimumPaymentsDueInFiveYears,OperatingLeasesFutureMinimumPaymentsDueInFourYears,OperatingLeasesFutureMinimumPaymentsDueInThreeYears,OperatingLeasesFutureMinimumPaymentsDueInTwoYears,OperatingLeasesFutureMinimumPaymentsDueThereafter,OperatingLeasesRentExpenseNet,OperatingLeaseWeightedAverageDiscountRatePercent,OtherAccruedLiabilitiesCurrentAndNoncurrent,OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationAdjustmentNetOfTaxPortionAttributableToParent,OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationGainLossArisingDuringPeriodNetOfTax,OtherComprehensiveIncomeForeignCurrencyTranslationAdjustmentTaxPortionAttributableToParent,OtherComprehensiveIncomeForeignCurrencyTranslationGainLossArisingDuringPeriodTax,OtherComprehensiveIncomeLossCashFlowHedgeGainLossAfterReclassificationAndTaxParent,OtherComprehensiveIncomeLossCashFlowHedgeGainLossAfterReclassificationTaxParent,OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationReclassificationAdjustmentFromAOCIRealizedUponSaleOrLiquidationBeforeTax,OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationReclassificationAdjustmentFromAOCIRealizedUponSaleOrLiquidationNetOfTax,OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationReclassificationAdjustmentFromAOCIRealizedUponSaleOrLiquidationTax,OtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentTax,OtherComprehensiveIncomeLossNetOfTaxPortionAttributableToParent,OtherComprehensiveIncomeUnrealizedGainLossOnDerivativesArisingDuringPeriodNetOfTax,OtherComprehensiveIncomeUnrealizedGainLossOnDerivativesArisingDuringPeriodTax,OtherCostOfOperatingRevenue,OtherGeneralExpense,OtherNoncashExpense,OtherNoncashIncomeExpense,OtherNonoperatingIncomeExpense,OtherSalesRevenueNet,PaymentsForDerivativeInstrumentFinancingActivities,PaymentsForRepurchaseOfCommonStock,PaymentsOfDebtExtinguishmentCosts,PaymentsOfFinancingCosts,PaymentsOfStockIssuanceCosts,PaymentsRelatedToTaxWithholdingForShareBasedCompensation,PaymentsToAcquirePropertyPlantAndEquipment,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValue,PrepaidExpenseAndOtherAssets,ProceedsFromCollectionOfLoansReceivable,ProceedsFromIssuanceOfCommonStock,ProceedsFromIssuanceOfLongTermDebt,ProceedsFromIssuanceOfSharesUnderIncentiveAndShareBasedCompensationPlans,ProceedsFromIssuanceOfSharesUnderIncentiveAndShareBasedCompensationPlansIncludingStockOptions,ProceedsFromRecoveriesOfLoanPreviouslyChargedOff,ProceedsFromSaleOfIntangibleAssets,ProceedsFromStockOptionsExercised,ProceedsFromStockPlans,ProFormaWeightedAverageSharesOutstandingDiluted,ProfessionalFees,PropertyPlantAndEquipmentGross,PropertyPlantAndEquipmentNet,ProvisionForLoanAndLeaseLosses,ProvisionForLoanLossesExpensed,RepaymentsOfLongTermCapitalLeaseObligations,RepaymentsOfLongTermDebt,RestrictedCashAndCashEquivalents,RetainedEarningsAccumulatedDeficit,RevenueFromContractWithCustomerExcludingAssessedTax,Revenues,RightOfUseAssetObtainedInExchangeForFinanceLeaseLiability,RightOfUseAssetObtainedInExchangeForOperatingLeaseLiability,SellingAndMarketingExpense,ShareBasedCompensation,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedDividendRate,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedVolatilityRate,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedVolatilityRateMaximum,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedVolatilityRateMinimum,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsRiskFreeInterestRate,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsRiskFreeInterestRateMaximum,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsRiskFreeInterestRateMinimum,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsWeightedAverageVolatilityRate,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisableNumber,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisableWeightedAverageExercisePrice,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisesInPeriodTotalIntrinsicValue,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExpirationsInPeriod,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsForfeituresInPeriod,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriodGross,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriodWeightedAverageGrantDateFairValue,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingNumber,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingWeightedAverageExercisePrice,ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsExercisesInPeriodWeightedAverageExercisePrice,ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsExpirationsInPeriodWeightedAverageExercisePrice,ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsForfeituresInPeriodWeightedAverageExercisePrice,ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsGrantsInPeriodWeightedAverageExercisePrice,ShareBasedCompensationSharesAuthorizedUnderStockOptionPlansExercisePriceRangeNumberOfOutstandingOptions,SharebasedCompensationArrangementBySharebasedPaymentAwardEquityInstrumentsOtherThanOptionsAggregateIntrinsicValueVested,SharesPaidForTaxWithholdingForShareBasedCompensation,ShortTermLeaseCost,StockholdersEquity,StockholdersEquityNoteStockSplitConversionRatio1,StockIssued1,StockIssuedDuringPeriodSharesStockOptionsExercised,StockIssuedDuringPeriodValueConversionOfConvertibleSecurities,StockIssuedDuringPeriodValueEmployeeStockPurchasePlan,StockIssuedDuringPeriodValueNewIssues,StockIssuedDuringPeriodValueRestrictedStockAwardGross,StockIssuedDuringPeriodValueStockOptionsExercised,StockIssuedDuringPeriodValueTreasuryStockReissued,TaxCreditCarryforwardAmount,TaxCutsAndJobsActOf2017IncomeTaxExpenseBenefit,TaxCutsAndJobsActOf2017ReclassificationFromAociToRetainedEarningsTaxEffect,TaxesPayableCurrentAndNoncurrent,TreasuryStockCommonShares,TreasuryStockValue,TreasuryStockValueAcquiredCostMethod,UnamortizedLoanCommitmentAndOriginationFeesAndUnamortizedDiscountsOrPremiums,UnrecognizedTaxBenefits,UnrecognizedTaxBenefitsDecreasesResultingFromPriorPeriodTaxPositions,UnrecognizedTaxBenefitsIncomeTaxPenaltiesAccrued,UnrecognizedTaxBenefitsIncreasesResultingFromCurrentPeriodTaxPositions,UnrecognizedTaxBenefitsThatWouldImpactEffectiveTaxRate,ValuationAllowanceDeferredTaxAssetChangeInAmount,VariableInterestEntityNonconsolidatedCarryingAmountLiabilities,WeightedAverageBasicSharesOutstandingProForma,WeightedAverageNumberBasicSharesOutstandingAdjustmentProForma,WeightedAverageNumberOfDilutedSharesOutstanding,WeightedAverageNumberOfSharesOutstandingBasic,DerivativeNumberOfInstrumentsHeld,OtherComprehensiveIncomeLossCashFlowHedgeGainLossReclassificationBeforeTax,UnrecognizedTaxBenefitsIncreasesResultingFromPriorPeriodTaxPositions
2017-03-31,2017-05-18,10-Q,"ELEVATE CREDIT, INC.",ELVT,CIK0001651094,USD,29936000.0,21000.0,,,,,1010000.0,89627000.0,702000.0,,10488000.0,700000.0,122000.0,99256000.0,7328000.0,735000.0,70000.0,45000.0,-2347000.0,589488000.0,,0.06,600000.0,884000.0,,,,,,,,,,,,97231000.0,43657000.0,98917000.0,43558000.0,,,,0.001,41676750.0,13309954.0,13309954.0,5000.0,1591000.0,,,,97389000.0,3363000.0,378000.0,143000.0,0.0,235000.0,514800000.0,3535000.0,,1276000.0,,33874000.0,759000.0,759000.0,,23640000.0,173000.0,,,,,,,,,,,,,,,,,2608000.0,,,0.0,4400000.0,0.06,,0.06,0.06,0.41,0.35,73000.0,69000.0,,,1800000.0,,,,,,,73363000.0,,,,,,,,,,,,,2897000.0,,180000.0,180000.0,180000.0,180000.0,568000.0,568000.0,16027000.0,,,58978000.0,,,,,,,,,,2805000.0,,,,,,0.0,,1137000.0,13000.0,,,,,,,,,,1766000.0,,17725000.0,189000.0,,0.0,-5330000.0,0.0,0.0,262000.0,,-95000.0,0.0,14098525.0,1498273.0,5156000.0,2259000.0,19246000.0,,0.0,18699000.0,,,21400000.0,20528000.0,3257000.0,,,,,,,,,,,570194000.0,589488000.0,,,69798000.0,435113000.0,,367312000.0,511265000.0,,,248000000.0,0.0,0.0,266800000.0,0.0,,,,19635000.0,,-48347000.0,,72201000.0,,1668000.0,1668000.0,35887000.0,-133000.0,,,1.0,,37362000.0,21616000.0,,,,,,,,,,,,,,,,,,-77000.0,-77000.0,,0.0,,,,,,,-77000.0,0.0,0.0,4108000.0,915000.0,133000.0,-133000.0,,515000.0,0.0,,,,187000.0,,3093000.0,,,,,6000.0,11716000.0,,,19500000.0,,,,,765000.0,,28735749.0,7576000.0,,17601000.0,82793000.0,,21000.0,,1686000.0,-71354000.0,,156367000.0,,,2478000.0,702000.0,,,,,,,,,2250364.0,3.67,2500000.0,,17471.0,111177.0,2.88,3175203.0,4.58,2.14,,5.44,8.08,,,,,19294000.0,,,419915.0,,,,,-2000.0,,8900000.0,,,953000.0,,,,1997000.0,,,,,,,,27237470.0,14098519.0,28735749.0,27237470.0,,,
2017-06-30,2017-08-11,10-Q,"ELEVATE CREDIT, INC.",ELVT,CIK0001651094,USD,33624000.0,144000.0,,,,,1181000.0,169954000.0,,,19592000.0,2100000.0,412000.0,83721000.0,7489000.0,,,46000.0,-2347000.0,613045000.0,,,600000.0,,,,,,,,,,,,,81195000.0,,83383000.0,,,,,0.001,300000000.0,41693473.0,41693473.0,17000.0,3191000.0,,,,96314000.0,,193000.0,12000.0,0.0,181000.0,450850000.0,1915000.0,,-711000.0,,33542000.0,-1613000.0,,,25090000.0,-98000.0,,,,,,,,,,,,,,,,,2393000.0,,,,1754000.0,,,0.08,0.08,,,,,,,800000.0,,,,,,,69840000.0,,,,,,,,,,,,,2943000.0,,180000.0,180000.0,180000.0,180000.0,1716000.0,,16027000.0,,,54157000.0,,,,,,,,,,1600000.0,,,,,,0.0,,-1420000.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1408795.0,5156000.0,2213000.0,18095000.0,,0.0,,,,21900000.0,20824000.0,3519000.0,,,,,,,,,,,510226000.0,613045000.0,,,66030000.0,469656000.0,,405619000.0,448935000.0,,,269000000.0,0.0,0.0,181850000.0,0.0,,,,,,,,,,3020000.0,3020000.0,37999000.0,2646000.0,,,,,38824000.0,15333000.0,,,,,,,,,,,,,,,,,,171000.0,,,0.0,0.0,0.0,,,,,171000.0,,,4425000.0,1095000.0,,,,1939000.0,,,,,,,,0.0004,24500000.0,0.0,0.0,0.0,8048000.0,,,,,,,,,,,8851000.0,,19759000.0,72297000.0,,,,2188000.0,-68333000.0,150471000.0,150471000.0,,,2142000.0,,,,,,,,,,2742174.0,4.21,,,,,,3125672.0,4.57,,,,,,,,,102819000.0,,,,,,,,,,,,,823000.0,,,,1993000.0,,,,,,,,,,39950760.0,38541965.0,,,
2017-09-30,2017-11-09,10-Q,"ELEVATE CREDIT, INC.",ELVT,CIK0001651094,USD,38437000.0,65000.0,,,,,1857000.0,171739000.0,,,20242000.0,1600000.0,258000.0,88564000.0,8332000.0,,,45000.0,-2347000.0,652779000.0,,,600000.0,,,,,,,,,,,,,53473000.0,,55113000.0,,,,,0.0004,300000000.0,41743473.0,41743473.0,17000.0,1266000.0,,,,122279000.0,,15000.0,72000.0,0.0,-57000.0,478097000.0,1553000.0,,-3029000.0,,37549000.0,-3994000.0,,,29313000.0,-842000.0,,,,,,,,,,,,,,,,,2656000.0,,,,1860000.0,,,0.01,0.01,,,,,,,700000.0,,,,,,,80972000.0,,,,,,,,,,,,,2988000.0,,180000.0,180000.0,180000.0,180000.0,536000.0,,16027000.0,,,50572000.0,,,,,,,,,,-3389000.0,,,,,,0.0,,-3979000.0,,,,,,,,,,,,,,,,,,,,,,,,,1441284.0,5156000.0,2168000.0,17261000.0,,,,,,27600000.0,19502000.0,3227000.0,,,,,,,,,,,546926000.0,652779000.0,,,80972000.0,537405000.0,,458584000.0,476544000.0,,,344047000.0,0.0,0.0,134050000.0,0.0,,,,,,,,,,590000.0,590000.0,39565000.0,-106000.0,,,,,37130000.0,13442000.0,,,,,,,,,,,,,,,,,,676000.0,,,0.0,0.0,0.0,,,,,676000.0,,,5834000.0,1085000.0,,,,2433000.0,,,,,,,,0.0004,24500000.0,0.0,0.0,0.0,9110000.0,,,,,,,,,,,8618000.0,,21370000.0,96203000.0,,,,1640000.0,-67760000.0,172851000.0,172851000.0,,,2042000.0,,,,,,,,,,2736521.0,4.29,,,,,,3066677.0,4.6,,,,,,,,,105853000.0,,,,,,,,,,,,,772000.0,,,,2151000.0,,,,,,,,,,43158515.0,41717231.0,,,
2017-12-31,2018-03-09,10-K,"ELEVATE CREDIT, INC.",ELVT,CIK0001651094,USD,42213000.0,95000.0,18668000.0,,,45678000.0,2003000.0,174090000.0,6318000.0,6708000.0,72222000.0,6300000.0,849000.0,379163000.0,32153000.0,3637000.0,525000.0,200000.0,2273000.0,687543000.0,,,400000.0,1158000.0,28442000.0,4784000.0,40378000.0,11936000.0,687000.0,0.0,0.0,0.0,0.0,0.0,687000.0,31582000.0,-12432000.0,33117000.0,-12622000.0,,,,0.0004,300000000.0,42165524.0,42165524.0,17000.0,-6000000.0,33023000.0,,72222000.0,584682000.0,0.0,202000.0,0.0,0.0,202000.0,514260000.0,965000.0,100000.0,9973000.0,1000000.0,23545000.0,9729000.0,9729000.0,1000000.0,33023000.0,-244000.0,34178000.0,23545000.0,,10321000.0,4179000.0,1880000.0,0.0,0.0,1718000.0,13781000.0,2274000.0,4545000.0,4382000.0,1068000.0,638000.0,10100000.0,10272000.0,0.0,0.0,0.0,1972000.0,,,-0.49,-0.49,3.29,,436000.0,436000.0,6866000.0,13600000.0,300000.0,58008000.0,,,,,,93789000.0,32153000.0,379163000.0,849000.0,,7726000.0,9619000.0,2300000.0,2661000.0,800000.0,2445000.0,1893000.0,,3033000.0,180000.0,180000.0,180000.0,180000.0,180000.0,2900000.0,2900000.0,16027000.0,,,281893000.0,6416000.0,1162000.0,5106000.0,459000.0,4647000.0,,0.0,,,3015000.0,,,,,,,0.0,9931000.0,442000.0,-1198000.0,,-1616000.0,1055000.0,161000.0,-985000.0,-537000.0,190000.0,0.0,9266000.0,,93532000.0,58000.0,15116000.0,,15116000.0,0.0,0.0,4803000.0,,-190000.0,0.0,0.0,0.0,5156000.0,2123000.0,73043000.0,,,68925000.0,68925000.0,6393000.0,36600000.0,81969000.0,13895000.0,,,,,,,,,,,591387000.0,687543000.0,,,87946000.0,610216000.0,300000.0,524619000.0,513295000.0,,124000000.0,0.0,390260000.0,0.0,0.0,,0.0,,,102695000.0,,-424441000.0,,308688000.0,,-19110000.0,,42399000.0,2295000.0,,,1.0,,151937000.0,61000000.0,,13895000.0,,,,,,8836000.0,3473000.0,524000.0,509000.0,1600000.0,1963000.0,767000.0,3700000.0,,4348000.0,916000.0,916000.0,,-74000.0,0.0,0.0,,0.0,,-74000.0,916000.0,,,20536000.0,4600000.0,,2295000.0,2295000.0,6578000.0,0.0,0.0,0.0,788000.0,1731000.0,1178000.0,16755000.0,0.0004,24500000.0,0.0,0.0,0.0,10306000.0,794717000.0,86699000.0,103560000.0,,511000.0,32200000.0,,593000.0,511000.0,,32848000.0,69927000.0,24249000.0,357574000.0,357574000.0,21000.0,84950000.0,1535000.0,-79954000.0,673132000.0,866575000.0,,0.0,8353000.0,6318000.0,0.0,,0.34,0.31,,0.0228,0.0203,0.33,2364062.0,4.32,4200000.0,,330157.0,111177.0,8.08,2528925.0,4.48,2.31,,7.58,8.08,2528925.0,1900000.0,267179.0,,96156000.0,2.5,,753507.0,0.0,511000.0,80194000.0,-229000.0,-356000.0,,,12500000.0,,884000.0,,,,2349000.0,5926000.0,166000.0,,356000.0,,-1200000.0,5843000.0,,,75808600.0,75808600.0,,,
