end,filed,form,Name,Ticker,CIK,Currency,AccountsAndOtherReceivablesNetCurrent,AccountsPayableCurrent,AccountsPayableInterestBearingInterestRate,AccountsReceivableNetCurrent,AdditionalPaidInCapital,AdditionalPaidInCapitalCommonStock,AdjustmentsToAdditionalPaidInCapitalStockIssuedIssuanceCosts,Assets,AssetsCurrent,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashAndDueFromBanks,CashPeriodIncreaseDecrease,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,ConvertibleDebt,ConvertibleNotesPayableCurrent,CostOfRevenue,CurrentFederalTaxExpenseBenefit,CurrentStateAndLocalTaxExpenseBenefit,DebtConversionConvertedInstrumentAmount1,DebtInstrumentConvertibleConversionPrice1,DebtInstrumentDecreaseForgiveness,DebtInstrumentInterestRateStatedPercentage,DeferredFederalIncomeTaxExpenseBenefit,DeferredIncomeTaxExpenseBenefit,DeferredStateAndLocalIncomeTaxExpenseBenefit,DeferredTaxAssetsLiabilitiesNet,DeferredTaxAssetsNet,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsValuationAllowance,DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,DueFromOtherRelatedPartiesCurrent,DueToRelatedPartiesCurrent,EarningsPerShareBasicAndDiluted,FederalIncomeTaxExpenseBenefitContinuingOperations,GeneralAndAdministrativeExpense,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeLossFromEquityMethodInvestments,IncomeTaxesPaid,IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,IncomeTaxReconciliationChangeInEnactedTaxRate,IncreaseDecreaseDueFromOfficersAndStockholders,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccountsReceivable,IncreaseDecreaseInAccruedInterestReceivableNet,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInInterestPayableNet,IncreaseDecreaseInNotesPayableCurrent,IncreaseDecreaseInOtherAccruedLiabilities,IncreaseDecreaseInOtherReceivables,IncreaseDecreaseInPrepaidExpense,InterestExpense,InterestExpenseRelatedParty,InterestIncomeExpenseNet,InterestPaid,InterestPayable,InterestPayableCurrent,InterestPayableCurrentAndNoncurrent,LegalFees,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LitigationSettlementExpense,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NotesPayable,NotesPayableCurrent,NotesPayableRelatedPartiesClassifiedCurrent,NotesPayableRelatedPartiesCurrentAndNoncurrent,OperatingIncomeLoss,OperatingLossCarryforwards,OtherExpenses,OtherNonoperatingIncome,OtherReceivablesNetCurrent,PaymentsOfStockIssuanceCosts,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValue,PrepaidExpenseCurrent,PrepaidExpenseCurrentAndNoncurrent,ProceedsFromContributedCapital,ProceedsFromIssuanceOfCommonStock,ProceedsFromNotesPayable,ProceedsFromRelatedPartyDebt,ProceedsFromRepaymentsOfNotesPayable,ProfitLoss,RepaymentsOfNotesPayable,ResultsOfOperationsIncomeTaxExpense,RetainedEarningsAccumulatedDeficit,Revenues,SaleOfStockNumberOfSharesIssuedInTransaction,SaleOfStockPricePerShare,SellingGeneralAndAdministrativeExpense,SharesIssued,StockholdersEquity,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodSharesStockSplits,StockIssuedDuringPeriodValueIssuedForServices,WeightedAverageNumberOfDilutedSharesOutstanding,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesOutstandingBasic,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,IncreaseDecreaseInAccountsReceivableRelatedParties
2009-09-30,2009-12-21,10-K,YUMMIES INC,YUMM,CIK0001073748,USD,,,,,,,,,,,5057.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-21428.0,,,,,,,,,
2010-06-30,2010-08-13,10-Q,YUMMIES INC,YUMM,CIK0001073748,USD,,,,,,,,,,,136.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,845.0,,,,,,,,,,,,,,,,,396.0,,,,,,,,,,,,,,-1241.0,,,,,-845.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2505000.0,,2505000.0,,,
2010-09-30,2010-12-22,10-K,YUMMIES INC,YUMM,CIK0001073748,USD,,4100.0,,,,12507.0,,112.0,112.0,112.0,112.0,-4945.0,,,0.001,50000000.0,2505000.0,2505000.0,2505.0,,3774.0,,,,,,,,,,,,,,,42968.0,,,,,5466.0,-7048.0,,,,,,,,,,,1583.0,,,,,1582.0,,,,854.0,,,,112.0,28068.0,,,,-4945.0,-7048.0,,,16000.0,,-5466.0,,520.0,,,,,,,,,,,,,,,,,,,,,,,,2505000.0,-27956.0,,,,2505000.0,,2505000.0,,,
2010-12-31,2011-02-10,10-Q,YUMMIES INC,YUMM,CIK0001073748,USD,,,,,,,,,,,94.0,-18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2978.0,,,,,,,,,,,,-1140.0,4100.0,,,,411.0,,,,,,,,,,,,,-18.0,-3389.0,,,,,-2978.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2505000.0,,2505000.0,,,
2011-03-31,2011-05-13,10-Q,YUMMIES INC,YUMM,CIK0001073748,USD,,,,,,,,,,79.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,775.0,,,,,,,,,,,,,,,,,477.0,,,,,,,,,,,,,,-1252.0,,,,,-775.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2505000.0,,,,
2011-06-30,2011-08-10,10-Q,YUMMIES INC,YUMM,CIK0001073748,USD,,6060.0,,,,13227.0,,5057.0,5057.0,5057.0,5057.0,,,,0.001,50000000.0,2505000.0,2505000.0,2505.0,,3774.0,,,,,,,,,,,,,,,51232.0,,,,,3081.0,,,,,,,,,,,,,,,,,541.0,,,,1081.0,,,,5057.0,40557.0,,,,,-3622.0,,,25100.0,,-3081.0,,,,,,,,,,,,,,,,,,,,,,,,,,,-35500.0,,,,2505000.0,2505000.0,2505000.0,,,
2011-09-30,2011-12-29,10-K,YUMMIES INC,YUMM,CIK0001073748,USD,,4600.0,,,,13727.0,,2874.0,2874.0,2874.0,2874.0,2762.0,,2762.0,0.001,50000000.0,2505000.0,2505000.0,2505.0,,3774.0,,,,4100.0,,,,0.0,,0.0,,18031.0,,3422.0,53033.0,,,,0.0,8058.0,-10065.0,,,,,,500.0,,,,,2007.0,4100.0,,,,2007.0,,,,,,,,2874.0,39675.0,,5000.0,,-2238.0,-10065.0,,,25100.0,,-8058.0,,1220.0,,,,,,,,,,,,,,5000.0,,,,0.0,,,,,,2505000.0,-36801.0,,,,2505000.0,2505000.0,2505000.0,,,
2011-12-31,2012-01-24,10-Q,YUMMIES INC,YUMM,CIK0001073748,USD,,3700.0,,,,17727.0,,2250.0,2250.0,2250.0,2250.0,-624.0,,-624.0,0.001,50000000.0,2505000.0,2505000.0,2505.0,,3774.0,,,,,,,,,,,,,,,57334.0,,,,,3723.0,,,,,,,-900.0,,,,,577.0,,,,,578.0,,,,,,,,2250.0,39352.0,,,,-624.0,-4301.0,,,25100.0,,-3723.0,,4000.0,,,,,,,,,,,,,,,,,,,,,,,,,-37102.0,,,,2505000.0,2505000.0,2505000.0,,,
2012-03-31,2012-05-09,10-Q,YUMMIES INC,YUMM,CIK0001073748,USD,,3000.0,,,,17727.0,,416.0,416.0,416.0,416.0,,,,0.001,50000000.0,2505000.0,2505000.0,2505.0,,3774.0,,,,,,,,,,,,,,,59046.0,,,,,1134.0,,,,,,,,,,,,,,,,,578.0,,,,,,,,416.0,39230.0,,,,,-1712.0,,,25100.0,,-1134.0,,,,,,,,,,,,,,,,,,,,,,,,,,,-38814.0,,,,,2505000.0,,,,
2012-06-30,2012-08-10,10-Q,YUMMIES INC,YUMM,CIK0001073748,USD,,3750.0,,,,19052.0,,686.0,686.0,686.0,,,,,0.001,50000000.0,2505000.0,2505000.0,2505.0,,3774.0,,,,,,,,,,,,,,,61428.0,,,,,1804.0,,,,,,,,,,,,,,,,,578.0,,,,,,,,686.0,40557.0,,,,,-2382.0,,,25100.0,,-1804.0,50033.0,,,,,,,,,,,,,,,,,,,,,,,,,,-39871.0,,,,,2505000.0,,,,
