end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableCurrent,AdditionalPaidInCapital,Assets,AssetsCurrent,AssetsNet,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashEquivalentsAtCarryingValue,CommonStockOtherSharesOutstanding,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,ComprehensiveIncomeNetOfTax,CostOfGoodsAndServicesSold,CostOfGoodsSold,DeferredTaxAssetsLiabilitiesNet,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsValuationAllowance,DueFromOfficersOrStockholdersCurrent,DueToEmployeesCurrent,DueToOfficersOrStockholdersCurrent,DueToOfficersOrStockholdersCurrentAndNoncurrent,EarningsPerShareBasic,EarningsPerShareBasicAndDiluted,EarningsPerShareDiluted,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EffectiveIncomeTaxRateReconciliationStateAndLocalIncomeTaxes,FeesAndCommissionsTransferAgent,GainLossOnSaleOfLeasedAssetsNetOperatingLeases,GrossProfit,IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeTaxExpenseBenefit,IncomeTaxesPaid,IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccruedTaxesPayable,IncreaseDecreaseInInventories,IncreaseDecreaseInInventoriesAndOtherOperatingAssets,IncreaseDecreaseInPrepaidRent,InterestPaid,InventoryGross,InventoryNet,InvestmentIncomeNet,LegalFees,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,OperatingCostsAndExpenses,OperatingExpenses,OperatingIncomeLoss,OperatingLossCarryforwards,OperatingLossCarryforwardsValuationAllowance,OtherGeneralAndAdministrativeExpense,OtherIncome,OtherLiabilitiesCurrent,OtherOperatingIncome,PaymentsForRent,PrepaidExpenseCurrent,ProceedsFromContributedCapital,ProceedsFromIssuanceOfCommonStock,ProceedsFromRelatedPartyDebt,ProfessionalFees,ProfitLoss,PropertyPlantAndEquipmentGross,PropertyPlantAndEquipmentNet,RetainedEarningsAccumulatedDeficit,Revenues,SalesAndExciseTaxPayableCurrent,SellingGeneralAndAdministrativeExpense,SharebasedCompensationArrangementBySharebasedPaymentAwardPurchasePriceOfCommonStockPercent,SharesOutstanding,StockholdersEquity,StockIssuedDuringPeriodValueIssuedForServices,StockIssuedDuringPeriodValueNewIssues,ValuationAllowanceDeferredTaxAssetChangeInAmount,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesOutstandingBasic,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect
2011-12-31,2012-06-11,10-Q,First America Resources Corporation,FSTJ,CIK0001525306,USD,,41343.0,34217.0,34217.0,,34217.0,34217.0,-3220.0,,,0.001,500000000.0,5771500.0,5771500.0,5772.0,-3220.0,,,,,,,,46291.0,,0.0,,0.0,,,,,,,-3220.0,,,,,,,,,,,,,4.0,,46291.0,34217.0,,,,-3220.0,-3220.0,,3224.0,-3224.0,,,,,46291.0,,,,,,,520.0,,,,-59189.0,,,3224.0,,,-12074.0,,,,,,
2012-03-31,2012-05-18,10-Q,First America Resources Corporation,FSTJ,CIK0001525306,USD,,41343.0,20561.0,20561.0,,2264.0,2264.0,-31953.0,,,0.001,500000000.0,5771500.0,5771500.0,5772.0,-34525.0,,,,,,,,67159.0,,-0.01,,-0.01,,,,,,,-34525.0,,,,,,,-18297.0,-18297.0,,,,18297.0,3.0,,67159.0,20561.0,,20869.0,,-52822.0,-34525.0,,34528.0,-34528.0,,,10000.0,,67159.0,,,,,,20869.0,29654.0,,,,-93713.0,,,34528.0,,,-46598.0,,,,,,
2012-06-30,2012-10-16,10-K,First America Resources Corporation,FSTJ,CIK0001525306,USD,,112780.0,42755.0,42755.0,,28924.0,28924.0,22625.0,28924.0,,0.001,500000000.0,6493090.0,6493090.0,6494.0,-66590.0,,5708.0,,,,,,24213.0,,-0.01,,-0.01,,,2331.0,,1258.0,,-66590.0,,,,,,94.0,-13831.0,-13831.0,580.0,,,13831.0,10.0,5000.0,24307.0,42755.0,,97372.0,,-74747.0,0.0,,67858.0,-66600.0,,,15000.0,,24307.0,,,580.0,,73159.0,24213.0,53448.0,-66590.0,,0.0,-100826.0,6966.0,94.0,67858.0,,,18448.0,,,,,,
2012-09-30,2012-11-13,10-Q,First America Resources Corporation,FSTJ,CIK0001525306,USD,8000.0,112780.0,45386.0,45386.0,,26356.0,26357.0,-2567.0,26356.0,,0.001,500000000.0,6493090.0,6493090.0,6494.0,-18733.0,,4423.0,,,,,,37577.0,,0.0,,0.0,,,,,2670.0,,-18733.0,,,,,8000.0,,,-5199.0,,,,19030.0,,,45671.0,45386.0,8000.0,13365.0,,-15932.0,-18733.0,,21403.0,-18733.0,,,5000.0,,37671.0,,,,,,13365.0,18738.0,-18733.0,,0.0,-119559.0,7093.0,94.0,21403.0,,4671590.0,-285.0,,,,,,
2012-12-31,2013-02-20,10-Q,First America Resources Corporation,FSTJ,CIK0001525306,USD,24500.0,112780.0,40414.0,40414.0,,21384.0,21385.0,-4972.0,21384.0,,0.001,500000000.0,6493090.0,6493090.0,6494.0,-23212.0,,,,,,,,39317.0,,0.0,,0.0,,,,,,,-23212.0,,,,,16500.0,,,,,,,19030.0,,,63911.0,40414.0,24500.0,1740.0,,-6712.0,-23212.0,,23212.0,-23212.0,,,15000.0,,39411.0,,,,,,1740.0,21000.0,,,,-142771.0,0.0,94.0,23212.0,,4671590.0,-23497.0,,,,,,
2013-03-31,2013-05-13,10-Q,First America Resources Corporation,FSTJ,CIK0001525306,USD,3500.0,112780.0,472.0,472.0,,472.0,472.0,-20913.0,472.0,,0.001,500000000.0,6493090.0,6493090.0,6494.0,-5319.0,,,,,,,,25788.0,,0.0,,0.0,,,155.0,,,,-5319.0,,,,,-21000.0,-94.0,,19030.0,,,,,,,29288.0,472.0,3500.0,-13530.0,,-7383.0,-5319.0,,5319.0,-5319.0,,,1000.0,,25788.0,,,,,,-13530.0,4458.0,,,,-148090.0,0.0,,5319.0,,5387925.0,-28816.0,,,,,,
2013-06-30,2013-09-30,10-K,First America Resources Corporation,FSTJ,CIK0001525306,USD,,112780.0,383.0,383.0,,383.0,383.0,-28541.0,383.0,,0.001,500000000.0,6493090.0,6493090.0,6494.0,-48852.0,,4423.0,,,,,,30787.0,,-0.01,,-0.01,,,5941.0,,2670.0,,-48852.0,,,,,,-94.0,,13831.0,,,0.0,,1.0,,30787.0,383.0,30787.0,6574.0,,-35115.0,0.0,,51523.0,-48853.0,,,21000.0,,30787.0,,,,,,6574.0,44847.0,-48852.0,,,-149678.0,7093.0,,51523.0,,5388010.0,-30404.0,,,,,,
2013-09-30,2013-11-12,10-Q,First America Resources Corporation,FSTJ,CIK0001525306,USD,1959.0,124660.0,6385.0,6385.0,,6385.0,6385.0,6002.0,6385.0,,0.001,500000000.0,6613090.0,6613090.0,6614.0,-29957.0,,,,,,,,52787.0,,0.0,,0.0,,,,,,,-29957.0,,,,,1959.0,,,,,,0.0,,,12000.0,54746.0,6385.0,1959.0,22000.0,,-15998.0,-29957.0,,29957.0,-29957.0,,,,,52787.0,,,,,,22000.0,29859.0,,0.0,,-179635.0,,,29957.0,,5388010.0,-48361.0,,,,,,
2013-12-31,2014-02-12,10-Q,First America Resources Corporation,FSTJ,CIK0001525306,USD,15000.0,183460.0,51483.0,51483.0,,51483.0,51483.0,45098.0,51483.0,,0.001,500000000.0,7813090.0,7813090.0,7814.0,-33243.0,,,,,,,,58087.0,,-0.01,,0.0,,,,,,,-33243.0,,,,,13041.0,,,,,,0.0,,,,73087.0,51483.0,15000.0,65300.0,,-20202.0,-33243.0,,33243.0,-33243.0,,,15000.0,,58087.0,,,,,60000.0,5300.0,32584.0,,,,-212878.0,0.0,,33243.0,,6588010.0,-21604.0,,,,,,
2014-03-31,2014-05-15,10-Q,First America Resources Corporation,FSTJ,CIK0001525306,USD,100.0,183999.0,32882.0,32882.0,,32882.0,32882.0,-18601.0,32882.0,,0.001,500000000.0,7824090.0,7824090.0,7825.0,-1251.0,,0.0,,,,,,55087.0,,0.0,,0.0,,,,,,,-1251.0,,,,,-14900.0,,,,,,0.0,,,,55187.0,32882.0,100.0,-2450.0,,-16151.0,-1251.0,,1251.0,-1251.0,,,,,55087.0,,,,,550.0,-3000.0,1161.0,,,,-214129.0,0.0,,1251.0,,,-22305.0,,,,,,
2014-06-30,2014-09-04,10-K,First America Resources Corporation,FSTJ,CIK0001525306,USD,200.0,183999.0,30941.0,30941.0,,30941.0,30941.0,30558.0,30941.0,,0.001,500000000.0,7824090.0,7824090.0,7825.0,-66492.0,0.0,0.0,,,,,25787.0,29300.0,,-0.01,,0.0,,,,,,,-66492.0,,,,,200.0,,,,,,0.0,,,12000.0,55287.0,30941.0,29500.0,84850.0,,-54292.0,-66492.0,,66492.0,-66492.0,,,15000.0,,25787.0,,,,,60550.0,24300.0,64905.0,-66492.0,0.0,,-216170.0,0.0,,66492.0,,6588010.0,-24346.0,,,,,,
2014-09-30,2014-11-10,10-Q,First America Resources Corporation,FSTJ,CIK0001525306,USD,100.0,183999.0,28081.0,28081.0,,,28081.0,-2860.0,,,0.001,500000000.0,7824090.0,7824090.0,7825.0,-2760.0,0.0,,,,,,25787.0,29300.0,,0.0,,0.0,,,,,,,-2760.0,,,,,-100.0,,,,,,0.0,,,,55187.0,28081.0,29400.0,,,-2860.0,-2760.0,,2760.0,-2760.0,,,,,25787.0,,,,,,,2700.0,-2760.0,0.0,,-218930.0,,,2760.0,,6588010.0,-27106.0,,,,,,
2014-12-31,2015-02-13,10-Q,First America Resources Corporation,FSTJ,CIK0001525306,USD,100.0,183999.0,11948.0,11948.0,,,11949.0,-16133.0,,,0.001,500000000.0,7824090.0,7824090.0,7825.0,-16133.0,,,,,,,25787.0,29300.0,,0.0,,0.0,,,,,,,-16133.0,,,,,,,,,,,0.0,,,,55187.0,11948.0,29400.0,,,-16133.0,-16133.0,,16133.0,-16133.0,,,,,25787.0,,,,,,,16073.0,,0.0,,-235063.0,,,16133.0,,6588010.0,-43239.0,,,,,,
2015-03-31,2015-05-14,10-Q,First America Resources Corporation,FSTJ,CIK0001525306,USD,100.0,183999.0,6981.0,6981.0,,,6981.0,-4968.0,,,0.001,500000000.0,7824090.0,7824090.0,7825.0,-11107.0,,,,,,,55088.0,7000.0,,0.0,,0.0,,,,,,,-11107.0,,,,,-861.0,,,,,,0.0,,,,62188.0,6981.0,7100.0,7000.0,,-11968.0,-11107.0,,11107.0,-11107.0,,,,,55088.0,,,,,,7000.0,11070.0,,0.0,,-247031.0,,,11107.0,,6588010.0,-55207.0,,,,,,
2015-06-30,2015-09-29,10-K,First America Resources Corporation,FSTJ,CIK0001525306,USD,200.0,190859.0,1181.0,1181.0,,,1181.0,-29760.0,,,0.001,500000000.0,7964090.0,7964090.0,7965.0,-43760.0,0.0,,,,,,55087.0,7000.0,,-0.01,,0.0,,,,,,,-43760.0,,,,,,,,,,,0.0,,,7000.0,62287.0,1181.0,7200.0,7000.0,,-36760.0,-43760.0,,43760.0,-43760.0,,,,,55087.0,,,,,,7000.0,43531.0,,0.0,,-260029.0,0.0,,43760.0,,6588010.0,-61106.0,7000.0,,,,,
2015-09-30,2015-11-13,10-Q,First America Resources Corporation,FSTJ,CIK0001525306,USD,200.0,190859.0,1465.0,1465.0,,1465.0,1465.0,284.0,,,0.001,500000000.0,7964090.0,7964090.0,7965.0,-1716.0,0.0,,,,,,55087.0,9000.0,,0.0,,0.0,,,,,,,-1716.0,,,,,,,,,,,0.0,,1.0,,64287.0,1465.0,9200.0,2000.0,,-1716.0,-1716.0,,1717.0,-1717.0,,,,,55087.0,,,,,,2000.0,1563.0,,0.0,,-261646.0,,,1717.0,,6588010.0,-62822.0,,,,,,
2015-12-31,2016-02-16,10-Q,First America Resources Corporation,FSTJ,CIK0001525306,USD,8500.0,190859.0,1285.0,1285.0,,,1285.0,-180.0,,,0.001,500000000.0,7964090.0,7964090.0,7965.0,-25480.0,,,,,,,55087.0,26000.0,,0.0,,0.0,,,,,,,-25480.0,,,,,8300.0,,,,,,0.0,,,,89587.0,1285.0,34500.0,17000.0,,-17180.0,-25480.0,27197.0,25480.0,-25480.0,,,,,55087.0,,,,,,17000.0,27013.0,,0.0,,-287126.0,,,25480.0,,6588010.0,-88302.0,,,,,,
2016-03-31,2016-05-16,10-Q,First America Resources Corporation,FSTJ,CIK0001525306,USD,,,,,,,6802.0,5517.0,,,,,,,,-4183.0,,,,,,,,,,0.0,,0.0,,,,,,,-4183.0,,,,,-2300.0,,,,,,,,,,,,,12000.0,,-6483.0,-4183.0,31380.0,4183.0,-4183.0,,,,,,,,,,,12000.0,31163.0,,,,,,,4183.0,,,,,,,,,
2016-06-30,2016-09-26,10-K,First America Resources Corporation,FSTJ,CIK0001525306,USD,3300.0,190860.0,7831.0,7831.0,,,7831.0,6650.0,,7964090.0,0.001,500000000.0,7964090.0,7964090.0,7964.0,-32450.0,,,,258380.0,258380.0,,62087.0,98087.0,,0.0,0.0,0.0,,,,,,,-32450.0,,,-32450.0,32450.0,3100.0,,,,,,,,1.0,,101387.0,7831.0,101387.0,36000.0,,-29350.0,-32450.0,,32451.0,-32451.0,,,,,62087.0,1.0,,,,,36000.0,32213.0,,,,-292380.0,,,32451.0,,6588010.0,-93556.0,,,,,7964090.0,
2016-09-30,2016-11-14,10-Q,First America Resources Corporation,FSTJ,CIK0001525306,USD,3850.0,190859.0,7395.0,7395.0,,,7395.0,-436.0,,,0.001,500000000.0,7964090.0,7964090.0,7965.0,-4986.0,,,,,,,64087.0,38000.0,,0.0,0.0,0.0,,,,,,,-4986.0,,,-748.0,748.0,550.0,,,,,,,,,,105937.0,7395.0,41850.0,4000.0,,-4436.0,-4986.0,,4986.0,-4986.0,,,,,64087.0,,,,,,4000.0,4050.0,,,,-297366.0,,,4986.0,0.8272,6588010.0,-98542.0,,,,,7964090.0,
2016-12-31,2017-02-13,10-Q,First America Resources Corporation,FSTJ,CIK0001525306,USD,100.0,190859.0,9973.0,9973.0,,,9973.0,2577.0,,,0.001,500000000.0,7964090.0,7964090.0,7965.0,-18673.0,,,,,,,81087.0,46000.0,,0.0,0.0,0.0,,,,,,,-18673.0,,,,,-3750.0,,,,,,,,,,127187.0,9973.0,46100.0,25000.0,,-22423.0,-18673.0,23658.0,18673.0,-18673.0,,,,,81087.0,,,,,,25000.0,22600.0,,,,-316038.0,,,18673.0,,,-117214.0,,,,,7964090.0,
2017-03-31,2017-05-15,10-Q,First America Resources Corporation,FSTJ,CIK0001525306,USD,,190859.0,9503.0,9503.0,,,9503.0,-470.0,,,0.001,500000000.0,7964090.0,7964090.0,7965.0,-370.0,,,,,,,62087.0,65000.0,,0.0,0.0,0.0,,,,,,,-370.0,,,,,-100.0,,,,,,,,,,127087.0,9503.0,65000.0,,,-470.0,-370.0,24028.0,370.0,-370.0,,,,,62087.0,,,,,,,22600.0,,,,-316408.0,,,370.0,,,-117584.0,,,,,7964090.0,
2017-06-30,2017-10-12,10-K,First America Resources Corporation,FSTJ,CIK0001525306,USD,5625.0,190860.0,6928.0,6928.0,,,6928.0,-903.0,,,0.001,500000000.0,7964090.0,7964090.0,7964.0,,,,,290454.0,290454.0,,,126933.0,,,0.0,,,,,,,,-32074.0,,,-32074.0,32074.0,2325.0,,,,,,,,,,132558.0,6928.0,132558.0,28846.0,,-29749.0,-32074.0,,32074.0,-32074.0,290454.0,,,,,,,,,,28846.0,,,,,-324454.0,,,32074.0,,,-125630.0,,,,,7964090.0,
2017-09-30,2017-11-13,10-Q,First America Resources Corporation,FSTJ,CIK0001525306,USD,13323.0,190860.0,5855.0,5855.0,,,5855.0,-1073.0,,,0.001,500000000.0,7964090.0,7964090.0,7964.0,,,,,299225.0,299225.0,,,126933.0,,,0.0,,,0.15,,,,,-8771.0,,,-1316.0,1316.0,7698.0,,,,,,,,,,140256.0,5855.0,140256.0,,,-1073.0,-8771.0,,8771.0,-8771.0,,,,,,,,,,,,,,,,-333225.0,,,8771.0,,,-134401.0,,,,,7964090.0,
2017-12-31,2018-02-02,10-Q,First America Resources Corporation,FSTJ,CIK0001525306,USD,,190860.0,1470.0,1470.0,,,1470.0,,,,0.001,500000000.0,7964090.0,7964090.0,7964.0,,,,,46053.0,63480.0,,,138933.0,,,0.0,,,,,,,,-3062.0,,,,,,,,,,,,,,,138933.0,1470.0,138933.0,,,,-3062.0,,3062.0,-3062.0,302287.0,,,,,,,,,,,,,,,-336287.0,,,3062.0,,,-137463.0,,,,,7964090.0,
2018-03-31,2018-05-11,10-Q,First America Resources Corporation,FSTJ,CIK0001525306,USD,100.0,190860.0,2929.0,2929.0,,,2929.0,,,,0.001,500000000.0,7964090.0,7964090.0,7964.0,,,,,46818.0,64245.0,,,143933.0,,,0.0,,,,,,,,-3641.0,,,,,,,,,,,,,,,144033.0,2929.0,144033.0,,,,-3641.0,,3641.0,-3641.0,305928.0,,,,,,,,,,,,,,,-339928.0,,,3641.0,,,-141104.0,,,,,7964090.0,
2018-06-30,2018-09-24,10-K,First America Resources Corporation,FSTJ,CIK0001525306,USD,200.0,190860.0,2394.0,2394.0,,,2394.0,-4534.0,2394.0,,0.001,500000000.0,7964090.0,7964090.0,7964.0,,,,,65008.0,-65008.0,,,146933.0,,,0.0,,,,,,,,-19109.0,,,-4013.0,4013.0,-5425.0,,,,,,,,,,147133.0,2394.0,147133.0,20000.0,,-24534.0,-19109.0,,19109.0,-19109.0,309563.0,309563.0,,,,,,,20000.0,,20000.0,,-19109.0,,,-343563.0,,,19109.0,,,-144739.0,,,,7964090.0,7964090.0,
