end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsReceivableNetCurrent,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,AccumulatedOtherComprehensiveIncomeLossNetOfTax,AdditionalPaidInCapital,AdjustmentForAmortization,AdministrativeFeesExpense,AdvertisingExpense,AllowanceForLoanAndLeaseLossesRecoveriesOfBadDebts,AllowanceForLoanAndLeaseLossesWriteoffsNet,AmortizationOfAdvanceRoyalty,AssetManagementFees,Assets,AssetsCurrent,Cash,CashAndCashEquivalentsAtCarryingValue,CashEquivalentsAtCarryingValue,CashPeriodIncreaseDecrease,ClosedBlockOperationsResultsBeforeIncomeTaxes,CommitmentsAndContingencies,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockSharesSubscriptions,CommonStockValue,ConversionOfStockAmountIssued1,ConversionOfStockSharesIssued1,CurrentFederalTaxExpenseBenefit,DebtConversionConvertedInstrumentAmount1,DebtConversionConvertedInstrumentSharesIssued1,DeferredIncomeTaxLiabilities,DeferredTaxAssetsGross,DeferredTaxAssetsLiabilitiesNet,DeferredTaxAssetsNetNoncurrent,DeferredTaxAssetsValuationAllowance,DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,DueToOfficersOrStockholdersCurrentAndNoncurrent,DueToRelatedPartiesCurrent,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EffectiveIncomeTaxRateReconciliationStateAndLocalIncomeTaxes,EffectOfExchangeRateOnCashAndCashEquivalents,FeesAndCommissionsTransferAgent,ForeignCurrencyTransactionGainBeforeTax,ForeignCurrencyTransactionLossBeforeTax,GeneralAndAdministrativeExpense,GeneralContractorCosts,GoodwillAndIntangibleAssetImpairment,GoodwillWrittenOffRelatedToSaleOfBusinessUnit,IncomeLossFromContinuingOperations,IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeTaxExpenseBenefit,IncomeTaxesPaid,IncomeTaxesPaidNet,IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,IncomeTaxReconciliationNondeductibleExpenseMealsAndEntertainment,IncomeTaxReconciliationNondeductibleExpenseShareBasedCompensationCost,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccountsReceivable,IncreaseDecreaseInDeferredRevenue,IncreaseDecreaseInDueToRelatedParties,IncreaseDecreaseInFinishedGoodsAndWorkInProcessInventories,InterestExpense,InterestPaidNet,IssuanceOfStockAndWarrantsForServicesOrClaims,LeaseAndRentalExpense,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,ManagementFeeExpense,MarketingAndAdvertisingExpense,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NoninterestExpenseTransferAgentAndCustodianFees,NotesPayableRelatedPartiesClassifiedCurrent,NotesPayableRelatedPartiesCurrentAndNoncurrent,OperatingExpenses,OperatingIncomeLoss,OperatingLossCarryforwards,OtherExpenses,OtherExtraordinaryGainLoss,OtherGeneralAndAdministrativeExpense,OtherOperatingIncomeExpenseNet,PaymentForAdministrativeFees,PaymentsToAcquireAssetsInvestingActivities,PrepaidExpenseAndOtherAssets,PrepaidExpenseCurrent,ProceedsFromContributionsFromParent,ProceedsFromIssuanceOfCommonStock,ProceedsFromIssuanceOfWarrants,ProceedsFromRelatedPartyDebt,ProceedsFromRepaymentsOfRelatedPartyDebt,ProfessionalFees,ProfitLoss,PropertyPlantAndEquipmentGross,PropertyPlantAndEquipmentNet,ProvisionForDoubtfulAccounts,RetainedEarningsAccumulatedDeficit,Revenues,SalariesAndWages,SaleOfStockPercentageOfOwnershipAfterTransaction,ShareBasedCompensation,ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsGrantsInPeriod,StockholdersEquity,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,StockIssued1,StockIssuedDuringPeriodSharesIssuedForCash,StockIssuedDuringPeriodSharesIssuedForServices,StockIssuedDuringPeriodValueConversionOfConvertibleSecurities,StockIssuedDuringPeriodValueIssuedForCash,StockIssuedDuringPeriodValueIssuedForServices,StockIssuedDuringPeriodValueNewIssues,StockIssuedDuringPeriodValueOther,StockIssuedDuringPeriodValueShareBasedCompensationGross,TravelAndEntertainmentExpense,WeightedAverageNumberOfDilutedSharesOutstanding,AdjustmentsToAdditionalPaidInCapitalWarrantIssued,AllocatedShareBasedCompensationExpense,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect,PaymentsToAcquireLand,PaymentsToAcquirePropertyPlantAndEquipment,ProceedsFromLoans,PropertyPlantAndEquipmentOtherNet,RepaymentsOfNotesPayable
2009-03-31,2009-05-14,10-Q,TREX Acquisition Corp.,TRXA,CIK0001437750,USD,,,28195.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,214780.0,186585.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-06-30,2009-09-28,10-K,TREX Acquisition Corp.,TRXA,CIK0001437750,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-245220.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-222003.0,-222003.0,,,,,,,,,,,,,,,,,,,
2010-06-30,2010-10-13,10-K,TREX Acquisition Corp.,TRXA,CIK0001437750,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1503519.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1037675.0,-1037675.0,,,,,,,,,,,,,,,,,,,
2011-06-30,2011-09-28,10-K,TREX Acquisition Corp.,TRXA,CIK0001437750,USD,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-387459.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1425134.0,-1425134.0,,,,,,,,,,,,,,,,,,,
2012-03-31,2012-05-15,10-Q,TREX Acquisition Corp.,TRXA,CIK0001437750,USD,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-06-30,2012-12-10,10-K,TREX Acquisition Corp.,TRXA,CIK0001437750,USD,516245.0,0.0,,-705714.0,609301.0,,,,,,,,0.0,0.0,0.0,,,,-95000.0,,0.001,150000000.0,103046175.0,,,103046.0,,,0.0,,,,,,,,1127615.0,,604737.0,0.0,,,,-500.0,,,,,,,,,304152.0,94387.0,,,,,,155257.0,,36202.0,,196000.0,,,,,,1120982.0,0.0,1120982.0,,15000.0,,,,304152.0,,,,95000.0,,,,-94387.0,,,,,,,,,,,,79500.0,,,,,,,,,,,-1120982.0,-1120982.0,,,,,,,,,,,103046175.0,,,,,,,,
2012-09-30,2012-12-18,10-Q,TREX Acquisition Corp.,TRXA,CIK0001437750,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103046175.0,,,,,,,,
2012-12-31,2013-02-27,10-Q,TREX Acquisition Corp.,TRXA,CIK0001437750,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103046175.0,,,,,,,,
2013-03-31,2013-08-12,10-Q,TREX Acquisition Corp.,TRXA,CIK0001437750,USD,,0.0,,,609301.0,,,,,,,,0.0,0.0,0.0,,,,,,0.001,150000000.0,103046175.0,,,103046.0,,,,,,,,,,,611370.0,,604737.0,5.01,,,,,,,,,,,,,516245.0,,,,,,,,,,,,,,,,,604737.0,0.0,604737.0,,,,,,516245.0,,,,,,1833329.0,,,,,,,,,,,,,,,,,,,1833329.0,,,,,,-604737.0,,,,,,,,,,,,103073.0,,,,,,,,
2013-06-30,2013-10-01,10-K,TREX Acquisition Corp.,TRXA,CIK0001437750,USD,,,,-705714.0,712244.0,,,0.0,,,,,0.0,,,,0.0,,-49486.0,,0.001,150000000.0,103073.0,,,103.0,,,0.0,,,,,,,,660856.0,,654223.0,4.53,,,,,,,49486.0,,,,,,466759.0,-158637.0,,,-466759.0,,,-516245.0,,,,49486.0,,,,,,654223.0,0.0,654223.0,,,,,,466759.0,,,,49486.0,,158637.0,,-158637.0,,,,,,,,,,,,,,,,,-705714.0,,,,,,-654223.0,654223.0,,,,,,,,,,,103073.0,,,,,,,,
2013-09-30,2013-11-20,10-Q,TREX Acquisition Corp.,TRXA,CIK0001437750,USD,,,,-705714.0,609301.0,,,,,,,,0.0,,,,,,-9461.0,,0.001,150000000.0,103046175.0,,,103046.0,,,0.0,,,,,,,,665656.0,,659023.0,-0.09,,,,-1800.0,,,9461.0,,,,,,-9461.0,,,,,,,6461.0,,,,3000.0,,,,,,659023.0,0.0,659023.0,,,0.0,,0.0,-9461.0,2795.0,,,9461.0,,,,,66.0,,,,,,,,,,,6600.0,,,,,1371370.0,,,,,,-659023.0,649423.0,,,,,,,,,,,103073.0,,,,,,,,
2013-12-31,2014-02-18,10-Q,TREX Acquisition Corp.,TRXA,CIK0001437750,USD,,,,-705714.0,609301.0,,,,,,,,296.0,296.0,296.0,,,,-10704.0,,0.001,150000000.0,103046175.0,,,103046.0,,,,,,,,,,,676360.0,,670023.0,0.0,,,,-7574.0,,,130.0,,,,,,-10704.0,,,,,,,,,,,,,,,,,670023.0,296.0,670023.0,,,,,,-10704.0,,,,10704.0,,,,,,,,,,,,,,,,3000.0,,,,,1382074.0,,,,,,-669727.0,-669727.0,,,,,,,,,,,103046175.0,,,,,,,,
2014-03-31,2014-05-20,10-Q,TREX Acquisition Corp.,TRXA,CIK0001437750,USD,,,,-705714.0,712244.0,,,,,,,,0.0,,,,,,-12712.0,,0.001,150000000.0,103073000.0,,,103.0,,,,,,,,,,,689072.0,,680723.0,-0.12,,,,-742.0,,,10650.0,,,,,,-12712.0,,,,,,,,,,,,,,,,,682439.0,0.0,682439.0,,,,,,-12712.0,,,,12712.0,,,,,,,,,,,,,,,,1320.0,,,,,1394786.0,,,,,,-682439.0,,,,,,,,,,,,103073.0,,,,,,,,
