end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableOther,AccountsPayableOtherCurrent,AccountsPayableOtherCurrentAndNoncurrent,AccountsPayableRelatedPartiesCurrent,AccountsPayableRelatedPartiesCurrentAndNoncurrent,AccountsReceivableRelatedParties,AccountsReceivableRelatedPartiesCurrent,AccruedIncomeTaxesCurrent,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipmentPeriodIncreaseDecrease,AdditionalPaidInCapital,AdjustmentForAmortization,AdministrativeFeesExpense,Assets,BusinessCombinationAcquisitionRelatedCosts,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect,CashEquivalentsAtCarryingValue,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,CostsAndExpensesRelatedParty,DebtInstrumentInterestRateDuringPeriod,DeferredTaxAssetsNet,DueFromOtherRelatedPartiesCurrent,DueFromRelatedParties,DueToRelatedPartiesCurrentAndNoncurrent,EarningsPerShareBasic,EarningsPerShareBasicAndDiluted,EarningsPerShareDiluted,EffectiveIncomeTaxRateContinuingOperations,ExplorationExpenseMining,FederalIncomeTaxExpenseBenefitContinuingOperations,GainLossOnSaleOfOtherAssets,GainLossOnSaleOfProperties,GainOnSaleOfInvestments,GainsLossesOnSalesOfAssets,GainsLossesOnSalesOfOtherAssets,GeneralAndAdministrativeExpense,IncomeLossFromContinuingOperations,IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,IncomeTaxExpenseBenefit,IncomeTaxesPaid,IncomeTaxesPaidNet,IncomeTaxReceivable,IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableAndOtherOperatingLiabilities,IncreaseDecreaseInAccountsPayableRelatedParties,IncreaseDecreaseInAccountsReceivableRelatedParties,IncreaseDecreaseInAccruedIncomeTaxesPayable,IncreaseDecreaseInAccruedInterestReceivableNet,IncreaseDecreaseInDeferredIncomeTaxes,IncreaseDecreaseInDueFromRelatedPartiesCurrent,IncreaseDecreaseInDueToOtherRelatedParties,IncreaseDecreaseInIncomeTaxes,IncreaseDecreaseInIncomeTaxesReceivable,IncreaseDecreaseInInterestAndDividendsReceivable,IncreaseDecreaseInInterestPayableNet,IncreaseDecreaseInNotesPayableCurrent,IncreaseDecreaseInNotesPayableRelatedParties,IncreaseDecreaseInNotesPayableRelatedPartiesCurrent,IncreaseDecreaseInNotesReceivableRelatedParties,IncreaseDecreaseInNotesReceivableRelatedPartiesCurrent,IncreaseDecreaseInNotesReceivables,IncreaseDecreaseInOtherAccountsPayable,IncreaseDecreaseInOtherAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInOtherCurrentAssets,IncreaseDecreaseInOtherOperatingAssets,IncreaseDecreaseInPrepaidExpense,IncreaseDecreaseInReceivables,InterestAndOtherIncome,InterestExpense,InterestExpenseRelatedParty,InterestIncomeExpenseNet,InterestIncomeOperating,InterestIncomeOther,InterestIncomeRelatedParty,InterestPaid,InterestPaidNet,InterestPayableCurrent,InterestReceivableCurrent,InvestmentIncomeInterest,InvestmentsInAndAdvancesToAffiliatesDividendOrInterestCreditedToIncome,LandAvailableForSale,Liabilities,LiabilitiesAndStockholdersEquity,LongTermDebtMaturitiesRepaymentsOfPrincipalAfterYearFive,LongTermDebtMaturitiesRepaymentsOfPrincipalInNextTwelveMonths,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearFive,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearFour,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearThree,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearTwo,LongTermNotesPayable,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,NetIncomeLoss,NetIncomeLossAvailableToCommonStockholdersBasic,NoncurrentAssets,NotesAndLoansReceivableGrossCurrent,NotesAndLoansReceivableNetCurrent,NotesPayableCurrent,NotesPayableRelatedPartiesClassifiedCurrent,NotesPayableRelatedPartiesCurrentAndNoncurrent,NotesPayableToBank,NotesReceivableNet,NotesReceivableRelatedParties,NotesReceivableRelatedPartiesCurrent,NotesReceivableRelatedPartiesNoncurrent,OperatingExpenses,OperatingIncomeLoss,OperatingLeasesIncomeStatementLeaseRevenue,OperatingLossCarryforwards,OtherAccruedLiabilitiesCurrent,OtherAssets,OtherGeneralAndAdministrativeExpense,OtherIncome,OtherReceivablesNetCurrent,PaymentsOfFinancingCosts,PaymentsToAcquireLand,PaymentsToAcquireRealEstateHeldForInvestment,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValue,ProceedsFromBankDebt,ProceedsFromCollectionOfLoansReceivable,ProceedsFromCollectionOfNotesReceivable,ProceedsFromLongTermCapitalLeaseObligations,ProceedsFromNotesPayable,ProceedsFromRepaymentsOfNotesPayable,ProceedsFromRepaymentsOfRelatedPartyDebt,ProceedsFromSaleOfOtherRealEstate,ProfessionalFees,ProfitLoss,RealEstateGrossAtCarryingValue,ReceivablesNetCurrent,RelatedPartyTransactionDueFromToRelatedPartyCurrent,RepaymentOfNotesReceivableFromRelatedParties,RepaymentsOfNotesPayable,RepaymentsOfRelatedPartyDebt,RetainedEarningsAccumulatedDeficit,Revenues,SalesRevenueNet,StockholdersEquity,UnsecuredDebtCurrent,UnsecuredLongTermDebt,WeightedAverageNumberDilutedSharesOutstandingAdjustment,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesOutstandingBasic
2008-12-31,2009-03-31,10-K,"DIRECT INVESTMENT HOLDINGS GROUP, INC",FEPI,CIK0000726516,USD,,,,,,,,,,,,,,,,115418.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-12-31,2010-03-31,10-K,"DIRECT INVESTMENT HOLDINGS GROUP, INC",FEPI,CIK0000726516,USD,,,,,,,,,,,0.0,,,,,82.0,-115336.0,,,,,,,,,,,,,,,0.03,,,,,,,,,,114500.0,,,40766.0,,-9097.0,,5768.0,,,,,,-45415.0,,-4976.0,,8390.0,,,,0.0,,,,,0.0,,,,-1708.0,,,,,,,-70236.0,,,,,,76710.0,,,,240754.0,,,,,,,,,,,,0.0,,0.0,,-115336.0,,,31669.0,,,,,,,,,,,,129752.0,111002.0,0.0,,,,,,,0.0,,0.0,,,,,,,,,,0.0,,,,,31669.0,,,,,,,,240754.0,,,,,,,
2010-06-30,2010-08-16,10-Q,"DIRECT INVESTMENT HOLDINGS GROUP, INC",FEPI,CIK0000726516,USD,,,,,,,,,,,,,,,,322.0,,,,,,,,,,,,,,,0.01,,,,,,,,,,,30457.0,,,11306.0,,-1696.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-17511.0,,,,,,,,,,60024.0,,,,,,,,,,,,,,,,,,,9610.0,,,,,,,,,,,,31207.0,28817.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1057628.0
2010-09-30,2010-11-15,10-Q,"DIRECT INVESTMENT HOLDINGS GROUP, INC",FEPI,CIK0000726516,USD,,,,,,,,,,,,,,,,533.0,,,,,,,,,,,,,,,0.01,,,,,,,,,,,35679.0,,,5851.0,,-878.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-17703.0,,,,,,,,,,60683.0,,,,,,,,,,,,,,,,,,,4973.0,,,,,,,,,,,,37129.0,23554.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1057628.0
2010-12-31,2011-04-15,10-K,"DIRECT INVESTMENT HOLDINGS GROUP, INC",FEPI,CIK0000726516,USD,,,52566.0,,54560.0,,,,0.0,1376682.0,0.0,,6523341.0,,151.0,151.0,69.0,,,0.01,40000000.0,1057628.0,1057628.0,10576.0,,,1696.0,,,,,0.02,,,,,,0.0,,,,124945.0,95884.0,25018.0,25018.0,,-3778.0,,636.0,636.0,,,,,102334.0,,-651.0,-177623.0,4414.0,,,-636.0,-636.0,,0.0,0.0,,0.0,0.0,,,50991.0,,,,,,,-70866.0,,,240754.0,,,23091.0,23091.0,,,240754.0,,3832399.0,5642401.0,6523341.0,,,,,,,,0.0,,0.0,,69.0,,,21240.0,,,,,,,0.0,,,,,144870.0,95884.0,0.0,,,0.0,24780.0,,,0.0,,0.0,0.01,4960000.0,0.0,0.0,0.0,,,,,0.0,,,0.0,19925.0,21240.0,,,,,,,-506318.0,240754.0,,880940.0,,,,,
2011-03-31,2011-05-20,10-Q,"DIRECT INVESTMENT HOLDINGS GROUP, INC",FEPI,CIK0000726516,USD,,,,,,,,,,,,,,,,329.0,178.0,,,,,,,,,,,,,,,-0.05,,,51560.0,,,,,,,41444.0,,,,-66213.0,9932.0,,,,,,,,98826.0,,,,,,,,-9932.0,,,,,,,,,36812.0,,,,,,,-74017.0,,,,,,0.0,,,,59364.0,,,,,,,,,,,,,,-26752.0,,26930.0,,-56281.0,-56281.0,,,,,,,,,,,,,7804.0,,,,,,0.0,,,,-26752.0,,,,,,,,,,,,,,,,,,,,,,,59364.0,,,,,,,
2011-06-30,2011-08-15,10-Q,"DIRECT INVESTMENT HOLDINGS GROUP, INC",FEPI,CIK0000726516,USD,,,60182.0,,179012.0,,,,,1376682.0,,,7813802.0,,,24.0,,,,0.01,40000000.0,1057628.0,1057628.0,10576.0,,,1696.0,,,,-0.08,,,,,,,,,0.0,,41008.0,,,-77627.0,,-10568.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-81004.0,,,,,,,,,,60024.0,,4783673.0,7077337.0,7813802.0,,,,,,,,,,,,,,,-88195.0,,,,,,,500000.0,,,,,56647.0,3377.0,,,,,,0.0,,,,,0.01,4960000.0,0.0,0.0,0.0,,,,,,,,,,-88195.0,,,,,,,-650793.0,60024.0,,736465.0,,,,,1057628.0
2011-09-30,2011-11-14,10-Q,"DIRECT INVESTMENT HOLDINGS GROUP, INC",FEPI,CIK0000726516,USD,,,49588.0,,239183.0,,,,,1376682.0,,,7887143.0,,,942.0,,,,0.01,40000000.0,1057628.0,1057628.0,10576.0,,,1696.0,,,,-0.01,,,,,,,,,,,37314.0,,,-6176.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-94769.0,,,,,,,,,,60683.0,,4783673.0,7156854.0,7887143.0,,,,,,,,,,,,,,,-6176.0,,,,,,,500000.0,,,,,-27910.0,88593.0,,,,106636.0,,0.0,,,,,0.01,4960000.0,,,0.0,,,,,,,,,,-6176.0,,,,,,,-656969.0,60683.0,,730289.0,,,,,1057628.0
2011-12-31,2012-03-30,10-K,"DIRECT INVESTMENT HOLDINGS GROUP, INC",FEPI,CIK0000726516,USD,56927.0,56927.0,56927.0,874496.0,874496.0,,,,5814.0,1376682.0,5814.0,,8301575.0,,508.0,508.0,357.0,,508.0,0.01,40000000.0,1057628.0,1057628.0,10576.0,,,0.0,,,,,-0.22,-0.22,,,636.0,,0.0,,0.0,,65932.0,121080.0,-234640.0,-234640.0,,0.0,0.0,0.0,0.0,,,819935.0,,819935.0,,-651.0,-277250.0,1696.0,,,636.0,636.0,,244577.0,0.0,500000.0,244577.0,0.0,,0.0,4361.0,,,,,-277250.0,,-49523.0,,240754.0,240754.0,,,-306197.0,0.0,,,240754.0,,5256279.0,7655275.0,8301575.0,,,,,,,,415108.0,,-979880.0,,565129.0,,-234640.0,-234640.0,79078.0,,,944000.0,,5779852.0,,,,,,187404.0,-234640.0,67730.0,,,79078.0,70394.0,,,-84892.0,444000.0,-979880.0,0.01,4960000.0,0.0,0.0,0.0,,,,67730.0,500000.0,,,0.0,51078.0,308484.0,5256279.0,2965710.0,,,,,-740958.0,308484.0,,646300.0,,,,,
2012-03-31,2012-05-15,10-Q,"DIRECT INVESTMENT HOLDINGS GROUP, INC",FEPI,CIK0000726516,USD,,,70273.0,,881996.0,,,,5592.0,1376682.0,,,8289977.0,,,3051.0,2543.0,,,0.01,40000000.0,1057628.0,1057628.0,10576.0,,,,,,,,-0.1,-0.1,,57220.0,,,,,,,46911.0,2904.0,-107284.0,,-107284.0,0.0,,,,,,,,7501.0,,,-19279.0,,,,,0.0,,78480.0,,,,,,,13346.0,,,,27827.0,,,-110188.0,,,60024.0,,,22200.0,,,,60024.0,,5256279.0,7750961.0,8289977.0,,,,,,,,0.0,,0.0,,2543.0,,-107284.0,-107284.0,45659.0,,,,,,,,,,,57220.0,-107284.0,,,,,46911.0,100.0,,,,0.0,0.0,4960000.0,0.0,0.0,0.0,,,,,,,,,10309.0,,,,,,,,-848242.0,60124.0,,539016.0,,,,,
