end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableCurrent,AccountsReceivableNetCurrent,AccruedLiabilitiesCurrent,AdditionalPaidInCapital,Assets,AssetsCurrent,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,ConvertibleNotesPayableCurrent,CostOfGoodsSold,DeferredFinanceCostsCurrentNet,DepreciationDepletionAndAmortization,DueToRelatedPartiesCurrent,DueToRelatedPartiesNoncurrent,EarningsPerShareBasicAndDiluted,GrossProfit,IncomeTaxesPaid,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsReceivable,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInDeferredCharges,IncreaseDecreaseInInventories,IncreaseDecreaseInOtherReceivables,IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,InterestPaid,InventoryLIFOReserveEffectOnIncomeNet,InventoryNet,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesAssumed1,LiabilitiesCurrent,LongTermNotesPayable,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NonoperatingIncomeExpense,NotesPayableCurrent,OperatingIncomeLoss,OtherReceivablesNetCurrent,PaymentsToAcquireBusinessesNetOfCashAcquired,PaymentsToAcquirePropertyPlantAndEquipment,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValue,PrepaidExpenseAndOtherAssetsCurrent,ProceedsFromIssuanceOfCommonStock,ProceedsFromNotesPayable,PropertyPlantAndEquipmentNet,ProvisionForDoubtfulAccounts,RetainedEarningsAccumulatedDeficit,SalesRevenueNet,SellingGeneralAndAdministrativeExpense,ShareBasedCompensation,ShareBasedGoodsAndNonemployeeServicesTransactionStockholdersEquity,ShortTermBankLoansAndNotesPayable,StockholdersEquity,StockIssuedDuringPeriodValueAcquisitions,StockIssuedDuringPeriodValueConversionOfUnits,StockIssuedDuringPeriodValueNewIssues,WeightedAverageNumberOfDilutedSharesOutstanding
2009-12-31,2010-04-14,10-K,AURI INC,AURI,CIK0001092802,USD,,,,,,,22931.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-06-30,2010-08-23,10-Q,AURI INC,AURI,CIK0001092802,USD,,,,,,,14823.0,,,,,,,,154180.0,,,,,0.0,67200.0,,,,,,,,,,,,,,,,,,,,-130536.0,-3628.0,,-126908.0,,,,,,,,,,,,,,,221380.0,194108.0,,,,,,,,53476364.0
2010-09-30,2010-11-22,10-Q,AURI INC,AURI,CIK0001092802,USD,,,,,,,7566.0,,,,,,,,99572.0,,,,,0.0,2110.0,,,,,,,,,,,,,,,,,,,,-152568.0,-2713.0,,-149855.0,,,,,,,,,,,,,,,101682.0,151965.0,,,,,,,,53312707.0
2010-12-31,2011-04-14,10-K,AURI INC,AURI,CIK0001092802,USD,85337.0,104355.0,46132.0,4451596.0,973496.0,888461.0,406439.0,,0.001,300000000.0,59735360.0,59735360.0,59735.0,500000.0,,18778.0,,4167.0,45833.0,,,,,,,,,,,,,226773.0,831469.0,973496.0,,648136.0,137500.0,,,,,,12500.0,,15796.0,,,0.001,1000000.0,0.0,0.0,0.0,116320.0,,,85035.0,,-4369304.0,,,,,,142027.0,,,,
2011-06-30,2011-08-12,10-Q,AURI INC,AURI,CIK0001092802,USD,130263.0,130198.0,90574.0,5579544.0,983346.0,925450.0,233060.0,,0.001,300000000.0,89991580.0,89991580.0,89992.0,,169975.0,,,16667.0,33333.0,0.01,-188.0,,,,,,,,,,,325534.0,520837.0,983346.0,,387504.0,100000.0,,,,-508391.0,-24575.0,50000.0,-483816.0,68423.0,,,0.001,1000000.0,0.0,0.0,0.0,168235.0,,,57896.0,,-5207027.0,169787.0,483628.0,,,100000.0,462509.0,,,,88711360.0
2011-09-30,2011-11-14,10-Q,AURI INC,AURI,CIK0001092802,USD,190402.0,177228.0,100702.0,5995019.0,1116895.0,1024736.0,108795.0,,0.001,300000000.0,91047580.0,91047580.0,91048.0,,260778.0,,,20830.0,29170.0,0.01,26675.0,,,,,,,,,,,635960.0,791104.0,1116895.0,,674434.0,87500.0,,,,-553252.0,-37496.0,62500.0,-515756.0,29881.0,,,0.001,1000000.0,0.0,0.0,0.0,72872.0,,,92159.0,,-5760276.0,287453.0,542431.0,,,300000.0,325791.0,,,,90526710.0
