end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableCurrent,AccruedLiabilitiesCurrent,AccumulatedOtherComprehensiveIncomeLossNetOfTax,AdditionalPaidInCapital,AssetImpairmentCharges,Assets,AssetsCurrent,BusinessAcquisitionPercentageOfVotingInterestsAcquired,BusinessCombinationConsiderationTransferred1,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,ComprehensiveIncomeNetOfTax,ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest,ConvertibleDebtNoncurrent,CurrentFederalTaxExpenseBenefit,DeferredIncomeTaxExpenseBenefit,DeferredTaxAssetsOperatingLossCarryforwardsDomestic,DeferredTaxAssetsOtherLossCarryforwards,Depreciation,DepreciationAndAmortization,DepreciationDepletionAndAmortization,DueToRelatedPartiesCurrent,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EffectOfExchangeRateOnCashAndCashEquivalents,EquityMethodInvestmentRealizedGainLossOnDisposal,EquityMethodInvestments,ForeignCurrencyTransactionGainLossBeforeTax,ForeignCurrencyTransactionGainLossRealized,GainLossOnSaleOfPropertyPlantEquipment,GainsLossesOnExtinguishmentOfDebt,GeneralAndAdministrativeExpense,GoodwillImpairmentLoss,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeLossFromEquityMethodInvestments,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableRelatedParties,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,IncreaseDecreaseInSecurityDeposits,IncrementalCommonSharesAttributableToEquityUnitPurchaseAgreements,InterestExpense,InterestPaid,InvestmentOwnedBalanceOtherMeasure,IssuanceOfStockAndWarrantsForServicesOrClaims,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LoansReceivableNet,LongTermInvestments,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,NetIncomeLoss,NetIncomeLossAvailableToCommonStockholdersBasic,NonoperatingIncomeExpense,OperatingExpenses,OperatingIncomeLoss,OperatingLossCarryforwards,OperatingLossCarryforwardsValuationAllowance,OtherAssetImpairmentCharges,OtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentTax,OtherComprehensiveIncomeLossNetOfTax,OtherLiabilitiesCurrent,OtherNonoperatingIncomeExpense,PaymentsToAcquireLoansReceivable,PaymentsToAcquirePropertyPlantAndEquipment,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,ProceedsFromIssuanceOfCommonStock,ProceedsFromNotesPayable,ProceedsFromSaleOfLoansReceivable,ProfitLoss,PropertyPlantAndEquipmentNet,ReclassificationFromAociCurrentPeriodBeforeTaxAttributableToParent,RetainedEarningsAccumulatedDeficit,ShareBasedGoodsAndNonemployeeServicesTransactionQuantityOfSecuritiesIssued,SharePrice,StockholdersEquity,StockIssued1,StockIssuedDuringPeriodSharesAcquisitions,StockIssuedDuringPeriodValueIssuedForServices,StockIssuedDuringPeriodValueOther,WeightedAverageNumberOfShareOutstandingBasicAndDiluted
2009-12-31,2010-04-15,10-K,CHUN CAN CAPITAL GROUP,CNCN,CIK0001191334,USD,,,,,,,,,,320000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-19690000.0,,,,,
2010-09-30,2010-11-22,10-Q,CHUN CAN CAPITAL GROUP,CNCN,CIK0001191334,USD,,,,,183000.0,,,,,125000.0,,,,,,,,,,,,,,,1000.0,,,,,,,,,807000.0,,,93000.0,,444000.0,-35000.0,,,,,,,51000.0,,,,,,,,,,,,,,444000.0,,538000.0,94000.0,-94000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-12-31,2011-04-15,10-K,CHUN CAN CAPITAL GROUP,CNCN,CIK0001191334,USD,12419000.0,295000.0,-4896000.0,20389000.0,7014000.0,0.0,57000.0,,,4000.0,-321000.0,0.001,270000000.0,23825.0,23825.0,2000.0,16022000.0,,24198000.0,,,,,,,,,0.83,,1000.0,-8878000.0,7300000.0,2313000.0,,-23000.0,37008000.0,874000.0,2559000.0,19690000.0,-8878000.0,387000.0,,-87000.0,-478000.0,46000.0,,283000.0,83000.0,,,0.0,0.0,12808000.0,53000.0,6477000.0,,,12000.0,,-333000.0,19690000.0,,,3433000.0,-3433000.0,,,,,-3668000.0,94000.0,23123000.0,,,0.001,30000000.0,,,,,12000.0,,2000.0,3668000.0,-20391000.0,,,0.0,,,,,23825.0
2011-03-31,2011-05-23,10-Q,CHUN CAN CAPITAL GROUP,CNCN,CIK0001191334,USD,,,,,65000.0,,,,,4000.0,,,,,,,-1008000.0,-477000.0,,,,,,,,,,-0.02,,,-498000.0,,83000.0,,,,29000.0,,-561000.0,-498000.0,,,52000.0,,,,52000.0,,,,,,,,,45000.0,,-16000.0,,-29000.0,-561000.0,,,29000.0,-29000.0,,,,447000.0,-447000.0,,-532000.0,55000.0,,,,,,,45000.0,39000.0,,,,,,,-730000.0,,,278000.0,,23825.0
2011-06-30,2011-08-19,10-Q,CHUN CAN CAPITAL GROUP,CNCN,CIK0001191334,USD,,,,,67000.0,,,,,4000.0,,,,,,,1204000.0,,,,,,,,2000.0,,,-0.03,,,,,-363000.0,,,,,,-671000.0,-188000.0,,,,,,,53000.0,,,,,,,,,,,,,,-273000.0,,,2000.0,-2000.0,,,,-1875000.0,1875000.0,,-671000.0,,,,,,,,,,,,,,,,-1003000.0,,,,,24858.0
2011-09-30,2011-11-21,10-Q,CHUN CAN CAPITAL GROUP,CNCN,CIK0001191334,USD,11796000.0,448000.0,-3921000.0,20332000.0,67000.0,12434000.0,70000.0,,,4000.0,,0.001,300000000.0,95300196.0,95300196.0,103000.0,,,23751000.0,,,,,,,,,-0.01,,,,5892000.0,,-363000.0,,,,,-671000.0,-188000.0,,,,,,,53000.0,,,,36092000.0,12434000.0,12337000.0,66000.0,6471000.0,,,,,,-671000.0,,-671000.0,,,,,,,,93000.0,,,,,,,,,,,,,,-40172000.0,,,-1674000.0,,,,,
2011-12-31,2020-01-07,10-K,CHUN CAN CAPITAL GROUP,CNCN,CIK0001191334,USD,,,,20666000.0,,0.0,,,,,,0.001,270000000.0,33011.0,33011.0,3000.0,-278000.0,,,,,,,,,,,-0.01,,,,,,,,,278000.0,,-278000.0,,,,,,,,,,,278000.0,0.0,0.0,,,,,,,,,-278000.0,,,278000.0,-278000.0,,,,,,,,,,0.001,30000000.0,,,,,,,,,-20669000.0,7795.0,0.03,0.0,,,278000.0,,26930.0
2012-03-31,2020-01-13,10-Q,CHUN CAN CAPITAL GROUP,CNCN,CIK0001191334,USD,,,,20666000.0,,0.0,,,,,,0.001,270000000.0,33011.0,33011.0,3000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,0.001,30000000.0,,,,,,,,,-20669000.0,,,0.0,,,,,23825.0
2012-06-30,2020-01-13,10-Q,CHUN CAN CAPITAL GROUP,CNCN,CIK0001191334,USD,,,,20666000.0,,0.0,,,,,,0.001,270000000.0,33011.0,33011.0,3000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,0.001,30000000.0,,,,,,,,,-20669000.0,,,0.0,,,,,33011.0
2012-09-30,2020-02-05,10-Q,CHUN CAN CAPITAL GROUP,CNCN,CIK0001191334,USD,,,,20666000.0,,0.0,,,,,,0.001,270000000.0,33011.0,33011.0,3000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,0.001,30000000.0,,,,,,,,,-20669000.0,,,0.0,,,,,33011.0
