end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableRelatedPartiesCurrent,AccountsPayableRelatedPartiesCurrentAndNoncurrent,Assets,AssetsNet,CommonStockNoParValue,EarningsPerShareBasic,GainLossOnInvestments,GainLossOnSaleOfTrustAssetsToPayExpenses,InvestmentInPhysicalCommodities,InvestmentOwnedAtCost,InvestmentOwnedAtFairValue,InvestmentOwnedBalanceOtherMeasure,InvestmentOwnedPercentOfNetAssets,Liabilities,NetAssetValuePerShare,NetIncomeLoss,NetRealizedOrUnrealizedGainLossOnTradingSecurities,NonInvestmentAssetsLessNonInvestmentLiabilities,NonInvestmentAssetsLessNonInvestmentLiabilitiesPercentOfNetAssets,OperatingExpenses,RealizedInvestmentGainsLosses,SponsorFees,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodValueNewIssues,StockRedeemedOrCalledDuringPeriodShares,StockRedeemedOrCalledDuringPeriodValue,WeightedAverageNumberOfSharesOutstandingBasic,MarketableSecuritiesGainLoss,OtherExpenses
2017-09-30,2017-11-06,10-Q,GRANITESHARES GOLD TRUST,BAR,CIK0001690437,USD,589.0,,5132000.0,5131000.0,0.0,,,,250956000.0,5197000.0,5132000.0,200692.594,1.0002,1000.0,128.29,,,-1000.0,-0.0002,,,,,,,,,,
2017-12-31,2018-02-08,10-Q,GRANITESHARES GOLD TRUST,BAR,CIK0001690437,USD,859.0,,5183000.0,5182000.0,,1.28,-2000.0,,5183000.0,5195000.0,5183000.0,3997.962,1.0002,1000.0,12.96,51000.0,,-1000.0,-0.0002,2000.0,,2000.0,,,,,40.0,,
2018-03-31,2018-05-09,10-Q,GRANITESHARES GOLD TRUST,BAR,CIK0001690437,USD,2000.0,,14548000.0,14546000.0,,0.18,-6000.0,,14548000.0,14401000.0,14548000.0,10988.873,1.0001,2000.0,13.22,153000.0,,-2000.0,-0.0001,6000.0,,6000.0,,9211000.0,,,870000.0,,
2018-06-30,2018-08-31,10-K,GRANITESHARES GOLD TRUST,BAR,CIK0001690437,USD,31000.0,,250956000.0,250925000.0,,-4.33,-45000.0,,250956000.0,260223000.0,250956000.0,200692.594,1.0001,31000.0,12.48,-9317000.0,,-31000.0,-0.0001,45000.0,,45000.0,,257659000.0,,,2150000.0,,
2018-09-30,2018-11-09,10-Q,GRANITESHARES GOLD TRUST,BAR,CIK0001690437,USD,45000.0,,279631000.0,279586000.0,,-0.63,-134000.0,-7000.0,279631000.0,302673000.0,279631000.0,235528.604,1.0002,45000.0,11.85,-13916000.0,,-45000.0,-0.0002,134000.0,,134000.0,3500.0,42577000.0,0.0,,22035000.0,,
2018-12-31,2019-02-05,10-Q,GRANITESHARES GOLD TRUST,BAR,CIK0001690437,USD,45000.0,,314514000.0,314469000.0,,0.92,-131000.0,-6000.0,314514000.0,313996000.0,314514000.0,245398.338,1.0001,45000.0,12.78,22246000.0,-1177000.0,-45000.0,-0.0001,131000.0,,131000.0,,30643000.0,,-18006000.0,24143000.0,,
2019-03-31,2019-05-06,10-Q,GRANITESHARES GOLD TRUST,BAR,CIK0001690437,USD,69000.0,,461776000.0,461707000.0,,0.11,-189000.0,2000.0,545586000.0,457549000.0,461776000.0,387215.425,1.0001,69000.0,12.91,3556000.0,34000.0,-69000.0,-0.0001,189000.0,,189000.0,,156478000.0,,-12796000.0,33772000.0,,
2019-06-30,2019-08-20,10-K,GRANITESHARES GOLD TRUST,BAR,CIK0001690437,USD,75000.0,75000.0,545586000.0,545511000.0,0.0,1.91,-667000.0,-8000.0,545586000.0,497005000.0,545586000.0,387215.425,1.0001,75000.0,14.04,55958000.0,-1215000.0,75000.0,0.0001,667000.0,-1223000.0,667000.0,41480000.0,280233000.0,4640000.0,-41605000.0,29312000.0,-1215000.0,
2019-09-30,2019-11-05,10-Q,GRANITESHARES GOLD TRUST,BAR,CIK0001690437,USD,,88000.0,611878000.0,611790000.0,,0.73,-256000.0,29000.0,611878000.0,534200000.0,611878000.0,411955.651,1.0001,88000.0,14.8,28870000.0,,-88000.0,-0.0001,256000.0,29000.0,256000.0,2500000.0,37409000.0,0.0,,39797000.0,,
2019-12-31,2020-02-06,10-Q,GRANITESHARES GOLD TRUST,BAR,CIK0001690437,USD,,85000.0,593012000.0,592927000.0,,0.38,-256000.0,34000.0,593012000.0,504913000.0,593012000.0,389371.034,1.0001,85000.0,15.16,14862000.0,4663000.0,-85000.0,-0.0001,256000.0,4697000.0,256000.0,0.0,,2250000.0,-33725000.0,39421000.0,,
2020-03-31,2020-05-08,10-Q,GRANITESHARES GOLD TRUST,BAR,CIK0001690437,USD,,105000.0,772750000.0,772645000.0,,0.79,-288000.0,46000.0,772750000.0,653257000.0,772750000.0,480282.267,1.0001,105000.0,16.01,33220000.0,2068000.0,-105000.0,-0.0001,288000.0,2114000.0,288000.0,10050000.0,160525000.0,900000.0,-14027000.0,42134000.0,,
2020-06-30,2020-08-24,10-K,GRANITESHARES GOLD TRUST,BAR,CIK0001690437,USD,,141000.0,1041457000.0,1041316000.0,0.0,3.64,-1193000.0,171000.0,1041457000.0,839963000.0,1041457000.0,589025.927,1.0001,141000.0,17.59,158612000.0,6731000.0,-141000.0,-0.0001,1193000.0,6902000.0,1193000.0,23500000.0,384945000.0,3150000.0,-47752000.0,43630000.0,6731000.0,
2020-09-30,2020-11-06,10-Q,GRANITESHARES GOLD TRUST,BAR,CIK0001690437,USD,,189000.0,1292065000.0,1291876000.0,0.0,0.99,-548000.0,119000.0,1292065000.0,1026994000.0,1292065000.0,684755.611,1.0001,189000.0,18.76,64936000.0,1788000.0,-189000.0,-0.0001,548000.0,1907000.0,548000.0,10050000000.0,193370000.0,400000000.0,-7746000.0,65547000.0,,
2020-12-31,2021-02-03,10-Q,GRANITESHARES GOLD TRUST,BAR,CIK0001690437,USD,,161000.0,1112010000.0,1111849000.0,0.0,-0.01,-527000.0,112000.0,1112010000.0,889960000.0,1112010000.0,588022.913,1.0001,161000.0,18.8,-659000.0,42777000.0,-161000.0,-0.0001,527000.0,42889000.0,527000.0,2400000.0,44964000.0,12100000.0,-224332000.0,63921.0,,
2021-03-31,2021-05-05,10-Q,GRANITESHARES GOLD TRUST,BAR,CIK0001690437,USD,,153000.0,1005708000.0,1005555000.0,0.0,-2.01,-468000.0,78000.0,1005708000.0,910835000.0,1005708000.0,594723.682,1.0002,153000.0,16.8,-122319000.0,5248000.0,-153000.0,-0.0002,468000.0,5326000.0,468000.0,3350000.0,61603000.0,2650000.0,-45578000.0,60779000.0,,
2021-06-30,2021-08-13,10-K,GRANITESHARES GOLD TRUST,BAR,CIK0001690437,USD,,154000.0,1009604000.0,1009450000.0,0.0,-0.19,-2012000.0,377000.0,1009604000.0,878799000.0,1009604000.0,572613.665,1.0002,154000.0,17.51,-12009000.0,60315000.0,-154000.0,-0.0002,2012000.0,60692000.0,2012000.0,16600000.0,314030000.0,18150000.0,-333887000.0,62495000.0,60315000.0,
2021-09-30,2021-11-05,10-Q,GRANITESHARES GOLD TRUST,BAR,CIK0001690437,USD,,152000.0,1041629000.0,1041477000.0,,-0.23,-461000.0,68000.0,1041629000.0,924296000.0,1041629000.0,597675.738,1.0001,152000.0,17.3,-13265000.0,,-152000.0,-0.0001,461000.0,668000.0,461000.0,2850000000.0,50494000.0,300000000.0,-5201000.0,58866000.0,,
2021-12-31,2022-02-03,10-Q,GRANITESHARES GOLD TRUST,BAR,CIK0001690437,USD,,131000.0,912141000.0,912010000.0,,0.79,-407000.0,52000.0,912141000.0,776821000.0,912141000.0,501149.067,1.0001,131000.0,18.06,41097000.0,,-131000.0,-0.0001,407000.0,23517000.0,407000.0,700000.0,12542000.0,10400000.0,-183106000.0,51716.0,,
